Município;Qtd Dose
ZACARIAS;351
VOTUPORANGA;17596
VOTORANTIM;21568
VITÓRIA BRASIL;213
VISTA ALEGRE DO ALTO;665
VIRADOURO;1680
VINHEDO;9838
VERA CRUZ;1519
VARZEA PAULISTA;8846
VARGEM GRANDE PAULISTA;3610
VARGEM GRANDE DO SUL;5868
VARGEM;1559
VALPARAISO;3339
VALINHOS;15260
VALENTIM GENTIL;1278
URUPÊS;2119
URU;224
URÂNIA;1378
UNIÃO PAULISTA;244
UCHÔA;1609
UBIRAJARA;504
UBATUBA;5066
UBARANA;508
TURMALINA;357
TURIUBA;287
TUPI PAULISTA;2633
TUPA;12066
TUIUTI;893
TRÊS FRONTEIRAS;794
TREMEMBE;6694
TRABIJÚ;200
TORRINHA;1286
TORRE DE PEDRA;417
TIMBURI;424
TIETÊ;10616
TERRA ROXA;1050
TEODORO SAMPAIO;1896
TEJUPÁ;400
TAUBATE;40784
TATUÍ;15337
TARUMÃ;1274
TARABAI;638
TAQUARIVAI;456
TAQUARITUBA;3058
TAQUARITINGA;7859
TAQUARAL;290
TAPIRATIBA;1732
TAPIRAÍ;1003
TANABI;3906
TAMBAU;3068
TAIUVA;884
TAIAÇU;880
TAGUAÍ;1207
TACIBA;616
TABOÃO DA SERRA;26277
TABATINGA;1449
TABAPUÃ;1722
SUZANO;17869
SUZANAPOLIS;379
SUMARE;24037
SUD MENNUCCI;922
SOROCABA;82767
SOCORRO;6068
SILVEIRAS;779
SEVERÍNIA;1293
SETE BARRAS;1094
SERTAOZINHO;13670
SERRANA;4422
SERRA NEGRA;4507
SERRA AZUL;1274
SEBASTIANÓPOLIS DO SUL;485
SARUTAIA;518
SARAPUÍ;916
SÃO VICENTE;40506
SAO SIMAO;2202
SAO SEBASTIAO DA GRAMA;1611
SÃO SEBASTIÃO;4110
SÃO ROQUE;12120
SÃO PEDRO DO TURVO;906
SÃO PEDRO;4866
SÃO PAULO;1545740
SÃO MIGUEL ARCANJO;3225
SÃO MANUEL;5092
SAO LUIZ DO PARAITINGA;1360
SÃO LOURENÇO DA SERRA;1056
SÃO JOSÉ DOS CAMPOS;75568
SÃO JOSÉ DO RIO PRETO;77232
SAO JOSE DO RIO PARDO;9120
SAO JOSE DO BARREIRO;543
SÃO JOSÉ DA BELA VISTA;860
SÃO JOAQUIM DA BARRA;7446
SÃO JOÃO DO PAU D'ALHO;368
SÃO JOÃO DE IRACEMA;270
SÃO JOÃO DAS DUAS PONTES;269
SAO JOAO DA BOA VISTA;17157
SÃO FRANCISCO;380
SÃO CARLOS;31719
SÃO CAETANO DO SUL;36936
SÃO BERNARDO DO CAMPO;84528
SAO BENTO DO SAPUCAI;1590
SANTOS;100199
SANTOPOLIS DO AGUAPEI;456
SANTO EXPEDITO;438
SANTO ANTONIO DO PINHAL;796
SANTO ANTONIO DO JARDIM;842
SANTO ANTONIO DO ARACANGUA;792
SANTO ANTONIO DE POSSE;2444
SANTO ANTONIO DA ALEGRIA;1028
SANTO ANDRÉ;93208
SANTO ANASTÁCIO;2713
SANTANA DE PARNAIBA;9984
SANTANA DA PONTE PENSA;247
SANTA SALETE;278
SANTA ROSA DE VITERBO;3415
SANTA RITA DO PASSA QUATRO;5060
SANTA RITA D'OESTE;325
SANTA MERCEDES;372
SANTA MARIA DA SERRA;708
SANTA LÚCIA;602
SANTA ISABEL;3737
SANTA GERTRUDES;2014
SANTA FÉ DO SUL;5842
SANTA ERNESTINA;404
SANTA CRUZ DO RIO PARDO;6939
SANTA CRUZ DAS PALMEIRAS;3506
SANTA CRUZ DA ESPERANÇA;318
SANTA CRUZ DA CONCEIÇÃO;730
SANTA CLARA D'OESTE;236
SANTA BRANCA;1538
SANTA BARBARA D'OESTE;18906
SANTA ALBERTINA;862
SANTA ADÉLIA;2232
SANDOVALINA;343
SALTO GRANDE;1146
SALTO DE PIRAPORA;5196
SALTO;13279
SALTINHO;895
SALMOURÃO;524
SALESOPOLIS;1223
SALES OLIVEIRA;1689
SALES;824
SAGRES;276
SABINO;807
RUBINÉIA;398
RUBIACEA;288
ROSEIRA;1144
ROSANA;1980
RIVERSUL;723
RIOLANDIA;1104
RIO GRANDE DA SERRA;3055
RIO DAS PEDRAS;2866
RIO CLARO;31206
RINOPOLIS;1226
RINCÃO;1024
RIFAINA;504
RIBEIRÃO PRETO;100891
RIBEIRÃO PIRES;12377
RIBEIRÃO GRANDE;726
RIBEIRÃO DOS INDIOS;439
RIBEIRÃO DO SUL;648
RIBEIRÃO CORRENTE;476
RIBEIRAO BRANCO;1460
RIBEIRÃO BONITO;1153
RIBEIRA;458
RESTINGA;654
REGISTRO;6933
REGINÓPOLIS;768
REGENTE FEIJÓ;1819
REDENCAO DA SERRA;520
RANCHARIA;3468
RAFARD;1068
QUINTANA;762
QUELUZ;1144
QUEIROZ;328
QUATÁ;1422
QUADRA;339
PROMISSÃO;4254
PRESIDENTE VENCESLAU;5609
PRESIDENTE PRUDENTE;34649
PRESIDENTE EPITÁCIO;4059
PRESIDENTE BERNARDES;2524
PRESIDENTE ALVES;574
PRATÂNIA;439
PRAIA GRANDE;37954
PRADOPOLIS;1420
PRACINHA;227
POTIRENDABA;2532
POTIM;1962
PORTO FERREIRA;5325
PORTO FELIZ;5800
PORANGABA;1343
POPULINA;650
PONTES GESTAL;330
PONTALINDA;316
PONTAL;3134
PONGAI;460
POMPEIA;2951
POLONI;940
POA;8935
PLATINA;400
PLANALTO;549
PITANGUEIRAS;3838
PIRATININGA;2244
PIRASSUNUNGA;11326
PIRAPOZINHO;2715
PIRAPORA DO BOM JESUS;1395
PIRANGI;1628
PIRAJUÍ;3280
PIRAJÚ;4211
PIRACICABA;53894
PIRACAIA;3227
PIQUETE;2079
PIQUEROBI;638
PINHALZINHO;1846
PINDORAMA;2652
PINDAMONHANGABA;16777
PILAR DO SUL;3035
PIEDADE;5600
PIACATU;575
PERUÍBE;9118
PEREIRAS;864
PEREIRA BARRETO;3042
PENAPOLIS;8124
PEDRO DE TOLEDO;968
PEDRINHAS PAULISTA;381
PEDREIRA;5922
PEDREGULHO;1995
PEDRANÓPOLIS;386
PEDRA BELA;736
PEDERNEIRAS;4114
PAULO DE FARIA;1368
PAULISTÂNIA;196
PAULINIA;9258
PAULICÉIA;545
PATROCÍNIO PAULISTA;1758
PARISI;384
PARIQUERA-AÇÚ;3444
PARDINHO;724
PARAPUA;1271
PARANAPUÃ;407
PARANAPANEMA;2105
PARAISO;914
PARAIBUNA;1796
PARAGUAÇU PAULISTA;5440
PANORAMA;1416
PALMITAL;3560
PALMEIRA D'OESTE;1281
PALMARES PAULISTA;799
PALESTINA;1723
PACAEMBU;1628
OUROESTE;1144
OURO VERDE;1422
OURINHOS;15359
OSVALDO CRUZ;4559
OSCAR BRESSANE;500
OSASCO;60758
ORLÂNDIA;4845
ORINDIUVA;562
ORIENTE;883
ONDA VERDE;570
OLIMPIA;6492
ÓLEO;389
OCAUÇU;384
NUPORANGA;1106
NOVO HORIZONTE;5439
NOVAIS;566
NOVA ODESSA;5019
NOVA LUZITÂNIA;336
NOVA INDEPENDÊNCIA;374
NOVA GUATAPORANGA;274
NOVA GRANADA;2535
NOVA EUROPA;782
NOVA CASTILHO;143
NOVA CANAÃ PAULISTA;276
NOVA CAMPINA;625
NOVA ALIANÇA;995
NIPOÃ;464
NHANDEARA;1959
NEVES PAULISTA;1704
NAZARE PAULISTA;1861
NATIVIDADE DA SERRA;1220
NARANDIBA;442
NANTES;251
MURUTINGA DO SUL;622
MOTUCA;385
MORUNGABA;1435
MORRO AGUDO;3450
MONTEIRO LOBATO;626
MONTE MOR;4662
MONTE CASTELO;589
MONTE AZUL PAULISTA;2264
MONTE APRAZIVEL;3976
MONTE ALTO;7092
MONTE ALEGRE DO SUL;1103
MONGAGUÁ;6268
MONÇÕES;421
MOMBUCA;479
MOGI MIRIM;13075
MOGI GUAÇU;17888
MOGI DAS CRUZES;36304
MOCOCA;10610
MIRASSOLANDIA;660
MIRASSOL;7566
MIRANTE DO PARANAPANEMA;2150
MIRANDOPOLIS;4073
MIRACATU;1813
MIRA ESTRELA;368
MINEIROS DO TIETÊ;1138
MIGUELÓPOLIS;2750
MESÓPOLIS;287
MERIDIANO;548
MENDONÇA;922
MAUA;33655
MATÃO;8266
MARTINÓPOLIS;2682
MARINÓPOLIS;296
MARILIA;37324
MARIAPOLIS;441
MARAPOAMA;518
MARACAI;1588
MARABA PAULISTA;368
MANDURI;1128
MAIRIPORÃ;8496
MAIRINQUE;4570
MAGDA;526
MACEDÔNIA;445
MACAUBAL;1336
MACATUBA;1694
LUTÉCIA;456
LUPERCIO;426
LUIZIÂNIA;540
LUIS ANTONIO;1153
LUCIANÓPOLIS;264
LUCELIA;2626
LOUVEIRA;3584
LOURDES;323
LORENA;11566
LINS;11076
LINDOIA;927
LIMEIRA;33645
LENÇÓIS PAULISTA;5998
LEME;11196
LAVRINHAS;592
LAVINIA;659
LARANJAL PAULISTA;3859
LAGOINHA;818
JUQUITIBA;2622
JUQUIÁ;1969
JUNQUEIROPOLIS;2599
JUNDIAI;54572
JUMIRIM;302
JULIO MESQUITA;400
JOSE BONIFACIO;4749
JOÃO RAMALHO;339
JOANOPOLIS;1875
JERIQUARA;371
JAÚ;21446
JARINU;3159
JARDINOPOLIS;5029
JANDIRA;6740
JAMBEIRO;628
JALES;7336
JAGUARIUNA;5724
JACUPIRANGA;1448
JACI;1135
JACAREÍ;27524
JABOTICABAL;10616
JABORANDI;756
ITUVERAVA;6796
ITUPEVA;4080
ITU;18735
ITOBI;1016
ITIRAPUÃ;831
ITIRAPINA;1764
ITATINGA;1784
ITATIBA;13270
ITARIRI;1348
ITARARE;5686
ITAQUAQUECETUBA;13545
ITAPURA;457
ITAPUÍ;1186
ITAPORANGA;2137
ITAPOLIS;4930
ITAPIRAPUA PAULISTA;389
ITAPIRA;11534
ITAPEVI;13829
ITAPEVA;10877
ITAPETININGA;19398
ITAPECERICA DA SERRA;12370
ITAOCA;731
ITANHAÉM;14084
ITAJU;372
ITAJOBI;2476
ITAÍ;2337
ITABERA;2061
IRAPURU;827
IRAPUÃ;893
IRACEMÁPOLIS;2444
IPUÃ;1528
IPORANGA;1232
IPIGUA;612
IPEUNA;617
IPERÓ;2169
IPAUSSU;1698
INUBIA PAULISTA;492
INDIAPORÃ;680
INDIANA;621
INDAIATUBA;25864
ILHABELA;2039
ILHA SOLTEIRA;3416
ILHA COMPRIDA;917
IGUAPE;3461
IGARATA;1148
IGARAPAVA;3541
IGARAÇÚ DO TIETÊ;1751
IEPE;1059
ICEM;1020
IBIÚNA;10176
IBITINGA;6319
IBIRAREMA;1034
IBIRA;1768
IBATÉ;2158
IARAS;574
IACRI;765
IACANGA;1228
HORTOLANDIA;21596
HOLAMBRA;1334
HERCULANDIA;1054
GUZOLANDIA;394
GUATAPARA;825
GUARULHOS;89874
GUARUJÁ;35972
GUARIBA;3230
GUAREÍ;1310
GUARATINGUETA;16698
GUARAREMA;2408
GUARARAPES;3475
GUARANTA;672
GUARANÍ D'OESTE;252
GUARACI;1280
GUARAÇAÍ;1126
GUARÁ;2493
GUAPIARA;1968
GUAPIAÇU;2454
GUAÍRA;3649
GUAIMBE;738
GUAIÇARA;946
GLICERIO;483
GETULINA;1340
GENERAL SALGADO;1844
GAVIÃO PEIXOTO;417
GASTAO VIDIGAL;499
GARÇA;5754
GÁLIA;1014
GABRIEL MONTEIRO;347
FRANCO DA ROCHA;14747
FRANCISCO MORATO;11952
FRANCA;38038
FLORINEA;438
FLORIDA PAULISTA;1360
FLOREAL;594
FLORA RICA;345
FERRAZ DE VASCONCELOS;11160
FERNÃO;256
FERNANDÓPOLIS;11484
FERNANDO PRESTES;1108
FARTURA;2300
EUCLIDES DA CUNHA PAULISTA;846
ESTRELA DO NORTE;259
ESTRELA D'OESTE;1133
ESTIVA GERBI;866
ESPÍRITO SANTO DO TURVO;384
ESPIRITO SANTO DO PINHAL;6686
ENGENHEIRO COELHO;1510
EMILIANÓPOLIS;358
EMBU-GUAÇU;5638
EMBU DAS ARTES;13710
EMBAÚBA;340
ELISIARIO;441
ELIAS FAUSTO;1584
ELDORADO;4781
ECHAPORÃ;1028
DUMONT;1635
DUARTINA;1658
DRACENA;8307
DOURADO;1098
DOLCINÓPOLIS;290
DOIS CÓRREGOS;2882
DOBRADA;613
DIVINOLANDIA;2207
DIRCE REIS;259
DIADEMA;30466
DESCALVADO;4005
CUNHA;2649
CUBATÃO;12034
CRUZEIRO;9522
CRUZALIA;286
CRISTAIS PAULISTA;922
CRAVINHOS;3898
COTIA;18514
COSMORAMA;1161
COSMOPOLIS;5228
CORUMBATAÍ;502
CORONEL MACEDO;592
COROADOS;442
CORDEIRÓPOLIS;2930
CONCHAS;2409
CONCHAL;2499
COLÔMBIA;719
COLINA;1995
CLEMENTINA;780
CHAVANTES;1330
CHARQUEADA;1673
CESÁRIO LANGE;1617
CERQUILHO;4830
CERQUEIRA CÉSAR;2348
CEDRAL;1922
CATIGUA;833
CATANDUVA;23482
CASTILHO;3021
CASSIA DOS COQUEIROS;886
CASA BRANCA;5084
CARDOSO;1853
CARAPICUIBA;24935
CARAGUATATUBA;8231
CAPIVARI;5822
CAPELA DO ALTO;1609
CAPÃO BONITO;4589
CANITAR;374
CANDIDO RODRIGUES;390
CANDIDO MOTA;3770
CANAS;422
CANANÉIA;1478
CAMPOS NOVOS PAULISTA;476
CAMPOS DO JORDAO;5278
CAMPO LIMPO PAULISTA;7138
CAMPINAS;181370
CAMPINA DO MONTE ALEGRE;638
CAJURU;3738
CAJOBI;1201
CAJATI;2141
CAJAMAR;5397
CAIUÁ;690
CAIEIRAS;8588
CAIABU;504
CAFELÂNDIA;2226
CACONDE;2556
CACHOEIRA PAULISTA;4584
CAÇAPAVA;11812
CABREUVA;3485
CABRÁLIA PAULISTA;478
BURITIZAL;688
BURITAMA;2097
BURI;1782
BROTAS;2306
