Município;Qtd Dose
ZACARIAS;121
VOTUPORANGA;8886
VOTORANTIM;5714
VITÓRIA BRASIL;100
VISTA ALEGRE DO ALTO;335
VIRADOURO;675
VINHEDO;4484
VERA CRUZ;649
VARZEA PAULISTA;3723
VARGEM GRANDE PAULISTA;1390
VARGEM GRANDE DO SUL;2644
VARGEM;658
VALPARAISO;2059
VALINHOS;6430
VALENTIM GENTIL;463
URUPÊS;729
URU;122
URÂNIA;668
UNIÃO PAULISTA;99
UCHÔA;589
UBIRAJARA;224
UBATUBA;4456
UBARANA;208
TURMALINA;186
TURIUBA;127
TUPI PAULISTA;1353
TUPA;6366
TUIUTI;263
TRÊS FRONTEIRAS;304
TREMEMBE;3712
TRABIJÚ;110
TORRINHA;566
TORRE DE PEDRA;187
TIMBURI;163
TIETÊ;1976
TERRA ROXA;499
TEODORO SAMPAIO;913
TEJUPÁ;137
TAUBATE;18832
TATUÍ;6987
TARUMÃ;534
TARABAI;288
TAQUARIVAI;206
TAQUARITUBA;1363
TAQUARITINGA;4109
TAQUARAL;147
TAPIRATIBA;667
TAPIRAÍ;450
TANABI;1466
TAMBAU;1098
TAIUVA;452
TAIAÇU;450
TAGUAÍ;507
TACIBA;286
TABOÃO DA SERRA;16547
TABATINGA;686
TABAPUÃ;668
SUZANO;11519
SUZANAPOLIS;149
SUMARE;10887
SUD MENNUCCI;472
SOROCABA;38547
SOCORRO;2088
SILVEIRAS;279
SEVERÍNIA;603
SETE BARRAS;440
SERTAOZINHO;6340
SERRANA;2091
SERRA NEGRA;1415
SERRA AZUL;634
SEBASTIANÓPOLIS DO SUL;205
SARUTAIA;197
SARAPUÍ;296
SÃO VICENTE;16976
SAO SIMAO;850
SAO SEBASTIAO DA GRAMA;601
SÃO SEBASTIÃO;3590
SÃO ROQUE;5500
SÃO PEDRO DO TURVO;276
SÃO PEDRO;1596
SÃO PAULO;883374
SÃO MIGUEL ARCANJO;1125
SÃO MANUEL;2081
SAO LUIZ DO PARAITINGA;429
SÃO LOURENÇO DA SERRA;486
SÃO JOSÉ DOS CAMPOS;34888
SÃO JOSÉ DO RIO PRETO;42691
SAO JOSE DO RIO PARDO;3905
SAO JOSE DO BARREIRO;213
SÃO JOSÉ DA BELA VISTA;317
SÃO JOAQUIM DA BARRA;3493
SÃO JOÃO DO PAU D'ALHO;157
SÃO JOÃO DE IRACEMA;160
SÃO JOÃO DAS DUAS PONTES;116
SAO JOAO DA BOA VISTA;8417
SÃO FRANCISCO;140
SÃO CARLOS;16929
SÃO CAETANO DO SUL;20376
SÃO BERNARDO DO CAMPO;47724
SAO BENTO DO SAPUCAI;600
SANTOS;43519
SANTOPOLIS DO AGUAPEI;211
SANTO EXPEDITO;207
SANTO ANTONIO DO PINHAL;315
SANTO ANTONIO DO JARDIM;291
SANTO ANTONIO DO ARACANGUA;419
SANTO ANTONIO DE POSSE;1072
SANTO ANTONIO DA ALEGRIA;344
SANTO ANDRÉ;48678
SANTO ANASTÁCIO;1153
SANTANA DE PARNAIBA;5782
SANTANA DA PONTE PENSA;95
SANTA SALETE;148
SANTA ROSA DE VITERBO;1185
SANTA RITA DO PASSA QUATRO;1886
SANTA RITA D'OESTE;115
SANTA MERCEDES;169
SANTA MARIA DA SERRA;327
SANTA LÚCIA;290
SANTA ISABEL;1957
SANTA GERTRUDES;911
SANTA FÉ DO SUL;3351
SANTA ERNESTINA;184
SANTA CRUZ DO RIO PARDO;2789
SANTA CRUZ DAS PALMEIRAS;1463
SANTA CRUZ DA ESPERANÇA;136
SANTA CRUZ DA CONCEIÇÃO;285
SANTA CLARA D'OESTE;111
SANTA BRANCA;713
SANTA BARBARA D'OESTE;6953
SANTA ALBERTINA;349
SANTA ADÉLIA;929
SANDOVALINA;163
SALTO GRANDE;386
SALTO DE PIRAPORA;2396
SALTO;5859
SALTINHO;285
SALMOURÃO;204
SALESOPOLIS;583
SALES OLIVEIRA;698
SALES;281
SAGRES;112
SABINO;417
RUBINÉIA;178
RUBIACEA;146
ROSEIRA;489
ROSANA;1060
RIVERSUL;193
RIOLANDIA;402
RIO GRANDE DA SERRA;1655
RIO DAS PEDRAS;1186
RIO CLARO;13836
RINOPOLIS;436
RINCÃO;491
RIFAINA;194
RIBEIRÃO PRETO;52676
RIBEIRÃO PIRES;6707
RIBEIRÃO GRANDE;216
RIBEIRÃO DOS INDIOS;229
RIBEIRÃO DO SUL;215
RIBEIRÃO CORRENTE;233
RIBEIRAO BRANCO;550
RIBEIRÃO BONITO;479
RIBEIRA;176
RESTINGA;284
REGISTRO;3713
REGINÓPOLIS;336
REGENTE FEIJÓ;729
REDENCAO DA SERRA;186
RANCHARIA;1594
RAFARD;364
QUINTANA;340
QUELUZ;414
QUEIROZ;167
QUATÁ;712
QUADRA;99
PROMISSÃO;2182
PRESIDENTE VENCESLAU;2899
PRESIDENTE PRUDENTE;19808
PRESIDENTE EPITÁCIO;1849
PRESIDENTE BERNARDES;1272
PRESIDENTE ALVES;271
PRATÂNIA;189
PRAIA GRANDE;16559
PRADOPOLIS;440
PRACINHA;117
POTIRENDABA;1011
POTIM;1067
PORTO FERREIRA;2375
PORTO FELIZ;2205
PORANGABA;469
POPULINA;300
PONTES GESTAL;106
PONTALINDA;116
PONTAL;1432
PONGAI;186
POMPEIA;1546
POLONI;329
POA;5635
PLATINA;149
PLANALTO;246
PITANGUEIRAS;1668
PIRATININGA;1254
PIRASSUNUNGA;4523
PIRAPOZINHO;1205
PIRAPORA DO BOM JESUS;855
PIRANGI;608
PIRAJUÍ;1697
PIRAJÚ;1731
PIRACICABA;23092
PIRACAIA;1124
PIQUETE;829
PIQUEROBI;344
PINHALZINHO;546
PINDORAMA;1102
PINDAMONHANGABA;7477
PILAR DO SUL;1063
PIEDADE;1780
