Municipio;Qtd-Doses-Distribuidas
ZACARIAS;4075
VOTUPORANGA;151274
VOTORANTIM;179897
VITÓRIA BRASIL;2708
VISTA ALEGRE DO ALTO;13220
VIRADOURO;28451
VINHEDO;120191
VERA CRUZ;15744
VÁRZEA PAULISTA;175174
VARGEM GRANDE PAULISTA;77326
VARGEM GRANDE DO SUL;56286
VARGEM;16203
VALPARAÍSO;37792
VALINHOS;196308
VALENTIM GENTIL;21176
URUPÊS;21392
URU;2130
URÂNIA;13575
UNIÃO PAULISTA;2460
UCHOA;15551
UBIRAJARA;7475
UBATUBA;141317
UBARANA;8763
TURMALINA;2933
TURIÚBA;3128
TUPI PAULISTA;25170
TUPÃ;98884
TUIUTI;11233
TRÊS FRONTEIRAS;9163
TREMEMBÉ;77592
TRABIJU;2715
TORRINHA;15153
TORRE DE PEDRA;4226
TIMBURI;3905
TIETÊ;59989
TERRA ROXA;12517
TEODORO SAMPAIO;31855
TEJUPÁ;6585
TAUBATÉ;482258
TATUÍ;176062
TARUMÃ;21174
TARABAI;10726
TAQUARIVAÍ;8732
TAQUARITUBA;35904
TAQUARITINGA;81897
TAQUARAL;4301
TAPIRATIBA;20775
TAPIRAÍ;10901
TANABI;39506
TAMBAÚ;33714
TAIÚVA;9460
TAIAÇU;9290
TAGUAÍ;20129
TACIBA;9078
TABOÃO DA SERRA;418401
TABATINGA;23649
TABAPUÃ;18197
SUZANO;429872
SUZANÁPOLIS;5876
SUMARÉ;398308
SUD MENNUCCI;11017
SOROCABA;1024677
SOCORRO;66812
SILVEIRAS;9233
SEVERÍNIA;24102
SETE BARRAS;19373
SERTÃOZINHO;183989
SERRANA;24810
SERRA NEGRA;45784
SERRA AZUL;21869
SEBASTIANÓPOLIS DO SUL;5208
SARUTAIÁ;5627
SARAPUÍ;13904
SÃO VICENTE;465429
SÃO SIMÃO;23589
SÃO SEBASTIÃO DA GRAMA;18374
SÃO SEBASTIÃO;122551
SÃO ROQUE;137911
SÃO PEDRO DO TURVO;11279
SÃO PEDRO;54846
SÃO PAULO;18543003
SÃO MIGUEL ARCANJO;47288
SÃO MANUEL;55570
SÃO LUIZ DO PARAITINGA;17360
SÃO LOURENÇO DA SERRA;22198
SÃO JOSÉ DOS CAMPOS;1055818
SÃO JOSÉ DO RIO PRETO;689832
SÃO JOSÉ DO RIO PARDO;83774
SÃO JOSÉ DO BARREIRO;6195
SÃO JOSÉ DA BELA VISTA;11957
SÃO JOAQUIM DA BARRA;82256
SÃO JOÃO DO PAU D'ALHO;3555
SÃO JOÃO DE IRACEMA;2931
SÃO JOÃO DAS DUAS PONTES;3915
SÃO JOÃO DA BOA VISTA;140884
SÃO FRANCISCO;4175
SÃO CARLOS;386104
SÃO CAETANO DO SUL;262890
SÃO BERNARDO DO CAMPO;1195685
SÃO BENTO DO SAPUCAÍ;18274
SANTOS;703494
SANTÓPOLIS DO AGUAPEÍ;6794
SANTO EXPEDITO;4768
SANTO ANTÔNIO DO PINHAL;11054
SANTO ANTÔNIO DO JARDIM;9238
SANTO ANTÔNIO DO ARACANGUÁ;12794
SANTO ANTÔNIO DE POSSE;33724
SANTO ANTÔNIO DA ALEGRIA;10305
SANTO ANDRÉ;1120777
SANTO ANASTÁCIO;28298
SANTANA DE PARNAÍBA;212672
SANTANA DA PONTE PENSA;2435
SANTA SALETE;2633
SANTA ROSA DE VITERBO;40445
SANTA RITA DO PASSA QUATRO;40639
SANTA RITA D'OESTE;4422
SANTA MERCEDES;4661
SANTA MARIA DA SERRA;9017
SANTA LÚCIA;12594
SANTA ISABEL;84607
SANTA GERTRUDES;33326
SANTA FÉ DO SUL;52429
SANTA ERNESTINA;8246
SANTA CRUZ DO RIO PARDO;69161
SANTA CRUZ DAS PALMEIRAS;46428
SANTA CRUZ DA ESPERANÇA;3383
SANTA CRUZ DA CONCEIÇÃO;6953
SANTA CLARA D'OESTE;3547
SANTA BRANCA;22819
SANTA BÁRBARA D'OESTE;281109
SANTA ALBERTINA;9829
SANTA ADÉLIA;21919
SANDOVALINA;5731
SALTO GRANDE;13283
SALTO DE PIRAPORA;66094
SALTO;175673
SALTINHO;12773
SALMOURÃO;7287
SALESÓPOLIS;25578
SALES OLIVEIRA;17979
SALES;9371
SAGRES;3628
SABINO;8791
RUBINÉIA;5824
RUBIÁCEA;4228
ROSEIRA;16030
ROSANA;26078
RIVERSUL;8675
RIOLÂNDIA;19034
RIO GRANDE DA SERRA;76507
RIO DAS PEDRAS;45845
RIO CLARO;288710
RINÓPOLIS;15355
RINCÃO;16198
RIFAINA;6038
RIBEIRÃO PRETO;1069985
RIBEIRÃO PIRES;184478
RIBEIRÃO GRANDE;11918
RIBEIRÃO DOS ÍNDIOS;3441
RIBEIRÃO DO SUL;7147
RIBEIRÃO CORRENTE;6983
RIBEIRÃO BRANCO;24405
RIBEIRÃO BONITO;17935
RIBEIRA;5250
RESTINGA;10006
REGISTRO;89649
REGINÓPOLIS;14829
REGENTE FEIJÓ;29411
REDENÇÃO DA SERRA;6863
RANCHARIA;47068
RAFARD;14725
QUINTANA;10062
QUELUZ;16297
QUEIROZ;5063
QUATÁ;20213
QUADRA;5451
PROMISSÃO;54820
PRESIDENTE VENCESLAU;54228
PRESIDENTE PRUDENTE;356752
PRESIDENTE EPITÁCIO;61257
PRESIDENTE BERNARDES;22551
PRESIDENTE ALVES;6227
PRATÂNIA;7827
PRAIA GRANDE;488529
PRADÓPOLIS;29223
PRACINHA;5894
POTIRENDABA;26017
POTIM;35301
PORTO FERREIRA;78333
PORTO FELIZ;81218
PORANGABA;15531
POPULINA;6255
PONTES GESTAL;3962
PONTALINDA;6609
PONTAL;65675
PONGAÍ;5330
POMPÉIA;32057
POLONI;8379
POÁ;166700
PLATINA;5158
PLANALTO;7023
PITANGUEIRAS;54297
PIRATININGA;20948
PIRASSUNUNGA;113223
PIRAPOZINHO;38410
PIRAPORA DO BOM JESUS;26882
PIRANGI;17111
PIRAJUÍ;40834
PIRAJU;45070
PIRACICABA;615007
PIRACAIA;43177
PIQUETE;20580
PIQUEROBI;5020
PINHALZINHO;23278
PINDORAMA;24482
PINDAMONHANGABA;247165
PILAR DO SUL;42680
PIEDADE;83513
PIACATU;9313
PERUÍBE;106054
PEREIRAS;12311
PEREIRA BARRETO;35831
PENÁPOLIS;94735
PEDRO DE TOLEDO;16932
PEDRINHAS PAULISTA;4569
PEDREIRA;74205
PEDREGULHO;24397
PEDRANÓPOLIS;4138
PEDRA BELA;9610
PEDERNEIRAS;69330
PAULO DE FARIA;14662
PAULISTÂNIA;2869
PAULÍNIA;156294
PAULICÉIA;10759
PATROCÍNIO PAULISTA;22369
PARISI;3805
PARIQUERA-AÇU;29208
PARDINHO;9634
PARAPUÃ;15493
PARANAPUÃ;6377
PARANAPANEMA;27624
PARAÍSO;9354
PARAIBUNA;26666
PARAGUAÇU PAULISTA;67608
PANORAMA;22629
PALMITAL;33337
PALMEIRA D'OESTE;14272
PALMARES PAULISTA;17539
PALESTINA;18943
PACAEMBU;25756
OUROESTE;14952
OURO VERDE;12394
OURINHOS;149527
OSVALDO CRUZ;52835
OSCAR BRESSANE;4086
OSASCO;1000134
ORLÂNDIA;68109
ORINDIÚVA;9930
ORIENTE;9740
ONDA VERDE;6951
OLÍMPIA;83201
ÓLEO;4318
OCAUÇU;6025
NUPORANGA;11994
NOVO HORIZONTE;61632
NOVAIS;7320
NOVA ODESSA;87743
NOVA LUZITÂNIA;5544
NOVA INDEPENDÊNCIA;6879
NOVA GUATAPORANGA;3644
NOVA GRANADA;33033
NOVA EUROPA;15590
NOVA CASTILHO;1849
NOVA CANAÃ PAULISTA;3296
NOVA CAMPINA;13270
NOVA ALIANÇA;11158
NIPOÃ;7144
NHANDEARA;18196
NEVES PAULISTA;14949
NAZARÉ PAULISTA;30098
NATIVIDADE DA SERRA;11834
NARANDIBA;7155
NANTES;4047
MURUTINGA DO SUL;6108
MOTUCA;7061
MORUNGABA;20482
MORRO AGUDO;45657
MONTEIRO LOBATO;7544
MONTE MOR;86394
MONTE CASTELO;6375
MONTE AZUL PAULISTA;29486
MONTE APRAZÍVEL;34708
MONTE ALTO;75053
MONTE ALEGRE DO SUL;12642
MONGAGUÁ;88690
MONÇÕES;3532
MOMBUCA;5647
MOGI MIRIM;143376
MOGI GUAÇU;234331
MOGI DAS CRUZES;631532
MOCOCA;103721
MIRASSOLÂNDIA;7514
