Municipio;Qtd-Doses-Distribuidas
ZACARIAS;660
VOTUPORANGA;28631
VOTORANTIM;22692
VITÓRIA BRASIL;509
VISTA ALEGRE DO ALTO;1454
VIRADOURO;4037
VINHEDO;17429
VERA CRUZ;3161
VÁRZEA PAULISTA;17870
VARGEM GRANDE PAULISTA;9002
VARGEM GRANDE DO SUL;10050
VARGEM;2758
VALPARAÍSO;5728
VALINHOS;27855
VALENTIM GENTIL;2484
URUPÊS;3841
URU;402
URÂNIA;2867
UNIÃO PAULISTA;415
UCHOA;2833
UBIRAJARA;1143
UBATUBA;17819
UBARANA;996
TURMALINA;736
TURIÚBA;670
TUPI PAULISTA;5099
TUPÃ;22546
TUIUTI;1780
TRÊS FRONTEIRAS;1801
TREMEMBÉ;10714
TRABIJU;420
TORRINHA;2809
TORRE DE PEDRA;713
TIMBURI;803
TIETÊ;9365
TERRA ROXA;2159
TEODORO SAMPAIO;4349
TEJUPÁ;863
TAUBATÉ;70649
TATUÍ;26813
TARUMÃ;2450
TARABAI;1382
TAQUARIVAÍ;883
TAQUARITUBA;5384
TAQUARITINGA;15369
TAQUARAL;693
TAPIRATIBA;3148
TAPIRAÍ;1799
TANABI;7098
TAMBAÚ;5638
TAIÚVA;1787
TAIAÇU;1746
TAGUAÍ;2302
TACIBA;1369
TABOÃO DA SERRA;51404
TABATINGA;3116
TABAPUÃ;3123
SUZANO;50291
SUZANÁPOLIS;906
SUMARÉ;45401
SUD MENNUCCI;1936
SOROCABA;144054
SOCORRO;11502
SILVEIRAS;1508
SEVERÍNIA;2946
SETE BARRAS;2791
SERTÃOZINHO;24412
SERRANA;7459
SERRA NEGRA;8392
SERRA AZUL;2225
SEBASTIANÓPOLIS DO SUL;891
SARUTAIÁ;943
SARAPUÍ;1873
SÃO VICENTE;74436
SÃO SIMÃO;3968
SÃO SEBASTIÃO DA GRAMA;2972
SÃO SEBASTIÃO;14198
SÃO ROQUE;21595
SÃO PEDRO DO TURVO;1808
SÃO PEDRO;9271
SÃO PAULO;2973539
SÃO MIGUEL ARCANJO;6403
SÃO MANUEL;9106
SÃO LUIZ DO PARAITINGA;2627
SÃO LOURENÇO DA SERRA;2753
SÃO JOSÉ DOS CAMPOS;155871
SÃO JOSÉ DO RIO PRETO;128203
SÃO JOSÉ DO RIO PARDO;15744
SÃO JOSÉ DO BARREIRO;996
SÃO JOSÉ DA BELA VISTA;1685
SÃO JOAQUIM DA BARRA;12703
SÃO JOÃO DO PAU D'ALHO;802
SÃO JOÃO DE IRACEMA;575
SÃO JOÃO DAS DUAS PONTES;639
SÃO JOÃO DA BOA VISTA;27629
SÃO FRANCISCO;933
SÃO CARLOS;63186
SÃO CAETANO DO SUL;65058
SÃO BERNARDO DO CAMPO;178867
SÃO BENTO DO SAPUCAÍ;2921
SANTOS;161876
SANTÓPOLIS DO AGUAPEÍ;965
SANTO EXPEDITO;939
SANTO ANTÔNIO DO PINHAL;1505
SANTO ANTÔNIO DO JARDIM;1585
SANTO ANTÔNIO DO ARACANGUÁ;1747
SANTO ANTÔNIO DE POSSE;4357
SANTO ANTÔNIO DA ALEGRIA;1999
SANTO ANDRÉ;189291
SANTO ANASTÁCIO;5755
SANTANA DE PARNAÍBA;23311
SANTANA DA PONTE PENSA;596
SANTA SALETE;591
SANTA ROSA DE VITERBO;6364
SANTA RITA DO PASSA QUATRO;8894
SANTA RITA D'OESTE;838
SANTA MERCEDES;726
SANTA MARIA DA SERRA;1234
SANTA LÚCIA;1483
SANTA ISABEL;10725
SANTA GERTRUDES;3597
SANTA FÉ DO SUL;10896
SANTA ERNESTINA;971
SANTA CRUZ DO RIO PARDO;12423
SANTA CRUZ DAS PALMEIRAS;6418
SANTA CRUZ DA ESPERANÇA;588
SANTA CRUZ DA CONCEIÇÃO;1303
SANTA CLARA D'OESTE;578
SANTA BRANCA;3598
SANTA BÁRBARA D'OESTE;37399
SANTA ALBERTINA;1814
SANTA ADÉLIA;3877
SANDOVALINA;837
SALTO GRANDE;2215
SALTO DE PIRAPORA;9479
SALTO;23669
SALTINHO;1888
SALMOURÃO;1214
SALESÓPOLIS;3348
SALES OLIVEIRA;3001
SALES;1610
SAGRES;692
SABINO;1700
RUBINÉIA;963
RUBIÁCEA;650
ROSEIRA;2096
ROSANA;4645
RIVERSUL;1417
RIOLÂNDIA;2100
RIO GRANDE DA SERRA;7437
RIO DAS PEDRAS;5535
RIO CLARO;52161
RINÓPOLIS;2716
RINCÃO;2353
RIFAINA;961
RIBEIRÃO PRETO;171323
RIBEIRÃO PIRES;27694
RIBEIRÃO GRANDE;1578
RIBEIRÃO DOS ÍNDIOS;823
RIBEIRÃO DO SUL;1260
RIBEIRÃO CORRENTE;858
RIBEIRÃO BRANCO;2963
RIBEIRÃO BONITO;2651
RIBEIRA;919
RESTINGA;1209
REGISTRO;15800
REGINÓPOLIS;1561
REGENTE FEIJÓ;4502
REDENÇÃO DA SERRA;975
RANCHARIA;7386
RAFARD;1966
QUINTANA;1664
QUELUZ;2259
QUEIROZ;669
QUATÁ;2905
QUADRA;745
PROMISSÃO;8997
PRESIDENTE VENCESLAU;11464
PRESIDENTE PRUDENTE;64815
PRESIDENTE EPITÁCIO;9304
PRESIDENTE BERNARDES;4836
PRESIDENTE ALVES;1190
PRATÂNIA;848
PRAIA GRANDE;69428
PRADÓPOLIS;3145
PRACINHA;428
POTIRENDABA;4447
POTIM;3345
PORTO FERREIRA;12102
PORTO FELIZ;10877
PORANGABA;2620
POPULINA;1323
PONTES GESTAL;661
PONTALINDA;843
PONTAL;5797
PONGAÍ;1068
POMPÉIA;5857
POLONI;1668
POÁ;20689
PLATINA;789
PLANALTO;932
PITANGUEIRAS;6791
PIRATININGA;4146
PIRASSUNUNGA;20138
PIRAPOZINHO;6053
PIRAPORA DO BOM JESUS;2880
PIRANGI;3003
PIRAJUÍ;6357
PIRAJU;7753
PIRACICABA;95890
PIRACAIA;6204
PIQUETE;3722
PIQUEROBI;1173
PINHALZINHO;3816
PINDORAMA;4645
PINDAMONHANGABA;32709
PILAR DO SUL;5992
PIEDADE;11291
PIACATU;1401
PERUÍBE;17400
PEREIRAS;1717
PEREIRA BARRETO;6690
PENÁPOLIS;17334
PEDRO DE TOLEDO;2465
PEDRINHAS PAULISTA;755
PEDREIRA;10333
PEDREGULHO;3667
PEDRANÓPOLIS;838
PEDRA BELA;1500
PEDERNEIRAS;9147
PAULO DE FARIA;2300
PAULISTÂNIA;482
PAULÍNIA;17586
PAULICÉIA;1300
PATROCÍNIO PAULISTA;3152
PARISI;697
PARIQUERA-AÇU;5640
PARDINHO;1344
PARAPUÃ;3007
PARANAPUÃ;1027
PARANAPANEMA;3775
PARAÍSO;1629
PARAIBUNA;4102
PARAGUAÇU PAULISTA;10073
PANORAMA;3254
PALMITAL;6477
PALMEIRA D'OESTE;2971
PALMARES PAULISTA;1511
PALESTINA;3163
PACAEMBU;3414
OUROESTE;2411
OURO VERDE;2447
OURINHOS;27801
OSVALDO CRUZ;9818
OSCAR BRESSANE;1071
OSASCO;133668
ORLÂNDIA;9216
ORINDIÚVA;992
ORIENTE;1736
ONDA VERDE;1023
OLÍMPIA;14131
ÓLEO;781
OCAUÇU;1001
NUPORANGA;1889
NOVO HORIZONTE;9778
NOVAIS;946
NOVA ODESSA;10537
NOVA LUZITÂNIA;850
NOVA INDEPENDÊNCIA;707
NOVA GUATAPORANGA;641
NOVA GRANADA;4730
NOVA EUROPA;1907
NOVA CASTILHO;340
NOVA CANAÃ PAULISTA;681
NOVA CAMPINA;1284
NOVA ALIANÇA;1763
NIPOÃ;884
NHANDEARA;3590
NEVES PAULISTA;2964
NAZARÉ PAULISTA;3832
NATIVIDADE DA SERRA;2144
NARANDIBA;903
NANTES;569
MURUTINGA DO SUL;1431
MOTUCA;892
MORUNGABA;2793
MORRO AGUDO;5956
MONTEIRO LOBATO;1318
MONTE MOR;9438
MONTE CASTELO;1302
MONTE AZUL PAULISTA;4946
MONTE APRAZÍVEL;6691
MONTE ALTO;12903
MONTE ALEGRE DO SUL;2040
MONGAGUÁ;13158
MONÇÕES;729
MOMBUCA;803
MOGI MIRIM;23314
MOGI GUAÇU;33532
MOGI DAS CRUZES;86342
MOCOCA;18656
MIRASSOLÂNDIA;1287
MIRASSOL;13886
MIRANTE DO PARANAPANEMA;4719
MIRANDÓPOLIS;8169
MIRACATU;4279
MIRA ESTRELA;931
MINEIROS DO TIETÊ;2638
MIGUELÓPOLIS;4759
MESÓPOLIS;593
MERIDIANO;1100
MENDONÇA;1503
MAUÁ;76585
MATÃO;18550
MARTINÓPOLIS;6066
MARINÓPOLIS;601
MARÍLIA;68984
MARIÁPOLIS;939
MARAPOAMA;917
MARACAÍ;3091
MARABÁ PAULISTA;869
MANDURI;2191
MAIRIPORÃ;16763
MAIRINQUE;9020
MAGDA;991
MACEDÔNIA;1104
MACAUBAL;2384
MACATUBA;3648
LUTÉCIA;786
LUPÉRCIO;1068
LUIZIÂNIA;1172
LUÍS ANTÔNIO;2112
LUCIANÓPOLIS;713
LUCÉLIA;5462
LOUVEIRA;6495
LOURDES;705
LORENA;20902
LINS;21242
LINDÓIA;1696
LIMEIRA;63441
LENÇÓIS PAULISTA;13348
LEME;20490
LAVRINHAS;1124
LAVÍNIA;1323
LARANJAL PAULISTA;7020
LAGOINHA;1491
JUQUITIBA;5848
JUQUIÁ;4690
JUNQUEIRÓPOLIS;5428
JUNDIAÍ;99033
JUMIRIM;566
JÚLIO MESQUITA;1045
JOSÉ BONIFÁCIO;8464
JOÃO RAMALHO;777
JOANÓPOLIS;3438
JERIQUARA;672
JAÚ;38596
JARINU;6038
JARDINÓPOLIS;9143
JANDIRA;16468
JAMBEIRO;1211
JALES;15143
JAGUARIÚNA;10699
JACUPIRANGA;3637
JACI;1684
JACAREÍ;50622
JABOTICABAL;19189
JABORANDI;1619
ITUVERAVA;11555
ITUPEVA;8086
ITU;34134
