Municipio;Qtd-Doses-Distribuidas
ZACARIAS;1367
VOTUPORANGA;54053
VOTORANTIM;49349
VITÓRIA BRASIL;993
VISTA ALEGRE DO ALTO;3200
VIRADOURO;8803
VINHEDO;36212
VERA CRUZ;6131
VÁRZEA PAULISTA;42905
VARGEM GRANDE PAULISTA;20947
VARGEM GRANDE DO SUL;19662
VARGEM;5192
VALPARAÍSO;11298
VALINHOS;63295
VALENTIM GENTIL;5525
URUPÊS;7280
URU;826
URÂNIA;5371
UNIÃO PAULISTA;830
UCHOA;5341
UBIRAJARA;2260
UBATUBA;39450
UBARANA;2337
TURMALINA;1307
TURIÚBA;1198
TUPI PAULISTA;9297
TUPÃ;40687
TUIUTI;3780
TRÊS FRONTEIRAS;3334
TREMEMBÉ;21223
TRABIJU;873
TORRINHA;5223
TORRE DE PEDRA;1387
TIMBURI;1541
TIETÊ;18808
TERRA ROXA;4294
TEODORO SAMPAIO;9230
TEJUPÁ;1919
TAUBATÉ;151276
TATUÍ;56042
TARUMÃ;5685
TARABAI;3018
TAQUARIVAÍ;2044
TAQUARITUBA;10948
TAQUARITINGA;28791
TAQUARAL;1449
TAPIRATIBA;6429
TAPIRAÍ;3686
TANABI;14099
TAMBAÚ;11187
TAIÚVA;3295
TAIAÇU;3189
TAGUAÍ;4999
TACIBA;2829
TABOÃO DA SERRA;120110
TABATINGA;6954
TABAPUÃ;6328
SUZANO;114447
SUZANÁPOLIS;1873
SUMARÉ;105225
SUD MENNUCCI;3728
SOROCABA;300560
SOCORRO;22489
SILVEIRAS;2881
SEVERÍNIA;6489
SETE BARRAS;5736
SERTÃOZINHO;53470
SERRANA;10103
SERRA NEGRA;16024
SERRA AZUL;5354
SEBASTIANÓPOLIS DO SUL;1812
SARUTAIÁ;1788
SARAPUÍ;4461
SÃO VICENTE;161436
SÃO SIMÃO;7916
SÃO SEBASTIÃO DA GRAMA;5915
SÃO SEBASTIÃO;33153
SÃO ROQUE;43665
SÃO PEDRO DO TURVO;3549
SÃO PEDRO;18749
SÃO PAULO;5963460
SÃO MIGUEL ARCANJO;13896
SÃO MANUEL;18223
