Município;Qtd Dose
ZACARIAS;241
VOTUPORANGA;14146
VOTORANTIM;19568
VITÓRIA BRASIL;183
VISTA ALEGRE DO ALTO;615
VIRADOURO;1175
VINHEDO;8308
VERA CRUZ;1369
VARZEA PAULISTA;7156
VARGEM GRANDE PAULISTA;3610
VARGEM GRANDE DO SUL;4998
VARGEM;1309
VALPARAISO;3179
VALINHOS;12690
VALENTIM GENTIL;918
URUPÊS;1549
URU;214
URÂNIA;1248
UNIÃO PAULISTA;184
UCHÔA;1229
UBIRAJARA;464
UBATUBA;5066
UBARANA;378
TURMALINA;317
TURIUBA;257
TUPI PAULISTA;2443
TUPA;11086
TUIUTI;703
TRÊS FRONTEIRAS;694
TREMEMBE;5544
TRABIJÚ;190
TORRINHA;1176
TORRE DE PEDRA;347
TIMBURI;324
TIETÊ;9716
TERRA ROXA;809
TEODORO SAMPAIO;1726
TEJUPÁ;320
TAUBATE;31604
TATUÍ;13057
TARUMÃ;934
TARABAI;558
TAQUARIVAI;386
TAQUARITUBA;2608
TAQUARITINGA;7189
TAQUARAL;217
TAPIRATIBA;1442
TAPIRAÍ;843
TANABI;2906
TAMBAU;2528
TAIUVA;824
TAIAÇU;810
TAGUAÍ;997
TACIBA;546
TABOÃO DA SERRA;26277
TABATINGA;1309
TABAPUÃ;1282
SUZANO;17869
SUZANAPOLIS;329
SUMARE;19987
SUD MENNUCCI;822
SOROCABA;70527
SOCORRO;4918
SILVEIRAS;559
SEVERÍNIA;1143
SETE BARRAS;944
SERTAOZINHO;11570
SERRANA;3592
SERRA NEGRA;3627
SERRA AZUL;1094
SEBASTIANÓPOLIS DO SUL;375
SARUTAIA;428
SARAPUÍ;726
SÃO VICENTE;30376
SAO SIMAO;1842
SAO SEBASTIAO DA GRAMA;1321
SÃO SEBASTIÃO;4110
SÃO ROQUE;10200
SÃO PEDRO DO TURVO;626
SÃO PEDRO;3906
SÃO PAULO;1421230
SÃO MIGUEL ARCANJO;2595
SÃO MANUEL;4252
SAO LUIZ DO PARAITINGA;960
SÃO LOURENÇO DA SERRA;1056
SÃO JOSÉ DOS CAMPOS;69258
SÃO JOSÉ DO RIO PRETO;60632
SAO JOSE DO RIO PARDO;7720
SAO JOSE DO BARREIRO;423
SÃO JOSÉ DA BELA VISTA;700
SÃO JOAQUIM DA BARRA;6386
SÃO JOÃO DO PAU D'ALHO;328
SÃO JOÃO DE IRACEMA;250
SÃO JOÃO DAS DUAS PONTES;229
SAO JOAO DA BOA VISTA;14957
SÃO FRANCISCO;330
SÃO CARLOS;29209
