Municipio,Qtd-Doses-Distribuidas
PEDRINHAS PAULISTA,1814
PEDREIRA,25193
PEDREGULHO,8380
PEDRANÓPOLIS,1726
PEDRA BELA,3304
PEDERNEIRAS,22284
PAULO DE FARIA,5629
PAULISTÂNIA,1065
PAULÍNIA,45767
PAULICÉIA,3409
PATROCÍNIO PAULISTA,7529
PARISI,1482
PARIQUERA-AÇU,12200
PARDINHO,3335
PARAPUÃ,6396
PARANAPUÃ,2305
PARANAPANEMA,9262
PARAÍSO,3411
PARAIBUNA,9806
PARAGUAÇU PAULISTA,23565
PANORAMA,7917
PALMITAL,13229
PALMEIRA D'OESTE,5972
PALMARES PAULISTA,4558
PALESTINA,7348
PACAEMBU,7702
OUROESTE,5445
OURO VERDE,5161
OURINHOS,62869
OSVALDO CRUZ,20245
OSCAR BRESSANE,1929
OSASCO,340272
ORLÂNDIA,23207
ORINDIÚVA,2842
ORIENTE,3797
ONDA VERDE,2422
OLÍMPIA,30365
ÓLEO,1728
OCAUÇU,2307
NUPORANGA,4102
NOVO HORIZONTE,22087
NOVAIS,2158
NOVA ODESSA,26560
NOVA LUZITÂNIA,2089
NOVA INDEPENDÊNCIA,1784
NOVA GUATAPORANGA,1583
NOVA GRANADA,10949
NOVA EUROPA,4706
NOVA CASTILHO,759
NOVA CANAÃ PAULISTA,1592
NOVA CAMPINA,3832
NOVA ALIANÇA,3822
NIPOÃ,2345
NHANDEARA,7600
NEVES PAULISTA,6116
NAZARÉ PAULISTA,11556
NATIVIDADE DA SERRA,4438
NARANDIBA,2393
NANTES,1410
MURUTINGA DO SUL,2871
MOTUCA,2229
MORUNGABA,6479
MORRO AGUDO,14197
MONTEIRO LOBATO,2841
MONTE MOR,26114
MONTE CASTELO,2698
MONTE AZUL PAULISTA,11306
MONTE APRAZÍVEL,13914
MONTE ALTO,27848
MONTE ALEGRE DO SUL,4637
MONGAGUÁ,31958
MONÇÕES,1570
MOMBUCA,1850
MOGI MIRIM,51235
MOGI GUAÇU,79911
MOGI DAS CRUZES,212847
MOCOCA,40301
MIRASSOLÂNDIA,2849
MIRASSOL,33301
MIRANTE DO PARANAPANEMA,11047
MIRANDÓPOLIS,17009
MIRACATU,12126
MIRA ESTRELA,2098
MINEIROS DO TIETÊ,6372
MIGUELÓPOLIS,11044
MESÓPOLIS,1323
MERIDIANO,2439
MENDONÇA,3535
MAUÁ,204642
MATÃO,43452
MARTINÓPOLIS,14597
MARINÓPOLIS,1343
MARÍLIA,153172
MARIÁPOLIS,2181
MARAPOAMA,1978
MARACAÍ,7347
MARABÁ PAULISTA,2372
MANDURI,5143
MAIRIPORÃ,45107
MAIRINQUE,23904
MAGDA,2113
MACEDÔNIA,2559
MACAUBAL,4954
MACATUBA,8549
LUTÉCIA,1682
LUPÉRCIO,2490
LUIZIÂNIA,2744
LUÍS ANTÔNIO,5650
LUCIANÓPOLIS,1587
LUCÉLIA,11975
LOUVEIRA,17676
LOURDES,1659
LORENA,47143
LINS,46018
LINDÓIA,4062
LIMEIRA,157193
LENÇÓIS PAULISTA,31734
LEME,47088
LAVRINHAS,2995
LAVÍNIA,4080
LARANJAL PAULISTA,15613
LAGOINHA,3412
JUQUITIBA,15287
JUQUIÁ,10595
JUNQUEIRÓPOLIS,11662
JUNDIAÍ,228948
JUMIRIM,1469
JÚLIO MESQUITA,2431
JOSÉ BONIFÁCIO,18793
JOÃO RAMALHO,2022
JOANÓPOLIS,7308
JERIQUARA,1575
JAÚ,83521
JARINU,14698
JARDINÓPOLIS,20949
JANDIRA,49537
JAMBEIRO,2987
JALES,37394
JAGUARIÚNA,25766
JACUPIRANGA,8784
JACI,3935
JACAREÍ,119398
JABOTICABAL,43808
JABORANDI,3518
ITUVERAVA,25171
ITUPEVA,23231
ITU,83652
ITOBI,4614
ITIRAPUÃ,3613
ITIRAPINA,7510
ITATINGA,8411
ITATIBA,58068
ITARIRI,7817
ITARARÉ,24762
ITAQUAQUECETUBA,138379
ITAPURA,2509
ITAPUÍ,6378
ITAPORANGA,8709
ITÁPOLIS,23952
ITAPIRAPUÃ PAULISTA,1956
ITAPIRA,43889
ITAPEVI,89939
ITAPEVA,44974
ITAPETININGA,80267
ITAPECERICA DA SERRA,78136
ITAOCA,2301
ITANHAÉM,61465
ITAJU,1925
ITAJOBI,9579
ITAÍ,12104
ITABERÁ,9752
IRAPURU,4349
IRAPUÃ,4056
IRACEMÁPOLIS,11355
IPUÃ,7019
IPORANGA,2836
IPIGUÁ,3069
IPEÚNA,3205
IPERÓ,13678
IPAUSSU,7118
INÚBIA PAULISTA,2284
INDIAPORÃ,2967
INDIANA,2882
INDAIATUBA,122757
ILHABELA,16337
ILHA SOLTEIRA,16993
ILHA COMPRIDA,6959
IGUAPE,17635
IGARATÁ,5172
IGARAPAVA,14892
IGARAÇU DO TIETÊ,11110
IEPÊ,4657
ICÉM,4668
IBIÚNA,40243
IBITINGA,31444
IBIRAREMA,3950
IBIRÁ,6862
IBATÉ,14292
IARAS,3920
IACRI,3876
IACANGA,5734
HORTOLÂNDIA,101691
HOLAMBRA,8014
HERCULÂNDIA,5089
GUZOLÂNDIA,2524
GUATAPARÁ,3837
GUARULHOS,606178
GUARUJÁ,158376
GUARIBA,16762
GUAREÍ,7428
GUARATINGUETÁ,73164
GUARAREMA,15319
GUARARAPES,18001
GUARANTÃ,3396
GUARANI D'OESTE,1523
GUARACI,5691
GUARAÇAÍ,5218
GUARÁ,10063
GUAPIARA,9394
GUAPIAÇU,11577
GUAÍRA,19988
GUAIMBÊ,3168
GUAIÇARA,5490
GLICÉRIO,2502
GETULINA,5879
GENERAL SALGADO,6772
GAVIÃO PEIXOTO,2296
GASTÃO VIDIGAL,2280
GARÇA,25661
GÁLIA,4175
GABRIEL MONTEIRO,1792
FRANCO DA ROCHA,67075
FRANCISCO MORATO,67667
FRANCA,176358
FLORÍNEA,1896
FLÓRIDA PAULISTA,6938
FLOREAL,2202
FLORA RICA,1231
FERRAZ DE VASCONCELOS,76098
FERNÃO,1076
FERNANDÓPOLIS,46164
FERNANDO PRESTES,3751
FARTURA,9559
EUCLIDES DA CUNHA PAULISTA,4604
ESTRELA DO NORTE,1516
ESTRELA D'OESTE,5108
ESTIVA GERBI,5253
ESPÍRITO SANTO DO TURVO,2046
ESPÍRITO SANTO DO PINHAL,25123
ENGENHEIRO COELHO,8010
EMILIANÓPOLIS,1851
EMBU-GUAÇU,37818
EMBU DAS ARTES,100497
EMBAÚBA,1487
ELISIÁRIO,1890
ELIAS FAUSTO,7996
ELDORADO,9865
ECHAPORÃ,3958
DUMONT,4172
DUARTINA,7402
DRACENA,30362
DOURADO,5195
DOLCINÓPOLIS,1458
DOIS CÓRREGOS,13471
DOBRADA,3531
DIVINOLÂNDIA,7504
DIRCE REIS,1234
DIADEMA,187742
DESCALVADO,18065
CUNHA,12395
CUBATÃO,58984
CRUZEIRO,42255
CRUZÁLIA,1413
CRISTAIS PAULISTA,4278
CRAVINHOS,17108
COTIA,113770
COSMORAMA,5120
COSMÓPOLIS,27589
CORUMBATAÍ,2161
CORONEL MACEDO,2744
COROADOS,2997
CORDEIRÓPOLIS,13201
CONCHAS,9328
CONCHAL,12390
COLÔMBIA,3364
COLINA,9844
CLEMENTINA,3563
CHAVANTES,6266
CHARQUEADA,7753
CESÁRIO LANGE,8205
CERQUILHO,22689
CERQUEIRA CÉSAR,10378
CEDRAL,6077
CATIGUÁ,3809
CATANDUVA,78026
CASTILHO,12019
CÁSSIA DOS COQUEIROS,1716
CASA BRANCA,17753
CARDOSO,7753
CARAPICUÍBA,171148
CARAGUATATUBA,68405
CAPIVARI,25607
CAPELA DO ALTO,9074
CAPÃO BONITO,22245
CANITAR,2237
CÂNDIDO RODRIGUES,1980
CÂNDIDO MOTA,17257
CANAS,2164
CANANÉIA,7445
CAMPOS NOVOS PAULISTA,2549
CAMPOS DO JORDÃO,24676
CAMPO LIMPO PAULISTA,38982
CAMPINAS,665440
CAMPINA DO MONTE ALEGRE,3380
CAJURU,13593
CAJOBI,5798
CAJATI,14943
CAJAMAR,30598
CAIUÁ,3373
CAIEIRAS,44677
CAIABU,2534
CAFELÂNDIA,9951
CACONDE,10749
CACHOEIRA PAULISTA,19189
CAÇAPAVA,48369
CABREÚVA,20294
CABRÁLIA PAULISTA,2339
BURITIZAL,2689
BURITAMA,9407
BURI,8679
BROTAS,12219
BRODOWSKI,12843
BREJO ALEGRE,1642
BRAÚNA,3369
BRAGANÇA PAULISTA,92471
BOTUCATU,72915
BOREBI,1342
BORBOREMA,9412
BORACÉIA,2590
BORÁ,855
BOM SUCESSO DE ITARARÉ,1590
BOM JESUS DOS PERDÕES,10864
BOITUVA,26744
BOFETE,6119
BOCAINA,5710
