Municipio;Qtd-Doses-Distribuidas
ZACARIAS;3785
VOTUPORANGA;139204
VOTORANTIM;168229
VITÓRIA BRASIL;2530
VISTA ALEGRE DO ALTO;11872
VIRADOURO;26754
VINHEDO;109616
VERA CRUZ;14598
VÁRZEA PAULISTA;162595
VARGEM GRANDE PAULISTA;70577
VARGEM GRANDE DO SUL;51153
VARGEM;14789
VALPARAÍSO;34771
VALINHOS;180965
VALENTIM GENTIL;18270
URUPÊS;19684
URU;1985
URÂNIA;12675
UNIÃO PAULISTA;2304
UCHOA;14336
UBIRAJARA;6362
UBATUBA;130018
UBARANA;8107
TURMALINA;2660
TURIÚBA;2861
TUPI PAULISTA;22932
TUPÃ;93301
TUIUTI;10236
TRÊS FRONTEIRAS;8401
TREMEMBÉ;70606
TRABIJU;2491
TORRINHA;14243
TORRE DE PEDRA;3789
TIMBURI;3679
TIETÊ;55345
TERRA ROXA;11780
TEODORO SAMPAIO;30145
TEJUPÁ;6205
TAUBATÉ;447635
TATUÍ;164333
TARUMÃ;19282
TARABAI;10073
TAQUARIVAÍ;7483
TAQUARITUBA;33656
TAQUARITINGA;76637
TAQUARAL;4062
TAPIRATIBA;18713
TAPIRAÍ;10151
TANABI;36526
TAMBAÚ;30662
TAIÚVA;8970
TAIAÇU;8722
TAGUAÍ;17849
TACIBA;8521
TABOÃO DA SERRA;389660
TABATINGA;21999
TABAPUÃ;16634
SUZANO;400487
SUZANÁPOLIS;5423
SUMARÉ;371120
SUD MENNUCCI;10377
SOROCABA;952137
SOCORRO;60996
SILVEIRAS;8553
SEVERÍNIA;22489
SETE BARRAS;17523
SERTÃOZINHO;171605
SERRANA;20436
SERRA NEGRA;42757
SERRA AZUL;19781
SEBASTIANÓPOLIS DO SUL;4781
SARUTAIÁ;5219
SARAPUÍ;12847
SÃO VICENTE;437337
SÃO SIMÃO;22146
SÃO SEBASTIÃO DA GRAMA;17271
SÃO SEBASTIÃO;114159
SÃO ROQUE;128226
SÃO PEDRO DO TURVO;10280
SÃO PEDRO;50022
SÃO PAULO;17034479
SÃO MIGUEL ARCANJO;44003
SÃO MANUEL;52088
SÃO LUIZ DO PARAITINGA;15640
SÃO LOURENÇO DA SERRA;20393
SÃO JOSÉ DOS CAMPOS;986528
SÃO JOSÉ DO RIO PRETO;642454
SÃO JOSÉ DO RIO PARDO;77696
SÃO JOSÉ DO BARREIRO;5719
SÃO JOSÉ DA BELA VISTA;11179
SÃO JOAQUIM DA BARRA;74505
SÃO JOÃO DO PAU D'ALHO;3299
SÃO JOÃO DE IRACEMA;2619
SÃO JOÃO DAS DUAS PONTES;3609
SÃO JOÃO DA BOA VISTA;131493
SÃO FRANCISCO;3944
SÃO CARLOS;360488
SÃO CAETANO DO SUL;246150
SÃO BERNARDO DO CAMPO;1121147
SÃO BENTO DO SAPUCAÍ;16115
SANTOS;665060
SANTÓPOLIS DO AGUAPEÍ;6352
SANTO EXPEDITO;4417
SANTO ANTÔNIO DO PINHAL;9689
SANTO ANTÔNIO DO JARDIM;8680
SANTO ANTÔNIO DO ARACANGUÁ;11862
SANTO ANTÔNIO DE POSSE;30696
SANTO ANTÔNIO DA ALEGRIA;9346
SANTO ANDRÉ;1043251
SANTO ANASTÁCIO;26351
SANTANA DE PARNAÍBA;196335
SANTANA DA PONTE PENSA;2271
SANTA SALETE;2401
SANTA ROSA DE VITERBO;37741
SANTA RITA DO PASSA QUATRO;38348
SANTA RITA D'OESTE;4158
SANTA MERCEDES;4301
SANTA MARIA DA SERRA;8341
SANTA LÚCIA;11711
SANTA ISABEL;77017
SANTA GERTRUDES;31134
SANTA FÉ DO SUL;48578
SANTA ERNESTINA;7530
SANTA CRUZ DO RIO PARDO;64303
SANTA CRUZ DAS PALMEIRAS;41863
SANTA CRUZ DA ESPERANÇA;3148
SANTA CRUZ DA CONCEIÇÃO;6238
SANTA CLARA D'OESTE;3222
SANTA BRANCA;20910
SANTA BÁRBARA D'OESTE;261295
SANTA ALBERTINA;9139
SANTA ADÉLIA;20453
SANDOVALINA;5377
SALTO GRANDE;12489
SALTO DE PIRAPORA;60341
SALTO;163187
SALTINHO;11629
SALMOURÃO;6818
SALESÓPOLIS;23676
SALES OLIVEIRA;16769
SALES;8634
SAGRES;3455
SABINO;8164
RUBINÉIA;4974
RUBIÁCEA;3936
ROSEIRA;14846
ROSANA;24774
RIVERSUL;8050
RIOLÂNDIA;17481
RIO GRANDE DA SERRA;69688
RIO DAS PEDRAS;42352
RIO CLARO;267438
RINÓPOLIS;13996
RINCÃO;15063
RIFAINA;5210
RIBEIRÃO PRETO;994513
RIBEIRÃO PIRES;171971
RIBEIRÃO GRANDE;10642
RIBEIRÃO DOS ÍNDIOS;3160
RIBEIRÃO DO SUL;6788
RIBEIRÃO CORRENTE;6504
RIBEIRÃO BRANCO;22112
RIBEIRÃO BONITO;16393
RIBEIRA;4832
RESTINGA;9199
REGISTRO;84277
REGINÓPOLIS;13921
REGENTE FEIJÓ;26736
REDENÇÃO DA SERRA;5864
RANCHARIA;43076
RAFARD;12052
QUINTANA;9118
QUELUZ;15100
QUEIROZ;4550
QUATÁ;18806
QUADRA;5039
PROMISSÃO;51106
PRESIDENTE VENCESLAU;50600
PRESIDENTE PRUDENTE;330603
PRESIDENTE EPITÁCIO;55921
PRESIDENTE BERNARDES;21171
PRESIDENTE ALVES;5783
PRATÂNIA;6925
PRAIA GRANDE;454821
PRADÓPOLIS;27262
PRACINHA;5250
POTIRENDABA;24075
POTIM;31455
PORTO FERREIRA;72785
PORTO FELIZ;75028
PORANGABA;14402
POPULINA;5757
PONTES GESTAL;3717
PONTALINDA;6146
PONTAL;61002
PONGAÍ;4878
POMPÉIA;29587
POLONI;7704
POÁ;154670
PLATINA;4795
PLANALTO;6596
PITANGUEIRAS;50647
PIRATININGA;19478
PIRASSUNUNGA;103217
PIRAPOZINHO;36032
PIRAPORA DO BOM JESUS;24023
PIRANGI;15777
PIRAJUÍ;37848
PIRAJU;41317
PIRACICABA;574048
PIRACAIA;39499
PIQUETE;18751
PIQUEROBI;4679
PINHALZINHO;21661
PINDORAMA;22833
PINDAMONHANGABA;229142
PILAR DO SUL;40001
PIEDADE;76676
PIACATU;8258
PERUÍBE;98607
PEREIRAS;11302
PEREIRA BARRETO;33790
PENÁPOLIS;86710
PEDRO DE TOLEDO;15643
PEDRINHAS PAULISTA;4224
PEDREIRA;67500
PEDREGULHO;22640
PEDRANÓPOLIS;3836
PEDRA BELA;8720
PEDERNEIRAS;64640
PAULO DE FARIA;13613
PAULISTÂNIA;2629
PAULÍNIA;144191
PAULICÉIA;9816
PATROCÍNIO PAULISTA;19827
PARISI;3235
PARIQUERA-AÇU;27723
PARDINHO;8765
PARAPUÃ;14319
PARANAPUÃ;5721
PARANAPANEMA;25713
PARAÍSO;8757
PARAIBUNA;24088
PARAGUAÇU PAULISTA;61314
PANORAMA;20236
PALMITAL;30458
PALMEIRA D'OESTE;12991
PALMARES PAULISTA;16352
PALESTINA;17517
PACAEMBU;23637
OUROESTE;13792
OURO VERDE;10956
OURINHOS;139714
OSVALDO CRUZ;49339
OSCAR BRESSANE;3787
OSASCO;935217
ORLÂNDIA;62625
ORINDIÚVA;9003
ORIENTE;9078
ONDA VERDE;6214
OLÍMPIA;77017
ÓLEO;3818
OCAUÇU;5662
NUPORANGA;10405
NOVO HORIZONTE;56106
NOVAIS;6878
NOVA ODESSA;81714
NOVA LUZITÂNIA;5145
NOVA INDEPENDÊNCIA;6255
NOVA GUATAPORANGA;3372
NOVA GRANADA;29516
NOVA EUROPA;13471
NOVA CASTILHO;1712
NOVA CANAÃ PAULISTA;3048
NOVA CAMPINA;12120
NOVA ALIANÇA;9656
NIPOÃ;6686
NHANDEARA;16994
NEVES PAULISTA;13439
NAZARÉ PAULISTA;28176
NATIVIDADE DA SERRA;9902
NARANDIBA;6531
NANTES;3747
MURUTINGA DO SUL;5777
MOTUCA;6281
MORUNGABA;18321
MORRO AGUDO;41414
MONTEIRO LOBATO;6976
MONTE MOR;78354
MONTE CASTELO;5928
MONTE AZUL PAULISTA;27623
MONTE APRAZÍVEL;32392
MONTE ALTO;69759
MONTE ALEGRE DO SUL;11401
MONGAGUÁ;81445
MONÇÕES;3259
MOMBUCA;4849
MOGI MIRIM;132180
MOGI GUAÇU;218297
MOGI DAS CRUZES;589859
MOCOCA;95152
MIRASSOLÂNDIA;6856
MIRASSOL;85162
MIRANTE DO PARANAPANEMA;25033
MIRANDÓPOLIS;42344
MIRACATU;28110
MIRA ESTRELA;4358
MINEIROS DO TIETÊ;16350
MIGUELÓPOLIS;28189
MESÓPOLIS;2881
MERIDIANO;5725
MENDONÇA;8137
MAUÁ;612955
MATÃO;115724
MARTINÓPOLIS;36778
MARINÓPOLIS;2882
MARÍLIA;312884
MARIÁPOLIS;5574
MARAPOAMA;4527
MARACAÍ;17349
MARABÁ PAULISTA;7688
MANDURI;13965
MAIRIPORÃ;137880
MAIRINQUE;72865
MAGDA;4728
MACEDÔNIA;5471
MACAUBAL;11378
MACATUBA;23099
LUTÉCIA;3816
LUPÉRCIO;6148
LUIZIÂNIA;8102
LUÍS ANTÔNIO;17627
LUCIANÓPOLIS;3550
LUCÉLIA;30953
LOUVEIRA;61744
LOURDES;3400
LORENA;121030
LINS;107558
LINDÓIA;11009
LIMEIRA;390220
LENÇÓIS PAULISTA;90764
LEME;132904
LAVRINHAS;8974
LAVÍNIA;16185
LARANJAL PAULISTA;38568
LAGOINHA;7452
JUQUITIBA;43017
JUQUIÁ;25383
JUNQUEIRÓPOLIS;28789
JUNDIAÍ;584121
JUMIRIM;4538
JÚLIO MESQUITA;6288
JOSÉ BONIFÁCIO;49610
JOÃO RAMALHO;6070
JOANÓPOLIS;18956
JERIQUARA;4148
JAÚ;200305
JARINU;41460
JARDINÓPOLIS;59445
JANDIRA;159460
JAMBEIRO;8759
JALES;71263
JAGUARIÚNA;76631
JACUPIRANGA;23350
JACI;10091
JACAREÍ;318982
JABOTICABAL;111124
JABORANDI;9160
ITUVERAVA;59292
ITUPEVA;80360
ITU;240539
ITOBI;10003
ITIRAPUÃ;9277
ITIRAPINA;25183
ITATINGA;28146
ITATIBA;163455
ITARIRI;22286
ITARARÉ;65879
ITAQUAQUECETUBA;481745
ITAPURA;5902
ITAPUÍ;18250
ITAPORANGA;21353
ITÁPOLIS;55262
ITAPIRAPUÃ PAULISTA;5711
ITAPIRA;105930
ITAPEVI;313765
ITAPEVA;127888
ITAPETININGA;209654
ITAPECERICA DA SERRA;243620
ITAOCA;5231
ITANHAÉM;143254
ITAJU;4766
ITAJOBI;22236
ITAÍ;35593
ITABERÁ;24525
IRAPURU;10758
IRAPUÃ;10574
IRACEMÁPOLIS;32121
IPUÃ;20866
IPORANGA;5756
IPIGUÁ;7737
IPEÚNA;9730
IPERÓ;49181
IPAUSSU;18559
INÚBIA PAULISTA;5508
INDIAPORÃ;6063
INDIANA;6649
INDAIATUBA;349617
ILHABELA;51330
ILHA SOLTEIRA;36337
ILHA COMPRIDA;16296
IGUAPE;42313
IGARATÁ;13453
IGARAPAVA;38673
IGARAÇU DO TIETÊ;33488
IEPÊ;11174
ICÉM;11730
IBIÚNA;112867
IBITINGA;82243
IBIRAREMA;9863
IBIRÁ;17903
IBATÉ;47292
IARAS;14307
IACRI;9073
IACANGA;15680
HORTOLÂNDIA;316479
HOLAMBRA;20777
HERCULÂNDIA;12226
GUZOLÂNDIA;6538
GUATAPARÁ;10563
GUARULHOS;1850329
GUARUJÁ;410195
GUARIBA;52902
GUAREÍ;24837
GUARATINGUETÁ;165092
GUARAREMA;42158
GUARARAPES;45660
GUARANTÃ;9312
GUARANI D'OESTE;3077
GUARACI;15817
GUARAÇAÍ;11949
GUARÁ;27839
GUAPIARA;24324
GUAPIAÇU;29907
GUAÍRA;55502
GUAIMBÊ;7971
GUAIÇARA;15859
GLICÉRIO;6678
GETULINA;15110
GENERAL SALGADO;14786
GAVIÃO PEIXOTO;6522
GASTÃO VIDIGAL;6215
GARÇA;63348
GÁLIA;9189
GABRIEL MONTEIRO;4061
FRANCO DA ROCHA;205581
FRANCISCO MORATO;225898
FRANCA;482664
FLORÍNEA;5377
FLÓRIDA PAULISTA;18402
FLOREAL;4287
FLORA RICA;2143
FERRAZ DE VASCONCELOS;256100
FERNÃO;2486
FERNANDÓPOLIS;100145
FERNANDO PRESTES;8465
FARTURA;23421
EUCLIDES DA CUNHA PAULISTA;12749
ESTRELA DO NORTE;3697
ESTRELA D'OESTE;11776
ESTIVA GERBI;15293
ESPÍRITO SANTO DO TURVO;5964
ESPÍRITO SANTO DO PINHAL;62209
ENGENHEIRO COELHO;24854
EMILIANÓPOLIS;4310
EMBU-GUAÇU;100513
EMBU DAS ARTES;339426
EMBAÚBA;3512
ELISIÁRIO;5077
ELIAS FAUSTO;24011
ELDORADO;20340
ECHAPORÃ;8734
DUMONT;13097
DUARTINA;16949
DRACENA;65756
DOURADO;12465
DOLCINÓPOLIS;3182
DOIS CÓRREGOS;35696
DOBRADA;11513
DIVINOLÂNDIA;16196
DIRCE REIS;2623
DIADEMA;547137
DESCALVADO;43038
CUNHA;31784
CUBATÃO;165871
CRUZEIRO;111096
CRUZÁLIA;3059
CRISTAIS PAULISTA;11999
CRAVINHOS;48758
COTIA;332730
COSMORAMA;10805
COSMÓPOLIS;93724
CORUMBATAÍ;5303
CORONEL MACEDO;6676
COROADOS;8007
CORDEIRÓPOLIS;33754
CONCHAS;23784
CONCHAL;37470
COLÔMBIA;8945
COLINA;25762
CLEMENTINA;10114
CHAVANTES;16238
CHARQUEADA;23354
CESÁRIO LANGE;24225
CERQUILHO;64204
CERQUEIRA CÉSAR;29349
CEDRAL;13502
CATIGUÁ;9661
CATANDUVA;173737
CASTILHO;27295
CÁSSIA DOS COQUEIROS;3830
CASA BRANCA;41124
CARDOSO;18405
CARAPICUÍBA;527921
CARAGUATATUBA;169663
CAPIVARI;74221
CAPELA DO ALTO;29319
CAPÃO BONITO;63503
CANITAR;6674
CÂNDIDO RODRIGUES;4212
CÂNDIDO MOTA;41207
CANAS;6789
CANANÉIA;17406
CAMPOS NOVOS PAULISTA;6644
CAMPOS DO JORDÃO;73145
CAMPO LIMPO PAULISTA;111808
CAMPINAS;1657087
CAMPINA DO MONTE ALEGRE;8467
CAJURU;36281
CAJOBI;15217
CAJATI;40376
CAJAMAR;109035
CAIUÁ;9207
CAIEIRAS;135619
CAIABU;5842
CAFELÂNDIA;24294
CACONDE;27461
CACHOEIRA PAULISTA;48142
CAÇAPAVA;130094
CABREÚVA;65219
CABRÁLIA PAULISTA;6048
BURITIZAL;6396
BURITAMA;23333
BURI;26078
BROTAS;33403
BRODOWSKI;34153
BREJO ALEGRE;4175
BRAÚNA;8208
BRAGANÇA PAULISTA;239647
BOTUCATU;184684
BOREBI;3609
BORBOREMA;22170
BORACÉIA;6571
BORÁ;1611
BOM SUCESSO DE ITARARÉ;5134
