Municipio;Qtd-Doses-Distribuidas;;;
GUAIMBÊ;1998;;;
GUAÍRA;12390;;;
GUAPIAÇU;6598;;;
GUAPIARA;5550;;;
GUARÁ;6163;;;
GUARAÇAÍ;3411;;;
GUARACI;3570;;;
GUARANI D'OESTE;797;;;
GUARANTÃ;2036;;;
GUARARAPES;11317;;;
GUARAREMA;9110;;;
GUARATINGUETÁ;45323;;;
GUAREÍ;3561;;;
GUARIBA;9147;;;
GUARUJÁ;90289;;;
GUARULHOS;336035;;;
GUATAPARÁ;2333;;;
GUZOLÂNDIA;1478;;;
HERCULÂNDIA;3067;;;
HOLAMBRA;3876;;;
HORTOLÂNDIA;55453;;;
IACANGA;3614;;;
IACRI;2395;;;
IARAS;1822;;;
IBATÉ;7420;;;
IBIRÁ;4405;;;
IBIRAREMA;2451;;;
IBITINGA;18640;;;
IBIÚNA;24797;;;
ICÉM;2470;;;
IEPÊ;2979;;;
IGARAÇU DO TIETÊ;6310;;;
IGARAPAVA;9263;;;
IGARATÁ;3136;;;
IGUAPE;11380;;;
ILHA COMPRIDA;4458;;;
ILHA SOLTEIRA;11139;;;
ILHABELA;9007;;;
INDAIATUBA;70725;;;
INDIANA;1808;;;
INDIAPORÃ;1924;;;
INÚBIA PAULISTA;1420;;;
IPAUSSU;4454;;;
IPERÓ;7197;;;
IPEÚNA;1773;;;
IPIGUÁ;1864;;;
IPORANGA;1968;;;
IPUÃ;4089;;;
IRACEMÁPOLIS;6532;;;
IRAPUÃ;2475;;;
IRAPURU;2547;;;
ITABERÁ;5835;;;
ITAÍ;6675;;;
ITAJOBI;6413;;;
ITAJU;1140;;;
ITANHAÉM;37945;;;
ITAOCA;1478;;;
ITAPECERICA DA SERRA;42062;;;
ITAPETININGA;49172;;;
ITAPEVA;26958;;;
ITAPEVI;45808;;;
ITAPIRA;28704;;;
ITAPIRAPUÃ PAULISTA;1132;;;
ITÁPOLIS;14801;;;
ITAPORANGA;5542;;;
ITAPUÍ;3788;;;
ITAPURA;1451;;;
ITAQUAQUECETUBA;66623;;;
ITARARÉ;15155;;;
ITARIRI;4595;;;
ITATIBA;35285;;;
ITATINGA;4806;;;
ITIRAPINA;4283;;;
ITIRAPUÃ;2099;;;
ITOBI;2559;;;
ITU;49827;;;
ITUPEVA;11999;;;
ITUVERAVA;16183;;;
JABORANDI;2239;;;
JABOTICABAL;29091;;;
JACAREÍ;72259;;;
