Município;Qtd Dose
PARANAPUÃ;347
PARANAPANEMA;1655
PARAISO;674
PARAIBUNA;1596
PARAGUAÇU PAULISTA;4020
PANORAMA;1266
PALMITAL;2630
PALMEIRA D'OESTE;1141
PALMARES PAULISTA;618
PALESTINA;1283
PACAEMBU;1468
OUROESTE;1044
OURO VERDE;1322
OURINHOS;11499
OSVALDO CRUZ;4099
OSCAR BRESSANE;450
OSASCO;54738
ORLÂNDIA;3455
ORINDIUVA;442
ORIENTE;803
ONDA VERDE;430
OLIMPIA;5842
ÓLEO;279
OCAUÇU;334
NUPORANGA;886
NOVO HORIZONTE;4129
NOVAIS;456
NOVA ODESSA;3429
NOVA LUZITÂNIA;296
NOVA INDEPENDÊNCIA;354
NOVA GUATAPORANGA;234
NOVA GRANADA;1845
NOVA EUROPA;692
NOVA CASTILHO;133
NOVA CANAÃ PAULISTA;246
NOVA CAMPINA;455
NOVA ALIANÇA;745
NIPOÃ;334
NHANDEARA;1429
NEVES PAULISTA;1294
NAZARE PAULISTA;1251
NATIVIDADE DA SERRA;950
NARANDIBA;422
NANTES;221
MURUTINGA DO SUL;552
MOTUCA;335
MORUNGABA;1015
MORRO AGUDO;2750
MONTEIRO LOBATO;556
MONTE MOR;3262
MONTE CASTELO;529
MONTE AZUL PAULISTA;1680
MONTE APRAZIVEL;3156
MONTE ALTO;5302
MONTE ALEGRE DO SUL;793
MONGAGUÁ;3748
MONÇÕES;321
MOMBUCA;379
MOGI MIRIM;10035
MOGI GUAÇU;13228
MOGI DAS CRUZES;33604
MOCOCA;8180
MIRASSOLANDIA;450
MIRASSOL;5656
MIRANTE DO PARANAPANEMA;1940
MIRANDOPOLIS;3713
MIRACATU;1583
MIRA ESTRELA;338
MINEIROS DO TIETÊ;1038
MIGUELÓPOLIS;2130
MESÓPOLIS;267
MERIDIANO;488
MENDONÇA;742
MAUA;30305
MATÃO;7436
MARTINÓPOLIS;2392
MARINÓPOLIS;276
MARILIA;34064
MARIAPOLIS;411
MARAPOAMA;398
MARACAI;1158
MARABA PAULISTA;328
MANDURI;798
MAIRIPORÃ;6216
MAIRINQUE;3280
MAGDA;386
MACEDÔNIA;385
MACAUBAL;996
MACATUBA;1524
LUTÉCIA;346
LUPERCIO;376
LUIZIÂNIA;480
LUIS ANTONIO;903
LUCIANÓPOLIS;214
LUCELIA;2366
LOUVEIRA;2854
LOURDES;283
LORENA;8736
LINS;10296
LINDOIA;707
LIMEIRA;24745
LENÇÓIS PAULISTA;5448
LEME;8446
LAVRINHAS;462
LAVINIA;569
LARANJAL PAULISTA;2889
LAGOINHA;588
JUQUITIBA;2372
JUQUIÁ;1719
JUNQUEIROPOLIS;2359
JUNDIAI;41002
JUMIRIM;232
JULIO MESQUITA;360
JOSE BONIFACIO;3609
JOÃO RAMALHO;309
JOANOPOLIS;1385
JERIQUARA;291
JAÚ;19716
JARINU;2309
JARDINOPOLIS;3859
JANDIRA;6100
JAMBEIRO;458
JALES;6606
JAGUARIUNA;4204
JACUPIRANGA;1258
JACI;995
JACAREÍ;20754
JABOTICABAL;7946
JABORANDI;596
ITUVERAVA;5296
ITUPEVA;3060
ITU;14295
ITOBI;776
ITIRAPUÃ;611
ITIRAPINA;1364
ITATINGA;1344
ITATIBA;10100
ITARIRI;1158
ITARARE;4256
ITAQUAQUECETUBA;12365
ITAPURA;417
ITAPUÍ;1096
ITAPORANGA;1587
ITAPOLIS;4420
ITAPIRAPUA PAULISTA;279
ITAPIRA;8944
ITAPEVI;12649
ITAPEVA;8247
ITAPETININGA;15058
ITAPECERICA DA SERRA;11270
ITAOCA;591
ITANHAÉM;9513
ITAJU;342
ITAJOBI;1796
ITAÍ;1717
ITABERA;1511
IRAPURU;747
IRAPUÃ;673
IRACEMÁPOLIS;1854
IPUÃ;1178
IPORANGA;1012
IPIGUA;402
IPEUNA;447
IPERÓ;1479
IPAUSSU;1248
INUBIA PAULISTA;442
INDIAPORÃ;600
INDIANA;561
INDAIATUBA;19734
ILHABELA;2039
ILHA SOLTEIRA;2986
ILHA COMPRIDA;747
IGUAPE;2961
IGARATA;858
IGARAPAVA;2621
IGARAÇÚ DO TIETÊ;1541
IEPE;959
ICEM;810
IBIÚNA;7926
IBITINGA;5759
IBIRAREMA;784
IBIRA;1328
IBATÉ;1948
IARAS;424
IACRI;685
IACANGA;1108
HORTOLANDIA;16976
HOLAMBRA;994
HERCULANDIA;954
GUZOLANDIA;344
GUATAPARA;595
GUARULHOS;83564
GUARUJÁ;27031
GUARIBA;2400
GUAREÍ;1010
GUARATINGUETA;12658
GUARAREMA;2208
GUARARAPES;3065
GUARANTA;622
GUARANÍ D'OESTE;222
GUARACI;1020
GUARAÇAÍ;1006
GUARÁ;1933
GUAPIARA;1358
GUAPIAÇU;1774
GUAÍRA;3249
GUAIMBE;648
GUAIÇARA;836
GLICERIO;443
GETULINA;1220
GENERAL SALGADO;1444
GAVIÃO PEIXOTO;387
GASTAO VIDIGAL;359
GARÇA;5304
GÁLIA;924
GABRIEL MONTEIRO;287
FRANCO DA ROCHA;11997
FRANCISCO MORATO;9042
FRANCA;27638
FLORINEA;328
FLORIDA PAULISTA;1240
FLOREAL;434
FLORA RICA;315
FERRAZ DE VASCONCELOS;10450
FERNÃO;236
FERNANDÓPOLIS;10454
FERNANDO PRESTES;818
FARTURA;1730
EUCLIDES DA CUNHA PAULISTA;736
ESTRELA DO NORTE;239
ESTRELA D'OESTE;1043
ESTIVA GERBI;606
ESPÍRITO SANTO DO TURVO;274
ESPIRITO SANTO DO PINHAL;5136
ENGENHEIRO COELHO;1140
EMILIANÓPOLIS;318
EMBU-GUAÇU;5028
EMBU DAS ARTES;11950
EMBAÚBA;250
ELISIARIO;341
ELIAS FAUSTO;1154
ELDORADO;3281
ECHAPORÃ;948
DUMONT;1425
DUARTINA;1498
DRACENA;7587
DOURADO;1008
DOLCINÓPOLIS;250
DOIS CÓRREGOS;2642
DOBRADA;563
DIVINOLANDIA;1617
DIRCE REIS;229
DIADEMA;27536
DESCALVADO;3595
CUNHA;1899
CUBATÃO;9092
CRUZEIRO;7042
CRUZALIA;196
CRISTAIS PAULISTA;692
CRAVINHOS;2958
COTIA;16794
COSMORAMA;811
COSMOPOLIS;3708
CORUMBATAÍ;362
CORONEL MACEDO;442
COROADOS;382
CORDEIRÓPOLIS;2250
CONCHAS;1809
CONCHAL;1809
COLÔMBIA;579
COLINA;1805
CLEMENTINA;580
CHAVANTES;930
CHARQUEADA;1233
CESÁRIO LANGE;1137
CERQUILHO;3480
CERQUEIRA CÉSAR;1728
CEDRAL;1542
CATIGUA;613
CATANDUVA;19032
CASTILHO;2441
CASSIA DOS COQUEIROS;786
CASA BRANCA;4134
CARDOSO;1363
CARAPICUIBA;22145
CARAGUATATUBA;8226
CAPIVARI;4452
CAPELA DO ALTO;1109
CAPÃO BONITO;3199
CANITAR;274
CANDIDO RODRIGUES;340
CANDIDO MOTA;2710
CANAS;332
CANANÉIA;1198
CAMPOS NOVOS PAULISTA;406
CAMPOS DO JORDAO;4098
CAMPO LIMPO PAULISTA;5168
CAMPINAS;144050
CAMPINA DO MONTE ALEGRE;468
CAJURU;2958
CAJOBI;1081
CAJATI;1841
CAJAMAR;4177
CAIUÁ;610
CAIEIRAS;6528
CAIABU;444
CAFELÂNDIA;2016
CACONDE;1856
CACHOEIRA PAULISTA;3524
CAÇAPAVA;8862
CABREUVA;2465
CABRÁLIA PAULISTA;438
BURITIZAL;518
BURITAMA;1497
BURI;1272
BROTAS;2066
BRODOWSKI;2456
BREJO ALEGRE;356
BRAUNA;738
BRAGANÇA PAULISTA;17508
BOTUCATU;21299
BOREBI;268
BORBOREMA;1650
BORACÉIA;494
BORÁ;132
BOM SUCESSO DE ITARARÉ;230
BOM JESUS DOS PERDOES;1474
BOITUVA;3996
BOFETE;756
BOCAINA;1018
BOA ESPERANÇA DO SUL;1042
BIRITIBA MIRIM;1404
BIRIGUI;10762
BILAC;1071
BERTIOGA;4416
BERNARDINO DE CAMPOS;1382
BENTO DE ABREU;234
BEBEDOURO;8815
BAURU;55388
BATATAIS;6227
BASTOS;1858
BARUERI;22512
BARRINHA;2008
BARRETOS;21044
BARRA DO TURVO;1788
BARRA DO CHAPÉU;376
BARRA BONITA;3936
BARIRI;3940
BARBOSA;630
BARÃO DE ANTONINA;474
BANANAL;1328
BALSAMO;1013
BALBINOS;270
BADY BASSITT;1792
AVARÉ;10063
AVANHANDAVA;764
AVAÍ;1326
AURIFLAMA;1747
ATIBAIA;15980
ASSIS;13457
ASPÁSIA;238
ARUJA;4706
ARTUR NOGUEIRA;3642
ARIRANHA;957
AREIÓPOLIS;740
AREIAS;460
AREALVA;933
ARCO-IRIS;579
ARARAS;13136
ARARAQUARA;30186
ARAPEI;294
ARANDU;497
ARAMINA;446
ARAÇOIABA DA SERRA;2345
ARAÇATUBA;25699
ARAÇARIGUAMA;1044
APIAÍ;1634
APARECIDA D'OESTE;646
APARECIDA;3248
ANHUMAS;416
ANHEMBI;500
ANGATUBA;1877
ANDRADINA;7285
ANALÂNDIA;368
AMPARO;7946
AMERICO DE CAMPOS;664
AMÉRICO BRASILIENSE;3745
AMERICANA;23400
ALVINLANDIA;272
ALVARO DE CARVALHO;340
ÁLVARES MACHADO;2221
ALVARES FLORENCE;504
ALUMÍNIO;994
ALTO ALEGRE;590
ALTINOPOLIS;1898
ALTAIR;392
ALFREDO MARCONDES;656
ALAMBARI;434
AGUDOS;5700
ÁGUAS DE SÃO PEDRO;706
ÁGUAS DE SANTA BÁRBARA;602
AGUAS DE LINDOIA;1869
AGUAS DA PRATA;964
AGUAI;2598
ADOLFO;443
ADAMANTINA;5145
