Município;Qtd Dose
ADAMANTINA;4335
ADOLFO;391
AGUAI;2378
AGUAS DA PRATA;874
AGUAS DE LINDOIA;1688
ÁGUAS DE SANTA BÁRBARA;550
ÁGUAS DE SÃO PEDRO;644
AGUDOS;5220
ALAMBARI;354
ALFREDO MARCONDES;546
ALTAIR;340
ALTINOPOLIS;1756
ALTO ALEGRE;480
ALUMÍNIO;842
ALVARES FLORENCE;404
ÁLVARES MACHADO;1791
ALVARO DE CARVALHO;277
ALVINLANDIA;220
AMERICANA;21845
AMÉRICO BRASILIENSE;3445
AMERICO DE CAMPOS;541
AMPARO;7326
ANALÂNDIA;338
ANDRADINA;6215
ANGATUBA;1537
ANHEMBI;466
ANHUMAS;346
APARECIDA;2684
APARECIDA D'OESTE;543
APIAÍ;1480
ARAÇARIGUAMA;894
ARAÇATUBA;22359
ARAÇOIABA DA SERRA;1935
ARAMINA;416
ARANDU;463
ARAPEI;240
ARARAQUARA;26033
ARARAS;12196
ARCO-IRIS;527
AREALVA;733
AREIAS;387
AREIÓPOLIS;690
ARIRANHA;815
ARTUR NOGUEIRA;3451
ARUJA;3843
ASPÁSIA;188
ASSIS;12627
ATIBAIA;14950
AURIFLAMA;1457
AVAÍ;1242
AVANHANDAVA;641
AVARÉ;9421
BADY BASSITT;1581
BALBINOS;230
BALSAMO;833
BANANAL;1108
BARÃO DE ANTONINA;444
BARBOSA;527
BARIRI;3265
BARRA BONITA;3313
BARRA DO CHAPÉU;333
BARRA DO TURVO;1688
BARRETOS;17642
BARRINHA;1908
BARUERI;21681
BASTOS;1518
BATATAIS;5697
BAURU;49334
BEBEDOURO;8815
BENTO DE ABREU;184
BERNARDINO DE CAMPOS;1262
BERTIOGA;4176
BILAC;901
BIRIGUI;9001
BIRITIBA MIRIM;1022
BOA ESPERANÇA DO SUL;878
BOCAINA;828
BOFETE;696
BOITUVA;3433
BOM JESUS DOS PERDOES;1354
BOM SUCESSO DE ITARARÉ;209
BORÁ;128
BORACÉIA;414
BORBOREMA;1358
BOREBI;236
BOTUCATU;20154
BRAGANÇA PAULISTA;16384
BRAUNA;623
BREJO ALEGRE;306
BRODOWSKI;2316
BROTAS;1686
BURI;1182
BURITAMA;1237
BURITIZAL;478
CABRÁLIA PAULISTA;378
CABREUVA;2315
CAÇAPAVA;8311
CACHOEIRA PAULISTA;2992
CACONDE;1705
CAFELÂNDIA;1656
CAIABU;354
CAIEIRAS;6208
CAIUÁ;529
CAJAMAR;3973
CAJATI;1501
CAJOBI;901
CAJURU;2783
CAMPINA DO MONTE ALEGRE;378
CAMPINAS;136015
CAMPO LIMPO PAULISTA;4848
CAMPOS DO JORDAO;3634
CAMPOS NOVOS PAULISTA;325
CANANÉIA;1006
CANAS;280
CANDIDO MOTA;2455
CANDIDO RODRIGUES;277
CANITAR;261
CAPÃO BONITO;2565
CAPELA DO ALTO;909
CAPIVARI;4128
CARAGUATATUBA;8226
CARAPICUIBA;20975
CARDOSO;1103
CASA BRANCA;3833
CASSIA DOS COQUEIROS;755
CASTILHO;2131
CATANDUVA;16721
CATIGUA;490
CEDRAL;1337
CERQUEIRA CÉSAR;1595
CERQUILHO;2890
CESÁRIO LANGE;937
CHARQUEADA;1143
CHAVANTES;846
CLEMENTINA;465
COLINA;1515
COLÔMBIA;579
CONCHAL;1689
CONCHAS;1649
CORDEIRÓPOLIS;2080
COROADOS;299
CORONEL MACEDO;412
CORUMBATAÍ;340
COSMOPOLIS;3444
COSMORAMA;637
COTIA;15952
CRAVINHOS;2728
CRISTAIS PAULISTA;642
CRUZALIA;186
CRUZEIRO;5891
CUBATÃO;8502
CUNHA;1537
DESCALVADO;2985
DIADEMA;26386
DIRCE REIS;186
DIVINOLANDIA;1517
DOBRADA;450
DOIS CÓRREGOS;2159
DOLCINÓPOLIS;200
DOURADO;818
DRACENA;6617
DUARTINA;1218
DUMONT;1365
ECHAPORÃ;808
ELDORADO;3061
ELIAS FAUSTO;1081
ELISIARIO;281
EMBAÚBA;200
EMBU DAS ARTES;11420
EMBU-GUAÇU;4728
EMILIANÓPOLIS;257
ENGENHEIRO COELHO;1099
ESPIRITO SANTO DO PINHAL;4793
ESPÍRITO SANTO DO TURVO;253
ESTIVA GERBI;556
ESTRELA DO NORTE;189
ESTRELA D'OESTE;883
EUCLIDES DA CUNHA PAULISTA;626
FARTURA;1606
FERNANDO PRESTES;678
FERNANDÓPOLIS;9052
FERNÃO;204
FERRAZ DE VASCONCELOS;9215
FLORA RICA;255
FLOREAL;353
FLORIDA PAULISTA;1010
FLORINEA;313
FRANCA;25824
FRANCISCO MORATO;8132
FRANCO DA ROCHA;11587
GABRIEL MONTEIRO;237
GÁLIA;760
GARÇA;4412
GASTAO VIDIGAL;289
GAVIÃO PEIXOTO;333
GENERAL SALGADO;1253
GETULINA;1046
GLICERIO;363
GUAIÇARA;672
GUAIMBE;543
GUAÍRA;2729
GUAPIAÇU;1514
GUAPIARA;1235
GUARÁ;1803
GUARAÇAÍ;815
GUARACI;1020
GUARANÍ D'OESTE;172
GUARANTA;512
GUARARAPES;2475
GUARAREMA;1743
GUARATINGUETA;10798
GUAREÍ;850
GUARIBA;2225
GUARUJÁ;25281
GUARULHOS;71352
GUATAPARA;535
GUZOLANDIA;273
HERCULANDIA;791
HOLAMBRA;924
HORTOLANDIA;16306
IACANGA;935
IACRI;555
IARAS;404
IBATÉ;1648
IBIRA;1078
IBIRAREMA;694
IBITINGA;4929
IBIÚNA;7093
ICEM;716
IEPE;779
IGARAÇÚ DO TIETÊ;1251
IGARAPAVA;2421
IGARATA;805
IGUAPE;2429
ILHA COMPRIDA;617
ILHA SOLTEIRA;2594
ILHABELA;2039
INDAIATUBA;18622
INDIANA;461
INDIAPORÃ;509
INUBIA PAULISTA;362
IPAUSSU;1148
IPERÓ;1219
IPEUNA;414
IPIGUA;311
IPORANGA;948
IPUÃ;1117
IRACEMÁPOLIS;1753
IRAPUÃ;543
