Município;Qtd Dose
ADAMANTINA;2805
ADOLFO;261
AGUAI;1308
AGUAS DA PRATA;404
AGUAS DE LINDOIA;878
ÁGUAS DE SANTA BÁRBARA;300
ÁGUAS DE SÃO PEDRO;374
AGUDOS;3840
ALAMBARI;224
ALFREDO MARCONDES;326
ALTAIR;230
ALTINOPOLIS;1026
ALTO ALEGRE;280
ALUMÍNIO;532
ALVARES FLORENCE;244
ÁLVARES MACHADO;1081
ALVARO DE CARVALHO;177
ALVINLANDIA;150
AMERICANA;12965
AMÉRICO BRASILIENSE;2625
AMERICO DE CAMPOS;321
AMPARO;4126
ANALÂNDIA;188
ANDRADINA;4115
ANGATUBA;947
ANHEMBI;246
ANHUMAS;216
APARECIDA;1684
APARECIDA D'OESTE;343
APIAÍ;750
ARAÇARIGUAMA;604
ARAÇATUBA;15199
ARAÇOIABA DA SERRA;1205
ARAMINA;216
ARANDU;253
ARAPEI;160
ARARAQUARA;17483
ARARAS;7416
ARCO-IRIS;467
AREALVA;413
AREIAS;257
AREIÓPOLIS;440
ARIRANHA;535
ARTUR NOGUEIRA;2031
ARUJA;2973
ASPÁSIA;118
ASSIS;7857
ATIBAIA;9190
AURIFLAMA;927
AVAÍ;1112
AVANHANDAVA;391
AVARÉ;5841
BADY BASSITT;1111
BALBINOS;170
BALSAMO;503
BANANAL;708
BARÃO DE ANTONINA;304
BARBOSA;337
BARIRI;1965
BARRA BONITA;2183
BARRA DO CHAPÉU;183
BARRA DO TURVO;1478
BARRETOS;12642
BARRINHA;1228
BARUERI;15251
BASTOS;938
BATATAIS;3217
BAURU;34854
BEBEDOURO;5875
BENTO DE ABREU;124
BERNARDINO DE CAMPOS;642
BERTIOGA;3106
BILAC;601
BIRIGUI;5781
BIRITIBA MIRIM;742
BOA ESPERANÇA DO SUL;558
BOCAINA;498
BOFETE;356
BOITUVA;2333
BOM JESUS DOS PERDOES;764
BOM SUCESSO DE ITARARÉ;119
BORÁ;78
BORACÉIA;264
BORBOREMA;858
BOREBI;166
BOTUCATU;15334
BRAGANÇA PAULISTA;10064
BRAUNA;453
BREJO ALEGRE;206
BRODOWSKI;1356
BROTAS;1036
BURI;662
BURITAMA;767
BURITIZAL;278
CABRÁLIA PAULISTA;258
CABREUVA;1345
CAÇAPAVA;5181
CACHOEIRA PAULISTA;2012
CACONDE;925
CAFELÂNDIA;1056
CAIABU;214
CAIEIRAS;4098
CAIUÁ;359
CAJAMAR;2663
CAJATI;871
CAJOBI;591
CAJURU;1713
CAMPINA DO MONTE ALEGRE;218
CAMPINAS;93275
CAMPO LIMPO PAULISTA;2918
CAMPOS DO JORDAO;2554
CAMPOS NOVOS PAULISTA;195
CANANÉIA;726
CANAS;200
CANDIDO MOTA;1315
CANDIDO RODRIGUES;167
CANITAR;161
CAPÃO BONITO;1555
CAPELA DO ALTO;579
CAPIVARI;2448
CARAGUATATUBA;7316
CARAPICUIBA;13075
CARDOSO;663
CASA BRANCA;2323
CASSIA DOS COQUEIROS;145
CASTILHO;1491
CATANDUVA;11511
CATIGUA;290
CEDRAL;917
CERQUEIRA CÉSAR;875
CERQUILHO;1810
CESÁRIO LANGE;597
CHARQUEADA;653
CHAVANTES;426
CLEMENTINA;265
COLINA;945
COLÔMBIA;429
CONCHAL;949
CONCHAS;889
CORDEIRÓPOLIS;1280
COROADOS;169
CORONEL MACEDO;242
CORUMBATAÍ;170
COSMOPOLIS;1894
COSMORAMA;377
COTIA;10502
CRAVINHOS;1618
CRISTAIS PAULISTA;362
CRUZALIA;96
CRUZEIRO;3771
CUBATÃO;6152
CUNHA;937
DESCALVADO;1855
DIADEMA;17526
DIRCE REIS;126
DIVINOLANDIA;957
DOBRADA;290
DOIS CÓRREGOS;1339
DOLCINÓPOLIS;130
DOURADO;488
DRACENA;4517
DUARTINA;708
DUMONT;325
ECHAPORÃ;528
ELDORADO;2641
ELIAS FAUSTO;601
ELISIARIO;181
EMBAÚBA;130
EMBU DAS ARTES;7220
EMBU-GUAÇU;2978
EMILIANÓPOLIS;157
ENGENHEIRO COELHO;699
ESPIRITO SANTO DO PINHAL;2793
ESPÍRITO SANTO DO TURVO;153
ESTIVA GERBI;306
ESTRELA DO NORTE;129
ESTRELA D'OESTE;553
EUCLIDES DA CUNHA PAULISTA;386
FARTURA;936
FERNANDO PRESTES;428
FERNANDÓPOLIS;6152
FERNÃO;134
FERRAZ DE VASCONCELOS;7175
FLORA RICA;145
FLOREAL;213
FLORIDA PAULISTA;620
FLORINEA;183
FRANCA;14864
FRANCISCO MORATO;5872
FRANCO DA ROCHA;8147
GABRIEL MONTEIRO;137
GÁLIA;490
GARÇA;2772
GASTAO VIDIGAL;189
GAVIÃO PEIXOTO;213
GENERAL SALGADO;843
GETULINA;666
GLICERIO;223
GUAIÇARA;422
GUAIMBE;363
GUAÍRA;1759
GUAPIAÇU;974
GUAPIARA;645
GUARÁ;1133
GUARAÇAÍ;485
GUARACI;690
GUARANÍ D'OESTE;102
GUARANTA;342
GUARARAPES;1505
GUARAREMA;1293
GUARATINGUETA;7168
GUAREÍ;530
GUARIBA;1315
GUARUJÁ;18041
GUARULHOS;55182
GUATAPARA;275
GUZOLANDIA;163
HERCULANDIA;511
HOLAMBRA;584
HORTOLANDIA;11046
IACANGA;575
IACRI;345
IARAS;254
IBATÉ;1098
IBIRA;618
IBIRAREMA;434
IBITINGA;3279
IBIÚNA;5103
ICEM;496
IEPE;479
IGARAÇÚ DO TIETÊ;761
IGARAPAVA;1201
IGARATA;485
IGUAPE;1589
ILHA COMPRIDA;387
ILHA SOLTEIRA;1784
ILHABELA;1829
INDAIATUBA;11692
INDIANA;301
INDIAPORÃ;309
INUBIA PAULISTA;222
IPAUSSU;608
IPERÓ;799
IPEUNA;234
IPIGUA;191
IPORANGA;858
IPUÃ;697
IRACEMÁPOLIS;1053
IRAPUÃ;333
IRAPURU;327
ITABERA;781
ITAÍ;887
ITAJOBI;874
ITAJU;172
ITANHAÉM;5913
ITAOCA;341
ITAPECERICA DA SERRA;7410
ITAPETININGA;8748
ITAPEVA;5024
ITAPEVI;8359
ITAPIRA;5022
ITAPIRAPUA PAULISTA;149
ITAPOLIS;2240
ITAPORANGA;875
ITAPUÍ;532
ITAPURA;217
ITAQUAQUECETUBA;7805
ITARARE;2203
ITARIRI;568
ITATIBA;5799
ITATINGA;721
ITIRAPINA;730
ITIRAPUÃ;351
ITOBI;416
ITU;7995
ITUPEVA;1800
ITUVERAVA;3163
JABORANDI;406
JABOTICABAL;4106
JACAREÍ;12402
JACI;715
JACUPIRANGA;564
JAGUARIUNA;2462
JALES;3816
JAMBEIRO;245
JANDIRA;3880
JARDINOPOLIS;2209
JARINU;1344
JAÚ;12106
JERIQUARA;151
JOANOPOLIS;742
JOÃO RAMALHO;159
JOSE BONIFACIO;2019
JULIO MESQUITA;159
JUMIRIM;109
JUNDIAI;21721
JUNQUEIROPOLIS;1229
JUQUIÁ;809
JUQUITIBA;1431
LAGOINHA;288
LARANJAL PAULISTA;1439
LAVINIA;287
LAVRINHAS;271
LEME;4683
LENÇÓIS PAULISTA;2988
LIMEIRA;13055
LINDOIA;347
LINS;5956
LORENA;4826
LOURDES;153
LOUVEIRA;1732
LUCELIA;1255
LUCIANÓPOLIS;122
LUIS ANTONIO;570
LUIZIÂNIA;235
LUPERCIO;165
LUTÉCIA;196
MACATUBA;799
MACAUBAL;501
MACEDÔNIA;185
MAGDA;205
