Município;Qtd Dose
ADAMANTINA;8165
ADOLFO;743
AGUAI;4538
AGUAS DA PRATA;1794
AGUAS DE LINDOIA;3259
ÁGUAS DE SANTA BÁRBARA;1043
ÁGUAS DE SÃO PEDRO;1126
AGUDOS;7790
ALAMBARI;744
ALFREDO MARCONDES;1096
ALTAIR;492
ALTINOPOLIS;3118
ALTO ALEGRE;1000
ALUMÍNIO;1854
ALVARES FLORENCE;894
ÁLVARES MACHADO;4031
ALVARO DE CARVALHO;590
ALVINLANDIA;482
AMERICANA;38580
AMÉRICO BRASILIENSE;5375
AMERICO DE CAMPOS;1184
AMPARO;13056
ANALÂNDIA;738
ANDRADINA;11585
ANGATUBA;3337
ANHEMBI;850
ANHUMAS;686
APARECIDA;5458
APARECIDA D'OESTE;1046
APIAÍ;3144
ARAÇARIGUAMA;1844
ARAÇATUBA;39519
ARAÇOIABA DA SERRA;4385
ARAMINA;856
ARANDU;897
ARAPEI;454
ARARAQUARA;46256
ARARAS;21526
ARCO-IRIS;739
AREALVA;1713
AREIAS;670
AREIÓPOLIS;1180
ARIRANHA;1507
ARTUR NOGUEIRA;6422
ARUJA;7196
ASPÁSIA;388
ASSIS;20587
ATIBAIA;25260
AURIFLAMA;2927
AVAÍ;1616
AVANHANDAVA;1304
AVARÉ;15793
BADY BASSITT;2792
BALBINOS;340
BALSAMO;1733
BANANAL;2098
BARÃO DE ANTONINA;714
BARBOSA;1090
BARIRI;6320
BARRA BONITA;6566
BARRA DO CHAPÉU;696
BARRA DO TURVO;2648
BARRETOS;24974
BARRINHA;3158
BARUERI;24412
BASTOS;3218
BATATAIS;10457
BAURU;80028
BEBEDOURO;11625
BENTO DE ABREU;384
BERNARDINO DE CAMPOS;2302
BERTIOGA;5696
BILAC;1681
BIRIGUI;18642
BIRITIBA MIRIM;13884
BOA ESPERANÇA DO SUL;1752
BOCAINA;1678
BOFETE;1576
BOITUVA;6786
BOM JESUS DOS PERDOES;2684
BOM SUCESSO DE ITARARÉ;380
BORÁ;192
BORACÉIA;814
BORBOREMA;2720
BOREBI;388
BOTUCATU;31479
BRAGANÇA PAULISTA;28068
BRAUNA;1148
BREJO ALEGRE;546
BRODOWSKI;3926
BROTAS;3516
BURI;2282
BURITAMA;2697
BURITIZAL;858
CABRÁLIA PAULISTA;698
CABREUVA;4505
CAÇAPAVA;14662
CACHOEIRA PAULISTA;5654
CACONDE;3276
CAFELÂNDIA;3266
CAIABU;754
CAIEIRAS;10738
CAIUÁ;1030
CAJAMAR;6707
CAJATI;3401
CAJOBI;1441
CAJURU;4518
CAMPINA DO MONTE ALEGRE;828
CAMPINAS;219530
CAMPO LIMPO PAULISTA;9208
CAMPOS DO JORDAO;6448
CAMPOS NOVOS PAULISTA;756
CANANÉIA;2158
CANAS;532
CANDIDO MOTA;4870
CANDIDO RODRIGUES;620
CANITAR;484
CAPÃO BONITO;5969
CAPELA DO ALTO;2139
CAPIVARI;7212
CARAGUATATUBA;15101
CARAPICUIBA;24935
CARDOSO;2353
CASA BRANCA;6074
CASSIA DOS COQUEIROS;986
CASTILHO;3651
CATANDUVA;27932
CATIGUA;1073
CEDRAL;2302
CERQUEIRA CÉSAR;2968
CERQUILHO;6220
CESÁRIO LANGE;2117
CHARQUEADA;2143
CHAVANTES;1750
CLEMENTINA;990
COLINA;2395
COLÔMBIA;829
CONCHAL;3209
CONCHAS;3009
CORDEIRÓPOLIS;3630
COROADOS;762
CORONEL MACEDO;762
CORUMBATAÍ;642
COSMOPOLIS;6828
COSMORAMA;1521
COTIA;18514
CRAVINHOS;4888
CRISTAIS PAULISTA;1162
CRUZALIA;366
CRUZEIRO;12122
CUBATÃO;12034
CUNHA;3429
DESCALVADO;6005
DIADEMA;45286
DIRCE REIS;389
DIVINOLANDIA;2667
DOBRADA;943
DOIS CÓRREGOS;4282
DOLCINÓPOLIS;450
DOURADO;1698
DRACENA;11367
DUARTINA;2488
DUMONT;1875
ECHAPORÃ;1458
ELDORADO;5551
ELIAS FAUSTO;2034
ELISIARIO;561
EMBAÚBA;430
EMBU DAS ARTES;19050
EMBU-GUAÇU;5638
EMILIANÓPOLIS;588
ENGENHEIRO COELHO;1880
ESPIRITO SANTO DO PINHAL;8256
ESPÍRITO SANTO DO TURVO;504
ESTIVA GERBI;1166
ESTRELA DO NORTE;389
ESTRELA D'OESTE;1733
EUCLIDES DA CUNHA PAULISTA;1276
FARTURA;2870
FERNANDO PRESTES;1378
FERNANDÓPOLIS;16114
FERNÃO;366
FERRAZ DE VASCONCELOS;14590
FLORA RICA;485
FLOREAL;754
FLORIDA PAULISTA;2080
FLORINEA;558
FRANCA;48558
FRANCISCO MORATO;15092
FRANCO DA ROCHA;17787
GABRIEL MONTEIRO;557
GÁLIA;1484
GARÇA;8384
GASTAO VIDIGAL;659
GAVIÃO PEIXOTO;617
GENERAL SALGADO;2274
GETULINA;1930
GLICERIO;733
GUAIÇARA;1496
