Municipio;Qtd-Doses-Distribuidas
ZACARIAS;1227
VOTUPORANGA;48558
VOTORANTIM;42589
VITÓRIA BRASIL;898
VISTA ALEGRE DO ALTO;2665
VIRADOURO;7803
VINHEDO;31802
VERA CRUZ;5581
VÁRZEA PAULISTA;35915
VARGEM GRANDE PAULISTA;18077
VARGEM GRANDE DO SUL;17422
VARGEM;4617
VALPARAÍSO;9643
VALINHOS;56290
VALENTIM GENTIL;4750
URUPÊS;6555
URU;751
URÂNIA;4896
UNIÃO PAULISTA;700
UCHOA;4816
UBIRAJARA;2010
UBATUBA;34525
UBARANA;1982
TURMALINA;1232
TURIÚBA;1098
TUPI PAULISTA;8377
TUPÃ;37327
TUIUTI;3420
TRÊS FRONTEIRAS;3039
TREMEMBÉ;18493
TRABIJU;773
TORRINHA;4713
TORRE DE PEDRA;1262
TIMBURI;1406
TIETÊ;16563
TERRA ROXA;3799
TEODORO SAMPAIO;7940
TEJUPÁ;1684
TAUBATÉ;134046
TATUÍ;49362
TARUMÃ;4885
TARABAI;2598
TAQUARIVAÍ;1724
TAQUARITUBA;9663
TAQUARITINGA;25801
TAQUARAL;1299
TAPIRATIBA;5769
TAPIRAÍ;3286
TANABI;12684
TAMBAÚ;10007
TAIÚVA;3010
TAIAÇU;2859
TAGUAÍ;4209
TACIBA;2499
TABOÃO DA SERRA;103590
TABATINGA;6024
TABAPUÃ;5668
SUZANO;98072
SUZANÁPOLIS;1663
SUMARÉ;89180
SUD MENNUCCI;3323
SOROCABA;262800
SOCORRO;20394
SILVEIRAS;2551
SEVERÍNIA;5524
SETE BARRAS;5051
SERTÃOZINHO;46245
SERRANA;10103
SERRA NEGRA;14579
SERRA AZUL;4274
SEBASTIANÓPOLIS DO SUL;1612
SARUTAIÁ;1613
SARAPUÍ;3886
SÃO VICENTE;142006
SÃO SIMÃO;7116
SÃO SEBASTIÃO DA GRAMA;5285
SÃO SEBASTIÃO;28118
SÃO ROQUE;38680
SÃO PEDRO DO TURVO;3154
SÃO PEDRO;16924
SÃO PAULO;5294414
SÃO MIGUEL ARCANJO;12131
SÃO MANUEL;15993
SÃO LUIZ DO PARAITINGA;4783
SÃO LOURENÇO DA SERRA;5614
SÃO JOSÉ DOS CAMPOS;305296
SÃO JOSÉ DO RIO PRETO;220109
SÃO JOSÉ DO RIO PARDO;28123
SÃO JOSÉ DO BARREIRO;1850
SÃO JOSÉ DA BELA VISTA;2943
SÃO JOAQUIM DA BARRA;22199
SÃO JOÃO DO PAU D'ALHO;1330
SÃO JOÃO DE IRACEMA;1014
SÃO JOÃO DAS DUAS PONTES;1182
SÃO JOÃO DA BOA VISTA;48152
SÃO FRANCISCO;1603
SÃO CARLOS;112680
SÃO CAETANO DO SUL;104594
SÃO BERNARDO DO CAMPO;333867
SÃO BENTO DO SAPUCAÍ;5343
SANTOS;278337
SANTÓPOLIS DO AGUAPEÍ;1756
SANTO EXPEDITO;1571
SANTO ANTÔNIO DO PINHAL;2853
SANTO ANTÔNIO DO JARDIM;2800
SANTO ANTÔNIO DO ARACANGUÁ;3221
SANTO ANTÔNIO DE POSSE;8012
SANTO ANTÔNIO DA ALEGRIA;3317
SANTO ANDRÉ;342346
SANTO ANASTÁCIO;9969
SANTANA DE PARNAÍBA;49080
SANTANA DA PONTE PENSA;998
SANTA SALETE;975
SANTA ROSA DE VITERBO;11498
SANTA RITA DO PASSA QUATRO;15053
SANTA RITA D'OESTE;1608
SANTA MERCEDES;1291
SANTA MARIA DA SERRA;2214
SANTA LÚCIA;2729
SANTA ISABEL;20503
SANTA GERTRUDES;7581
SANTA FÉ DO SUL;19363
SANTA ERNESTINA;1977
SANTA CRUZ DO RIO PARDO;21410
SANTA CRUZ DAS PALMEIRAS;11525
