Municipio;Qtd-Doses-Distribuidas
ZACARIAS;3325
VOTUPORANGA;123646
VOTORANTIM;145219
VITÓRIA BRASIL;2237
VISTA ALEGRE DO ALTO;10266
VIRADOURO;23372
VINHEDO;96428
VERA CRUZ;12753
VÁRZEA PAULISTA;139772
VARGEM GRANDE PAULISTA;61713
VARGEM GRANDE DO SUL;45862
VARGEM;13107
VALPARAÍSO;30596
VALINHOS;160158
VALENTIM GENTIL;15960
URUPÊS;17375
URU;1761
URÂNIA;11307
UNIÃO PAULISTA;1959
UCHOA;12597
UBIRAJARA;5518
UBATUBA;112545
UBARANA;7068
TURMALINA;2410
TURIÚBA;2559
TUPI PAULISTA;20939
TUPÃ;82930
TUIUTI;9052
TRÊS FRONTEIRAS;7379
TREMEMBÉ;62391
TRABIJU;2149
TORRINHA;12489
TORRE DE PEDRA;3295
TIMBURI;3235
TIETÊ;48630
TERRA ROXA;10357
TEODORO SAMPAIO;25630
TEJUPÁ;5262
TAUBATÉ;393622
TATUÍ;142745
TARUMÃ;16508
TARABAI;8683
TAQUARIVAÍ;6359
TAQUARITUBA;29118
TAQUARITINGA;67216
TAQUARAL;3507
TAPIRATIBA;16298
TAPIRAÍ;8694
TANABI;32348
TAMBAÚ;26772
TAIÚVA;8004
TAIAÇU;7608
TAGUAÍ;15360
TACIBA;7333
TABOÃO DA SERRA;338462
TABATINGA;19238
TABAPUÃ;14708
SUZANO;343311
SUZANÁPOLIS;4710
SUMARÉ;319808
SUD MENNUCCI;8927
SOROCABA;829597
SOCORRO;53545
SILVEIRAS;7415
SEVERÍNIA;19370
SETE BARRAS;15041
SERTÃOZINHO;149589
SERRANA;16130
SERRA NEGRA;37383
SERRA AZUL;18063
SEBASTIANÓPOLIS DO SUL;4251
SARUTAIÁ;4499
SARAPUÍ;11194
SÃO VICENTE;384524
SÃO SIMÃO;19386
SÃO SEBASTIÃO DA GRAMA;14970
SÃO SEBASTIÃO;97478
SÃO ROQUE;112386
SÃO PEDRO DO TURVO;8931
SÃO PEDRO;44189
SÃO PAULO;15134589
SÃO MIGUEL ARCANJO;37960
SÃO MANUEL;45623
SÃO LUIZ DO PARAITINGA;13543
SÃO LOURENÇO DA SERRA;17719
SÃO JOSÉ DOS CAMPOS;869299
SÃO JOSÉ DO RIO PRETO;569131
SÃO JOSÉ DO RIO PARDO;69503
SÃO JOSÉ DO BARREIRO;4995
SÃO JOSÉ DA BELA VISTA;9399
SÃO JOAQUIM DA BARRA;65031
SÃO JOÃO DO PAU D'ALHO;2873
SÃO JOÃO DE IRACEMA;2343
