Municipio;Qtd-Doses-Distribuidas
ADAMANTINA;18692
ADOLFO;1852
AGUAÍ;11989
ÁGUAS DA PRATA;4362
ÁGUAS DE LINDÓIA;8354
ÁGUAS DE SANTA BÁRBARA;2563
ÁGUAS DE SÃO PEDRO;2318
AGUDOS;16533
ALAMBARI;2043
ALFREDO MARCONDES;2427
ALTAIR;1430
ALTINÓPOLIS;7533
ALTO ALEGRE;2229
ALUMÍNIO;5324
ÁLVARES FLORENCE;2112
ÁLVARES MACHADO;10161
ÁLVARO DE CARVALHO;1542
ALVINLÂNDIA;1199
AMERICANA;97650
AMÉRICO BRASILIENSE;12656
AMÉRICO DE CAMPOS;2952
AMPARO;31840
ANALÂNDIA;1931
ANDRADINA;26699
ANGATUBA;8933
ANHEMBI;2284
ANHUMAS;1705
APARECIDA;14327
APARECIDA D'OESTE;2398
APIAÍ;8918
ARAÇARIGUAMA;5614
ARAÇATUBA;91697
ARAÇOIABA DA SERRA;12314
ARAMINA;2245
ARANDU;2413
ARAPEÍ;1055
ARARAQUARA;105839
ARARAS;53560
ARCO-ÍRIS;1296
AREALVA;4238
AREIAS;1568
AREIÓPOLIS;3185
ARIRANHA;3572
ARTUR NOGUEIRA;17070
ARUJÁ;27773
ASPÁSIA;975
ASSIS;47322
ATIBAIA;60551
AURIFLAMA;6968
AVAÍ;2762
AVANHANDAVA;3574
AVARÉ;37862
BADY BASSITT;6953
BALBINOS;737
BÁLSAMO;4150
BANANAL;4760
BARÃO DE ANTONINA;1604
BARBOSA;2728
BARIRI;14679
BARRA BONITA;16081
BARRA DO CHAPÉU;2011
BARRA DO TURVO;4289
BARRETOS;60006
BARRINHA;8408
BARUERI;90389
BASTOS;8330
BATATAIS;26726
BAURU;178154
BEBEDOURO;36584
BENTO DE ABREU;1038
BERNARDINO DE CAMPOS;5282
BERTIOGA;18305
BILAC;3770
BIRIGUI;48287
BIRITIBA MIRIM;9977
BOA ESPERANÇA DO SUL;4642
BOCAINA;4213
BOFETE;4506
BOITUVA;18334
BOM JESUS DOS PERDÕES;7447
BOM SUCESSO DE ITARARÉ;1069
BORÁ;454
BORACÉIA;1921
BORBOREMA;6633
BOREBI;998
BOTUCATU;70379
BRAGANÇA PAULISTA;71107
BRAÚNA;2505
BREJO ALEGRE;1244
BRODOWSKI;9548
BROTAS;9023
BURI;6292
BURITAMA;7057
BURITIZAL;1993
CABRÁLIA PAULISTA;1700
CABREÚVA;12801
CAÇAPAVA;36147
CACHOEIRA PAULISTA;13955
CACONDE;8125
CAFELÂNDIA;7725
CAIABU;1870
CAIEIRAS;30643
CAIUÁ;2530
CAJAMAR;19168
CAJATI;9375
CAJOBI;4487
CAJURU;10570
