Município;Qtd Dose
ZACARIAS;161
VOTUPORANGA;10116
VOTORANTIM;15724
VITÓRIA BRASIL;120
VISTA ALEGRE DO ALTO;415
VIRADOURO;925
VINHEDO;5234
VERA CRUZ;649
VARZEA PAULISTA;4363
VARGEM GRANDE PAULISTA;2670
VARGEM GRANDE DO SUL;3194
VARGEM;808
VALPARAISO;2299
VALINHOS;7790
VALENTIM GENTIL;583
URUPÊS;989
URU;152
URÂNIA;828
UNIÃO PAULISTA;119
UCHÔA;769
UBIRAJARA;224
UBATUBA;5066
UBARANA;258
TURMALINA;216
TURIUBA;147
TUPI PAULISTA;1633
TUPA;6366
TUIUTI;363
TRÊS FRONTEIRAS;434
TREMEMBE;4072
TRABIJÚ;110
TORRINHA;756
TORRE DE PEDRA;217
TIMBURI;223
TIETÊ;8026
TERRA ROXA;649
TEODORO SAMPAIO;1103
TEJUPÁ;167
TAUBATE;21932
TATUÍ;8217
TARUMÃ;624
TARABAI;348
TAQUARIVAI;226
TAQUARITUBA;1633
TAQUARITINGA;4109
TAQUARAL;177
TAPIRATIBA;847
TAPIRAÍ;530
TANABI;1886
TAMBAU;1438
TAIUVA;572
TAIAÇU;560
TAGUAÍ;597
TACIBA;366
TABOÃO DA SERRA;18797
TABATINGA;686
TABAPUÃ;838
SUZANO;11519
SUZANAPOLIS;209
SUMARE;12587
SUD MENNUCCI;562
SOROCABA;44957
SOCORRO;2758
SILVEIRAS;349
SEVERÍNIA;753
SETE BARRAS;580
SERTAOZINHO;7400
SERRANA;2091
SERRA NEGRA;2005
SERRA AZUL;714
SEBASTIANÓPOLIS DO SUL;255
SARUTAIA;247
SARAPUÍ;396
SÃO VICENTE;16976
SAO SIMAO;1080
SAO SEBASTIAO DA GRAMA;801
SÃO SEBASTIÃO;4110
SÃO ROQUE;6440
SÃO PEDRO DO TURVO;376
SÃO PEDRO;2116
SÃO PAULO;883398
SÃO MIGUEL ARCANJO;1425
SÃO MANUEL;2601
SAO LUIZ DO PARAITINGA;599
SÃO LOURENÇO DA SERRA;686
SÃO JOSÉ DOS CAMPOS;49358
SÃO JOSÉ DO RIO PRETO;48461
SAO JOSE DO RIO PARDO;4765
SAO JOSE DO BARREIRO;273
SÃO JOSÉ DA BELA VISTA;387
SÃO JOAQUIM DA BARRA;4033
SÃO JOÃO DO PAU D'ALHO;207
SÃO JOÃO DE IRACEMA;180
SÃO JOÃO DAS DUAS PONTES;156
SAO JOAO DA BOA VISTA;9837
SÃO FRANCISCO;200
SÃO CARLOS;16929
SÃO CAETANO DO SUL;26546
SÃO BERNARDO DO CAMPO;58654
SAO BENTO DO SAPUCAI;760
SANTOS;43519
SANTOPOLIS DO AGUAPEI;271
SANTO EXPEDITO;247
SANTO ANTONIO DO PINHAL;375
SANTO ANTONIO DO JARDIM;391
SANTO ANTONIO DO ARACANGUA;489
SANTO ANTONIO DE POSSE;1302
SANTO ANTONIO DA ALEGRIA;454
SANTO ANDRÉ;64438
SANTO ANASTÁCIO;1523
SANTANA DE PARNAIBA;6902
SANTANA DA PONTE PENSA;135
SANTA SALETE;188
SANTA ROSA DE VITERBO;1555
SANTA RITA DO PASSA QUATRO;2436
SANTA RITA D'OESTE;165
SANTA MERCEDES;219
SANTA MARIA DA SERRA;387
SANTA LÚCIA;290
SANTA ISABEL;1957
SANTA GERTRUDES;1091
SANTA FÉ DO SUL;3831
SANTA ERNESTINA;184
SANTA CRUZ DO RIO PARDO;3419
SANTA CRUZ DAS PALMEIRAS;1793
SANTA CRUZ DA ESPERANÇA;156
SANTA CRUZ DA CONCEIÇÃO;365
SANTA CLARA D'OESTE;141
SANTA BRANCA;883
SANTA BARBARA D'OESTE;8723
SANTA ALBERTINA;479
SANTA ADÉLIA;1169
SANDOVALINA;193
SALTO GRANDE;506
SALTO DE PIRAPORA;2796
SALTO;6989
SALTINHO;375
SALMOURÃO;204
SALESOPOLIS;583
SALES OLIVEIRA;858
SALES;351
SAGRES;112
SABINO;497
RUBINÉIA;228
RUBIACEA;176
ROSEIRA;589
ROSANA;1190
RIVERSUL;293
RIOLANDIA;522
RIO GRANDE DA SERRA;2045
RIO DAS PEDRAS;1416
RIO CLARO;16776
RINOPOLIS;436
RINCÃO;491
RIFAINA;244
RIBEIRÃO PRETO;60666
RIBEIRÃO PIRES;8397
RIBEIRÃO GRANDE;276
RIBEIRÃO DOS INDIOS;279
RIBEIRÃO DO SUL;285
RIBEIRÃO CORRENTE;273
RIBEIRAO BRANCO;680
RIBEIRÃO BONITO;479
RIBEIRA;216
RESTINGA;334
REGISTRO;4353
REGINÓPOLIS;436
REGENTE FEIJÓ;989
REDENCAO DA SERRA;246
RANCHARIA;2034
RAFARD;504
QUINTANA;340
QUELUZ;524
QUEIROZ;167
QUATÁ;862
QUADRA;129
PROMISSÃO;2602
PRESIDENTE VENCESLAU;3499
PRESIDENTE PRUDENTE;22648
PRESIDENTE EPITÁCIO;2349
PRESIDENTE BERNARDES;1562
PRESIDENTE ALVES;351
PRATÂNIA;229
PRAIA GRANDE;16559
PRADOPOLIS;570
PRACINHA;117
POTIRENDABA;1271
POTIM;1157
PORTO FERREIRA;2375
PORTO FELIZ;2805
PORANGABA;589
POPULINA;370
PONTES GESTAL;146
PONTALINDA;166
PONTAL;1702
PONGAI;256
POMPEIA;1546
POLONI;439
POA;5635
PLATINA;189
PLANALTO;296
PITANGUEIRAS;2008
PIRATININGA;1464
PIRASSUNUNGA;5643
PIRAPOZINHO;1525
PIRAPORA DO BOM JESUS;1005
PIRANGI;778
PIRAJUÍ;2027
PIRAJÚ;2131
PIRACICABA;27882
PIRACAIA;1464
PIQUETE;1039
PIQUEROBI;394
PINHALZINHO;726
PINDORAMA;1352
PINDAMONHANGABA;8777
PILAR DO SUL;1343
PIEDADE;2390
PIACATU;312
PERUÍBE;3423
PEREIRAS;394
PEREIRA BARRETO;1717
PENAPOLIS;4772
PEDRO DE TOLEDO;524
PEDRINHAS PAULISTA;191
PEDREIRA;3231
PEDREGULHO;995
PEDRANÓPOLIS;236
PEDRA BELA;336
PEDERNEIRAS;2472
PAULO DE FARIA;733
PAULISTÂNIA;116
PAULINIA;4998
PAULICÉIA;325
PATROCÍNIO PAULISTA;905
PARISI;184
PARIQUERA-AÇÚ;2410
PARDINHO;347
PARAPUA;496
PARANAPUÃ;217
PARANAPANEMA;1135
PARAISO;442
PARAIBUNA;1026
PARAGUAÇU PAULISTA;2605
PANORAMA;832
PALMITAL;1735
PALMEIRA D'OESTE;721
PALMARES PAULISTA;438
PALESTINA;773
PACAEMBU;696
OUROESTE;723
OURO VERDE;952
OURINHOS;7699
OSVALDO CRUZ;2079
OSCAR BRESSANE;260
OSASCO;41644
ORLÂNDIA;2295
ORINDIUVA;307
ORIENTE;393
ONDA VERDE;290
OLIMPIA;3801
ÓLEO;169
OCAUÇU;172
NUPORANGA;613
NOVO HORIZONTE;2719
NOVAIS;316
NOVA ODESSA;2169
NOVA LUZITÂNIA;186
NOVA INDEPENDÊNCIA;240
NOVA GUATAPORANGA;154
NOVA GRANADA;1155
NOVA EUROPA;342
NOVA CASTILHO;73
NOVA CANAÃ PAULISTA;155
NOVA CAMPINA;305
NOVA ALIANÇA;475
NIPOÃ;213
NHANDEARA;929
NEVES PAULISTA;864
NAZARE PAULISTA;758
NATIVIDADE DA SERRA;620
NARANDIBA;292
NANTES;151
MURUTINGA DO SUL;339
MOTUCA;184
MORUNGABA;665
MORRO AGUDO;2000
MONTEIRO LOBATO;373
MONTE MOR;2141
MONTE CASTELO;319
MONTE AZUL PAULISTA;1330
MONTE APRAZIVEL;2152
MONTE ALTO;3421
MONTE ALEGRE DO SUL;500
MONGAGUÁ;2108
MONÇÕES;221
MOMBUCA;269
MOGI MIRIM;6805
MOGI GUAÇU;9034
MOGI DAS CRUZES;21632
MOCOCA;5610
MIRASSOLANDIA;286
MIRASSOL;3653
MIRANTE DO PARANAPANEMA;1277
MIRANDOPOLIS;2513
MIRACATU;1053
MIRA ESTRELA;228
MINEIROS DO TIETÊ;648
MIGUELÓPOLIS;1536
MESÓPOLIS;194
MERIDIANO;328
MENDONÇA;511
MAUA;22995
MATÃO;4083
MARTINÓPOLIS;1531
MARINÓPOLIS;191
MARILIA;23397
MARIAPOLIS;180
MARAPOAMA;286
MARACAI;758
MARABA PAULISTA;216
MANDURI;478
MAIRIPORÃ;4256
MAIRINQUE;2160
MAGDA;255
MACEDÔNIA;245
MACAUBAL;651
MACATUBA;1009
LUTÉCIA;236
LUPERCIO;165
LUIZIÂNIA;305
LUIS ANTONIO;640
LUCIANÓPOLIS;152
LUCELIA;1255
LOUVEIRA;2002
LOURDES;183
LORENA;5826
LINS;7106
LINDOIA;457
LIMEIRA;16325
LENÇÓIS PAULISTA;3638
LEME;5703
LAVRINHAS;311
LAVINIA;357
LARANJAL PAULISTA;1859
LAGOINHA;378
JUQUITIBA;1821
JUQUIÁ;1069
JUNQUEIROPOLIS;1559
JUNDIAI;26971
JUMIRIM;149
JULIO MESQUITA;159
JOSE BONIFACIO;2449
JOÃO RAMALHO;209
JOANOPOLIS;912
JERIQUARA;191
JAÚ;13966
JARINU;1584
JARDINOPOLIS;2629
JANDIRA;4630
JAMBEIRO;295
JALES;4526
JAGUARIUNA;2872
JACUPIRANGA;754
