Municipio;Qtd-Doses-Distribuidas
ADAMANTINA;10419
ADOLFO;994
AGUAÍ;6083
ÁGUAS DA PRATA;2301
ÁGUAS DE LINDÓIA;4373
ÁGUAS DE SANTA BÁRBARA;1371
ÁGUAS DE SÃO PEDRO;1422
AGUDOS;9548
ALAMBARI;1032
ALFREDO MARCONDES;1415
ALTAIR;803
ALTINÓPOLIS;4050
ALTO ALEGRE;1301
ALUMÍNIO;2617
ÁLVARES FLORENCE;1161
ÁLVARES MACHADO;5386
ÁLVARO DE CARVALHO;811
ALVINLÂNDIA;639
AMERICANA;50781
AMÉRICO BRASILIENSE;6798
AMÉRICO DE CAMPOS;1581
AMPARO;17080
ANALÂNDIA;1021
ANDRADINA;14977
ANGATUBA;4574
ANHEMBI;1157
ANHUMAS;896
APARECIDA;7288
APARECIDA D'OESTE;1334
APIAÍ;4479
ARAÇARIGUAMA;2616
ARAÇATUBA;50223
ARAÇOIABA DA SERRA;6058
ARAMINA;1169
ARANDU;1235
ARAPEÍ;578
ARARAQUARA;58634
ARARAS;28247
ARCO-ÍRIS;872
AREALVA;2293
AREIAS;848
AREIÓPOLIS;1601
ARIRANHA;1946
ARTUR NOGUEIRA;8721
ARUJÁ;13044
ASPÁSIA;520
ASSIS;26117
ATIBAIA;32653
AURIFLAMA;3813
AVAÍ;1865
AVANHANDAVA;1762
AVARÉ;20384
BADY BASSITT;3613
BALBINOS;414
BÁLSAMO;2266
BANANAL;2701
BARÃO DE ANTONINA;901
BARBOSA;1469
BARIRI;8122
BARRA BONITA;8630
BARRA DO CHAPÉU;1024
BARRA DO TURVO;2848
BARRETOS;33741
BARRINHA;4176
BARUERI;44382
BASTOS;4321
BATATAIS;13811
BAURU;99517
BEBEDOURO;20277
BENTO DE ABREU;529
BERNARDINO DE CAMPOS;2999
BERTIOGA;9158
BILAC;2125
BIRIGUI;24776
BIRITIBA MIRIM;4932
BOA ESPERANÇA DO SUL;2349
BOCAINA;2222
BOFETE;2259
BOITUVA;9223
BOM JESUS DOS PERDÕES;3686
BOM SUCESSO DE ITARARÉ;516
BORÁ;242
BORACÉIA;1088
BORBOREMA;3559
BOREBI;511
BOTUCATU;38839
BRAGANÇA PAULISTA;36642
BRAÚNA;1444
BREJO ALEGRE;700
BRODOWSKI;5076
BROTAS;4664
BURI;3168
BURITAMA;3617
BURITIZAL;1097
CABRÁLIA PAULISTA;914
CABREÚVA;6338
CAÇAPAVA;19406
CACHOEIRA PAULISTA;7461
CACONDE;4355
CAFELÂNDIA;4220
CAIABU;1007
CAIEIRAS;14682
CAIUÁ;1362
CAJAMAR;9221
CAJATI;4821
CAJOBI;2399
CAJURU;5810
CAMPINA DO MONTE ALEGRE;1121
CAMPINAS;278304
CAMPO LIMPO PAULISTA;12759
CAMPOS DO JORDÃO;8631
CAMPOS NOVOS PAULISTA;1030
CANANÉIA;2779
CANAS;752
CÂNDIDO MOTA;6558
CÂNDIDO RODRIGUES;830
CANITAR;688
CAPÃO BONITO;8271
CAPELA DO ALTO;2990
CAPIVARI;9547
CARAGUATATUBA;24510
CARAPICUÍBA;56349
CARDOSO;3119
CASA BRANCA;7638
CÁSSIA DOS COQUEIROS;642
CASTILHO;4642
CATANDUVA;34787
CATIGUÁ;1442
CEDRAL;2842
CERQUEIRA CÉSAR;3964
CERQUILHO;8436
CESÁRIO LANGE;2980
CHARQUEADA;2882
CHAVANTES;2407
CLEMENTINA;1320
COLINA;3977
COLÔMBIA;1358
CONCHAL;4419
CONCHAS;3954
CORDEIRÓPOLIS;4747
COROADOS;1065
CORONEL MACEDO;1011
CORUMBATAÍ;850
COSMÓPOLIS;9490
COSMORAMA;2031
COTIA;37007
CRAVINHOS;6485
CRISTAIS PAULISTA;1547
CRUZÁLIA;505
CRUZEIRO;16335
CUBATÃO;19693
CUNHA;4757
DESCALVADO;7853
DIADEMA;61383
DIRCE REIS;533
DIVINOLÂNDIA;3343
DOBRADA;1260
DOIS CÓRREGOS;5497
DOLCINÓPOLIS;606
DOURADO;2204
DRACENA;14196
DUARTINA;3248
DUMONT;1477
ECHAPORÃ;1832
ELDORADO;5244
ELIAS FAUSTO;2756
ELISIÁRIO;713
EMBAÚBA;574
EMBU DAS ARTES;32287
EMBU-GUAÇU;11575
EMILIANÓPOLIS;801
ENGENHEIRO COELHO;2521
ESPÍRITO SANTO DO PINHAL;10673
ESPÍRITO SANTO DO TURVO;700
ESTIVA GERBI;1661
ESTRELA DO NORTE;528
ESTRELA D'OESTE;2246
EUCLIDES DA CUNHA PAULISTA;1734
FARTURA;3752
FERNANDO PRESTES;1790
FERNANDÓPOLIS;20473
FERNÃO;468
FERRAZ DE VASCONCELOS;24719
FLORA RICA;628
FLOREAL;979
FLÓRIDA PAULISTA;2698
FLORÍNEA;756
FRANCA;65386
FRANCISCO MORATO;20663
FRANCO DA ROCHA;23071
GABRIEL MONTEIRO;724
GÁLIA;1898
GARÇA;10812
GASTÃO VIDIGAL;895
GAVIÃO PEIXOTO;827
GENERAL SALGADO;2923
GETULINA;2485
GLICÉRIO;996
GUAIÇARA;2032
GUAIMBÊ;1351
GUAÍRA;7768
GUAPIAÇU;4188
GUAPIARA;3579
GUARÁ;4015
GUARAÇAÍ;2250
GUARACI;2378
GUARANI D'OESTE;507
GUARANTÃ;1298
GUARARAPES;7264
GUARAREMA;5678
GUARATINGUETÁ;27168
GUAREÍ;2205
GUARIBA;5628
GUARUJÁ;56895
GUARULHOS;201630
GUATAPARÁ;1435
GUZOLÂNDIA;903
HERCULÂNDIA;1985
HOLAMBRA;2324
HORTOLÂNDIA;34383
IACANGA;2389
IACRI;1552
IARAS;1008
IBATÉ;4577
IBIRÁ;2871
IBIRAREMA;1651
IBITINGA;11958
IBIÚNA;16175
ICÉM;1613
IEPÊ;1955
IGARAÇU DO TIETÊ;3809
IGARAPAVA;5964
IGARATÁ;1988
IGUAPE;7385
ILHA COMPRIDA;2507
ILHA SOLTEIRA;7129
ILHABELA;5606
INDAIATUBA;42685
INDIANA;1188
INDIAPORÃ;1293
INÚBIA PAULISTA;935
IPAUSSU;2853
IPERÓ;4114
IPEÚNA;1070
IPIGUÁ;1138
IPORANGA;1495
IPUÃ;2590
IRACEMÁPOLIS;4036
IRAPUÃ;1550
IRAPURU;1717
ITABERÁ;3593
ITAÍ;4089
ITAJOBI;4166
ITAJU;755
ITANHAÉM;23880
ITAOCA;1009
ITAPECERICA DA SERRA;24328
ITAPETININGA;31278
ITAPEVA;17284
ITAPEVI;27766
ITAPIRA;18294
ITAPIRAPUÃ PAULISTA;717
ITÁPOLIS;9823
ITAPORANGA;3572
ITAPUÍ;2357
ITAPURA;933
ITAQUAQUECETUBA;37485
ITARARÉ;9513
ITARIRI;2938
ITATIBA;22087
ITATINGA;3010
ITIRAPINA;2829
ITIRAPUÃ;1360
ITOBI;1642
ITU;30984
ITUPEVA;7296
ITUVERAVA;10575
JABORANDI;1469
JABOTICABAL;17449
JACAREÍ;45842
JACI;1574
JACUPIRANGA;3297
JAGUARIÚNA;9709
JALES;13823
JAMBEIRO;1091
JANDIRA;14758
JARDINÓPOLIS;8303
JARINU;5458
JAÚ;35596
JERIQUARA;612
JOANÓPOLIS;3118
JOÃO RAMALHO;697
JOSÉ BONIFÁCIO;7714
JÚLIO MESQUITA;935
JUMIRIM;516
JUNDIAÍ;89983
JUNQUEIRÓPOLIS;4958
JUQUIÁ;4270
JUQUITIBA;5308
LAGOINHA;1361
LARANJAL PAULISTA;6380
LAVÍNIA;1213
LAVRINHAS;1024
LEME;18590
LENÇÓIS PAULISTA;12078
LIMEIRA;57241
LINDÓIA;1546
LINS;19532
LORENA;18992
LOURDES;645
LOUVEIRA;5925
LUCÉLIA;4982
LUCIANÓPOLIS;643
LUÍS ANTÔNIO;1922
LUIZIÂNIA;1072
LUPÉRCIO;958
LUTÉCIA;726
MACATUBA;3328
MACAUBAL;2174
MACEDÔNIA;994
MAGDA;901
MAIRINQUE;8140
MAIRIPORÃ;15033
MANDURI;1981
MARABÁ PAULISTA;789
MARACAÍ;2791
MARAPOAMA;837
MARIÁPOLIS;859
MARÍLIA;63594
MARINÓPOLIS;551
MARTINÓPOLIS;5506
MATÃO;16790
MAUÁ;69125
MENDONÇA;1383
MERIDIANO;1020
MESÓPOLIS;543
MIGUELÓPOLIS;4339
MINEIROS DO TIETÊ;2378
MIRA ESTRELA;831
MIRACATU;3879
MIRANDÓPOLIS;7479
MIRANTE DO PARANAPANEMA;4299
MIRASSOL;12576
MIRASSOLÂNDIA;1167
MOCOCA;17016
MOGI DAS CRUZES;78482
MOGI GUAÇU;30342
MOGI MIRIM;21204
MOMBUCA;743
MONÇÕES;669
MONGAGUÁ;11778
MONTE ALEGRE DO SUL;1850
MONTE ALTO;11693
MONTE APRAZÍVEL;6151
MONTE AZUL PAULISTA;4506
MONTE CASTELO;1182
MONTE MOR;8478
MONTEIRO LOBATO;1208
MORRO AGUDO;5446
MORUNGABA;2523
MOTUCA;812
MURUTINGA DO SUL;1291
NANTES;519
NARANDIBA;823
NATIVIDADE DA SERRA;1964
NAZARÉ PAULISTA;3452
NEVES PAULISTA;2704
NHANDEARA;3260
NIPOÃ;804
NOVA ALIANÇA;1613
NOVA CAMPINA;1154
NOVA CANAÃ PAULISTA;611
NOVA CASTILHO;310
NOVA EUROPA;1717
NOVA GRANADA;4280
NOVA GUATAPORANGA;581
NOVA INDEPENDÊNCIA;657
NOVA LUZITÂNIA;760
NOVA ODESSA;9377
NOVAIS;866
NOVO HORIZONTE;8908
NUPORANGA;1729
OCAUÇU;891
ÓLEO;701
OLÍMPIA;12841
ONDA VERDE;933
ORIENTE;1596
ORINDIÚVA;912
ORLÂNDIA;8326
OSASCO;121248
OSCAR BRESSANE;971
OSVALDO CRUZ;8938
OURINHOS;25271
OURO VERDE;2287
OUROESTE;2191
PACAEMBU;3124
PALESTINA;2883
PALMARES PAULISTA;1371
PALMEIRA D'OESTE;2691
PALMITAL;5867
PANORAMA;2944
PARAGUAÇU PAULISTA;9143
PARAIBUNA;3732
PARAÍSO;1489
PARANAPANEMA;3455
PARANAPUÃ;927
PARAPUÃ;2717
PARDINHO;1224
PARIQUERA-AÇU;5250
PARISI;637
PATROCÍNIO PAULISTA;2862
PAULICÉIA;1170
PAULÍNIA;15956
PAULISTÂNIA;432
PAULO DE FARIA;2110
PEDERNEIRAS;8307
PEDRA BELA;1340
PEDRANÓPOLIS;758
PEDREGULHO;3327
PEDREIRA;9453
PEDRINHAS PAULISTA;675
PEDRO DE TOLEDO;2225
PENÁPOLIS;15824
PEREIRA BARRETO;6100
PEREIRAS;1537
PERUÍBE;15770
PIACATU;1261
PIEDADE;10151
PILAR DO SUL;5412
PINDAMONHANGABA;29489
PINDORAMA;4225
PINHALZINHO;3416
PIQUEROBI;1083
PIQUETE;3382
PIRACAIA;5604
PIRACICABA;87240
PIRAJU;7043
PIRAJUÍ;5847
PIRANGI;2713
PIRAPORA DO BOM JESUS;2640
PIRAPOZINHO;5503
PIRASSUNUNGA;18318
PIRATININGA;3816
PITANGUEIRAS;6211
PLANALTO;862
PLATINA;709
POÁ;18799
POLONI;1528
POMPÉIA;5367
PONGAÍ;968
PONTAL;5277
PONTALINDA;753
PONTES GESTAL;601
POPULINA;1213
PORANGABA;2360
PORTO FELIZ;9837
PORTO FERREIRA;10962
POTIM;3065
POTIRENDABA;4057
PRACINHA;398
PRADÓPOLIS;2795
PRAIA GRANDE;62928
PRATÂNIA;768
PRESIDENTE ALVES;1090
PRESIDENTE BERNARDES;4456
PRESIDENTE EPITÁCIO;8424
PRESIDENTE PRUDENTE;59655
PRESIDENTE VENCESLAU;10464
PROMISSÃO;8207
QUADRA;665
QUATÁ;2665
QUEIROZ;619
QUELUZ;2029
QUINTANA;1514
RAFARD;1786
RANCHARIA;6766
REDENÇÃO DA SERRA;875
REGENTE FEIJÓ;4062
REGINÓPOLIS;1431
REGISTRO;14670
RESTINGA;1099
RIBEIRA;829
RIBEIRÃO BONITO;2401
RIBEIRÃO BRANCO;2673
RIBEIRÃO CORRENTE;778
RIBEIRÃO DO SUL;1140
RIBEIRÃO DOS ÍNDIOS;763
RIBEIRÃO GRANDE;1418
RIBEIRÃO PIRES;25064
RIBEIRÃO PRETO;156723
RIFAINA;871
RINCÃO;2123
RINÓPOLIS;2476
RIO CLARO;47821
RIO DAS PEDRAS;4995
RIO GRANDE DA SERRA;6697
RIOLÂNDIA;1900
RIVERSUL;1287
ROSANA;4205
ROSEIRA;1906
RUBIÁCEA;590
RUBINÉIA;873
SABINO;1550
SAGRES;622
SALES;1450
SALES OLIVEIRA;2721
SALESÓPOLIS;3018
SALMOURÃO;1104
SALTINHO;1678
SALTO;21549
SALTO DE PIRAPORA;8609
SALTO GRANDE;1995
SANDOVALINA;757
SANTA ADÉLIA;3547
SANTA ALBERTINA;1654
SANTA BÁRBARA D'OESTE;33489
SANTA BRANCA;3248
SANTA CLARA D'OESTE;518
SANTA CRUZ DA CONCEIÇÃO;1183
SANTA CRUZ DA ESPERANÇA;538
SANTA CRUZ DAS PALMEIRAS;5818
