Município;Qtd Dose
31º BATALHÃO DA POLÍCIA MILITAR;480
32º BATALHÃO DA POLÍCIA MILITAR;580
54º BATALHÃO DA POLÍCIA MILITAR I SEDE;870
COMANDO DE POLICIAMENTO DO INTERIOR 1;1010
ADAMANTINA;8945
ADOLFO;823
AGUAI;5018
AGUAS DA PRATA;1984
AGUAS DE LINDOIA;3619
ÁGUAS DE SANTA BÁRBARA;1143
ÁGUAS DE SÃO PEDRO;1236
AGUDOS;8380
ALAMBARI;834
ALFREDO MARCONDES;1226
ALTAIR;612
ALTINOPOLIS;3438
ALTO ALEGRE;1110
ALUMÍNIO;2114
ALVARES FLORENCE;994
ÁLVARES MACHADO;4501
ALVARO DE CARVALHO;670
ALVINLANDIA;542
AMERICANA;42670
AMÉRICO BRASILIENSE;5865
AMERICO DE CAMPOS;1334
AMPARO;14436
ANALÂNDIA;838
ANDRADINA;12755
ANGATUBA;3747
ANHEMBI;950
ANHUMAS;756
APARECIDA;6048
APARECIDA D'OESTE;1156
APIAÍ;3664
ARAÇARIGUAMA;2074
ARAÇATUBA;43329
ARAÇOIABA DA SERRA;4955
ARAMINA;966
ARANDU;1017
ARAPEI;494
ARARAQUARA;50466
ARARAS;23866
ARCO-IRIS;779
AREALVA;1923
AREIAS;720
AREIÓPOLIS;1310
ARIRANHA;1647
ARTUR NOGUEIRA;7232
ARUJA;7196
ASPÁSIA;428
ASSIS;22527
ATIBAIA;27920
AURIFLAMA;3247
AVAÍ;1686
AVANHANDAVA;1434
AVARÉ;17343
BADY BASSITT;3082
BALBINOS;350
BALSAMO;1933
BANANAL;2288
BARÃO DE ANTONINA;774
BARBOSA;1220
BARIRI;6950
BARRA BONITA;7296
BARRA DO CHAPÉU;796
BARRA DO TURVO;2818
BARRETOS;31154
BARRINHA;3478
BARUERI;37062
BASTOS;3578
BATATAIS;11587
BAURU;86668
BEBEDOURO;14415
BENTO DE ABREU;424
BERNARDINO DE CAMPOS;2552
BERTIOGA;6856
BILAC;1841
BIRIGUI;20892
BIRITIBA MIRIM;2554
BOA ESPERANÇA DO SUL;1962
BOCAINA;1848
BOFETE;1826
BOITUVA;7566
BOM JESUS DOS PERDOES;3024
BOM SUCESSO DE ITARARÉ;420
BORÁ;202
BORACÉIA;904
BORBOREMA;3010
BOREBI;428
BOTUCATU;33999
BRAGANÇA PAULISTA;30938
BRAUNA;1258
BREJO ALEGRE;606
BRODOWSKI;4326
BROTAS;3916
BURI;2572
BURITAMA;3017
BURITIZAL;938
CABRÁLIA PAULISTA;768
CABREUVA;5095
CAÇAPAVA;14662
CACHOEIRA PAULISTA;6244
CACONDE;3636
CAFELÂNDIA;3666
CAIABU;834
CAIEIRAS;11958
CAIUÁ;1150
CAJAMAR;7477
CAJATI;3861
CAJOBI;1821
CAJURU;4918
CAMPINA DO MONTE ALEGRE;918
CAMPINAS;240030
CAMPO LIMPO PAULISTA;10388
CAMPOS DO JORDAO;7108
CAMPOS NOVOS PAULISTA;856
CANANÉIA;2398
CANAS;592
CANDIDO MOTA;5460
CANDIDO RODRIGUES;690
CANITAR;544
CAPÃO BONITO;6749
CAPELA DO ALTO;2419
CAPIVARI;7972
CARAGUATATUBA;17121
CARAPICUIBA;45385
CARDOSO;2633
CASA BRANCA;6594
CASSIA DOS COQUEIROS;546
CASTILHO;3981
CATANDUVA;30322
CATIGUA;1183
CEDRAL;2482
CERQUEIRA CÉSAR;3308
CERQUILHO;6980
CESÁRIO LANGE;2387
CHARQUEADA;2393
CHAVANTES;1970
CLEMENTINA;1090
COLINA;3005
COLÔMBIA;1009
CONCHAL;3599
CONCHAS;3329
CORDEIRÓPOLIS;3990
COROADOS;862
CORONEL MACEDO;852
CORUMBATAÍ;712
COSMOPOLIS;7708
COSMORAMA;1711
COTIA;30244
CRAVINHOS;5408
CRISTAIS PAULISTA;1292
CRUZALIA;416
CRUZEIRO;13522
CUBATÃO;14724
CUNHA;3869
DESCALVADO;6665
DIADEMA;50506
DIRCE REIS;439
DIVINOLANDIA;2907
DOBRADA;1033
DOIS CÓRREGOS;4682
DOLCINÓPOLIS;510
DOURADO;1868
DRACENA;12357
DUARTINA;2748
DUMONT;1195
ECHAPORÃ;1588
ELDORADO;5831
ELIAS FAUSTO;2274
ELISIARIO;621
EMBAÚBA;480
EMBU DAS ARTES;25730
EMBU-GUAÇU;9518
EMILIANÓPOLIS;668
ENGENHEIRO COELHO;2090
ESPIRITO SANTO DO PINHAL;9066
ESPÍRITO SANTO DO TURVO;564
ESTIVA GERBI;1316
ESTRELA DO NORTE;429
ESTRELA D'OESTE;1903
EUCLIDES DA CUNHA PAULISTA;1436
FARTURA;3190
FERNANDO PRESTES;1528
FERNANDÓPOLIS;17704
FERNÃO;396
FERRAZ DE VASCONCELOS;14590
FLORA RICA;535
FLOREAL;824
FLORIDA PAULISTA;2290
FLORINEA;608
FRANCA;54308
FRANCISCO MORATO;16972
FRANCO DA ROCHA;22497
GABRIEL MONTEIRO;627
GÁLIA;1624
GARÇA;9174
GASTAO VIDIGAL;739
GAVIÃO PEIXOTO;677
GENERAL SALGADO;2494
GETULINA;2120
GLICERIO;813
GUAIÇARA;1676
GUAIMBE;1158
GUAÍRA;5729
GUAPIAÇU;3524
GUAPIARA;2868
GUARÁ;3373
GUARAÇAÍ;1906
GUARACI;1840
GUARANÍ D'OESTE;422
GUARANTA;1092
GUARARAPES;6055
GUARAREMA;3298
