Município;Qtd Dose
ZACARIAS;351
VOTUPORANGA;17596
VOTORANTIM;21568
VITÓRIA BRASIL;263
VISTA ALEGRE DO ALTO;665
VIRADOURO;1680
VINHEDO;9838
VERA CRUZ;1819
VARZEA PAULISTA;8846
VARGEM GRANDE PAULISTA;3610
VARGEM GRANDE DO SUL;5868
VARGEM;1559
VALPARAISO;3739
VALINHOS;15260
VALENTIM GENTIL;1278
URUPÊS;2119
URU;264
URÂNIA;1628
UNIÃO PAULISTA;244
UCHÔA;1609
UBIRAJARA;614
UBATUBA;5066
UBARANA;508
TURMALINA;417
TURIUBA;347
TUPI PAULISTA;3063
TUPA;13916
TUIUTI;893
TRÊS FRONTEIRAS;974
TREMEMBE;6694
TRABIJÚ;200
TORRINHA;1566
TORRE DE PEDRA;417
TIMBURI;424
TIETÊ;10616
TERRA ROXA;1050
TEODORO SAMPAIO;2296
TEJUPÁ;400
TAUBATE;40784
TATUÍ;15337
TARUMÃ;1274
TARABAI;758
TAQUARIVAI;456
TAQUARITUBA;3058
TAQUARITINGA;7859
TAQUARAL;290
TAPIRATIBA;1732
TAPIRAÍ;1003
TANABI;3906
TAMBAU;3068
TAIUVA;884
TAIAÇU;880
TAGUAÍ;1207
TACIBA;746
TABOÃO DA SERRA;26277
TABATINGA;1449
TABAPUÃ;1722
SUZANO;26069
SUZANAPOLIS;469
SUMARE;24037
SUD MENNUCCI;1092
SOROCABA;82767
SOCORRO;6068
SILVEIRAS;779
SEVERÍNIA;1293
SETE BARRAS;1364
SERTAOZINHO;13670
SERRANA;4422
SERRA NEGRA;4507
SERRA AZUL;1274
SEBASTIANÓPOLIS DO SUL;485
SARUTAIA;518
SARAPUÍ;916
SÃO VICENTE;40506
SAO SIMAO;2202
SAO SEBASTIAO DA GRAMA;1611
SÃO SEBASTIÃO;4110
SÃO ROQUE;12120
SÃO PEDRO DO TURVO;906
SÃO PEDRO;4866
SÃO PAULO;1793560
SÃO MIGUEL ARCANJO;3225
SÃO MANUEL;5092
SAO LUIZ DO PARAITINGA;1360
SÃO LOURENÇO DA SERRA;1056
SÃO JOSÉ DOS CAMPOS;88788
SÃO JOSÉ DO RIO PRETO;77232
SAO JOSE DO RIO PARDO;9120
SAO JOSE DO BARREIRO;543
SÃO JOSÉ DA BELA VISTA;860
SÃO JOAQUIM DA BARRA;7446
SÃO JOÃO DO PAU D'ALHO;448
SÃO JOÃO DE IRACEMA;320
SÃO JOÃO DAS DUAS PONTES;329
SAO JOAO DA BOA VISTA;17157
SÃO FRANCISCO;480
SÃO CARLOS;31719
SÃO CAETANO DO SUL;36936
SÃO BERNARDO DO CAMPO;84528
SAO BENTO DO SAPUCAI;1590
SANTOS;100199
SANTOPOLIS DO AGUAPEI;546
SANTO EXPEDITO;518
SANTO ANTONIO DO PINHAL;796
SANTO ANTONIO DO JARDIM;842
SANTO ANTONIO DO ARACANGUA;942
SANTO ANTONIO DE POSSE;2444
SANTO ANTONIO DA ALEGRIA;1028
SANTO ANDRÉ;93208
SANTO ANASTÁCIO;3233
SANTANA DE PARNAIBA;9984
SANTANA DA PONTE PENSA;307
SANTA SALETE;338
SANTA ROSA DE VITERBO;3415
SANTA RITA DO PASSA QUATRO;5060
SANTA RITA D'OESTE;405
SANTA MERCEDES;432
SANTA MARIA DA SERRA;708
SANTA LÚCIA;602
SANTA ISABEL;5337
SANTA GERTRUDES;2014
SANTA FÉ DO SUL;6722
SANTA ERNESTINA;404
SANTA CRUZ DO RIO PARDO;6939
SANTA CRUZ DAS PALMEIRAS;3506
SANTA CRUZ DA ESPERANÇA;318
SANTA CRUZ DA CONCEIÇÃO;730
SANTA CLARA D'OESTE;296
SANTA BRANCA;1878
SANTA BARBARA D'OESTE;18906
SANTA ALBERTINA;1022
SANTA ADÉLIA;2232
SANDOVALINA;423
SALTO GRANDE;1146
SALTO DE PIRAPORA;5196
SALTO;13279
SALTINHO;895
SALMOURÃO;644
SALESOPOLIS;1723
SALES OLIVEIRA;1689
SALES;824
SAGRES;356
SABINO;957
RUBINÉIA;488
RUBIACEA;348
ROSEIRA;1144
ROSANA;2400
RIVERSUL;723
RIOLANDIA;1104
RIO GRANDE DA SERRA;3055
RIO DAS PEDRAS;2866
RIO CLARO;31206
RINOPOLIS;1486
RINCÃO;1024
RIFAINA;504
RIBEIRÃO PRETO;100891
RIBEIRÃO PIRES;12377
RIBEIRÃO GRANDE;726
RIBEIRÃO DOS INDIOS;499
RIBEIRÃO DO SUL;648
RIBEIRÃO CORRENTE;476
RIBEIRAO BRANCO;1460
RIBEIRÃO BONITO;1153
RIBEIRA;458
RESTINGA;654
REGISTRO;8093
REGINÓPOLIS;908
REGENTE FEIJÓ;2269
REDENCAO DA SERRA;520
RANCHARIA;4118
RAFARD;1068
QUINTANA;912
QUELUZ;1144
QUEIROZ;388
QUATÁ;1662
QUADRA;339
PROMISSÃO;5044
PRESIDENTE VENCESLAU;6639
PRESIDENTE PRUDENTE;39849
PRESIDENTE EPITÁCIO;4929
PRESIDENTE BERNARDES;2934
PRESIDENTE ALVES;674
PRATÂNIA;439
PRAIA GRANDE;37954
PRADOPOLIS;1420
PRACINHA;267
POTIRENDABA;2532
POTIM;1962
PORTO FERREIRA;5325
PORTO FELIZ;5800
PORANGABA;1343
POPULINA;770
PONTES GESTAL;330
PONTALINDA;406
PONTAL;3134
PONGAI;560
POMPEIA;3451
POLONI;940
POA;11405
PLATINA;400
PLANALTO;549
PITANGUEIRAS;3838
PIRATININGA;2584
PIRASSUNUNGA;11326
PIRAPOZINHO;3275
PIRAPORA DO BOM JESUS;1395
PIRANGI;1628
PIRAJUÍ;3820
PIRAJÚ;4211
PIRACICABA;53894
PIRACAIA;3227
PIQUETE;2079
PIQUEROBI;728
PINHALZINHO;1846
PINDORAMA;2652
PINDAMONHANGABA;16777
PILAR DO SUL;3035
PIEDADE;5600
PIACATU;705
PERUÍBE;9118
PEREIRAS;864
PEREIRA BARRETO;3672
PENAPOLIS;9684
PEDRO DE TOLEDO;1208
PEDRINHAS PAULISTA;381
PEDREIRA;5922
PEDREGULHO;1995
PEDRANÓPOLIS;466
PEDRA BELA;736
PEDERNEIRAS;4944
PAULO DE FARIA;1368
PAULISTÂNIA;236
PAULINIA;9258
PAULICÉIA;655
PATROCÍNIO PAULISTA;1758
PARISI;384
PARIQUERA-AÇÚ;3854
PARDINHO;724
PARAPUA;1581
PARANAPUÃ;517
PARANAPANEMA;2105
PARAISO;914
PARAIBUNA;2156
PARAGUAÇU PAULISTA;5440
PANORAMA;1716
PALMITAL;3560
PALMEIRA D'OESTE;1581
PALMARES PAULISTA;799
PALESTINA;1723
PACAEMBU;1938
OUROESTE;1354
OURO VERDE;1592
OURINHOS;15359
OSVALDO CRUZ;5469
OSCAR BRESSANE;600
OSASCO;60758
ORLÂNDIA;4845
ORINDIUVA;562
ORIENTE;1033
ONDA VERDE;570
OLIMPIA;6492
ÓLEO;389
OCAUÇU;484
NUPORANGA;1106
NOVO HORIZONTE;5439
NOVAIS;566
NOVA ODESSA;5019
NOVA LUZITÂNIA;426
NOVA INDEPENDÊNCIA;424
NOVA GUATAPORANGA;334
NOVA GRANADA;2535
NOVA EUROPA;782
NOVA CASTILHO;183
NOVA CANAÃ PAULISTA;336
NOVA CAMPINA;625
NOVA ALIANÇA;995
NIPOÃ;464
NHANDEARA;1959
NEVES PAULISTA;1704
NAZARE PAULISTA;1861
NATIVIDADE DA SERRA;1220
NARANDIBA;512
NANTES;301
MURUTINGA DO SUL;762
MOTUCA;385
MORUNGABA;1435
MORRO AGUDO;3450
MONTEIRO LOBATO;746
MONTE MOR;4662
MONTE CASTELO;709
MONTE AZUL PAULISTA;2264
MONTE APRAZIVEL;3976
MONTE ALTO;7092
MONTE ALEGRE DO SUL;1103
MONGAGUÁ;6268
MONÇÕES;421
MOMBUCA;479
MOGI MIRIM;13075
MOGI GUAÇU;17888
MOGI DAS CRUZES;36304
MOCOCA;10610
MIRASSOLANDIA;660
MIRASSOL;7566
MIRANTE DO PARANAPANEMA;2570
MIRANDOPOLIS;4773
MIRACATU;2213
MIRA ESTRELA;468
MINEIROS DO TIETÊ;1398
MIGUELÓPOLIS;2750
MESÓPOLIS;337
MERIDIANO;638
MENDONÇA;922
MAUA;33655
MATÃO;8266
MARTINÓPOLIS;3272
MARINÓPOLIS;346
MARILIA;42794
MARIAPOLIS;531
MARAPOAMA;518
MARACAI;1588
MARABA PAULISTA;448
MANDURI;1128
MAIRIPORÃ;8496
MAIRINQUE;4570
MAGDA;526
MACEDÔNIA;555
MACAUBAL;1336
MACATUBA;2034
LUTÉCIA;456
LUPERCIO;536
LUIZIÂNIA;650
LUIS ANTONIO;1153
LUCIANÓPOLIS;344
LUCELIA;3106
LOUVEIRA;3584
LOURDES;393
LORENA;11566
LINS;12816
LINDOIA;927
LIMEIRA;33645
LENÇÓIS PAULISTA;7228
LEME;11196
LAVRINHAS;592
LAVINIA;769
LARANJAL PAULISTA;3859
LAGOINHA;818
JUQUITIBA;2622
JUQUIÁ;2399
JUNQUEIROPOLIS;3089
JUNDIAI;54572
JUMIRIM;302
JULIO MESQUITA;520
JOSE BONIFACIO;4749
JOÃO RAMALHO;409
JOANOPOLIS;1875
JERIQUARA;371
JAÚ;24426
JARINU;3159
JARDINOPOLIS;5029
JANDIRA;6740
JAMBEIRO;628
JALES;8686
JAGUARIUNA;5724
JACUPIRANGA;1798
JACI;1135
JACAREÍ;27524
JABOTICABAL;10616
JABORANDI;756
ITUVERAVA;6796
ITUPEVA;4080
ITU;18735
ITOBI;1016
ITIRAPUÃ;831
ITIRAPINA;1764
ITATINGA;1784
ITATIBA;13270
ITARIRI;1668
ITARARE;5686
ITAQUAQUECETUBA;19575
ITAPURA;547
ITAPUÍ;1426
ITAPORANGA;2137
ITAPOLIS;4930
ITAPIRAPUA PAULISTA;389
ITAPIRA;11534
ITAPEVI;13829
ITAPEVA;10877
ITAPETININGA;19398
ITAPECERICA DA SERRA;12370
ITAOCA;731
ITANHAÉM;14084
ITAJU;442
ITAJOBI;2476
ITAÍ;2337
ITABERA;2061
IRAPURU;1017
IRAPUÃ;893
IRACEMÁPOLIS;2444
IPUÃ;1528
IPORANGA;1302
IPIGUA;612
IPEUNA;617
IPERÓ;2169
IPAUSSU;1698
INUBIA PAULISTA;582
INDIAPORÃ;810
INDIANA;741
INDAIATUBA;25864
ILHABELA;2039
ILHA SOLTEIRA;4176
ILHA COMPRIDA;1227
IGUAPE;4211
IGARATA;1148
IGARAPAVA;3541
IGARAÇÚ DO TIETÊ;2161
IEPE;1239
ICEM;1020
IBIÚNA;10176
IBITINGA;6319
IBIRAREMA;1034
IBIRA;1768
IBATÉ;2158
IARAS;574
IACRI;925
IACANGA;1458
HORTOLANDIA;21596
HOLAMBRA;1334
HERCULANDIA;1254
GUZOLANDIA;494
GUATAPARA;825
GUARULHOS;119274
GUARUJÁ;35972
GUARIBA;3230
GUAREÍ;1310
GUARATINGUETA;16698
GUARAREMA;3298
GUARARAPES;4235
GUARANTA;792
GUARANÍ D'OESTE;302
GUARACI;1280
GUARAÇAÍ;1356
GUARÁ;2493
GUAPIARA;1968
GUAPIAÇU;2454
GUAÍRA;3649
GUAIMBE;858
GUAIÇARA;1156
GLICERIO;573
GETULINA;1570
GENERAL SALGADO;1844
GAVIÃO PEIXOTO;417
GASTAO VIDIGAL;499
GARÇA;6794
GÁLIA;1204
GABRIEL MONTEIRO;427
FRANCO DA ROCHA;14747
FRANCISCO MORATO;11952
FRANCA;38038
FLORINEA;438
FLORIDA PAULISTA;1650
FLOREAL;594
FLORA RICA;405
FERRAZ DE VASCONCELOS;14590
FERNÃO;306
FERNANDÓPOLIS;13314
FERNANDO PRESTES;1108
FARTURA;2300
EUCLIDES DA CUNHA PAULISTA;1006
ESTRELA DO NORTE;309
ESTRELA D'OESTE;1373
ESTIVA GERBI;866
ESPÍRITO SANTO DO TURVO;384
ESPIRITO SANTO DO PINHAL;6686
ENGENHEIRO COELHO;1510
EMILIANÓPOLIS;448
EMBU-GUAÇU;5638
EMBU DAS ARTES;13710
EMBAÚBA;340
ELISIARIO;441
ELIAS FAUSTO;1584
ELDORADO;5081
ECHAPORÃ;1198
DUMONT;1635
DUARTINA;1988
DRACENA;9507
DOURADO;1098
DOLCINÓPOLIS;350
DOIS CÓRREGOS;3432
DOBRADA;613
DIVINOLANDIA;2207
DIRCE REIS;309
DIADEMA;30466
DESCALVADO;4005
CUNHA;2649
CUBATÃO;12034
CRUZEIRO;9522
CRUZALIA;286
CRISTAIS PAULISTA;922
CRAVINHOS;3898
COTIA;18514
COSMORAMA;1161
COSMOPOLIS;5228
CORUMBATAÍ;502
CORONEL MACEDO;592
COROADOS;572
CORDEIRÓPOLIS;2930
CONCHAS;2409
CONCHAL;2499
COLÔMBIA;719
COLINA;1995
CLEMENTINA;780
CHAVANTES;1330
CHARQUEADA;1673
CESÁRIO LANGE;1617
CERQUILHO;4830
CERQUEIRA CÉSAR;2348
CEDRAL;1922
CATIGUA;833
CATANDUVA;23482
CASTILHO;3021
CASSIA DOS COQUEIROS;886
CASA BRANCA;5084
CARDOSO;1853
CARAPICUIBA;24935
CARAGUATATUBA;8231
CAPIVARI;5822
CAPELA DO ALTO;1609
CAPÃO BONITO;4589
CANITAR;374
CANDIDO RODRIGUES;390
CANDIDO MOTA;3770
CANAS;422
CANANÉIA;1738
CAMPOS NOVOS PAULISTA;586
CAMPOS DO JORDAO;5278
CAMPO LIMPO PAULISTA;7138
CAMPINAS;181370
CAMPINA DO MONTE ALEGRE;638
CAJURU;3738
CAJOBI;1201
CAJATI;2631
CAJAMAR;5397
CAIUÁ;820
CAIEIRAS;8588
CAIABU;604
CAFELÂNDIA;2636
CACONDE;2556
CACHOEIRA PAULISTA;4584
CAÇAPAVA;11812
CABREUVA;3485
CABRÁLIA PAULISTA;558
BURITIZAL;688
BURITAMA;2097
BURI;1782
BROTAS;2776
