Município;Qtd Dose
ZACARIAS;291
VOTUPORANGA;15306
VOTORANTIM;19568
VITÓRIA BRASIL;213
VISTA ALEGRE DO ALTO;665
VIRADOURO;1680
VINHEDO;8308
VERA CRUZ;1519
VARZEA PAULISTA;7156
VARGEM GRANDE PAULISTA;3610
VARGEM GRANDE DO SUL;4998
VARGEM;1309
VALPARAISO;3339
VALINHOS;12690
VALENTIM GENTIL;1028
URUPÊS;1739
URU;224
URÂNIA;1378
UNIÃO PAULISTA;204
UCHÔA;1349
UBIRAJARA;504
UBATUBA;5066
UBARANA;418
TURMALINA;357
TURIUBA;287
TUPI PAULISTA;2633
TUPA;12066
TUIUTI;703
TRÊS FRONTEIRAS;794
TREMEMBE;5924
TRABIJÚ;190
TORRINHA;1286
TORRE DE PEDRA;347
TIMBURI;354
TIETÊ;9716
TERRA ROXA;1050
TEODORO SAMPAIO;1896
TEJUPÁ;320
TAUBATE;34744
TATUÍ;13057
TARUMÃ;1064
TARABAI;638
TAQUARIVAI;386
TAQUARITUBA;2608
TAQUARITINGA;7189
TAQUARAL;290
TAPIRATIBA;1442
TAPIRAÍ;843
TANABI;3246
TAMBAU;2528
TAIUVA;884
TAIAÇU;880
TAGUAÍ;997
TACIBA;616
TABOÃO DA SERRA;26277
TABATINGA;1309
TABAPUÃ;1432
SUZANO;17869
SUZANAPOLIS;379
SUMARE;19987
SUD MENNUCCI;922
SOROCABA;70527
SOCORRO;4918
SILVEIRAS;629
SEVERÍNIA;1293
SETE BARRAS;1094
SERTAOZINHO;11570
SERRANA;3592
SERRA NEGRA;3627
SERRA AZUL;1094
SEBASTIANÓPOLIS DO SUL;405
SARUTAIA;428
SARAPUÍ;726
SÃO VICENTE;30376
SAO SIMAO;1842
SAO SEBASTIAO DA GRAMA;1321
SÃO SEBASTIÃO;4110
SÃO ROQUE;10200
SÃO PEDRO DO TURVO;716
SÃO PEDRO;3906
SÃO PAULO;1421230
SÃO MIGUEL ARCANJO;2595
SÃO MANUEL;4252
SAO LUIZ DO PARAITINGA;1110
SÃO LOURENÇO DA SERRA;1056
SÃO JOSÉ DOS CAMPOS;75568
SÃO JOSÉ DO RIO PRETO;66512
SAO JOSE DO RIO PARDO;7720
SAO JOSE DO BARREIRO;453
SÃO JOSÉ DA BELA VISTA;700
SÃO JOAQUIM DA BARRA;6386
SÃO JOÃO DO PAU D'ALHO;368
SÃO JOÃO DE IRACEMA;270
SÃO JOÃO DAS DUAS PONTES;269
SAO JOAO DA BOA VISTA;14957
SÃO FRANCISCO;380
SÃO CARLOS;29209
SÃO CAETANO DO SUL;36936
SÃO BERNARDO DO CAMPO;84528
SAO BENTO DO SAPUCAI;1330
SANTOS;79919
SANTOPOLIS DO AGUAPEI;456
SANTO EXPEDITO;438
SANTO ANTONIO DO PINHAL;656
SANTO ANTONIO DO JARDIM;692
SANTO ANTONIO DO ARACANGUA;792
SANTO ANTONIO DE POSSE;2084
SANTO ANTONIO DA ALEGRIA;828
SANTO ANDRÉ;93208
SANTO ANASTÁCIO;2713
SANTANA DE PARNAIBA;9984
SANTANA DA PONTE PENSA;247
SANTA SALETE;278
SANTA ROSA DE VITERBO;2795
SANTA RITA DO PASSA QUATRO;4240
SANTA RITA D'OESTE;325
SANTA MERCEDES;372
SANTA MARIA DA SERRA;608
SANTA LÚCIA;532
SANTA ISABEL;3737
SANTA GERTRUDES;1714
SANTA FÉ DO SUL;5842
SANTA ERNESTINA;364
SANTA CRUZ DO RIO PARDO;5809
SANTA CRUZ DAS PALMEIRAS;2916
SANTA CRUZ DA ESPERANÇA;268
SANTA CRUZ DA CONCEIÇÃO;610
SANTA CLARA D'OESTE;236
SANTA BRANCA;1538
SANTA BARBARA D'OESTE;15256
SANTA ALBERTINA;862
SANTA ADÉLIA;1892
SANDOVALINA;343
SALTO GRANDE;936
SALTO DE PIRAPORA;4346
SALTO;11209
SALTINHO;685
SALMOURÃO;524
SALESOPOLIS;1223
SALES OLIVEIRA;1409
SALES;654
SAGRES;276
SABINO;807
RUBINÉIA;398
RUBIACEA;288
ROSEIRA;954
ROSANA;1980
RIVERSUL;583
RIOLANDIA;904
RIO GRANDE DA SERRA;3055
RIO DAS PEDRAS;2356
RIO CLARO;26746
RINOPOLIS;1226
RINCÃO;924
RIFAINA;414
RIBEIRÃO PRETO;86331
RIBEIRÃO PIRES;12377
RIBEIRÃO GRANDE;556
RIBEIRÃO DOS INDIOS;439
RIBEIRÃO DO SUL;518
RIBEIRÃO CORRENTE;406
RIBEIRAO BRANCO;1190
RIBEIRÃO BONITO;1033
RIBEIRA;378
RESTINGA;554
REGISTRO;6933
REGINÓPOLIS;768
REGENTE FEIJÓ;1819
REDENCAO DA SERRA;430
RANCHARIA;3468
RAFARD;868
QUINTANA;762
QUELUZ;924
QUEIROZ;328
QUATÁ;1422
QUADRA;259
PROMISSÃO;4254
PRESIDENTE VENCESLAU;5609
PRESIDENTE PRUDENTE;34649
PRESIDENTE EPITÁCIO;4059
PRESIDENTE BERNARDES;2524
PRESIDENTE ALVES;574
PRATÂNIA;369
PRAIA GRANDE;28034
PRADOPOLIS;1100
PRACINHA;227
POTIRENDABA;2132
POTIM;1702
PORTO FERREIRA;4725
PORTO FELIZ;4760
PORANGABA;1083
POPULINA;650
PONTES GESTAL;270
PONTALINDA;316
PONTAL;2654
PONGAI;460
POMPEIA;2951
POLONI;790
POA;8935
PLATINA;330
PLANALTO;479
PITANGUEIRAS;3258
PIRATININGA;2244
PIRASSUNUNGA;9456
PIRAPOZINHO;2715
PIRAPORA DO BOM JESUS;1395
PIRANGI;1338
PIRAJUÍ;3280
PIRAJÚ;3511
PIRACICABA;45294
PIRACAIA;2607
PIQUETE;1719
PIQUEROBI;638
PINHALZINHO;1446
PINDORAMA;2222
PINDAMONHANGABA;13767
PILAR DO SUL;2435
PIEDADE;4460
PIACATU;575
PERUÍBE;6438
PEREIRAS;694
PEREIRA BARRETO;3042
PENAPOLIS;8124
PEDRO DE TOLEDO;968
PEDRINHAS PAULISTA;311
PEDREIRA;5062
PEDREGULHO;1655
PEDRANÓPOLIS;386
PEDRA BELA;586
PEDERNEIRAS;4114
PAULO DE FARIA;1168
PAULISTÂNIA;196
PAULINIA;7768
PAULICÉIA;545
PATROCÍNIO PAULISTA;1488
PARISI;314
PARIQUERA-AÇÚ;3444
PARDINHO;594
PARAPUA;1271
PARANAPUÃ;407
PARANAPANEMA;1805
PARAISO;764
PARAIBUNA;1796
PARAGUAÇU PAULISTA;4490
PANORAMA;1416
PALMITAL;2930
PALMEIRA D'OESTE;1281
PALMARES PAULISTA;668
PALESTINA;1433
PACAEMBU;1628
OUROESTE;1144
OURO VERDE;1422
OURINHOS;12829
OSVALDO CRUZ;4559
OSCAR BRESSANE;500
OSASCO;60758
ORLÂNDIA;3985
ORINDIUVA;482
ORIENTE;883
ONDA VERDE;480
OLIMPIA;6492
ÓLEO;309
OCAUÇU;384
NUPORANGA;946
NOVO HORIZONTE;4569
NOVAIS;486
NOVA ODESSA;3919
NOVA LUZITÂNIA;336
NOVA INDEPENDÊNCIA;374
NOVA GUATAPORANGA;274
NOVA GRANADA;2075
NOVA EUROPA;692
NOVA CASTILHO;143
NOVA CANAÃ PAULISTA;276
NOVA CAMPINA;515
NOVA ALIANÇA;835
NIPOÃ;384
NHANDEARA;1609
NEVES PAULISTA;1424
NAZARE PAULISTA;1461
NATIVIDADE DA SERRA;1050
NARANDIBA;442
NANTES;251
MURUTINGA DO SUL;622
MOTUCA;335
MORUNGABA;1165
MORRO AGUDO;2980
MONTEIRO LOBATO;626
MONTE MOR;3742
MONTE CASTELO;589
MONTE AZUL PAULISTA;2264
MONTE APRAZIVEL;3436
MONTE ALTO;5872
MONTE ALEGRE DO SUL;893
MONGAGUÁ;4028
MONÇÕES;351
MOMBUCA;419
MOGI MIRIM;10995
MOGI GUAÇU;14808
MOGI DAS CRUZES;36304
MOCOCA;8980
MIRASSOLANDIA;540
MIRASSOL;6256
MIRANTE DO PARANAPANEMA;2150
MIRANDOPOLIS;4073
MIRACATU;1813
MIRA ESTRELA;368
MINEIROS DO TIETÊ;1138
MIGUELÓPOLIS;2350
MESÓPOLIS;287
MERIDIANO;548
MENDONÇA;802
MAUA;33655
MATÃO;7436
MARTINÓPOLIS;2682
MARINÓPOLIS;296
MARILIA;37324
MARIAPOLIS;441
MARAPOAMA;438
MARACAI;1298
MARABA PAULISTA;368
MANDURI;918
MAIRIPORÃ;6936
MAIRINQUE;3720
MAGDA;436
MACEDÔNIA;445
MACAUBAL;1116
MACATUBA;1694
LUTÉCIA;396
LUPERCIO;426
LUIZIÂNIA;540
LUIS ANTONIO;973
LUCIANÓPOLIS;264
LUCELIA;2626
LOUVEIRA;3074
LOURDES;323
LORENA;9676
LINS;11076
LINDOIA;777
LIMEIRA;27625
LENÇÓIS PAULISTA;5998
LEME;9326
LAVRINHAS;502
LAVINIA;659
LARANJAL PAULISTA;3199
LAGOINHA;678
JUQUITIBA;2622
JUQUIÁ;1969
JUNQUEIROPOLIS;2599
JUNDIAI;45462
JUMIRIM;252
JULIO MESQUITA;400
JOSE BONIFACIO;3989
JOÃO RAMALHO;339
JOANOPOLIS;1555
JERIQUARA;311
JAÚ;21446
JARINU;2589
JARDINOPOLIS;4219
JANDIRA;6740
JAMBEIRO;518
JALES;7336
JAGUARIUNA;4744
JACUPIRANGA;1448
JACI;1035
JACAREÍ;22994
JABOTICABAL;8846
JABORANDI;756
ITUVERAVA;5816
ITUPEVA;3370
ITU;15645
ITOBI;856
ITIRAPUÃ;691
ITIRAPINA;1494
ITATINGA;1504
ITATIBA;11130
ITARIRI;1348
ITARARE;4716
ITAQUAQUECETUBA;13545
ITAPURA;457
ITAPUÍ;1186
ITAPORANGA;1767
ITAPOLIS;4420
ITAPIRAPUA PAULISTA;309
ITAPIRA;9804
ITAPEVI;13829
ITAPEVA;9297
ITAPETININGA;16438
ITAPECERICA DA SERRA;12370
ITAOCA;651
ITANHAÉM;10074
ITAJU;372
