Municipio;Qtd-Doses-Distribuidas;;
PAULISTÂNIA;704;;
PAULO DE FARIA;3412;;
PEDERNEIRAS;14135;;
PEDRA BELA;2222;;
PEDRANÓPOLIS;1244;;
PEDREGULHO;5516;;
PEDREIRA;15857;;
PEDRINHAS PAULISTA;1218;;
PEDRO DE TOLEDO;3894;;
PENÁPOLIS;25878;;
PEREIRA BARRETO;9751;;
PEREIRAS;2620;;
PERUÍBE;26671;;
PIACATU;2136;;
PIEDADE;17921;;
PILAR DO SUL;9350;;
PINDAMONHANGABA;52649;;
PINDORAMA;6620;;
PINHALZINHO;5795;;
PIQUEROBI;1661;;
PIQUETE;5599;;
PIRACAIA;9553;;
PIRACICABA;148229;;
PIRAJU;11836;;
PIRAJUÍ;9664;;
PIRANGI;4461;;
PIRAPORA DO BOM JESUS;4509;;
PIRAPOZINHO;9344;;
PIRASSUNUNGA;29729;;
PIRATININGA;6032;;
PITANGUEIRAS;10291;;
PLANALTO;1478;;
PLATINA;1205;;
POÁ;33627;;
POLONI;2350;;
POMPÉIA;8741;;
PONGAÍ;1619;;
PONTAL;9461;;
PONTALINDA;1327;;
PONTES GESTAL;1016;;
POPULINA;1965;;
PORANGABA;3990;;
PORTO FELIZ;17053;;
PORTO FERREIRA;18808;;
POTIM;5387;;
POTIRENDABA;6572;;
PRACINHA;642;;
PRADÓPOLIS;5290;;
PRAIA GRANDE;108876;;
PRATÂNIA;1361;;
PRESIDENTE ALVES;1753;;
PRESIDENTE BERNARDES;6891;;
PRESIDENTE EPITÁCIO;14383;;
PRESIDENTE PRUDENTE;98333;;
PRESIDENTE VENCESLAU;16714;;
PROMISSÃO;13885;;
QUADRA;1175;;
QUATÁ;4474;;
QUEIROZ;1004;;
QUELUZ;3601;;
QUINTANA;2461;;
RAFARD;2936;;
RANCHARIA;11283;;
REDENÇÃO DA SERRA;1441;;
REGENTE FEIJÓ;7051;;
REGINÓPOLIS;2274;;
REGISTRO;24874;;
RESTINGA;1990;;
RIBEIRA;1344;;
RIBEIRÃO BONITO;3961;;
RIBEIRÃO BRANCO;4519;;
RIBEIRÃO CORRENTE;1307;;
RIBEIRÃO DO SUL;1906;;
RIBEIRÃO DOS ÍNDIOS;1191;;
RIBEIRÃO GRANDE;2412;;
RIBEIRÃO PIRES;44036;;
RIBEIRÃO PRETO;259593;;
RIFAINA;1486;;
RINCÃO;3637;;
RINÓPOLIS;4043;;
RIO CLARO;76619;;
RIO DAS PEDRAS;8745;;
RIO GRANDE DA SERRA;12404;;
RIOLÂNDIA;3143;;
RIVERSUL;2199;;
ROSANA;7128;;
ROSEIRA;3320;;
RUBIÁCEA;980;;
RUBINÉIA;1542;;
SABINO;2504;;
SAGRES;1037;;
SALES;2505;;
SALES OLIVEIRA;4543;;
SALESÓPOLIS;5199;;
SALMOURÃO;1787;;
SALTINHO;2944;;
SALTO;37714;;
SALTO DE PIRAPORA;14830;;
SALTO GRANDE;3360;;
SANDOVALINA;1351;;
SANTA ADÉLIA;5674;;
SANTA ALBERTINA;2635;;
SANTA BÁRBARA D'OESTE;63095;;
SANTA BRANCA;5398;;
SANTA CLARA D'OESTE;906;;
SANTA CRUZ DA CONCEIÇÃO;1931;;
SANTA CRUZ DA ESPERANÇA;885;;
SANTA CRUZ DAS PALMEIRAS;9815;;
SANTA CRUZ DO RIO PARDO;18493;;
SANTA ERNESTINA;1565;;
SANTA FÉ DO SUL;16532;;
SANTA GERTRUDES;5868;;
SANTA ISABEL;17068;;
SANTA LÚCIA;2294;;
SANTA MARIA DA SERRA;1887;;
SANTA MERCEDES;1090;;
SANTA RITA DO PASSA QUATRO;13168;;
SANTA RITA D'OESTE;1262;;
SANTA ROSA DE VITERBO;9780;;
SANTA SALETE;840;;
SANTANA DA PONTE PENSA;863;;
SANTANA DE PARNAÍBA;39194;;
SANTO ANASTÁCIO;8479;;
SANTO ANDRÉ;283300;;
SANTO ANTÔNIO DA ALEGRIA;2907;;
SANTO ANTÔNIO DE POSSE;6777;;
SANTO ANTÔNIO DO ARACANGUÁ;2721;;
SANTO ANTÔNIO DO JARDIM;2379;;
SANTO ANTÔNIO DO PINHAL;2385;;
SANTO EXPEDITO;1362;;
SANTÓPOLIS DO AGUAPEÍ;1506;;
SANTOS;237178;;
SÃO BENTO DO SAPUCAÍ;4458;;
SÃO BERNARDO DO CAMPO;278280;;
SÃO CAETANO DO SUL;93204;;
SÃO CARLOS;94870;;
SÃO FRANCISCO;1348;;
SÃO JOÃO DA BOA VISTA;40905;;
SÃO JOÃO DAS DUAS PONTES;986;;
SÃO JOÃO DE IRACEMA;854;;
SÃO JOÃO DO PAU D'ALHO;1165;;
SÃO JOAQUIM DA BARRA;18849;;
SÃO JOSÉ DA BELA VISTA;2493;;
SÃO JOSÉ DO BARREIRO;1548;;
SÃO JOSÉ DO RIO PARDO;24514;;
SÃO JOSÉ DO RIO PRETO;191794;;
SÃO JOSÉ DOS CAMPOS;264664;;
SÃO LOURENÇO DA SERRA;4634;;
SÃO LUIZ DO PARAITINGA;3956;;
SÃO MANUEL;13653;;
SÃO MIGUEL ARCANJO;10311;;
SÃO PAULO;4310859;;
SÃO PEDRO;13851;;
SÃO PEDRO DO TURVO;2709;;
SÃO ROQUE;33160;;
SÃO SEBASTIÃO;22730;;
SÃO SEBASTIÃO DA GRAMA;4525;;
SÃO SIMÃO;6045;;
SÃO VICENTE;115901;;
SARAPUÍ;2998;;
SARUTAIÁ;1381;;
SEBASTIANÓPOLIS DO SUL;1371;;
SERRA AZUL;3561;;
SERRA NEGRA;12579;;
SERRANA;9683;;
SERTÃOZINHO;39235;;
SETE BARRAS;4331;;
SEVERÍNIA;4669;;
SILVEIRAS;2216;;
SOCORRO;17184;;
SOROCABA;225315;;
SUD MENNUCCI;2878;;
SUMARÉ;73443;;
SUZANÁPOLIS;2278;;
SUZANO;80627;;
TABAPUÃ;4743;;
TABATINGA;4903;;
TABOÃO DA SERRA;84255;;
TACIBA;2104;;
TAGUAÍ;3511;;
TAIAÇU;2474;;
TAIÚVA;2614;;
TAMBAÚ;8578;;
TANABI;10649;;
TAPIRAÍ;2619;;
TAPIRATIBA;4959;;
TAQUARAL;1104;;
TAQUARITINGA;22421;;
TAQUARITUBA;8278;;
TAQUARIVAÍ;1477;;
TARABAI;2211;;
TARUMÃ;4101;;
TATUÍ;41938;;
TAUBATÉ;111547;;
TEJUPÁ;1398;;
TEODORO SAMPAIO;6672;;
TERRA ROXA;3249;;
TIETÊ;14163;;
TIMBURI;1216;;
TORRE DE PEDRA;1065;;
TORRINHA;4073;;
TRABIJU;654;;
TREMEMBÉ;16073;;
TRÊS FRONTEIRAS;2586;;
TUIUTI;2667;;
TUPÃ;32218;;
TUPI PAULISTA;7269;;
TURIÚBA;978;;
TURMALINA;1092;;
UBARANA;1626;;
UBATUBA;28173;;
UBIRAJARA;1730;;
UCHOA;4161;;
UNIÃO PAULISTA;600;;
URÂNIA;4256;;
URU;606;;
URUPÊS;5622;;
VALENTIM GENTIL;3983;;
VALINHOS;43805;;
VALPARAÍSO;8338;;
VARGEM;4007;;
VARGEM GRANDE DO SUL;14992;;
VARGEM GRANDE PAULISTA;14904;;
VÁRZEA PAULISTA;30270;;
VERA CRUZ;4517;;
VINHEDO;26387;;
VIRADOURO;6229;;
VISTA ALEGRE DO ALTO;2229;;
VITÓRIA BRASIL;778;;
VOTORANTIM;35831;;
VOTUPORANGA;42511;;
ZACARIAS;1050;;
