Municipio;Qtd-Doses-Distribuidas;;
ADAMANTINA;16797;;
ADOLFO;1667;;
AGUAÍ;10589;;
ÁGUAS DA PRATA;3812;;
ÁGUAS DE LINDÓIA;7394;;
ÁGUAS DE SANTA BÁRBARA;2273;;
ÁGUAS DE SÃO PEDRO;2118;;
AGUDOS;15003;;
ALAMBARI;1828;;
ALFREDO MARCONDES;2192;;
ALTAIR;1270;;
ALTINÓPOLIS;6773;;
ALTO ALEGRE;1984;;
ALUMÍNIO;4679;;
ÁLVARES FLORENCE;1872;;
ÁLVARES MACHADO;9031;;
ÁLVARO DE CARVALHO;1382;;
ALVINLÂNDIA;1069;;
AMERICANA;87070;;
AMÉRICO BRASILIENSE;11341;;
AMÉRICO DE CAMPOS;2627;;
AMPARO;28490;;
ANALÂNDIA;1736;;
ANDRADINA;23954;;
ANGATUBA;7868;;
ANHEMBI;2019;;
ANHUMAS;1500;;
APARECIDA;12682;;
APARECIDA D'OESTE;2143;;
APIAÍ;7903;;
ARAÇARIGUAMA;4949;;
ARAÇATUBA;82342;;
ARAÇOIABA DA SERRA;10889;;
ARAMINA;1980;;
ARANDU;2153;;
ARAPEÍ;940;;
ARARAQUARA;95174;;
ARARAS;47905;;
ARCO-ÍRIS;1191;;
AREALVA;3778;;
AREIAS;1368;;
AREIÓPOLIS;2805;;
ARIRANHA;3182;;
ARTUR NOGUEIRA;15100;;
ARUJÁ;24433;;
ASPÁSIA;860;;
ASSIS;42527;;
ATIBAIA;54536;;
AURIFLAMA;6213;;
AVAÍ;2542;;
AVANHANDAVA;3119;;
AVARÉ;33992;;
BADY BASSITT;6223;;
BALBINOS;642;;
BÁLSAMO;3675;;
BANANAL;4270;;
BARÃO DE ANTONINA;1439;;
BARBOSA;2428;;
BARIRI;13044;;
BARRA BONITA;14361;;
BARRA DO CHAPÉU;1796;;
BARRA DO TURVO;3979;;
BARRETOS;54631;;
BARRINHA;7348;;
BARUERI;80444;;
BASTOS;7355;;
BATATAIS;23986;;
BAURU;161179;;
BEBEDOURO;32939;;
BENTO DE ABREU;903;;
BERNARDINO DE CAMPOS;4702;;
BERTIOGA;16280;;
BILAC;3380;;
BIRIGUI;42867;;
BIRITIBA MIRIM;8787;;
BOA ESPERANÇA DO SUL;4067;;
BOCAINA;3708;;
BOFETE;4011;;
BOITUVA;16234;;
BOM JESUS DOS PERDÕES;6527;;
BOM SUCESSO DE ITARARÉ;924;;
BORÁ;409;;
BORACÉIA;1731;;
BORBOREMA;5903;;
BOREBI;883;;
BOTUCATU;63329;;
BRAGANÇA PAULISTA;64042;;
BRAÚNA;2235;;
BREJO ALEGRE;1109;;
BRODOWSKI;8503;;
BROTAS;8028;;
BURI;5567;;
BURITAMA;6262;;
BURITIZAL;1778;;
CABRÁLIA PAULISTA;1525;;
CABREÚVA;11161;;
CAÇAPAVA;32387;;
CACHOEIRA PAULISTA;12525;;
CACONDE;7230;;
CAFELÂNDIA;6915;;
CAIABU;1645;;
CAIEIRAS;26958;;
CAIUÁ;2280;;
CAJAMAR;16708;;
CAJATI;8275;;
CAJOBI;4042;;
CAJURU;9440;;
CAMPINA DO MONTE ALEGRE;1917;;
CAMPINAS;464229;;
CAMPO LIMPO PAULISTA;23336;;
CAMPOS DO JORDÃO;15201;;
CAMPOS NOVOS PAULISTA;1673;;
CANANÉIA;4678;;
CANAS;1294;;
CÂNDIDO MOTA;11341;;
CÂNDIDO RODRIGUES;1315;;
CANITAR;1375;;
CAPÃO BONITO;14437;;
CAPELA DO ALTO;5510;;
CAPIVARI;16184;;
CARAGUATATUBA;42033;;
CARAPICUÍBA;101714;;
CARDOSO;5143;;
CASA BRANCA;12222;;
CÁSSIA DOS COQUEIROS;1116;;
CASTILHO;7575;;
CATANDUVA;55880;;
CATIGUÁ;2465;;
CEDRAL;4367;;
CERQUEIRA CÉSAR;6620;;
CERQUILHO;15025;;
CESÁRIO LANGE;5225;;
CHARQUEADA;4981;;
CHAVANTES;4146;;
CLEMENTINA;2168;;
COLINA;6649;;
COLÔMBIA;2247;;
CONCHAL;7753;;
CONCHAS;6544;;
CORDEIRÓPOLIS;7993;;
COROADOS;1931;;
CORONEL MACEDO;1763;;
CORUMBATAÍ;1439;;
COSMÓPOLIS;16940;;
COSMORAMA;3278;;
COTIA;68084;;
CRAVINHOS;11330;;
CRISTAIS PAULISTA;2798;;
CRUZÁLIA;905;;
CRUZEIRO;28378;;
CUBATÃO;34985;;
CUNHA;7976;;
DESCALVADO;12780;;
DIADEMA;111218;;
DIRCE REIS;844;;
DIVINOLÂNDIA;5368;;
DOBRADA;2136;;
DOIS CÓRREGOS;8839;;
DOLCINÓPOLIS;1026;;
DOURADO;3590;;
DRACENA;22056;;
DUARTINA;5312;;
DUMONT;2656;;
ECHAPORÃ;2802;;
ELDORADO;7319;;
ELIAS FAUSTO;4929;;
ELISIÁRIO;1215;;
EMBAÚBA;1003;;
EMBU DAS ARTES;60178;;
EMBU-GUAÇU;20960;;
EMILIANÓPOLIS;1310;;
ENGENHEIRO COELHO;4219;;
ESPÍRITO SANTO DO PINHAL;17505;;
ESPÍRITO SANTO DO TURVO;1257;;
ESTIVA GERBI;3190;;
ESTRELA DO NORTE;978;;
ESTRELA D'OESTE;3624;;
EUCLIDES DA CUNHA PAULISTA;2899;;
FARTURA;6169;;
FERNANDO PRESTES;2707;;
FERNANDÓPOLIS;33306;;
FERNÃO;748;;
FERRAZ DE VASCONCELOS;45754;;
FLORA RICA;899;;
FLOREAL;1610;;
FLÓRIDA PAULISTA;4403;;
FLORÍNEA;1289;;
FRANCA;115529;;
FRANCISCO MORATO;39447;;
FRANCO DA ROCHA;39646;;
GABRIEL MONTEIRO;1219;;
GÁLIA;2979;;
GARÇA;17537;;
GASTÃO VIDIGAL;1458;;
GAVIÃO PEIXOTO;1375;;
GENERAL SALGADO;4792;;
GETULINA;3951;;
GLICÉRIO;1653;;
GUAIÇARA;3551;;
GUAIMBÊ;2138;;
GUAÍRA;13365;;
GUAPIAÇU;7098;;
GUAPIARA;6055;;
GUARÁ;6608;;
GUARAÇAÍ;3651;;
GUARACI;3805;;
GUARANI D'OESTE;857;;
GUARANTÃ;2166;;
GUARARAPES;12242;;
GUARAREMA;9815;;
GUARATINGUETÁ;48583;;
GUAREÍ;3871;;
GUARIBA;9997;;
GUARUJÁ;97409;;
GUARULHOS;365615;;
GUATAPARÁ;2498;;
GUZOLÂNDIA;1603;;
HERCULÂNDIA;3292;;
HOLAMBRA;4221;;
HORTOLÂNDIA;60303;;
IACANGA;3869;;
IACRI;2570;;
IARAS;2027;;
IBATÉ;8165;;
IBIRÁ;4690;;
IBIRAREMA;2621;;
IBITINGA;20045;;
IBIÚNA;26742;;
ICÉM;2650;;
IEPÊ;3184;;
IGARAÇU DO TIETÊ;6910;;
IGARAPAVA;9943;;
IGARATÁ;3381;;
IGUAPE;12225;;
ILHA COMPRIDA;4813;;
ILHA SOLTEIRA;11919;;
ILHABELA;9757;;
INDAIATUBA;76505;;
INDIANA;1928;;
INDIAPORÃ;2029;;
INÚBIA PAULISTA;1520;;
IPAUSSU;4794;;
IPERÓ;7892;;
IPEÚNA;1913;;
IPIGUÁ;1999;;
IPORANGA;2063;;
IPUÃ;4424;;
IRACEMÁPOLIS;7057;;
IRAPUÃ;2660;;
IRAPURU;2717;;
ITABERÁ;6310;;
ITAÍ;7320;;
ITAJOBI;6798;;
ITAJU;1220;;
ITANHAÉM;40595;;
ITAOCA;1563;;
ITAPECERICA DA SERRA;45882;;
ITAPETININGA;53147;;
ITAPEVA;29438;;
ITAPEVI;50273;;
ITAPIRA;30534;;
ITAPIRAPUÃ PAULISTA;1217;;
ITÁPOLIS;15846;;
ITAPORANGA;5947;;
ITAPUÍ;4103;;
ITAPURA;1571;;
ITAQUAQUECETUBA;73928;;
ITARARÉ;16295;;
ITARIRI;4955;;
ITATIBA;38200;;
ITATINGA;5236;;
ITIRAPINA;4633;;
ITIRAPUÃ;2234;;
ITOBI;2744;;
ITU;53962;;
ITUPEVA;13224;;
ITUVERAVA;17323;;
JABORANDI;2389;;
JABOTICABAL;31141;;
JACAREÍ;78144;;
JACI;2527;;
JACUPIRANGA;5786;;
JAGUARIÚNA;16774;;
JALES;23210;;
JAMBEIRO;1871;;
JANDIRA;27749;;
JARDINÓPOLIS;14110;;
JARINU;9288;;
JAÚ;58828;;
JERIQUARA;985;;
JOANÓPOLIS;5167;;
JOÃO RAMALHO;1236;;
JOSÉ BONIFÁCIO;12772;;
JÚLIO MESQUITA;1533;;
JUMIRIM;895;;
JUNDIAÍ;157073;;
JUNQUEIRÓPOLIS;7876;;
JUQUIÁ;7136;;
JUQUITIBA;9217;;
LAGOINHA;2222;;
LARANJAL PAULISTA;10523;;
LAVÍNIA;1968;;
LAVRINHAS;1842;;
LEME;31377;;
LENÇÓIS PAULISTA;20893;;
LIMEIRA;100736;;
LINDÓIA;2560;;
LINS;31940;;
LORENA;31699;;
LOURDES;1057;;
LOUVEIRA;10275;;
LUCÉLIA;7999;;
LUCIANÓPOLIS;1073;;
LUÍS ANTÔNIO;3510;;
LUIZIÂNIA;1752;;
LUPÉRCIO;1607;;
LUTÉCIA;1137;;
MACATUBA;5625;;
MACAUBAL;3508;;
MACEDÔNIA;1690;;
MAGDA;1496;;
MAIRINQUE;14477;;
MAIRIPORÃ;27484;;
MANDURI;3344;;
MARABÁ PAULISTA;1338;;
MARACAÍ;4875;;
MARAPOAMA;1387;;
MARIÁPOLIS;1373;;
MARÍLIA;104426;;
MARINÓPOLIS;932;;
MARTINÓPOLIS;9237;;
MATÃO;29547;;
MAUÁ;125011;;
MENDONÇA;2265;;
MERIDIANO;1638;;
MESÓPOLIS;886;;
MIGUELÓPOLIS;7172;;
MINEIROS DO TIETÊ;4190;;
MIRA ESTRELA;1477;;
MIRACATU;6532;;
MIRANDÓPOLIS;11783;;
MIRANTE DO PARANAPANEMA;6987;;
MIRASSOL;22019;;
MIRASSOLÂNDIA;1939;;
MOCOCA;27867;;
MOGI DAS CRUZES;137979;;
MOGI GUAÇU;54837;;
MOGI MIRIM;35542;;
MOMBUCA;1213;;
MONÇÕES;1102;;
MONGAGUÁ;21285;;
MONTE ALEGRE DO SUL;3137;;
MONTE ALTO;19626;;
MONTE APRAZÍVEL;9649;;
MONTE AZUL PAULISTA;7461;;
MONTE CASTELO;1879;;
MONTE MOR;15021;;
MONTEIRO LOBATO;1994;;
MORRO AGUDO;9023;;
MORUNGABA;4276;;
MOTUCA;1474;;
MURUTINGA DO SUL;2060;;
NANTES;894;;
NARANDIBA;1451;;
NATIVIDADE DA SERRA;3114;;
NAZARÉ PAULISTA;6025;;
NEVES PAULISTA;4360;;
NHANDEARA;5596;;
NIPOÃ;1331;;
NOVA ALIANÇA;2649;;
NOVA CAMPINA;2154;;
NOVA CANAÃ PAULISTA;999;;
NOVA CASTILHO;506;;
NOVA EUROPA;2998;;
NOVA GRANADA;7096;;
NOVA GUATAPORANGA;1018;;
NOVA INDEPENDÊNCIA;1098;;
NOVA LUZITÂNIA;1267;;
NOVA ODESSA;16986;;
NOVAIS;1283;;
NOVO HORIZONTE;14728;;
NUPORANGA;2863;;
OCAUÇU;1551;;
ÓLEO;1177;;
OLÍMPIA;20945;;
ONDA VERDE;1543;;
ORIENTE;2594;;
ORINDIÚVA;1629;;
ORLÂNDIA;14208;;
OSASCO;212774;;
OSCAR BRESSANE;1469;;
OSVALDO CRUZ;14433;;
OURINHOS;42947;;
OURO VERDE;3525;;
OUROESTE;3625;;
PACAEMBU;5085;;
PALESTINA;4633;;
PALMARES PAULISTA;2443;;
PALMEIRA D'OESTE;4406;;
PALMITAL;9419;;
PANORAMA;4888;;
PARAGUAÇU PAULISTA;15570;;
PARAIBUNA;6473;;
PARAÍSO;2441;;
PARANAPANEMA;5962;;
PARANAPUÃ;1576;;
PARAPUÃ;4480;;
PARDINHO;2070;;
PARIQUERA-AÇU;8677;;
PARISI;1060;;
PATROCÍNIO PAULISTA;4837;;
PAULICÉIA;2019;;
PAULÍNIA;28350;;
