Município;Qtd Dose
ZACARIAS;221
VOTUPORANGA;13476
VOTORANTIM;18074
VITÓRIA BRASIL;170
VISTA ALEGRE DO ALTO;515
VIRADOURO;1175
VINHEDO;7154
VERA CRUZ;1249
VARZEA PAULISTA;6043
VARGEM GRANDE PAULISTA;3120
VARGEM GRANDE DO SUL;4314
VARGEM;1098
VALPARAISO;3019
VALINHOS;10740
VALENTIM GENTIL;863
URUPÊS;1439
URU;202
URÂNIA;1158
UNIÃO PAULISTA;169
UCHÔA;1119
UBIRAJARA;414
UBATUBA;5066
UBARANA;348
TURMALINA;286
TURIUBA;237
TUPI PAULISTA;2253
TUPA;10336
TUIUTI;553
TRÊS FRONTEIRAS;624
TREMEMBE;5332
TRABIJÚ;160
TORRINHA;1076
TORRE DE PEDRA;297
TIMBURI;303
TIETÊ;9006
TERRA ROXA;809
TEODORO SAMPAIO;1606
TEJUPÁ;257
TAUBATE;29772
TATUÍ;11197
TARUMÃ;864
TARABAI;498
TAQUARIVAI;326
TAQUARITUBA;2213
TAQUARITINGA;6149
TAQUARAL;217
TAPIRATIBA;1207
TAPIRAÍ;690
TANABI;2716
TAMBAU;2068
TAIUVA;702
TAIAÇU;680
TAGUAÍ;827
TACIBA;506
TABOÃO DA SERRA;24217
TABATINGA;1086
TABAPUÃ;1168
SUZANO;14949
SUZANAPOLIS;309
SUMARE;17157
SUD MENNUCCI;762
SOROCABA;60897
SOCORRO;3958
SILVEIRAS;519
SEVERÍNIA;943
SETE BARRAS;870
SERTAOZINHO;10060
SERRANA;3151
SERRA NEGRA;2935
SERRA AZUL;964
SEBASTIANÓPOLIS DO SUL;345
SARUTAIA;347
SARAPUÍ;566
SÃO VICENTE;28396
SAO SIMAO;1520
SAO SEBASTIAO DA GRAMA;1121
SÃO SEBASTIÃO;4110
SÃO ROQUE;8740
SÃO PEDRO DO TURVO;566
SÃO PEDRO;3096
SÃO PAULO;1101418
SÃO MIGUEL ARCANJO;2065
SÃO MANUEL;3601
SAO LUIZ DO PARAITINGA;879
SÃO LOURENÇO DA SERRA;906
SÃO JOSÉ DOS CAMPOS;65938
SÃO JOSÉ DO RIO PRETO;57601
SAO JOSE DO RIO PARDO;6565
SAO JOSE DO BARREIRO;383
SÃO JOSÉ DA BELA VISTA;557
SÃO JOAQUIM DA BARRA;5463
SÃO JOÃO DO PAU D'ALHO;297
SÃO JOÃO DE IRACEMA;240
SÃO JOÃO DAS DUAS PONTES;216
SAO JOAO DA BOA VISTA;13087
SÃO FRANCISCO;310
SÃO CARLOS;25289
SÃO CAETANO DO SUL;34526
SÃO BERNARDO DO CAMPO;76858
SAO BENTO DO SAPUCAI;1070
SANTOS;73879
SANTOPOLIS DO AGUAPEI;391
SANTO EXPEDITO;337
SANTO ANTONIO DO PINHAL;535
SANTO ANTONIO DO JARDIM;561
SANTO ANTONIO DO ARACANGUA;679
SANTO ANTONIO DE POSSE;1812
SANTO ANTONIO DA ALEGRIA;644
SANTO ANDRÉ;85118
SANTO ANASTÁCIO;2193
