Município;Qtd Dose
ZACARIAS;191
VOTUPORANGA;12576
VOTORANTIM;17384
VITÓRIA BRASIL;150
VISTA ALEGRE DO ALTO;515
VIRADOURO;1175
VINHEDO;6594
VERA CRUZ;1109
VARZEA PAULISTA;5503
VARGEM GRANDE PAULISTA;2670
VARGEM GRANDE DO SUL;3944
VARGEM;998
VALPARAISO;2849
VALINHOS;9760
VALENTIM GENTIL;763
URUPÊS;1269
URU;182
URÂNIA;1048
UNIÃO PAULISTA;149
UCHÔA;999
UBIRAJARA;364
UBATUBA;5066
UBARANA;318
TURMALINA;256
TURIUBA;207
TUPI PAULISTA;2053
TUPA;9506
TUIUTI;473
TRÊS FRONTEIRAS;554
TREMEMBE;5052
TRABIJÚ;160
TORRINHA;956
TORRE DE PEDRA;267
TIMBURI;273
TIETÊ;8646
TERRA ROXA;809
TEODORO SAMPAIO;1423
TEJUPÁ;217
TAUBATE;27512
TATUÍ;10307
TARUMÃ;784
TARABAI;448
TAQUARIVAI;296
TAQUARITUBA;2023
TAQUARITINGA;6149
TAQUARAL;217
TAPIRATIBA;1087
TAPIRAÍ;630
TANABI;2426
TAMBAU;1838
TAIUVA;702
TAIAÇU;680
TAGUAÍ;757
TACIBA;456
TABOÃO DA SERRA;22257
TABATINGA;1086
TABAPUÃ;1038
SUZANO;14949
SUZANAPOLIS;269
SUMARE;15797
SUD MENNUCCI;702
SOROCABA;56327
SOCORRO;3488
SILVEIRAS;459
SEVERÍNIA;943
SETE BARRAS;760
SERTAOZINHO;9270
SERRANA;2681
SERRA NEGRA;2565
SERRA AZUL;894
SEBASTIANÓPOLIS DO SUL;315
SARUTAIA;317
SARAPUÍ;486
SÃO VICENTE;20456
SAO SIMAO;1360
SAO SEBASTIAO DA GRAMA;1001
SÃO SEBASTIÃO;4110
SÃO ROQUE;8050
SÃO PEDRO DO TURVO;486
SÃO PEDRO;2726
SÃO PAULO;1101418
SÃO MIGUEL ARCANJO;1825
SÃO MANUEL;3251
SAO LUIZ DO PARAITINGA;769
SÃO LOURENÇO DA SERRA;756
SÃO JOSÉ DOS CAMPOS;61718
SÃO JOSÉ DO RIO PRETO;53431
SAO JOSE DO RIO PARDO;5995
SAO JOSE DO BARREIRO;333
SÃO JOSÉ DA BELA VISTA;497
SÃO JOAQUIM DA BARRA;5063
SÃO JOÃO DO PAU D'ALHO;267
SÃO JOÃO DE IRACEMA;220
SÃO JOÃO DAS DUAS PONTES;186
SAO JOAO DA BOA VISTA;12147
SÃO FRANCISCO;260
SÃO CARLOS;25289
SÃO CAETANO DO SUL;29886
SÃO BERNARDO DO CAMPO;67984
SAO BENTO DO SAPUCAI;960
SANTOS;53669
SANTOPOLIS DO AGUAPEI;351
SANTO EXPEDITO;307
SANTO ANTONIO DO PINHAL;475
SANTO ANTONIO DO JARDIM;491
SANTO ANTONIO DO ARACANGUA;619
SANTO ANTONIO DE POSSE;1652
SANTO ANTONIO DA ALEGRIA;564
SANTO ANDRÉ;73118
SANTO ANASTÁCIO;1943
SANTANA DE PARNAIBA;8102
SANTANA DA PONTE PENSA;165
SANTA SALETE;228
SANTA ROSA DE VITERBO;1985
SANTA RITA DO PASSA QUATRO;3106
SANTA RITA D'OESTE;215
SANTA MERCEDES;279
SANTA MARIA DA SERRA;467
SANTA LÚCIA;460
SANTA ISABEL;1957
SANTA GERTRUDES;1361
SANTA FÉ DO SUL;4761
SANTA ERNESTINA;294
SANTA CRUZ DO RIO PARDO;4399
SANTA CRUZ DAS PALMEIRAS;2233
SANTA CRUZ DA ESPERANÇA;196
SANTA CRUZ DA CONCEIÇÃO;445
SANTA CLARA D'OESTE;181
SANTA BRANCA;1133
SANTA BARBARA D'OESTE;11283
SANTA ALBERTINA;609
SANTA ADÉLIA;1449
SANDOVALINA;243
