Município;Qtd Dose
ADAMANTINA;6635
ADOLFO;743
AGUAI;4538
AGUAS DA PRATA;1794
AGUAS DE LINDOIA;3259
ÁGUAS DE SANTA BÁRBARA;1043
ÁGUAS DE SÃO PEDRO;1126
AGUDOS;6730
ALAMBARI;744
ALFREDO MARCONDES;1096
ALTAIR;492
ALTINOPOLIS;3118
ALTO ALEGRE;800
ALUMÍNIO;1854
ALVARES FLORENCE;894
ÁLVARES MACHADO;4031
ALVARO DE CARVALHO;470
ALVINLANDIA;382
AMERICANA;38580
AMÉRICO BRASILIENSE;4555
AMERICO DE CAMPOS;1184
AMPARO;13056
ANALÂNDIA;738
ANDRADINA;9415
ANGATUBA;3337
ANHEMBI;850
ANHUMAS;686
APARECIDA;5458
APARECIDA D'OESTE;836
APIAÍ;3144
ARAÇARIGUAMA;1844
ARAÇATUBA;32559
ARAÇOIABA DA SERRA;4385
ARAMINA;856
ARANDU;897
ARAPEI;454
ARARAQUARA;38136
ARARAS;21526
ARCO-IRIS;659
AREALVA;1323
AREIAS;670
AREIÓPOLIS;1180
ARIRANHA;1507
ARTUR NOGUEIRA;6422
ARUJA;7196
ASPÁSIA;308
ASSIS;20587
ATIBAIA;25260
AURIFLAMA;2327
AVAÍ;1456
AVANHANDAVA;1014
AVARÉ;15793
BADY BASSITT;2792
BALBINOS;300
BALSAMO;1733
BANANAL;2098
BARÃO DE ANTONINA;714
BARBOSA;860
BARIRI;5120
BARRA BONITA;5256
BARRA DO CHAPÉU;696
BARRA DO TURVO;2378
BARRETOS;24974
BARRINHA;3158
BARUERI;24412
BASTOS;2528
BATATAIS;10457
BAURU;67678
BEBEDOURO;11625
BENTO DE ABREU;304
BERNARDINO DE CAMPOS;2302
BERTIOGA;5696
BILAC;1371
BIRIGUI;14712
BIRITIBA MIRIM;13884
BOA ESPERANÇA DO SUL;1372
BOCAINA;1328
BOFETE;1576
BOITUVA;6786
BOM JESUS DOS PERDOES;2684
BOM SUCESSO DE ITARARÉ;380
BORÁ;192
BORACÉIA;654
BORBOREMA;2170
BOREBI;328
BOTUCATU;31479
BRAGANÇA PAULISTA;28068
BRAUNA;938
BREJO ALEGRE;456
BRODOWSKI;3926
BROTAS;2776
BURI;2282
BURITAMA;2097
BURITIZAL;858
CABRÁLIA PAULISTA;558
CABREUVA;4505
CAÇAPAVA;11812
CACHOEIRA PAULISTA;5654
CACONDE;3276
CAFELÂNDIA;2636
CAIABU;754
CAIEIRAS;10738
CAIUÁ;820
CAJAMAR;6707
CAJATI;2631
CAJOBI;1441
CAJURU;4518
CAMPINA DO MONTE ALEGRE;828
CAMPINAS;219530
CAMPO LIMPO PAULISTA;9208
CAMPOS DO JORDAO;6448
CAMPOS NOVOS PAULISTA;586
CANANÉIA;1738
CANAS;532
CANDIDO MOTA;4870
CANDIDO RODRIGUES;480
CANITAR;484
CAPÃO BONITO;5969
CAPELA DO ALTO;2139
CAPIVARI;7212
CARAGUATATUBA;15101
CARAPICUIBA;24935
CARDOSO;2353
CASA BRANCA;6074
CASSIA DOS COQUEIROS;986
CASTILHO;3021
CATANDUVA;27932
CATIGUA;1073
CEDRAL;2302
CERQUEIRA CÉSAR;2968
CERQUILHO;6220
CESÁRIO LANGE;2117
CHARQUEADA;2143
CHAVANTES;1750
CLEMENTINA;780
COLINA;2395
COLÔMBIA;829
CONCHAL;3209
CONCHAS;3009
CORDEIRÓPOLIS;3630
COROADOS;572
CORONEL MACEDO;762
CORUMBATAÍ;642
COSMOPOLIS;6828
COSMORAMA;1521
COTIA;18514
CRAVINHOS;4888
CRISTAIS PAULISTA;1162
CRUZALIA;366
CRUZEIRO;12122
CUBATÃO;12034
CUNHA;3429
DESCALVADO;4805
DIADEMA;45286
DIRCE REIS;309
DIVINOLANDIA;2667
DOBRADA;743
DOIS CÓRREGOS;3432
DOLCINÓPOLIS;350
DOURADO;1338
DRACENA;9507
DUARTINA;1988
DUMONT;1875
ECHAPORÃ;1198
ELDORADO;5081
ELIAS FAUSTO;2034
ELISIARIO;561
EMBAÚBA;430
EMBU DAS ARTES;19050
EMBU-GUAÇU;5638
EMILIANÓPOLIS;588
ENGENHEIRO COELHO;1880
ESPIRITO SANTO DO PINHAL;8256
ESPÍRITO SANTO DO TURVO;504
ESTIVA GERBI;1166
ESTRELA DO NORTE;389
ESTRELA D'OESTE;1373
EUCLIDES DA CUNHA PAULISTA;1006
FARTURA;2870
FERNANDO PRESTES;1378
FERNANDÓPOLIS;13314
FERNÃO;306
FERRAZ DE VASCONCELOS;14590
FLORA RICA;405
FLOREAL;754
FLORIDA PAULISTA;1650
FLORINEA;558
FRANCA;48558
FRANCISCO MORATO;15092
FRANCO DA ROCHA;17787
GABRIEL MONTEIRO;427
GÁLIA;1204
GARÇA;6794
GASTAO VIDIGAL;659
GAVIÃO PEIXOTO;497
GENERAL SALGADO;2274
GETULINA;1570
GLICERIO;573
GUAIÇARA;1156
GUAIMBE;858
GUAÍRA;4459
GUAPIAÇU;3144
GUAPIARA;2538
GUARÁ;3073
GUARAÇAÍ;1356
GUARACI;1500
GUARANÍ D'OESTE;302
GUARANTA;792
GUARARAPES;4235
GUARAREMA;3298
GUARATINGUETA;20698
GUAREÍ;1680
GUARIBA;4120
GUARUJÁ;35972
GUARULHOS;119274
GUATAPARA;1055
GUZOLANDIA;494
HERCULANDIA;1254
HOLAMBRA;1684
HORTOLANDIA;26296
IACANGA;1458
IACRI;925
IARAS;724
IBATÉ;2608
IBIRA;2218
IBIRAREMA;1284
IBITINGA;7469
IBIÚNA;12386
ICEM;1240
IEPE;1529
IGARAÇÚ DO TIETÊ;2161
IGARAPAVA;4501
IGARATA;1148
IGUAPE;4211
ILHA COMPRIDA;1227
ILHA SOLTEIRA;4176
ILHABELA;3509
INDAIATUBA;32304
INDIANA;921
INDIAPORÃ;810
INUBIA PAULISTA;582
IPAUSSU;2148
IPERÓ;2899
IPEUNA;787
IPIGUA;822
IPORANGA;1302
IPUÃ;1918
IRACEMÁPOLIS;3044
IRAPUÃ;1153
IRAPURU;1017
ITABERA;2631
ITAÍ;3007
ITAJOBI;3156
ITAJU;442
ITANHAÉM;14084
ITAOCA;851
ITAPECERICA DA SERRA;12370
ITAPETININGA;23878
ITAPEVA;13277
ITAPEVI;13829
ITAPIRA;14144
ITAPIRAPUA PAULISTA;519
ITAPOLIS;5940
ITAPORANGA;2687
ITAPUÍ;1426
ITAPURA;547
ITAQUAQUECETUBA;19575
ITARARE;7156
ITARIRI;1668
ITATIBA;16560
ITATINGA;2234
ITIRAPINA;2174
ITIRAPUÃ;1041
ITOBI;1266
ITU;23365
ITUPEVA;5230
ITUVERAVA;8286
JABORANDI;906
JABOTICABAL;13276
JACAREÍ;27524
JACI;1305
JACUPIRANGA;1798
JAGUARIUNA;7194
JALES;8686
JAMBEIRO;628
JANDIRA;6740
JARDINOPOLIS;6269
JARINU;3989
JAÚ;24426
JERIQUARA;461
JOANOPOLIS;2355
JOÃO RAMALHO;529
JOSE BONIFACIO;5909
JULIO MESQUITA;520
JUMIRIM;392
JUNDIAI;68422
JUNQUEIROPOLIS;3089
JUQUIÁ;2399
JUQUITIBA;2622
LAGOINHA;1028
LARANJAL PAULISTA;4839
LAVINIA;769
LAVRINHAS;742
LEME;14006
LENÇÓIS PAULISTA;7228
LIMEIRA;42855
LINDOIA;1167
LINS;12816
LORENA;14416
LOURDES;393
LOUVEIRA;4434
LUCELIA;3106
LUCIANÓPOLIS;344
LUIS ANTONIO;1433
LUIZIÂNIA;650
LUPERCIO;536
LUTÉCIA;556
MACATUBA;2034
MACAUBAL;1686
MACEDÔNIA;555
MAGDA;676
MAIRINQUE;5850
MAIRIPORÃ;10956
MANDURI;1458
MARABA PAULISTA;448
MARACAI;2038
MARAPOAMA;638
MARIAPOLIS;531
MARILIA;42794
MARINÓPOLIS;346
MARTINÓPOLIS;4162
MATÃO;9976
MAUA;51045
MENDONÇA;1112
MERIDIANO;638
MESÓPOLIS;337
MIGUELÓPOLIS;3370
MINEIROS DO TIETÊ;1398
MIRA ESTRELA;468
MIRACATU;2213
MIRANDOPOLIS;4773
MIRANTE DO PARANAPANEMA;2570
MIRASSOL;9566
MIRASSOLANDIA;850
MOCOCA;13090
MOGI DAS CRUZES;36304
MOGI GUAÇU;22558
MOGI MIRIM;16245
MOMBUCA;569
MONÇÕES;521
MONGAGUÁ;6268
MONTE ALEGRE DO SUL;1403
MONTE ALTO;8952
MONTE APRAZIVEL;4856
MONTE AZUL PAULISTA;2724
MONTE CASTELO;709
MONTE MOR;6042
MONTEIRO LOBATO;746
MORRO AGUDO;4210
MORUNGABA;1835
MOTUCA;465
MURUTINGA DO SUL;762
NANTES;381
NARANDIBA;632
NATIVIDADE DA SERRA;1520
NAZARE PAULISTA;2461
NEVES PAULISTA;2124
NHANDEARA;2479
NIPOÃ;594
NOVA ALIANÇA;1245
NOVA CAMPINA;815
NOVA CANAÃ PAULISTA;336
NOVA CASTILHO;183
NOVA EUROPA;972
NOVA GRANADA;3245
NOVA GUATAPORANGA;334
NOVA INDEPENDÊNCIA;424
NOVA LUZITÂNIA;426
NOVA ODESSA;6699
NOVAIS;696
NOVO HORIZONTE;6799
NUPORANGA;1346
OCAUÇU;484
ÓLEO;509
OLIMPIA;7822
ONDA VERDE;700
ORIENTE;1033
ORINDIUVA;692
ORLÂNDIA;6165
OSASCO;60758
OSCAR BRESSANE;600
OSVALDO CRUZ;5469
OURINHOS;19159
OURO VERDE;1592
OUROESTE;1354
PACAEMBU;1938
PALESTINA;2183
PALMARES PAULISTA;1009
PALMEIRA D'OESTE;1581
PALMITAL;4500
PANORAMA;1716
PARAGUAÇU PAULISTA;6860
PARAIBUNA;2156
PARAISO;1144
PARANAPANEMA;2595
PARANAPUÃ;517
PARAPUA;1581
PARDINHO;914
PARIQUERA-AÇÚ;3854
PARISI;474
PATROCÍNIO PAULISTA;2188
PAULICÉIA;655
PAULINIA;11578
PAULISTÂNIA;236
PAULO DE FARIA;1658
PEDERNEIRAS;4944
PEDRA BELA;976
PEDRANÓPOLIS;466
PEDREGULHO;2505
PEDREIRA;7262
PEDRINHAS PAULISTA;501
PEDRO DE TOLEDO;1208
PENAPOLIS;9684
PEREIRA BARRETO;3672
PEREIRAS;1134
PERUÍBE;9118
PIACATU;705
PIEDADE;7340
PILAR DO SUL;3915
PINDAMONHANGABA;21347
PINDORAMA;3282
PINHALZINHO;2456
PIQUEROBI;728
PIQUETE;2589
PIRACAIA;4137
PIRACICABA;66804
PIRAJÚ;5291
PIRAJUÍ;3820
PIRANGI;2078
PIRAPORA DO BOM JESUS;1395
PIRAPOZINHO;4135
PIRASSUNUNGA;14096
PIRATININGA;2584
PITANGUEIRAS;4748
PLANALTO;659
PLATINA;520
POA;11405
POLONI;1180
POMPEIA;3451
PONGAI;560
PONTAL;3914
PONTALINDA;406
PONTES GESTAL;430
POPULINA;770
PORANGABA;1743
PORTO FELIZ;7360
PORTO FERREIRA;6485
POTIM;2362
POTIRENDABA;3162
PRACINHA;267
PRADOPOLIS;1940
PRAIA GRANDE;37954
PRATÂNIA;559
PRESIDENTE ALVES;674
PRESIDENTE BERNARDES;3554
PRESIDENTE EPITÁCIO;4929
PRESIDENTE PRUDENTE;47719
PRESIDENTE VENCESLAU;6639
PROMISSÃO;5044
QUADRA;469
QUATÁ;2042
QUEIROZ;388
QUELUZ;1484
QUINTANA;912
