Municipio;Qtd-Doses-Distribuidas;;;;
FRANCISCO MORATO;30082;;;;
FRANCO DA ROCHA;31961;;;;
GABRIEL MONTEIRO;974;;;;
GÁLIA;2529;;;;
GARÇA;14447;;;;
GASTÃO VIDIGAL;1203;;;;
GAVIÃO PEIXOTO;1120;;;;
GENERAL SALGADO;3937;;;;
GETULINA;3286;;;;
GLICÉRIO;1343;;;;
GUAIÇARA;2806;;;;
GUAIMBÊ;1768;;;;
GUAÍRA;10735;;;;
GUAPIAÇU;5778;;;;
GUAPIARA;4800;;;;
GUARÁ;5423;;;;
GUARAÇAÍ;3021;;;;
GUARACI;3175;;;;
GUARANI D'OESTE;667;;;;
GUARANTÃ;1776;;;;
GUARARAPES;9812;;;;
GUARAREMA;7760;;;;
GUARATINGUETÁ;36963;;;;
GUAREÍ;3031;;;;
GUARIBA;7852;;;;
GUARUJÁ;78289;;;;
GUARULHOS;283270;;;;
GUATAPARÁ;1993;;;;
GUZOLÂNDIA;1273;;;;
HERCULÂNDIA;2657;;;;
HOLAMBRA;3296;;;;
HORTOLÂNDIA;48348;;;;
IACANGA;3199;;;;
IACRI;2105;;;;
IARAS;1447;;;;
IBATÉ;6400;;;;
IBIRÁ;3810;;;;
IBIRAREMA;2186;;;;
IBITINGA;16195;;;;
IBIÚNA;21832;;;;
ICÉM;2180;;;;
IEPÊ;2589;;;;
IGARAÇU DO TIETÊ;5330;;;;
IGARAPAVA;7968;;;;
IGARATÁ;2716;;;;
IGUAPE;9830;;;;
ILHA COMPRIDA;3628;;;;
ILHA SOLTEIRA;9749;;;;
ILHABELA;7602;;;;
INDAIATUBA;59285;;;;
INDIANA;1593;;;;
INDIAPORÃ;1699;;;;
INÚBIA PAULISTA;1240;;;;
IPAUSSU;3829;;;;
IPERÓ;6037;;;;
IPEÚNA;1503;;;;
IPIGUÁ;1599;;;;
IPORANGA;1758;;;;
IPUÃ;3554;;;;
IRACEMÁPOLIS;5612;;;;
IRAPUÃ;2115;;;;
IRAPURU;2287;;;;
ITABERÁ;4895;;;;
ITAÍ;5730;;;;
ITAJOBI;5598;;;;
ITAJU;1020;;;;
ITANHAÉM;32710;;;;
ITAOCA;1268;;;;
ITAPECERICA DA SERRA;34142;;;;
ITAPETININGA;42462;;;;
ITAPEVA;23273;;;;
ITAPEVI;39418;;;;
ITAPIRA;24659;;;;
ITAPIRAPUÃ PAULISTA;962;;;;
ITÁPOLIS;13126;;;;
ITAPORANGA;4847;;;;
ITAPUÍ;3263;;;;
ITAPURA;1286;;;;
ITAQUAQUECETUBA;55463;;;;
ITARARÉ;12950;;;;
ITARIRI;3915;;;;
ITATIBA;30415;;;;
ITATINGA;4096;;;;
ITIRAPINA;3793;;;;
ITIRAPUÃ;1864;;;;
ITOBI;2234;;;;
ITU;42552;;;;
ITUPEVA;10304;;;;
ITUVERAVA;14143;;;;
JABORANDI;1974;;;;
JABOTICABAL;23611;;;;
JACAREÍ;63484;;;;
JACI;2087;;;;
JACUPIRANGA;4461;;;;
JAGUARIÚNA;13414;;;;
JALES;18550;;;;
JAMBEIRO;1491;;;;
JANDIRA;21439;;;;
JARDINÓPOLIS;11370;;;;
JARINU;7513;;;;
JAÚ;47648;;;;
JERIQUARA;825;;;;
JOANÓPOLIS;4232;;;;
JOÃO RAMALHO;946;;;;
JOSÉ BONIFÁCIO;10412;;;;
JÚLIO MESQUITA;1253;;;;
JUMIRIM;710;;;;
JUNDIAÍ;122253;;;;
JUNQUEIRÓPOLIS;6596;;;;
JUQUIÁ;5736;;;;
JUQUITIBA;7332;;;;
LAGOINHA;1787;;;;
LARANJAL PAULISTA;8593;;;;
LAVÍNIA;1603;;;;
LAVRINHAS;1427;;;;
LEME;25402;;;;
LENÇÓIS PAULISTA;16683;;;;
LIMEIRA;79906;;;;
LINDÓIA;2130;;;;
LINS;26030;;;;
LORENA;25774;;;;
LOURDES;857;;;;
LOUVEIRA;8135;;;;
LUCÉLIA;6644;;;;
LUCIANÓPOLIS;878;;;;
LUÍS ANTÔNIO;2680;;;;
LUIZIÂNIA;1427;;;;
LUPÉRCIO;1287;;;;
LUTÉCIA;952;;;;
MACATUBA;4505;;;;
MACAUBAL;2913;;;;
MACEDÔNIA;1370;;;;
MAGDA;1226;;;;
MAIRINQUE;11277;;;;
MAIRIPORÃ;21264;;;;
MANDURI;2684;;;;
MARABÁ PAULISTA;1073;;;;
MARACAÍ;3825;;;;
MARAPOAMA;1117;;;;
MARIÁPOLIS;1148;;;;
MARÍLIA;84621;;;;
MARINÓPOLIS;742;;;;
MARTINÓPOLIS;7372;;;;
MATÃO;23352;;;;
MAUÁ;98151;;;;
MENDONÇA;1810;;;;
MERIDIANO;1338;;;;
MESÓPOLIS;711;;;;
MIGUELÓPOLIS;5872;;;;
MINEIROS DO TIETÊ;3315;;;;
MIRA ESTRELA;1177;;;;
MIRACATU;5207;;;;
MIRANDÓPOLIS;9903;;;;
MIRANTE DO PARANAPANEMA;5737;;;;
MIRASSOL;17149;;;;
MIRASSOLÂNDIA;1579;;;;
MOCOCA;22977;;;;
MOGI DAS CRUZES;108359;;;;
MOGI GUAÇU;41887;;;;
MOGI MIRIM;28892;;;;
MOMBUCA;988;;;;
MONÇÕES;902;;;;
MONGAGUÁ;16335;;;;
MONTE ALEGRE DO SUL;2472;;;;
MONTE ALTO;15951;;;;
MONTE APRAZÍVEL;8174;;;;
MONTE AZUL PAULISTA;6041;;;;
MONTE CASTELO;1559;;;;
MONTE MOR;11911;;;;
MONTEIRO LOBATO;1619;;;;
MORRO AGUDO;7353;;;;
MORUNGABA;3456;;;;
MOTUCA;1154;;;;
MURUTINGA DO SUL;1730;;;;
NANTES;699;;;;
NARANDIBA;1116;;;;
NATIVIDADE DA SERRA;2609;;;;
NAZARÉ PAULISTA;4720;;;;
NEVES PAULISTA;3600;;;;
NHANDEARA;4376;;;;
NIPOÃ;1091;;;;
NOVA ALIANÇA;2149;;;;
NOVA CAMPINA;1609;;;;
NOVA CANAÃ PAULISTA;819;;;;
NOVA CASTILHO;411;;;;
NOVA EUROPA;2388;;;;
NOVA GRANADA;5776;;;;
NOVA GUATAPORANGA;798;;;;
NOVA INDEPENDÊNCIA;883;;;;
NOVA LUZITÂNIA;1042;;;;
NOVA ODESSA;13396;;;;
NOVAIS;1093;;;;
NOVO HORIZONTE;12048;;;;
NUPORANGA;2318;;;;
OCAUÇU;1221;;;;
ÓLEO;952;;;;
OLÍMPIA;17205;;;;
ONDA VERDE;1223;;;;
ORIENTE;2119;;;;
ORINDIÚVA;1244;;;;
ORLÂNDIA;11443;;;;
OSASCO;168049;;;;
OSCAR BRESSANE;1279;;;;
OSVALDO CRUZ;11958;;;;
OURINHOS;34272;;;;
OURO VERDE;2975;;;;
OUROESTE;2940;;;;
PACAEMBU;4135;;;;
PALESTINA;3818;;;;
PALMARES PAULISTA;1903;;;;
PALMEIRA D'OESTE;3596;;;;
PALMITAL;7849;;;;
PANORAMA;4008;;;;
PARAGUAÇU PAULISTA;12310;;;;
PARAIBUNA;5048;;;;
PARAÍSO;2006;;;;
PARANAPANEMA;4707;;;;
PARANAPUÃ;1256;;;;
PARAPUÃ;3655;;;;
PARDINHO;1675;;;;
PARIQUERA-AÇU;6807;;;;
PARISI;870;;;;
PATROCÍNIO PAULISTA;3917;;;;
PAULICÉIA;1614;;;;
PAULÍNIA;22380;;;;
PAULISTÂNIA;579;;;;
PAULO DE FARIA;2792;;;;
PEDERNEIRAS;11345;;;;
PEDRA BELA;1822;;;;
PEDRANÓPOLIS;1009;;;;
PEDREGULHO;4481;;;;
PEDREIRA;12837;;;;
