Municipio;Qtd-Doses-Distribuidas
ZACARIAS;2064
VOTUPORANGA;77360
VOTORANTIM;80777
VITÓRIA BRASIL;1434
VISTA ALEGRE DO ALTO;5305
VIRADOURO;13406
VINHEDO;55983
VERA CRUZ;8241
VÁRZEA PAULISTA;73452
VARGEM GRANDE PAULISTA;35323
VARGEM GRANDE DO SUL;27657
VARGEM;7804
VALPARAÍSO;17531
VALINHOS;95466
VALENTIM GENTIL;9079
URUPÊS;10775
URU;1209
URÂNIA;7517
UNIÃO PAULISTA;1208
UCHOA;7629
UBIRAJARA;3366
UBATUBA;63333
UBARANA;3855
TURMALINA;1673
TURIÚBA;1699
TUPI PAULISTA;13522
TUPÃ;55125
TUIUTI;5664
TRÊS FRONTEIRAS;4759
TREMEMBÉ;33097
TRABIJU;1246
TORRINHA;7456
TORRE DE PEDRA;2058
TIMBURI;2089
TIETÊ;28603
TERRA ROXA;6054
TEODORO SAMPAIO;14446
TEJUPÁ;3020
TAUBATÉ;233197
TATUÍ;81370
TARUMÃ;9106
TARABAI;4588
TAQUARIVAÍ;3312
TAQUARITUBA;16502
TAQUARITINGA;41647
TAQUARAL;2132
TAPIRATIBA;9542
TAPIRAÍ;5198
TANABI;20159
TAMBAÚ;16707
TAIÚVA;4620
TAIAÇU;4563
TAGUAÍ;8241
TACIBA;4304
TABOÃO DA SERRA;187144
TABATINGA;11211
TABAPUÃ;9111
SUZANO;190099
SUZANÁPOLIS;2844
SUMARÉ;172934
SUD MENNUCCI;5551
SOROCABA;481419
SOCORRO;33705
SILVEIRAS;4259
SEVERÍNIA;10310
SETE BARRAS;8746
SERTÃOZINHO;84141
SERRANA;11477
SERRA NEGRA;23677
SERRA AZUL;8720
SEBASTIANÓPOLIS DO SUL;2629
SARUTAIÁ;2662
SARAPUÍ;6830
SÃO VICENTE;243729
SÃO SIMÃO;11560
SÃO SEBASTIÃO DA GRAMA;8774
SÃO SEBASTIÃO;54260
SÃO ROQUE;66951
SÃO PEDRO DO TURVO;5227
SÃO PEDRO;27707
SÃO PAULO;9148789
SÃO MIGUEL ARCANJO;21796
SÃO MANUEL;27609
SÃO LUIZ DO PARAITINGA;8126
SÃO LOURENÇO DA SERRA;9677
SÃO JOSÉ DOS CAMPOS;500375
SÃO JOSÉ DO RIO PRETO;351820
SÃO JOSÉ DO RIO PARDO;43212
SÃO JOSÉ DO BARREIRO;2974
SÃO JOSÉ DA BELA VISTA;5296
SÃO JOAQUIM DA BARRA;38429
SÃO JOÃO DO PAU D'ALHO;1931
SÃO JOÃO DE IRACEMA;1565
SÃO JOÃO DAS DUAS PONTES;1951
SÃO JOÃO DA BOA VISTA;74611
SÃO FRANCISCO;2359
SÃO CARLOS;194003
SÃO CAETANO DO SUL;150100
SÃO BERNARDO DO CAMPO;561141
SÃO BENTO DO SAPUCAÍ;8774
SANTOS;403833
SANTÓPOLIS DO AGUAPEÍ;3146
SANTO EXPEDITO;2517
SANTO ANTÔNIO DO PINHAL;4859
SANTO ANTÔNIO DO JARDIM;4616
SANTO ANTÔNIO DO ARACANGUÁ;5814
SANTO ANTÔNIO DE POSSE;14695
SANTO ANTÔNIO DA ALEGRIA;5110
SANTO ANDRÉ;567952
SANTO ANASTÁCIO;16191
SANTANA DE PARNAÍBA;91662
SANTANA DA PONTE PENSA;1419
SANTA SALETE;1463
SANTA ROSA DE VITERBO;19217
SANTA RITA DO PASSA QUATRO;22268
SANTA RITA D'OESTE;2525
SANTA MERCEDES;2149
SANTA MARIA DA SERRA;4008
SANTA LÚCIA;5250
SANTA ISABEL;37867
SANTA GERTRUDES;14201
SANTA FÉ DO SUL;29009
SANTA ERNESTINA;3549
SANTA CRUZ DO RIO PARDO;34487
SANTA CRUZ DAS PALMEIRAS;21196
SANTA CRUZ DA ESPERANÇA;1680
SANTA CRUZ DA CONCEIÇÃO;3540
SANTA CLARA D'OESTE;1774
SANTA BRANCA;10758
SANTA BÁRBARA D'OESTE;131511
SANTA ALBERTINA;5200
SANTA ADÉLIA;10883
SANDOVALINA;2713
SALTO GRANDE;6765
SALTO DE PIRAPORA;31062
SALTO;80523
SALTINHO;6072
SALMOURÃO;3704
SALESÓPOLIS;11779
SALES OLIVEIRA;8685
SALES;4726
SAGRES;1907
SABINO;4556
RUBINÉIA;2847
RUBIÁCEA;2047
ROSEIRA;7108
ROSANA;13169
RIVERSUL;4273
RIOLÂNDIA;7561
RIO GRANDE DA SERRA;31993
RIO DAS PEDRAS;20029
RIO CLARO;146170
RINÓPOLIS;7808
RINCÃO;7434
RIFAINA;2847
RIBEIRÃO PRETO;518528
RIBEIRÃO PIRES;89785
RIBEIRÃO GRANDE;5398
RIBEIRÃO DOS ÍNDIOS;1989
RIBEIRÃO DO SUL;3820
RIBEIRÃO CORRENTE;3137
RIBEIRÃO BRANCO;10042
RIBEIRÃO BONITO;8323
RIBEIRA;2574
RESTINGA;4334
REGISTRO;46274
REGINÓPOLIS;5020
REGENTE FEIJÓ;14384
REDENÇÃO DA SERRA;3214
RANCHARIA;22133
RAFARD;6051
