Municipio;Qtd-Doses-Distribuidas
ZACARIAS;1267
VOTUPORANGA;50518
VOTORANTIM;44579
VITÓRIA BRASIL;928
VISTA ALEGRE DO ALTO;2805
VIRADOURO;8083
VINHEDO;33132
VERA CRUZ;5761
VÁRZEA PAULISTA;38050
VARGEM GRANDE PAULISTA;18927
VARGEM GRANDE DO SUL;18092
VARGEM;4807
VALPARAÍSO;10133
VALINHOS;58535
VALENTIM GENTIL;5010
URUPÊS;6775
URU;771
URÂNIA;5046
UNIÃO PAULISTA;750
UCHOA;4971
UBIRAJARA;2085
UBATUBA;36040
UBARANA;2092
TURMALINA;1252
TURIÚBA;1128
TUPI PAULISTA;8672
TUPÃ;38397
TUIUTI;3545
TRÊS FRONTEIRAS;3129
TREMEMBÉ;19323
TRABIJU;798
TORRINHA;4868
TORRE DE PEDRA;1302
TIMBURI;1451
TIETÊ;17228
TERRA ROXA;3939
TEODORO SAMPAIO;8350
TEJUPÁ;1754
TAUBATÉ;139321
TATUÍ;51337
TARUMÃ;5120
TARABAI;2733
TAQUARIVAÍ;1814
TAQUARITUBA;10053
TAQUARITINGA;26716
TAQUARAL;1344
TAPIRATIBA;5969
TAPIRAÍ;3406
TANABI;13114
TAMBAÚ;10357
TAIÚVA;3090
TAIAÇU;2949
TAGUAÍ;4419
TACIBA;2599
TABOÃO DA SERRA;108540
TABATINGA;6284
TABAPUÃ;5863
SUZANO;102912
SUZANÁPOLIS;1728
SUMARÉ;93950
SUD MENNUCCI;3453
SOROCABA;274220
SOCORRO;21069
SILVEIRAS;2651
SEVERÍNIA;5784
SETE BARRAS;5276
SERTÃOZINHO;48410
SERRANA;10103
SERRA NEGRA;15054
SERRA AZUL;4594
SEBASTIANÓPOLIS DO SUL;1667
SARUTAIÁ;1663
SARAPUÍ;4066
SÃO VICENTE;147921
SÃO SIMÃO;7351
SÃO SEBASTIÃO DA GRAMA;5465
SÃO SEBASTIÃO;29698
SÃO ROQUE;40260
SÃO PEDRO DO TURVO;3264
SÃO PEDRO;17509
SÃO PAULO;5499854
SÃO MIGUEL ARCANJO;12661
SÃO MANUEL;16688
SÃO LUIZ DO PARAITINGA;4953
SÃO LOURENÇO DA SERRA;5879
SÃO JOSÉ DOS CAMPOS;317341
SÃO JOSÉ DO RIO PRETO;228009
SÃO JOSÉ DO RIO PARDO;28978
SÃO JOSÉ DO BARREIRO;1910
SÃO JOSÉ DA BELA VISTA;3098
SÃO JOAQUIM DA BARRA;23069
SÃO JOÃO DO PAU D'ALHO;1360
SÃO JOÃO DE IRACEMA;1044
SÃO JOÃO DAS DUAS PONTES;1222
SÃO JOÃO DA BOA VISTA;49657
SÃO FRANCISCO;1643
SÃO CARLOS;116930
SÃO CAETANO DO SUL;107274
SÃO BERNARDO DO CAMPO;347947
SÃO BENTO DO SAPUCAÍ;5518
SANTOS;285202
SANTÓPOLIS DO AGUAPEÍ;1836
SANTO EXPEDITO;1621
SANTO ANTÔNIO DO PINHAL;2963
SANTO ANTÔNIO DO JARDIM;2900
SANTO ANTÔNIO DO ARACANGUÁ;3361
SANTO ANTÔNIO DE POSSE;8522
SANTO ANTÔNIO DA ALEGRIA;3417
SANTO ANDRÉ;354176
SANTO ANASTÁCIO;10279
SANTANA DE PARNAÍBA;51335
SANTANA DA PONTE PENSA;1023
SANTA SALETE;1000
SANTA ROSA DE VITERBO;11898
SANTA RITA DO PASSA QUATRO;15473
SANTA RITA D'OESTE;1648
SANTA MERCEDES;1336
SANTA MARIA DA SERRA;2304
SANTA LÚCIA;2869
SANTA ISABEL;21383
SANTA GERTRUDES;8031
SANTA FÉ DO SUL;19933
SANTA ERNESTINA;2067
SANTA CRUZ DO RIO PARDO;22110
SANTA CRUZ DAS PALMEIRAS;12055
SANTA CRUZ DA ESPERANÇA;1110
SANTA CRUZ DA CONCEIÇÃO;2406
SANTA CLARA D'OESTE;1149
SANTA BRANCA;6574
SANTA BÁRBARA D'OESTE;76918
SANTA ALBERTINA;3379
SANTA ADÉLIA;6867
SANDOVALINA;1646
SALTO GRANDE;4065
SALTO DE PIRAPORA;18066
SALTO;46494
SALTINHO;3631
SALMOURÃO;2241
SALESÓPOLIS;6993
SALES OLIVEIRA;5433
SALES;2980
SAGRES;1312
SABINO;3034
RUBINÉIA;1807
RUBIÁCEA;1250
ROSEIRA;4110
ROSANA;8415
RIVERSUL;2663
RIOLÂNDIA;4139
RIO GRANDE DA SERRA;16348
RIO DAS PEDRAS;10935
RIO CLARO;93679
RINÓPOLIS;4952
RINCÃO;4591
RIFAINA;1816
RIBEIRÃO PRETO;316435
RIBEIRÃO PIRES;53687
RIBEIRÃO GRANDE;3139
RIBEIRÃO DOS ÍNDIOS;1436
