Municipio;Qtd-Doses-Distribuidas
ADAMANTINA;20049
ADOLFO;2087
AGUAÍ;12789
ÁGUAS DA PRATA;4477
ÁGUAS DE LINDÓIA;9564
ÁGUAS DE SANTA BÁRBARA;2719
ÁGUAS DE SÃO PEDRO;2563
AGUDOS;17053
ALAMBARI;2275
ALFREDO MARCONDES;2507
ALTAIR;1480
ALTINÓPOLIS;7783
ALTO ALEGRE;2284
ALUMÍNIO;5616
ÁLVARES FLORENCE;2223
ÁLVARES MACHADO;10622
ÁLVARO DE CARVALHO;1611
ALVINLÂNDIA;1338
AMERICANA;104414
AMÉRICO BRASILIENSE;13346
AMÉRICO DE CAMPOS;3032
AMPARO;33480
ANALÂNDIA;1998
ANDRADINA;27559
ANGATUBA;9867
ANHEMBI;2638
ANHUMAS;1755
APARECIDA;14982
APARECIDA D'OESTE;2476
APIAÍ;9471
ARAÇARIGUAMA;6169
ARAÇATUBA;97150
ARAÇOIABA DA SERRA;13289
ARAMINA;2315
ARANDU;2636
ARAPEÍ;1090
ARARAQUARA;110333
ARARAS;55385
ARCO-ÍRIS;1316
AREALVA;4345
AREIAS;1623
AREIÓPOLIS;3345
ARIRANHA;3952
ARTUR NOGUEIRA;17805
ARUJÁ;29149
ASPÁSIA;995
ASSIS;49729
ATIBAIA;64035
AURIFLAMA;7173
AVAÍ;2832
AVANHANDAVA;3799
AVARÉ;40003
BADY BASSITT;7478
BALBINOS;996
BÁLSAMO;4275
BANANAL;5048
BARÃO DE ANTONINA;1708
BARBOSA;2828
BARIRI;15119
BARRA BONITA;16621
BARRA DO CHAPÉU;2096
BARRA DO TURVO;4399
BARRETOS;63289
BARRINHA;8858
BARUERI;97535
BASTOS;8972
BATATAIS;28321
BAURU;187514
BEBEDOURO;38489
BENTO DE ABREU;1084
BERNARDINO DE CAMPOS;5466
BERTIOGA;20571
BILAC;4092
BIRIGUI;50157
BIRITIBA MIRIM;10672
BOA ESPERANÇA DO SUL;5096
BOCAINA;4383
BOFETE;4751
BOITUVA;19779
BOM JESUS DOS PERDÕES;8158
BOM SUCESSO DE ITARARÉ;1119
BORÁ;460
BORACÉIA;1981
BORBOREMA;7304
BOREBI;1028
BOTUCATU;70379
BRAGANÇA PAULISTA;73892
BRAÚNA;2679
BREJO ALEGRE;1279
BRODOWSKI;10081
BROTAS;9442
BURI;6532
BURITAMA;7545
BURITIZAL;2194
CABRÁLIA PAULISTA;1850
CABREÚVA;14695
CAÇAPAVA;37861
CACHOEIRA PAULISTA;14704
CACONDE;8443
