Município;Qtd Dose
ZACARIAS;451
VOTUPORANGA;21076
VOTORANTIM;15508
VITÓRIA BRASIL;343
VISTA ALEGRE DO ALTO;1005
VIRADOURO;2690
VINHEDO;12128
VERA CRUZ;2249
VARZEA PAULISTA;11516
VARGEM GRANDE PAULISTA;5740
VARGEM GRANDE DO SUL;7198
VARGEM;1929
VALPARAISO;4359
VALINHOS;19160
VALENTIM GENTIL;1678
URUPÊS;2679
URU;314
URÂNIA;2028
UNIÃO PAULISTA;294
UCHÔA;2009
UBIRAJARA;784
UBATUBA;9656
UBARANA;658
TURMALINA;517
TURIUBA;447
TUPI PAULISTA;3753
TUPA;16686
TUIUTI;1173
TRÊS FRONTEIRAS;1244
TREMEMBE;7904
TRABIJÚ;290
TORRINHA;1966
TORRE DE PEDRA;517
TIMBURI;544
TIETÊ;6446
TERRA ROXA;1530
TEODORO SAMPAIO;2916
TEJUPÁ;530
TAUBATE;49924
TATUÍ;18797
TARUMÃ;1624
TARABAI;948
TAQUARIVAI;576
TAQUARITUBA;3778
TAQUARITINGA;11109
TAQUARAL;460
TAPIRATIBA;2172
TAPIRAÍ;1243
TANABI;4926
TAMBAU;3868
TAIUVA;1274
TAIAÇU;1260
TAGUAÍ;1547
TACIBA;936
TABOÃO DA SERRA;36377
TABATINGA;2149
TABAPUÃ;2172
SUZANO;26069
SUZANAPOLIS;599
SUMARE;30367
SUD MENNUCCI;1342
SOROCABA;101257
SOCORRO;7758
SILVEIRAS;1009
SEVERÍNIA;1973
SETE BARRAS;1774
SERTAOZINHO;16910
SERRANA;5312
SERRA NEGRA;5737
SERRA AZUL;1554
SEBASTIANÓPOLIS DO SUL;615
SARUTAIA;648
SARAPUÍ;1206
SÃO VICENTE;50816
SAO SIMAO;2752
SAO SEBASTIAO DA GRAMA;2031
SÃO SEBASTIÃO;7670
SÃO ROQUE;15000
SÃO PEDRO DO TURVO;1176
SÃO PEDRO;6246
SÃO PAULO;1793560
SÃO MIGUEL ARCANJO;4185
SÃO MANUEL;6352
SAO LUIZ DO PARAITINGA;1770
SÃO LOURENÇO DA SERRA;1736
SÃO JOSÉ DOS CAMPOS;108728
SÃO JOSÉ DO RIO PRETO;93242
SAO JOSE DO RIO PARDO;11200
SAO JOSE DO BARREIRO;673
SÃO JOSÉ DA BELA VISTA;1120
SÃO JOAQUIM DA BARRA;9066
SÃO JOÃO DO PAU D'ALHO;558
SÃO JOÃO DE IRACEMA;400
SÃO JOÃO DAS DUAS PONTES;429
SAO JOAO DA BOA VISTA;20467
SÃO FRANCISCO;620
SÃO CARLOS;45179
SÃO CAETANO DO SUL;49466
SÃO BERNARDO DO CAMPO;123418
SAO BENTO DO SAPUCAI;2000
SANTOS;120369
SANTOPOLIS DO AGUAPEI;676
SANTO EXPEDITO;648
SANTO ANTONIO DO PINHAL;1006
SANTO ANTONIO DO JARDIM;1072
SANTO ANTONIO DO ARACANGUA;1182
SANTO ANTONIO DE POSSE;3024
SANTO ANTONIO DA ALEGRIA;1308
SANTO ANDRÉ;134438
SANTO ANASTÁCIO;4043
SANTANA DE PARNAIBA;15304
SANTANA DA PONTE PENSA;407
SANTA SALETE;418
SANTA ROSA DE VITERBO;4325
SANTA RITA DO PASSA QUATRO;6310
SANTA RITA D'OESTE;545
SANTA MERCEDES;522
SANTA MARIA DA SERRA;868
SANTA LÚCIA;972
SANTA ISABEL;5337
SANTA GERTRUDES;2504
SANTA FÉ DO SUL;8042
