Municipio;Qtd-Doses-Distribuidas;;
ADAMANTINA;12678;;
ADOLFO;1216;;
AGUAÍ;7548;;
ÁGUAS DA PRATA;2811;;
ÁGUAS DE LINDÓIA;5390;;
ÁGUAS DE SANTA BÁRBARA;1680;;
ÁGUAS DE SÃO PEDRO;1705;;
AGUDOS;11735;;
ALAMBARI;1289;;
ALFREDO MARCONDES;1698;;
ALTAIR;952;;
ALTINÓPOLIS;5003;;
ALTO ALEGRE;1569;;
ALUMÍNIO;3269;;
ÁLVARES FLORENCE;1410;;
ÁLVARES MACHADO;6634;;
ÁLVARO DE CARVALHO;994;;
ALVINLÂNDIA;796;;
AMERICANA;63025;;
AMÉRICO BRASILIENSE;8435;;
AMÉRICO DE CAMPOS;1915;;
AMPARO;20942;;
ANALÂNDIA;1285;;
ANDRADINA;18195;;
ANGATUBA;5673;;
ANHEMBI;1402;;
ANHUMAS;1103;;
APARECIDA;8951;;
APARECIDA D'OESTE;1648;;
APIAÍ;5539;;
ARAÇARIGUAMA;3280;;
ARAÇATUBA;61706;;
ARAÇOIABA DA SERRA;7601;;
ARAMINA;1442;;
ARANDU;1535;;
ARAPEÍ;691;;
ARARAQUARA;71901;;
ARARAS;34923;;
ARCO-ÍRIS;973;;
AREALVA;2812;;
AREIAS;1020;;
AREIÓPOLIS;1969;;
ARIRANHA;2400;;
ARTUR NOGUEIRA;10922;;
ARUJÁ;16748;;
ASPÁSIA;621;;
ASSIS;31975;;
ATIBAIA;40340;;
AURIFLAMA;4680;;
AVAÍ;2073;;
AVANHANDAVA;2148;;
AVARÉ;25116;;
BADY BASSITT;4493;;
BALBINOS;482;;
BÁLSAMO;2787;;
BANANAL;3261;;
BARÃO DE ANTONINA;1076;;
BARBOSA;1790;;
BARIRI;9845;;
BARRA BONITA;10653;;
BARRA DO CHAPÉU;1238;;
BARRA DO TURVO;3235;;
BARRETOS;40968;;
BARRINHA;5165;;
BARUERI;55995;;
BASTOS;5313;;
BATATAIS;17014;;
BAURU;121646;;
BEBEDOURO;24764;;
BENTO DE ABREU;653;;
BERNARDINO DE CAMPOS;3588;;
BERTIOGA;11396;;
BILAC;2596;;
BIRIGUI;30749;;
BIRITIBA MIRIM;6210;;
BOA ESPERANÇA DO SUL;2911;;
BOCAINA;2705;;
BOFETE;2843;;
BOITUVA;11495;;
BOM JESUS DOS PERDÕES;4563;;
BOM SUCESSO DE ITARARÉ;630;;
BORÁ;290;;
BORACÉIA;1307;;
BORBOREMA;4376;;
BOREBI;642;;
BOTUCATU;47908;;
BRAGANÇA PAULISTA;45271;;
BRAÚNA;1718;;
BREJO ALEGRE;856;;
BRODOWSKI;6256;;
BROTAS;5689;;
BURI;3924;;
BURITAMA;4477;;
BURITIZAL;1340;;
CABRÁLIA PAULISTA;1132;;
CABREÚVA;7881;;
CAÇAPAVA;24089;;
CACHOEIRA PAULISTA;9141;;
CACONDE;5338;;
CAFELÂNDIA;5161;;
CAIABU;1217;;
CAIEIRAS;18473;;
CAIUÁ;1707;;
CAJAMAR;11505;;
CAJATI;5922;;
CAJOBI;2967;;
CAJURU;7064;;
CAMPINA DO MONTE ALEGRE;1381;;
CAMPINAS;343614;;
CAMPO LIMPO PAULISTA;16201;;
CAMPOS DO JORDÃO;10734;;
CAMPOS NOVOS PAULISTA;1273;;
CANANÉIA;3373;;
CANAS;910;;
CÂNDIDO MOTA;8096;;
CÂNDIDO RODRIGUES;998;;
CANITAR;860;;
CAPÃO BONITO;10214;;
