Municipio;Qtd-Doses-Distribuidas;;
ADAMANTINA;10059;;9.016.349
ADOLFO;949;;9.011.509
AGUAI;5812;;4.840
AGUAS DA PRATA;2216;;
AGUAS DE LINDOIA;4213;;
AGUAS DE SANTA BARBARA;1313;;
AGUAS DE SAO PEDRO;1392;;
AGUDOS;9252;;
ALAMBARI;992;;
ALFREDO MARCONDES;1373;;
ALTAIR;768;;
ALTINOPOLIS;3902;;
ALTO ALEGRE;1255;;
ALUMINIO;2493;;
ALVARES FLORENCE;1116;;
ALVARES MACHADO;5172;;
ALVARO DE CARVALHO;777;;
ALVINLANDIA;621;;
AMERICANA;48669;;
AMERICO BRASILIENSE;6552;;
AMERICO DE CAMPOS;1525;;
AMPARO;16429;;
ANALANDIA;985;;
ANDRADINA;14454;;
ANGATUBA;4374;;
ANHEMBI;1102;;
ANHUMAS;866;;
APARECIDA;6978;;
APARECIDA D'OESTE;1281;;
APIAI;4290;;
ARACARIGUAMA;2506;;
ARACATUBA;48392;;
ARACOIABA DA SERRA;5792;;
ARAMINA;1122;;
ARANDU;1174;;
ARAPEI;556;;
ARARAQUARA;56560;;
ARARAS;27132;;
ARCO-IRIS;849;;
AREALVA;2211;;
AREIAS;822;;
AREIOPOLIS;1531;;
ARIRANHA;1866;;
ARTUR NOGUEIRA;8357;;
ARUJA;12418;;
ASPASIA;498;;
ASSIS;25191;;
ATIBAIA;31545;;
AURIFLAMA;3679;;
AVAI;1816;;
AVANHANDAVA;1684;;
AVARE;19632;;
BADY BASSITT;3478;;
BALBINOS;398;;
BALSAMO;2174;;
BANANAL;2606;;
BARAO DE ANTONINA;870;;
BARBOSA;1410;;
BARIRI;7821;;
BARRA BONITA;8299;;
BARRA DO CHAPEU;979;;
BARRA DO TURVO;2777;;
BARRETOS;32707;;
BARRINHA;3999;;
BARUERI;42678;;
BASTOS;4143;;
BATATAIS;13251;;
BAURU;96297;;
BEBEDOURO;19581;;
BENTO DE ABREU;509;;
BERNARDINO DE CAMPOS;2885;;
BERTIOGA;8799;;
BILAC;2045;;
BIRIGUI;23726;;
BIRITIBA-MIRIM;4711;;
BOA ESPERANCA DO SUL;2238;;
BOCAINA;2119;;
BOFETE;2162;;
BOITUVA;8819;;
BOM JESUS DOS PERDOES;3540;;
BOM SUCESSO DE ITARARE;495;;
BORA;227;;
BORACEIA;1043;;
BORBOREMA;3417;;
BOREBI;489;;
BOTUCATU;37621;;
BRAGANCA PAULISTA;35325;;
BRAUNA;1398;;
BREJO ALEGRE;681;;
BRODOWSKI;4887;;
BROTAS;4480;;
BURI;3036;;
BURITAMA;3481;;
BURITIZAL;1056;;
CABRALIA PAULISTA;886;;
CABREUVA;6045;;
CACAPAVA;18659;;
CACHOEIRA PAULISTA;7182;;
CACONDE;4186;;
CAFELANDIA;4063;;
CAIABU;970;;
CAIEIRAS;14002;;
CAIUA;1307;;
CAJAMAR;8795;;
CAJATI;4610;;
CAJOBI;2311;;
CAJURU;5623;;
CAMPINA DO MONTE ALEGRE;1067;;
CAMPINAS;268260;;
CAMPO LIMPO PAULISTA;12109;;
CAMPOS DO JORDAO;8285;;
CAMPOS NOVOS PAULISTA;989;;
CANANEIA;2673;;
CANAS;712;;
CANDIDO MOTA;6280;;
CANDIDO RODRIGUES;805;;
CANITAR;656;;
CAPAO BONITO;7924;;
CAPELA DO ALTO;2855;;
CAPIVARI;9161;;
CARAGUATATUBA;23609;;
CARAPICUIBA;53393;;
CARDOSO;3003;;
CASA BRANCA;7373;;
CASSIA DOS COQUEIROS;616;;
