Municipio;Qtd-Doses-Distribuidas
ZACARIAS;2415
VOTUPORANGA;90233
VOTORANTIM;96960
VITÓRIA BRASIL;1665
VISTA ALEGRE DO ALTO;6577
VIRADOURO;16073
VINHEDO;66633
VERA CRUZ;9255
VÁRZEA PAULISTA;90596
VARGEM GRANDE PAULISTA;42435
VARGEM GRANDE DO SUL;32711
VARGEM;9175
VALPARAÍSO;20888
VALINHOS;112633
VALENTIM GENTIL;10947
URUPÊS;12537
URU;1355
URÂNIA;8736
UNIÃO PAULISTA;1384
UCHOA;8954
UBIRAJARA;3888
UBATUBA;75679
UBARANA;4714
TURMALINA;1879
TURIÚBA;1970
TUPI PAULISTA;15752
TUPÃ;63006
TUIUTI;6598
TRÊS FRONTEIRAS;5477
TREMEMBÉ;39648
TRABIJU;1457
TORRINHA;8862
TORRE DE PEDRA;2384
TIMBURI;2400
TIETÊ;34138
TERRA ROXA;7179
TEODORO SAMPAIO;17078
TEJUPÁ;3552
TAUBATÉ;277551
TATUÍ;97558
TARUMÃ;11049
TARABAI;5637
TAQUARIVAÍ;3995
TAQUARITUBA;19223
TAQUARITINGA;48320
TAQUARAL;2488
TAPIRATIBA;11349
TAPIRAÍ;5976
TANABI;23502
TAMBAÚ;19346
TAIÚVA;5313
TAIAÇU;5346
TAGUAÍ;9995
TACIBA;5037
TABOÃO DA SERRA;225918
TABATINGA;13421
TABAPUÃ;10778
SUZANO;227771
SUZANÁPOLIS;3301
SUMARÉ;208597
SUD MENNUCCI;6399
SOROCABA;572327
SOCORRO;39132
SILVEIRAS;5042
SEVERÍNIA;12580
SETE BARRAS;10207
SERTÃOZINHO;101495
SERRANA;11562
SERRA NEGRA;27436
SERRA AZUL;11380
SEBASTIANÓPOLIS DO SUL;3121
SARUTAIÁ;3124
SARAPUÍ;7854
SÃO VICENTE;281106
SÃO SIMÃO;13719
SÃO SEBASTIÃO DA GRAMA;10371
SÃO SEBASTIÃO;64317
SÃO ROQUE;79027
SÃO PEDRO DO TURVO;6131
SÃO PEDRO;31833
SÃO PAULO;10601548
SÃO MIGUEL ARCANJO;25987
SÃO MANUEL;32389
SÃO LUIZ DO PARAITINGA;9472
SÃO LOURENÇO DA SERRA;11646
SÃO JOSÉ DOS CAMPOS;610012
SÃO JOSÉ DO RIO PRETO;410575
SÃO JOSÉ DO RIO PARDO;51357
