Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;1719
ADAMANTINA;2° Dose;169
ADOLFO;1° Dose;157
ADOLFO;2° Dose;53
AGUAI;1° Dose;625
AGUAI;2° Dose;60
AGUAS DA PRATA;1° Dose;256
AGUAS DA PRATA;2° Dose;47
AGUAS DE LINDOIA;1° Dose;495
AGUAS DE LINDOIA;2° Dose;106
AGUAS DE SANTA BARBARA;1° Dose;197
AGUAS DE SANTA BARBARA;2° Dose;1
AGUAS DE SAO PEDRO;1° Dose;187
AGUAS DE SAO PEDRO;2° Dose;21
AGUDOS;1° Dose;1927
AGUDOS;2° Dose;80
ALAMBARI;1° Dose;130
ALAMBARI;2° Dose;20
ALFREDO MARCONDES;1° Dose;212
ALTAIR;1° Dose;171
ALTAIR;2° Dose;53
ALTINOPOLIS;1° Dose;499
ALTINOPOLIS;2° Dose;23
ALTO ALEGRE;1° Dose;132
ALTO ALEGRE;2° Dose;27
ALUMINIO;1° Dose;351
ALUMINIO;2° Dose;75
ALVARES FLORENCE;1° Dose;129
ALVARES MACHADO;1° Dose;705
ALVARES MACHADO;2° Dose;98
ALVARO DE CARVALHO;1° Dose;90
ALVARO DE CARVALHO;2° Dose;23
ALVINLANDIA;1° Dose;117
ALVINLANDIA;2° Dose;2
AMERICANA;1° Dose;6318
AMERICANA;2° Dose;10
AMERICO BRASILIENSE;1° Dose;1180
AMERICO BRASILIENSE;2° Dose;7
AMERICO DE CAMPOS;1° Dose;237
AMERICO DE CAMPOS;2° Dose;42
AMPARO;1° Dose;2501
AMPARO;2° Dose;607
ANALANDIA;1° Dose;153
ANALANDIA;2° Dose;14
ANDRADINA;1° Dose;1642
ANGATUBA;1° Dose;525
ANGATUBA;2° Dose;11
ANHEMBI;1° Dose;138
ANHEMBI;2° Dose;11
ANHUMAS;1° Dose;165
ANHUMAS;2° Dose;36
APARECIDA;1° Dose;648
APARECIDA D'OESTE;1° Dose;251
APARECIDA D'OESTE;2° Dose;63
APIAI;1° Dose;517
APIAI;2° Dose;46
ARACARIGUAMA;1° Dose;365
ARACARIGUAMA;2° Dose;37
ARACATUBA;1° Dose;8670
ARACATUBA;2° Dose;1463
ARACOIABA DA SERRA;1° Dose;763
ARACOIABA DA SERRA;2° Dose;34
ARAMINA;1° Dose;140
ARANDU;1° Dose;163
ARAPEI;1° Dose;73
ARARAQUARA;1° Dose;13353
ARARAQUARA;2° Dose;350
ARARAS;1° Dose;5522
ARARAS;2° Dose;767
ARCO-IRIS;1° Dose;221
ARCO-IRIS;2° Dose;24
AREALVA;1° Dose;267
AREALVA;2° Dose;33
AREIAS;1° Dose;118
AREIOPOLIS;1° Dose;189
ARIRANHA;1° Dose;420
ARIRANHA;2° Dose;15
ARTUR NOGUEIRA;1° Dose;1123
ARTUR NOGUEIRA;2° Dose;121
ARUJA;1° Dose;735
ARUJA;2° Dose;1
ASPASIA;1° Dose;74
ASPASIA;2° Dose;8
ASSIS;1° Dose;4183
ASSIS;2° Dose;238
ATIBAIA;1° Dose;6175
ATIBAIA;2° Dose;472
AURIFLAMA;1° Dose;454
AVAI;1° Dose;465
AVAI;2° Dose;32
AVANHANDAVA;1° Dose;318
AVANHANDAVA;2° Dose;4
AVARE;1° Dose;4003
AVARE;2° Dose;430
BADY BASSITT;1° Dose;672
BALBINOS;1° Dose;99
BALBINOS;2° Dose;9
BALSAMO;1° Dose;343
BALSAMO;2° Dose;77
BANANAL;1° Dose;372
BANANAL;2° Dose;58
BARAO DE ANTONINA;1° Dose;166
BARAO DE ANTONINA;2° Dose;28
BARBOSA;1° Dose;261
BARBOSA;2° Dose;56
BARIRI;1° Dose;1323
BARIRI;2° Dose;215
BARRA BONITA;1° Dose;1614
BARRA BONITA;2° Dose;163
BARRA DO CHAPEU;1° Dose;91
BARRA DO CHAPEU;2° Dose;24
BARRA DO TURVO;1° Dose;437
BARRETOS;1° Dose;7224
BARRETOS;2° Dose;963
BARRINHA;1° Dose;550
BARRINHA;2° Dose;5
BARUERI;1° Dose;9172
BARUERI;2° Dose;1479
BASTOS;1° Dose;565
BASTOS;2° Dose;7
BATATAIS;1° Dose;1192
BATATAIS;2° Dose;5
BAURU;1° Dose;17695
BAURU;2° Dose;583
BEBEDOURO;1° Dose;2786
BENTO DE ABREU;1° Dose;73
BENTO DE ABREU;2° Dose;18
BERNARDINO DE CAMPOS;1° Dose;384
BERNARDINO DE CAMPOS;2° Dose;79
BERTIOGA;1° Dose;1247
BERTIOGA;2° Dose;1
BILAC;1° Dose;381
BILAC;2° Dose;83
BIRIGUI;1° Dose;2174
BIRIGUI;2° Dose;88
BIRITIBA-MIRIM;1° Dose;496
BIRITIBA-MIRIM;2° Dose;104
BOA ESPERANCA DO SUL;1° Dose;371
BOA ESPERANCA DO SUL;2° Dose;70
BOCAINA;1° Dose;388
BOCAINA;2° Dose;73
BOFETE;1° Dose;207
BOITUVA;1° Dose;1057
BOITUVA;2° Dose;51
BOM JESUS DOS PERDOES;1° Dose;403
BOM JESUS DOS PERDOES;2° Dose;32
BOM SUCESSO DE ITARARE;1° Dose;84
BOM SUCESSO DE ITARARE;2° Dose;19
BORA;1° Dose;60
BORACEIA;1° Dose;154
BORACEIA;2° Dose;8
BORBOREMA;1° Dose;435
BORBOREMA;2° Dose;157
BOREBI;1° Dose;62
BOREBI;2° Dose;14
BOTUCATU;1° Dose;9694
BOTUCATU;2° Dose;1378
BRAGANCA PAULISTA;1° Dose;5579
BRAGANCA PAULISTA;2° Dose;1534
BRAUNA;1° Dose;240
BRAUNA;2° Dose;32
BREJO ALEGRE;1° Dose;111
BRODOWSKI;1° Dose;804
BRODOWSKI;2° Dose;24
BROTAS;1° Dose;587
BROTAS;2° Dose;7
BURI;1° Dose;266
BURI;2° Dose;81
BURITAMA;1° Dose;592
BURITAMA;2° Dose;147
BURITIZAL;1° Dose;211
BURITIZAL;2° Dose;36
CABRALIA PAULISTA;1° Dose;119
CABRALIA PAULISTA;2° Dose;35
CABREUVA;1° Dose;22
CABREUVA;2° Dose;2
CACAPAVA;1° Dose;1963
CACAPAVA;2° Dose;540
CACHOEIRA PAULISTA;1° Dose;1104
CACHOEIRA PAULISTA;2° Dose;74
CACONDE;1° Dose;492
CACONDE;2° Dose;1
CAFELANDIA;1° Dose;141
CAFELANDIA;2° Dose;2
CAIABU;1° Dose;101
CAIABU;2° Dose;6
CAIEIRAS;1° Dose;2449
CAIEIRAS;2° Dose;117
CAIUA;1° Dose;168
CAIUA;2° Dose;13
CAJAMAR;1° Dose;963
CAJAMAR;2° Dose;94
CAJATI;1° Dose;398
CAJOBI;1° Dose;428
CAJOBI;2° Dose;109
CAJURU;1° Dose;711
CAJURU;2° Dose;65
CAMPINA DO MONTE ALEGRE;1° Dose;134
CAMPINA DO MONTE ALEGRE;2° Dose;28
CAMPINAS;1° Dose;52512
CAMPINAS;2° Dose;5251
CAMPO LIMPO PAULISTA;1° Dose;1791
CAMPO LIMPO PAULISTA;2° Dose;288
CAMPOS DO JORDAO;1° Dose;1601
CAMPOS DO JORDAO;2° Dose;2
CAMPOS NOVOS PAULISTA;1° Dose;123
CAMPOS NOVOS PAULISTA;2° Dose;33
CANANEIA;1° Dose;392
CANANEIA;2° Dose;15
CANAS;1° Dose;65
CANDIDO MOTA;1° Dose;690
CANDIDO MOTA;2° Dose;167
CANDIDO RODRIGUES;1° Dose;115
CANDIDO RODRIGUES;2° Dose;24
CANITAR;1° Dose;125
CANITAR;2° Dose;23
CAPAO BONITO;1° Dose;1122
CAPAO BONITO;2° Dose;190
CAPELA DO ALTO;1° Dose;311
CAPELA DO ALTO;2° Dose;1
CAPIVARI;1° Dose;619
CARAGUATATUBA;1° Dose;3090
CARAPICUIBA;1° Dose;4841
CARAPICUIBA;2° Dose;157
CARDOSO;1° Dose;273
CASA BRANCA;1° Dose;1127
CASA BRANCA;2° Dose;10
CASSIA DOS COQUEIROS;1° Dose;76
CASSIA DOS COQUEIROS;2° Dose;13
CASTILHO;1° Dose;805
CASTILHO;2° Dose;183
CATANDUVA;1° Dose;7805
CATANDUVA;2° Dose;1407
CATIGUA;1° Dose;197
CATIGUA;2° Dose;15
CEDRAL;1° Dose;573
CEDRAL;2° Dose;51
CERQUEIRA CESAR;1° Dose;631
CERQUEIRA CESAR;2° Dose;64
CERQUILHO;1° Dose;871
CERQUILHO;2° Dose;1
CESARIO LANGE;1° Dose;438
CESARIO LANGE;2° Dose;44
CHARQUEADA;1° Dose;311
CHARQUEADA;2° Dose;7
CHAVANTES;1° Dose;184
CLEMENTINA;1° Dose;168
CLEMENTINA;2° Dose;38
COLINA;1° Dose;315
COLOMBIA;1° Dose;198
COLOMBIA;2° Dose;53
CONCHAL;1° Dose;417
CONCHAS;1° Dose;397
CONCHAS;2° Dose;22
CORDEIROPOLIS;1° Dose;521
COROADOS;1° Dose;125
COROADOS;2° Dose;21
CORONEL MACEDO;1° Dose;182
CORONEL MACEDO;2° Dose;48
CORUMBATAI;1° Dose;102
CORUMBATAI;2° Dose;17
COSMOPOLIS;1° Dose;1262
COSMOPOLIS;2° Dose;74
COSMORAMA;1° Dose;266
COSMORAMA;2° Dose;29
COTIA;1° Dose;4868
COTIA;2° Dose;324
CRAVINHOS;1° Dose;252
CRAVINHOS;2° Dose;1
CRISTAIS PAULISTA;1° Dose;288
CRUZALIA;1° Dose;73
CRUZALIA;2° Dose;17
CRUZEIRO;1° Dose;1577
CUBATAO;1° Dose;2812
CUBATAO;2° Dose;2
CUNHA;1° Dose;359
CUNHA;2° Dose;34
DESCALVADO;1° Dose;1263
