Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;1806
ADAMANTINA;2° Dose;279
ADOLFO;1° Dose;189
ADOLFO;2° Dose;67
AGUAI;1° Dose;838
AGUAI;2° Dose;242
AGUAS DA PRATA;1° Dose;339
AGUAS DA PRATA;2° Dose;61
AGUAS DE LINDOIA;1° Dose;637
AGUAS DE LINDOIA;2° Dose;136
AGUAS DE SANTA BARBARA;1° Dose;236
AGUAS DE SANTA BARBARA;2° Dose;43
AGUAS DE SAO PEDRO;1° Dose;187
AGUAS DE SAO PEDRO;2° Dose;21
AGUDOS;1° Dose;2002
AGUDOS;2° Dose;233
ALAMBARI;1° Dose;159
ALAMBARI;2° Dose;26
ALFREDO MARCONDES;1° Dose;217
ALFREDO MARCONDES;2° Dose;28
ALTAIR;1° Dose;176
ALTAIR;2° Dose;53
ALTINOPOLIS;1° Dose;634
ALTINOPOLIS;2° Dose;122
ALTO ALEGRE;1° Dose;132
ALTO ALEGRE;2° Dose;27
ALUMINIO;1° Dose;380
ALUMINIO;2° Dose;110
ALVARES FLORENCE;1° Dose;141
ALVARES FLORENCE;2° Dose;39
ALVARES MACHADO;1° Dose;736
ALVARES MACHADO;2° Dose;137
ALVARO DE CARVALHO;1° Dose;91
ALVARO DE CARVALHO;2° Dose;31
ALVINLANDIA;1° Dose;119
ALVINLANDIA;2° Dose;32
AMERICANA;1° Dose;7635
AMERICANA;2° Dose;689
AMERICO BRASILIENSE;1° Dose;1383
AMERICO BRASILIENSE;2° Dose;151
AMERICO DE CAMPOS;1° Dose;250
AMERICO DE CAMPOS;2° Dose;67
AMPARO;1° Dose;3050
AMPARO;2° Dose;667
ANALANDIA;1° Dose;153
ANALANDIA;2° Dose;26
ANDRADINA;1° Dose;2393
ANDRADINA;2° Dose;5
ANGATUBA;1° Dose;648
ANGATUBA;2° Dose;40
ANHEMBI;1° Dose;138
ANHEMBI;2° Dose;11
ANHUMAS;1° Dose;171
ANHUMAS;2° Dose;44
APARECIDA;1° Dose;658
APARECIDA D'OESTE;1° Dose;252
APARECIDA D'OESTE;2° Dose;69
APIAI;1° Dose;549
APIAI;2° Dose;93
ARACARIGUAMA;1° Dose;405
ARACARIGUAMA;2° Dose;63
