Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
BOA ESPERANÇA DO SUL;2° Dose;291
BOCAINA;1° Dose;926
BOCAINA;2° Dose;331
BOFETE;1° Dose;620
BOFETE;2° Dose;186
BOITUVA;1° Dose;3005
BOITUVA;2° Dose;1045
BOM JESUS DOS PERDÕES;1° Dose;1269
BOM JESUS DOS PERDÕES;2° Dose;349
BOM SUCESSO DE ITARARÉ;1° Dose;194
BOM SUCESSO DE ITARARÉ;2° Dose;64
BORÁ;1° Dose;104
BORÁ;2° Dose;38
BORACÉIA;1° Dose;421
BORACÉIA;2° Dose;120
BORBOREMA;1° Dose;1199
BORBOREMA;2° Dose;378
BOREBI;1° Dose;178
BOREBI;2° Dose;45
BOTUCATU;1° Dose;18321
BOTUCATU;2° Dose;6292
BRAGANÇA PAULISTA;1° Dose;13757
BRAGANÇA PAULISTA;2° Dose;5307
BRAÚNA;1° Dose;566
BRAÚNA;2° Dose;248
BREJO ALEGRE;1° Dose;288
BREJO ALEGRE;2° Dose;47
BRODOWSKI;1° Dose;1887
BRODOWSKI;2° Dose;788
BROTAS;1° Dose;1546
BROTAS;2° Dose;576
BURI;1° Dose;932
BURI;2° Dose;265
BURITAMA;1° Dose;1220
BURITAMA;2° Dose;473
BURITIZAL;1° Dose;404
BURITIZAL;2° Dose;160
CABRÁLIA PAULISTA;1° Dose;321
CABRÁLIA PAULISTA;2° Dose;119
CABREÚVA;1° Dose;1857
CABREÚVA;2° Dose;590
CAÇAPAVA;1° Dose;5387
CAÇAPAVA;2° Dose;2192
CACHOEIRA PAULISTA;1° Dose;2366
CACHOEIRA PAULISTA;2° Dose;785
CACONDE;1° Dose;1459
CACONDE;2° Dose;326
CAFELÂNDIA;1° Dose;894
CAFELÂNDIA;2° Dose;130
CAIABU;1° Dose;348
CAIABU;2° Dose;112
CAIEIRAS;1° Dose;5711
CAIEIRAS;2° Dose;1931
CAIUÁ;1° Dose;477
CAIUÁ;2° Dose;166
CAJAMAR;1° Dose;3492
CAJAMAR;2° Dose;864
CAJATI;1° Dose;1570
CAJATI;2° Dose;401
CAJOBI;1° Dose;925
CAJOBI;2° Dose;329
CAJURU;1° Dose;2075
CAJURU;2° Dose;731
CAMPINA DO MONTE ALEGRE;1° Dose;396
CAMPINA DO MONTE ALEGRE;2° Dose;123
CAMPINAS;1° Dose;114518
CAMPINAS;2° Dose;40734
CAMPO LIMPO PAULISTA;1° Dose;3129
CAMPO LIMPO PAULISTA;2° Dose;1384
CAMPOS DO JORDÃO;1° Dose;3202
CAMPOS DO JORDÃO;2° Dose;1325
CAMPOS NOVOS PAULISTA;1° Dose;370
CAMPOS NOVOS PAULISTA;2° Dose;109
CANANÉIA;1° Dose;907
CANANÉIA;2° Dose;323
CANAS;1° Dose;250
CANAS;2° Dose;96
CÂNDIDO MOTA;1° Dose;2580
CÂNDIDO MOTA;2° Dose;782
CÂNDIDO RODRIGUES;1° Dose;288
CÂNDIDO RODRIGUES;2° Dose;105
CANITAR;1° Dose;218
CANITAR;2° Dose;92
CAPÃO BONITO;1° Dose;3182
CAPÃO BONITO;2° Dose;882
CAPELA DO ALTO;1° Dose;875
CAPELA DO ALTO;2° Dose;270
CAPIVARI;1° Dose;3252
CAPIVARI;2° Dose;1173
CARAGUATATUBA;1° Dose;8612
CARAGUATATUBA;2° Dose;3123
CARAPICUÍBA;1° Dose;15127
CARAPICUÍBA;2° Dose;5357
CARDOSO;1° Dose;1059
CARDOSO;2° Dose;340
CASA BRANCA;1° Dose;2520
CASA BRANCA;2° Dose;1030
CÁSSIA DOS COQUEIROS;1° Dose;291
CÁSSIA DOS COQUEIROS;2° Dose;84
CASTILHO;1° Dose;1616
CASTILHO;2° Dose;604
CATANDUVA;1° Dose;14951
CATANDUVA;2° Dose;6043
CATIGUÁ;1° Dose;669
CATIGUÁ;2° Dose;138
CEDRAL;1° Dose;945
CEDRAL;2° Dose;443
CERQUEIRA CÉSAR;1° Dose;1670
CERQUEIRA CÉSAR;2° Dose;542
CERQUILHO;1° Dose;1940
CERQUILHO;2° Dose;534
CESÁRIO LANGE;1° Dose;1022
CESÁRIO LANGE;2° Dose;357
CHARQUEADA;1° Dose;841
CHARQUEADA;2° Dose;283
CHAVANTES;1° Dose;532
CHAVANTES;2° Dose;230
CLEMENTINA;1° Dose;497
CLEMENTINA;2° Dose;168
COLINA;1° Dose;867
COLINA;2° Dose;307
COLÔMBIA;1° Dose;450
COLÔMBIA;2° Dose;214
CONCHAL;1° Dose;1472
CONCHAL;2° Dose;486
CONCHAS;1° Dose;1393
CONCHAS;2° Dose;420
CORDEIRÓPOLIS;1° Dose;1777
CORDEIRÓPOLIS;2° Dose;379
COROADOS;1° Dose;367
COROADOS;2° Dose;104
CORONEL MACEDO;1° Dose;462
CORONEL MACEDO;2° Dose;134
CORUMBATAÍ;1° Dose;256
CORUMBATAÍ;2° Dose;110
COSMÓPOLIS;1° Dose;3271
COSMÓPOLIS;2° Dose;960
COSMORAMA;1° Dose;874
COSMORAMA;2° Dose;238
COTIA;1° Dose;10505
COTIA;2° Dose;4391
CRAVINHOS;1° Dose;1812
CRAVINHOS;2° Dose;576
CRISTAIS PAULISTA;1° Dose;565
CRISTAIS PAULISTA;2° Dose;219
CRUZÁLIA;1° Dose;186
CRUZÁLIA;2° Dose;52
CRUZEIRO;1° Dose;5142
CRUZEIRO;2° Dose;2130
CUBATÃO;1° Dose;7619
CUBATÃO;2° Dose;1929
CUNHA;1° Dose;1657
CUNHA;2° Dose;441
DESCALVADO;1° Dose;3601
DESCALVADO;2° Dose;1179
DIADEMA;1° Dose;19010
DIADEMA;2° Dose;8244
DIRCE REIS;1° Dose;184
DIRCE REIS;2° Dose;48
DIVINOLÂNDIA;1° Dose;1675
DIVINOLÂNDIA;2° Dose;490
DOBRADA;1° Dose;417
DOBRADA;2° Dose;127
DOIS CÓRREGOS;1° Dose;2114
DOIS CÓRREGOS;2° Dose;784
DOLCINÓPOLIS;1° Dose;273
DOLCINÓPOLIS;2° Dose;55
DOURADO;1° Dose;752
DOURADO;2° Dose;300
DRACENA;1° Dose;5821
DRACENA;2° Dose;2473
DUARTINA;1° Dose;1397
DUARTINA;2° Dose;463
DUMONT;1° Dose;585
DUMONT;2° Dose;175
ECHAPORÃ;1° Dose;556
ECHAPORÃ;2° Dose;215
ELDORADO;1° Dose;1992
ELDORADO;2° Dose;1398
ELIAS FAUSTO;1° Dose;805
ELIAS FAUSTO;2° Dose;259
ELISIÁRIO;1° Dose;285
ELISIÁRIO;2° Dose;99
EMBAÚBA;1° Dose;231
EMBAÚBA;2° Dose;71
EMBU DAS ARTES;1° Dose;9354
EMBU DAS ARTES;2° Dose;3834
EMBU-GUAÇU;1° Dose;4088
EMBU-GUAÇU;2° Dose;1347
EMILIANÓPOLIS;1° Dose;366
EMILIANÓPOLIS;2° Dose;99
ENGENHEIRO COELHO;1° Dose;945
ENGENHEIRO COELHO;2° Dose;363
ESPÍRITO SANTO DO PINHAL;1° Dose;4640
ESPÍRITO SANTO DO PINHAL;2° Dose;1600
ESPÍRITO SANTO DO TURVO;1° Dose;229
ESPÍRITO SANTO DO TURVO;2° Dose;80
ESTIVA GERBI;1° Dose;429
ESTIVA GERBI;2° Dose;151
ESTRELA DO NORTE;1° Dose;240
ESTRELA DO NORTE;2° Dose;69
ESTRELA D'OESTE;1° Dose;965
ESTRELA D'OESTE;2° Dose;315
EUCLIDES DA CUNHA PAULISTA;1° Dose;574
EUCLIDES DA CUNHA PAULISTA;2° Dose;212
FARTURA;1° Dose;1692
FARTURA;2° Dose;513
FERNANDO PRESTES;1° Dose;696
FERNANDO PRESTES;2° Dose;208
FERNANDÓPOLIS;1° Dose;9231
FERNANDÓPOLIS;2° Dose;3045
FERNÃO;1° Dose;179
FERNÃO;2° Dose;58
FERRAZ DE VASCONCELOS;1° Dose;6998
FERRAZ DE VASCONCELOS;2° Dose;3028
FLORA RICA;1° Dose;342
FLORA RICA;2° Dose;96
FLOREAL;1° Dose;393
FLOREAL;2° Dose;111
FLÓRIDA PAULISTA;1° Dose;1084
FLÓRIDA PAULISTA;2° Dose;376
FLORÍNEA;1° Dose;259
FLORÍNEA;2° Dose;114
FRANCA;1° Dose;20119
FRANCA;2° Dose;6990
FRANCISCO MORATO;1° Dose;6689
FRANCISCO MORATO;2° Dose;2664
FRANCO DA ROCHA;1° Dose;9628
FRANCO DA ROCHA;2° Dose;3300
GABRIEL MONTEIRO;1° Dose;240
GABRIEL MONTEIRO;2° Dose;62
GÁLIA;1° Dose;611
GÁLIA;2° Dose;307
GARÇA;1° Dose;3792
GARÇA;2° Dose;1484
GASTÃO VIDIGAL;1° Dose;371
GASTÃO VIDIGAL;2° Dose;110
GAVIÃO PEIXOTO;1° Dose;378
GAVIÃO PEIXOTO;2° Dose;115
GENERAL SALGADO;1° Dose;1258
GENERAL SALGADO;2° Dose;451
GETULINA;1° Dose;903
GETULINA;2° Dose;260
GLICÉRIO;1° Dose;375
GLICÉRIO;2° Dose;140
GUAIÇARA;1° Dose;713
GUAIÇARA;2° Dose;202
GUAIMBÊ;1° Dose;488
GUAIMBÊ;2° Dose;171
GUAÍRA;1° Dose;2756
GUAÍRA;2° Dose;975
GUAPIAÇU;1° Dose;1418
GUAPIAÇU;2° Dose;495
GUAPIARA;1° Dose;1000
GUAPIARA;2° Dose;315
GUARÁ;1° Dose;1507
GUARÁ;2° Dose;633
GUARAÇAÍ;1° Dose;977
GUARAÇAÍ;2° Dose;313
GUARACI;1° Dose;807
GUARACI;2° Dose;289
GUARANI D'OESTE;1° Dose;207
GUARANI D'OESTE;2° Dose;56
GUARANTÃ;1° Dose;493
GUARANTÃ;2° Dose;178
GUARARAPES;1° Dose;2725
GUARARAPES;2° Dose;842
GUARAREMA;1° Dose;1937
GUARAREMA;2° Dose;724
GUARATINGUETÁ;1° Dose;9205
GUARATINGUETÁ;2° Dose;3633
GUAREÍ;1° Dose;853
GUAREÍ;2° Dose;285
GUARIBA;1° Dose;1882
GUARIBA;2° Dose;710
GUARUJÁ;1° Dose;18467
GUARUJÁ;2° Dose;4070
GUARULHOS;1° Dose;62623
GUARULHOS;2° Dose;26182
GUATAPARÁ;1° Dose;542
GUATAPARÁ;2° Dose;137
GUZOLÂNDIA;1° Dose;370
GUZOLÂNDIA;2° Dose;95
HERCULÂNDIA;1° Dose;651
