Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;2527
ADAMANTINA;2° Dose;1003
ADOLFO;1° Dose;203
ADOLFO;2° Dose;90
AGUAÍ;1° Dose;1095
AGUAÍ;2° Dose;307
ÁGUAS DA PRATA;1° Dose;340
ÁGUAS DA PRATA;2° Dose;64
ÁGUAS DE LINDÓIA;1° Dose;683
ÁGUAS DE LINDÓIA;2° Dose;153
ÁGUAS DE SANTA BÁRBARA;1° Dose;242
ÁGUAS DE SANTA BÁRBARA;2° Dose;94
ÁGUAS DE SÃO PEDRO;1° Dose;329
ÁGUAS DE SÃO PEDRO;2° Dose;73
AGUDOS;1° Dose;2504
AGUDOS;2° Dose;822
ALAMBARI;1° Dose;198
ALAMBARI;2° Dose;40
ALFREDO MARCONDES;1° Dose;353
ALFREDO MARCONDES;2° Dose;56
ALTAIR;1° Dose;217
ALTAIR;2° Dose;84
ALTINÓPOLIS;1° Dose;775
ALTINÓPOLIS;2° Dose;334
ALTO ALEGRE;1° Dose;179
ALTO ALEGRE;2° Dose;50
ALUMÍNIO;1° Dose;536
ALUMÍNIO;2° Dose;151
ÁLVARES FLORENCE;1° Dose;191
ÁLVARES FLORENCE;2° Dose;58
ÁLVARES MACHADO;1° Dose;1080
ÁLVARES MACHADO;2° Dose;190
ÁLVARO DE CARVALHO;1° Dose;120
ÁLVARO DE CARVALHO;2° Dose;48
ALVINLÂNDIA;1° Dose;146
ALVINLÂNDIA;2° Dose;59
AMERICANA;1° Dose;9842
AMERICANA;2° Dose;3090
AMÉRICO BRASILIENSE;1° Dose;1705
AMÉRICO BRASILIENSE;2° Dose;612
AMÉRICO DE CAMPOS;1° Dose;295
AMÉRICO DE CAMPOS;2° Dose;67
AMPARO;1° Dose;3612
AMPARO;2° Dose;780
ANALÂNDIA;1° Dose;197
ANALÂNDIA;2° Dose;72
ANDRADINA;1° Dose;3241
ANDRADINA;2° Dose;286
ANGATUBA;1° Dose;787
ANGATUBA;2° Dose;169
ANHEMBI;1° Dose;180
ANHEMBI;2° Dose;46
ANHUMAS;1° Dose;229
ANHUMAS;2° Dose;47
APARECIDA;1° Dose;1290
APARECIDA;2° Dose;427
APARECIDA D'OESTE;1° Dose;292
APARECIDA D'OESTE;2° Dose;74
APIAÍ;1° Dose;729
APIAÍ;2° Dose;186
ARAÇARIGUAMA;1° Dose;512
ARAÇARIGUAMA;2° Dose;176
ARAÇATUBA;1° Dose;11461
ARAÇATUBA;2° Dose;2622
ARAÇOIABA DA SERRA;1° Dose;1060
ARAÇOIABA DA SERRA;2° Dose;207
ARAMINA;1° Dose;173
ARAMINA;2° Dose;40
ARANDU;1° Dose;295
ARANDU;2° Dose;44
ARAPEÍ;1° Dose;109
ARAPEÍ;2° Dose;32
ARARAQUARA;1° Dose;14701
ARARAQUARA;2° Dose;3567
ARARAS;1° Dose;6084
ARARAS;2° Dose;1670
ARCO-ÍRIS;1° Dose;256
ARCO-ÍRIS;2° Dose;189
AREALVA;1° Dose;355
AREALVA;2° Dose;103
AREIAS;1° Dose;166
AREIAS;2° Dose;51
AREIÓPOLIS;1° Dose;301
AREIÓPOLIS;2° Dose;97
ARIRANHA;1° Dose;529
ARIRANHA;2° Dose;178
ARTUR NOGUEIRA;1° Dose;1861
ARTUR NOGUEIRA;2° Dose;572
ARUJÁ;1° Dose;2008
ARUJÁ;2° Dose;481
ASPÁSIA;1° Dose;93
ASPÁSIA;2° Dose;27
ASSIS;1° Dose;6427
ASSIS;2° Dose;1798
ATIBAIA;1° Dose;7861
ATIBAIA;2° Dose;1928
AURIFLAMA;1° Dose;672
AURIFLAMA;2° Dose;192
AVAÍ;1° Dose;589
AVAÍ;2° Dose;294
AVANHANDAVA;1° Dose;379
AVANHANDAVA;2° Dose;124
AVARÉ;1° Dose;4804
AVARÉ;2° Dose;1860
BADY BASSITT;1° Dose;829
BADY BASSITT;2° Dose;236
BALBINOS;1° Dose;147
BALBINOS;2° Dose;51
BÁLSAMO;1° Dose;569
BÁLSAMO;2° Dose;152
BANANAL;1° Dose;514
BANANAL;2° Dose;165
BARÃO DE ANTONINA;1° Dose;210
BARÃO DE ANTONINA;2° Dose;112
BARBOSA;1° Dose;285
BARBOSA;2° Dose;126
BARIRI;1° Dose;1950
BARIRI;2° Dose;438
BARRA BONITA;1° Dose;2191
BARRA BONITA;2° Dose;672
BARRA DO CHAPÉU;1° Dose;137
BARRA DO CHAPÉU;2° Dose;34
BARRA DO TURVO;1° Dose;598
BARRA DO TURVO;2° Dose;68
BARRETOS;1° Dose;9356
BARRETOS;2° Dose;2609
BARRINHA;1° Dose;937
BARRINHA;2° Dose;295
BARUERI;1° Dose;11317
BARUERI;2° Dose;3968
BASTOS;1° Dose;766
BASTOS;2° Dose;198
BATATAIS;1° Dose;2728
BATATAIS;2° Dose;639
BAURU;1° Dose;27612
BAURU;2° Dose;9100
BEBEDOURO;1° Dose;3875
BEBEDOURO;2° Dose;570
BENTO DE ABREU;1° Dose;126
BENTO DE ABREU;2° Dose;26
BERNARDINO DE CAMPOS;1° Dose;745
BERNARDINO DE CAMPOS;2° Dose;121
BERTIOGA;1° Dose;1858
BERTIOGA;2° Dose;821
BILAC;1° Dose;529
BILAC;2° Dose;157
BIRIGUI;1° Dose;3962
BIRIGUI;2° Dose;765
BIRITIBA MIRIM;1° Dose;781
BIRITIBA MIRIM;2° Dose;162
BOA ESPERANÇA DO SUL;1° Dose;474
BOA ESPERANÇA DO SUL;2° Dose;164
BOCAINA;1° Dose;569
BOCAINA;2° Dose;91
BOFETE;1° Dose;277
BOFETE;2° Dose;68
BOITUVA;1° Dose;1821
BOITUVA;2° Dose;466
BOM JESUS DOS PERDÕES;1° Dose;702
BOM JESUS DOS PERDÕES;2° Dose;187
BOM SUCESSO DE ITARARÉ;1° Dose;126
BOM SUCESSO DE ITARARÉ;2° Dose;24
BORÁ;1° Dose;61
BORÁ;2° Dose;17
BORACÉIA;1° Dose;211
BORACÉIA;2° Dose;48
BORBOREMA;1° Dose;734
BORBOREMA;2° Dose;234
BOREBI;1° Dose;97
BOREBI;2° Dose;39
BOTUCATU;1° Dose;12095
BOTUCATU;2° Dose;4450
BRAGANÇA PAULISTA;1° Dose;8417
BRAGANÇA PAULISTA;2° Dose;2267
BRAÚNA;1° Dose;306
BRAÚNA;2° Dose;125
BREJO ALEGRE;1° Dose;158
BREJO ALEGRE;2° Dose;46
BRODOWSKI;1° Dose;1052
BRODOWSKI;2° Dose;302
BROTAS;1° Dose;759
BROTAS;2° Dose;198
BURI;1° Dose;506
BURI;2° Dose;137
BURITAMA;1° Dose;615
BURITAMA;2° Dose;154
BURITIZAL;1° Dose;284
BURITIZAL;2° Dose;62
CABRÁLIA PAULISTA;1° Dose;201
CABRÁLIA PAULISTA;2° Dose;68
CABREÚVA;1° Dose;1413
CABREÚVA;2° Dose;108
CAÇAPAVA;1° Dose;3532
CAÇAPAVA;2° Dose;1196
CACHOEIRA PAULISTA;1° Dose;1522
CACHOEIRA PAULISTA;2° Dose;381
CACONDE;1° Dose;741
CACONDE;2° Dose;194
CAFELÂNDIA;1° Dose;766
CAFELÂNDIA;2° Dose;116
CAIABU;1° Dose;186
CAIABU;2° Dose;31
CAIEIRAS;1° Dose;3287
CAIEIRAS;2° Dose;1049
CAIUÁ;1° Dose;257
CAIUÁ;2° Dose;82
CAJAMAR;1° Dose;1732
CAJAMAR;2° Dose;533
CAJATI;1° Dose;667
CAJATI;2° Dose;165
CAJOBI;1° Dose;559
CAJOBI;2° Dose;130
CAJURU;1° Dose;1261
CAJURU;2° Dose;242
CAMPINA DO MONTE ALEGRE;1° Dose;236
CAMPINA DO MONTE ALEGRE;2° Dose;29
CAMPINAS;1° Dose;63902
CAMPINAS;2° Dose;28323
CAMPO LIMPO PAULISTA;1° Dose;2043
CAMPO LIMPO PAULISTA;2° Dose;699
CAMPOS DO JORDÃO;1° Dose;1983
CAMPOS DO JORDÃO;2° Dose;638
CAMPOS NOVOS PAULISTA;1° Dose;174
CAMPOS NOVOS PAULISTA;2° Dose;39
CANANÉIA;1° Dose;551
CANANÉIA;2° Dose;141
CANAS;1° Dose;148
CANAS;2° Dose;39
CÂNDIDO MOTA;1° Dose;1364
CÂNDIDO MOTA;2° Dose;244
CÂNDIDO RODRIGUES;1° Dose;140
CÂNDIDO RODRIGUES;2° Dose;33
CANITAR;1° Dose;152
CANITAR;2° Dose;45
CAPÃO BONITO;1° Dose;1495
CAPÃO BONITO;2° Dose;512
CAPELA DO ALTO;1° Dose;416
CAPELA DO ALTO;2° Dose;149
CAPIVARI;1° Dose;2123
CAPIVARI;2° Dose;542
CARAGUATATUBA;1° Dose;4977
CARAGUATATUBA;2° Dose;1153
CARAPICUÍBA;1° Dose;9770
CARAPICUÍBA;2° Dose;1993
CARDOSO;1° Dose;498
CARDOSO;2° Dose;152
CASA BRANCA;1° Dose;1581
CASA BRANCA;2° Dose;526
CÁSSIA DOS COQUEIROS;1° Dose;139
CÁSSIA DOS COQUEIROS;2° Dose;23
CASTILHO;1° Dose;937
CASTILHO;2° Dose;325
CATANDUVA;1° Dose;10082
CATANDUVA;2° Dose;4032
CATIGUÁ;1° Dose;389
CATIGUÁ;2° Dose;33
CEDRAL;1° Dose;690
CEDRAL;2° Dose;317
CERQUEIRA CÉSAR;1° Dose;885
CERQUEIRA CÉSAR;2° Dose;213
CERQUILHO;1° Dose;1438
CERQUILHO;2° Dose;310
CESÁRIO LANGE;1° Dose;606
CESÁRIO LANGE;2° Dose;181
CHARQUEADA;1° Dose;471
CHARQUEADA;2° Dose;141
CHAVANTES;1° Dose;339
CHAVANTES;2° Dose;131
CLEMENTINA;1° Dose;224
CLEMENTINA;2° Dose;74
COLINA;1° Dose;692
COLINA;2° Dose;222
COLÔMBIA;1° Dose;312
COLÔMBIA;2° Dose;104
CONCHAL;1° Dose;828
CONCHAL;2° Dose;244
CONCHAS;1° Dose;736
CONCHAS;2° Dose;184
CORDEIRÓPOLIS;1° Dose;923
CORDEIRÓPOLIS;2° Dose;72
COROADOS;1° Dose;177
COROADOS;2° Dose;31
CORONEL MACEDO;1° Dose;242
CORONEL MACEDO;2° Dose;87
CORUMBATAÍ;1° Dose;143
CORUMBATAÍ;2° Dose;42
COSMÓPOLIS;1° Dose;1828
COSMÓPOLIS;2° Dose;411
COSMORAMA;1° Dose;437
COSMORAMA;2° Dose;145
COTIA;1° Dose;6360
COTIA;2° Dose;1312
CRAVINHOS;1° Dose;619
CRAVINHOS;2° Dose;106
CRISTAIS PAULISTA;1° Dose;303
CRISTAIS PAULISTA;2° Dose;72
CRUZÁLIA;1° Dose;122
CRUZÁLIA;2° Dose;23
CRUZEIRO;1° Dose;3202
CRUZEIRO;2° Dose;785
CUBATÃO;1° Dose;4633
CUBATÃO;2° Dose;815
CUNHA;1° Dose;777
CUNHA;2° Dose;214
DESCALVADO;1° Dose;1995
DESCALVADO;2° Dose;551
DIADEMA;1° Dose;12789
DIADEMA;2° Dose;3784
DIRCE REIS;1° Dose;94
DIRCE REIS;2° Dose;25
DIVINOLÂNDIA;1° Dose;921
DIVINOLÂNDIA;2° Dose;346
DOBRADA;1° Dose;212
DOBRADA;2° Dose;57
DOIS CÓRREGOS;1° Dose;1084
DOIS CÓRREGOS;2° Dose;224
DOLCINÓPOLIS;1° Dose;120
DOLCINÓPOLIS;2° Dose;33
DOURADO;1° Dose;503
DOURADO;2° Dose;101
DRACENA;1° Dose;3738
DRACENA;2° Dose;1134
DUARTINA;1° Dose;837
DUARTINA;2° Dose;156
DUMONT;1° Dose;293
DUMONT;2° Dose;87
ECHAPORÃ;1° Dose;348
ECHAPORÃ;2° Dose;140
ELDORADO;1° Dose;1649
ELDORADO;2° Dose;847
ELIAS FAUSTO;1° Dose;471
ELIAS FAUSTO;2° Dose;141
ELISIÁRIO;1° Dose;170
ELISIÁRIO;2° Dose;29
EMBAÚBA;1° Dose;107
EMBAÚBA;2° Dose;31
EMBU DAS ARTES;1° Dose;6039
EMBU DAS ARTES;2° Dose;1550
EMBU-GUAÇU;1° Dose;2352
EMBU-GUAÇU;2° Dose;454
EMILIANÓPOLIS;1° Dose;167
EMILIANÓPOLIS;2° Dose;56
ENGENHEIRO COELHO;1° Dose;509
ENGENHEIRO COELHO;2° Dose;164
ESPÍRITO SANTO DO PINHAL;1° Dose;2708
ESPÍRITO SANTO DO PINHAL;2° Dose;640
ESPÍRITO SANTO DO TURVO;1° Dose;118
ESPÍRITO SANTO DO TURVO;2° Dose;36
ESTIVA GERBI;1° Dose;229
ESTIVA GERBI;2° Dose;51
ESTRELA DO NORTE;1° Dose;98
ESTRELA DO NORTE;2° Dose;31
ESTRELA D'OESTE;1° Dose;626
ESTRELA D'OESTE;2° Dose;170
EUCLIDES DA CUNHA PAULISTA;1° Dose;354
EUCLIDES DA CUNHA PAULISTA;2° Dose;79
FARTURA;1° Dose;781
FARTURA;2° Dose;242
FERNANDO PRESTES;1° Dose;320
FERNANDO PRESTES;2° Dose;112
FERNANDÓPOLIS;1° Dose;5539
FERNANDÓPOLIS;2° Dose;1320
FERNÃO;1° Dose;115
FERNÃO;2° Dose;51
FERRAZ DE VASCONCELOS;1° Dose;4724
FERRAZ DE VASCONCELOS;2° Dose;1753
FLORA RICA;1° Dose;180
FLORA RICA;2° Dose;23
FLOREAL;1° Dose;195
FLOREAL;2° Dose;53
FLÓRIDA PAULISTA;1° Dose;531
FLÓRIDA PAULISTA;2° Dose;151
FLORÍNEA;1° Dose;161
FLORÍNEA;2° Dose;38
FRANCA;1° Dose;12636
FRANCA;2° Dose;2940
FRANCISCO MORATO;1° Dose;3764
FRANCISCO MORATO;2° Dose;1354
FRANCO DA ROCHA;1° Dose;5411
FRANCO DA ROCHA;2° Dose;2090
GABRIEL MONTEIRO;1° Dose;77
GABRIEL MONTEIRO;2° Dose;27
GÁLIA;1° Dose;409
GÁLIA;2° Dose;132
GARÇA;1° Dose;2298
GARÇA;2° Dose;542
GASTÃO VIDIGAL;1° Dose;193
GASTÃO VIDIGAL;2° Dose;56
GAVIÃO PEIXOTO;1° Dose;230
GAVIÃO PEIXOTO;2° Dose;85
GENERAL SALGADO;1° Dose;763
GENERAL SALGADO;2° Dose;301
GETULINA;1° Dose;352
GETULINA;2° Dose;100
GLICÉRIO;1° Dose;176
GLICÉRIO;2° Dose;42
GUAIÇARA;1° Dose;432
GUAIÇARA;2° Dose;96
GUAIMBÊ;1° Dose;289
GUAIMBÊ;2° Dose;113
GUAÍRA;1° Dose;1577
GUAÍRA;2° Dose;412
GUAPIAÇU;1° Dose;770
GUAPIAÇU;2° Dose;225
GUAPIARA;1° Dose;493
GUAPIARA;2° Dose;120
GUARÁ;1° Dose;981
GUARÁ;2° Dose;309
GUARAÇAÍ;1° Dose;497
GUARAÇAÍ;2° Dose;97
GUARACI;1° Dose;428
GUARACI;2° Dose;165
GUARANI D'OESTE;1° Dose;96
GUARANI D'OESTE;2° Dose;18
GUARANTÃ;1° Dose;253
GUARANTÃ;2° Dose;76
GUARARAPES;1° Dose;1387
GUARARAPES;2° Dose;355
GUARAREMA;1° Dose;1195
GUARAREMA;2° Dose;463
GUARATINGUETÁ;1° Dose;5810
GUARATINGUETÁ;2° Dose;1236
GUAREÍ;1° Dose;465
GUAREÍ;2° Dose;125
GUARIBA;1° Dose;900
GUARIBA;2° Dose;317
GUARUJÁ;1° Dose;10985
GUARUJÁ;2° Dose;2204
GUARULHOS;1° Dose;39140
GUARULHOS;2° Dose;9699
GUATAPARÁ;1° Dose;229
GUATAPARÁ;2° Dose;69
GUZOLÂNDIA;1° Dose;191
GUZOLÂNDIA;2° Dose;54
HERCULÂNDIA;1° Dose;334
HERCULÂNDIA;2° Dose;110
HOLAMBRA;1° Dose;468
HOLAMBRA;2° Dose;115
HORTOLÂNDIA;1° Dose;6241
HORTOLÂNDIA;2° Dose;1842
IACANGA;1° Dose;494
IACANGA;2° Dose;175
IACRI;1° Dose;220
IACRI;2° Dose;92
IARAS;1° Dose;220
IARAS;2° Dose;88
IBATÉ;1° Dose;1019
IBATÉ;2° Dose;282
IBIRÁ;1° Dose;402
IBIRÁ;2° Dose;125
IBIRAREMA;1° Dose;368
IBIRAREMA;2° Dose;83
IBITINGA;1° Dose;2736
IBITINGA;2° Dose;715
IBIÚNA;1° Dose;1482
IBIÚNA;2° Dose;770
ICÉM;1° Dose;334
ICÉM;2° Dose;130
IEPÊ;1° Dose;514
IEPÊ;2° Dose;132
IGARAÇU DO TIETÊ;1° Dose;721
IGARAÇU DO TIETÊ;2° Dose;156
IGARAPAVA;1° Dose;1032
IGARAPAVA;2° Dose;430
IGARATÁ;1° Dose;408
IGARATÁ;2° Dose;110
IGUAPE;1° Dose;1057
IGUAPE;2° Dose;397
ILHA COMPRIDA;1° Dose;377
ILHA COMPRIDA;2° Dose;68
ILHA SOLTEIRA;1° Dose;1379
ILHA SOLTEIRA;2° Dose;452
