Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;2104
ADAMANTINA;2° Dose;608
ADOLFO;1° Dose;191
ADOLFO;2° Dose;68
AGUAÍ;1° Dose;877
AGUAÍ;2° Dose;256
ÁGUAS DA PRATA;1° Dose;340
ÁGUAS DA PRATA;2° Dose;63
ÁGUAS DE LINDÓIA;1° Dose;675
ÁGUAS DE LINDÓIA;2° Dose;152
ÁGUAS DE SANTA BÁRBARA;1° Dose;236
ÁGUAS DE SANTA BÁRBARA;2° Dose;49
ÁGUAS DE SÃO PEDRO;1° Dose;290
ÁGUAS DE SÃO PEDRO;2° Dose;68
AGUDOS;1° Dose;2078
AGUDOS;2° Dose;711
ALAMBARI;1° Dose;166
ALAMBARI;2° Dose;34
ALFREDO MARCONDES;1° Dose;268
ALFREDO MARCONDES;2° Dose;56
ALTAIR;1° Dose;177
ALTAIR;2° Dose;54
ALTINÓPOLIS;1° Dose;695
ALTINÓPOLIS;2° Dose;146
ALTO ALEGRE;1° Dose;155
ALTO ALEGRE;2° Dose;48
ALUMÍNIO;1° Dose;391
ALUMÍNIO;2° Dose;120
ÁLVARES FLORENCE;1° Dose;160
ÁLVARES FLORENCE;2° Dose;44
ÁLVARES MACHADO;1° Dose;790
ÁLVARES MACHADO;2° Dose;163
ÁLVARO DE CARVALHO;1° Dose;107
ÁLVARO DE CARVALHO;2° Dose;34
ALVINLÂNDIA;1° Dose;119
ALVINLÂNDIA;2° Dose;33
AMERICANA;1° Dose;9052
AMERICANA;2° Dose;1976
AMÉRICO BRASILIENSE;1° Dose;1567
AMÉRICO BRASILIENSE;2° Dose;528
AMÉRICO DE CAMPOS;1° Dose;250
AMÉRICO DE CAMPOS;2° Dose;67
AMPARO;1° Dose;3151
AMPARO;2° Dose;690
ANALÂNDIA;1° Dose;155
ANALÂNDIA;2° Dose;34
ANDRADINA;1° Dose;3180
ANDRADINA;2° Dose;97
ANGATUBA;1° Dose;682
ANGATUBA;2° Dose;150
ANHEMBI;1° Dose;163
ANHEMBI;2° Dose;11
ANHUMAS;1° Dose;171
ANHUMAS;2° Dose;47
APARECIDA;1° Dose;850
APARECIDA D'OESTE;1° Dose;253
APARECIDA D'OESTE;2° Dose;73
APIAÍ;1° Dose;591
APIAÍ;2° Dose;105
ARAÇARIGUAMA;1° Dose;429
