Ds Município;Dose;Contagem de Id Vacinacao
OCAUÇU;1° Dose;395
OCAUÇU;2° Dose;92
ÓLEO;1° Dose;266
ÓLEO;2° Dose;74
OLÍMPIA;1° Dose;5382
OLÍMPIA;2° Dose;1681
ONDA VERDE;1° Dose;375
ONDA VERDE;2° Dose;109
ORIENTE;1° Dose;721
ORIENTE;2° Dose;218
ORINDIÚVA;1° Dose;356
ORINDIÚVA;2° Dose;147
ORLÂNDIA;1° Dose;2287
ORLÂNDIA;2° Dose;903
OSASCO;1° Dose;45026
OSASCO;2° Dose;12596
OSCAR BRESSANE;1° Dose;372
OSCAR BRESSANE;2° Dose;75
OSVALDO CRUZ;1° Dose;3734
OSVALDO CRUZ;2° Dose;1205
OURINHOS;1° Dose;11187
OURINHOS;2° Dose;3185
OURO VERDE;1° Dose;914
OURO VERDE;2° Dose;320
OUROESTE;1° Dose;1022
OUROESTE;2° Dose;360
PACAEMBU;1° Dose;1249
PACAEMBU;2° Dose;272
PALESTINA;1° Dose;1282
PALESTINA;2° Dose;417
PALMARES PAULISTA;1° Dose;558
PALMARES PAULISTA;2° Dose;178
PALMEIRA D'OESTE;1° Dose;1217
PALMEIRA D'OESTE;2° Dose;346
PALMITAL;1° Dose;2477
PALMITAL;2° Dose;657
PANORAMA;1° Dose;1226
PANORAMA;2° Dose;374
PARAGUAÇU PAULISTA;1° Dose;3191
PARAGUAÇU PAULISTA;2° Dose;1060
PARAIBUNA;1° Dose;1230
PARAIBUNA;2° Dose;441
PARAÍSO;1° Dose;648
PARAÍSO;2° Dose;214
PARANAPANEMA;1° Dose;1356
PARANAPANEMA;2° Dose;497
PARANAPUÃ;1° Dose;405
PARANAPUÃ;2° Dose;98
PARAPUÃ;1° Dose;1172
PARAPUÃ;2° Dose;317
PARDINHO;1° Dose;637
PARDINHO;2° Dose;138
PARIQUERA-AÇU;1° Dose;2502
PARIQUERA-AÇU;2° Dose;1069
PARISI;1° Dose;295
PARISI;2° Dose;82
PATROCÍNIO PAULISTA;1° Dose;1217
PATROCÍNIO PAULISTA;2° Dose;423
PAULICÉIA;1° Dose;475
PAULICÉIA;2° Dose;131
PAULÍNIA;1° Dose;6406
PAULÍNIA;2° Dose;2080
PAULISTÂNIA;1° Dose;169
PAULISTÂNIA;2° Dose;54
PAULO DE FARIA;1° Dose;865
PAULO DE FARIA;2° Dose;354
PEDERNEIRAS;1° Dose;3418
PEDERNEIRAS;2° Dose;1061
PEDRA BELA;1° Dose;562
PEDRA BELA;2° Dose;136
PEDRANÓPOLIS;1° Dose;323
PEDRANÓPOLIS;2° Dose;100
PEDREGULHO;1° Dose;1150
PEDREGULHO;2° Dose;449
PEDREIRA;1° Dose;3949
PEDREIRA;2° Dose;1171
PEDRINHAS PAULISTA;1° Dose;300
PEDRINHAS PAULISTA;2° Dose;94
PEDRO DE TOLEDO;1° Dose;901
PEDRO DE TOLEDO;2° Dose;239
PENÁPOLIS;1° Dose;6547
PENÁPOLIS;2° Dose;2177
PEREIRA BARRETO;1° Dose;2573
PEREIRA BARRETO;2° Dose;753
PEREIRAS;1° Dose;709
PEREIRAS;2° Dose;163
PERUÍBE;1° Dose;5408
PERUÍBE;2° Dose;1495
PIACATU;1° Dose;545
PIACATU;2° Dose;170
PIEDADE;1° Dose;2154
PIEDADE;2° Dose;323
PILAR DO SUL;1° Dose;2087
PILAR DO SUL;2° Dose;635
PINDAMONHANGABA;1° Dose;10394
PINDAMONHANGABA;2° Dose;4138
PINDORAMA;1° Dose;1728
PINDORAMA;2° Dose;570
PINHALZINHO;1° Dose;1187
PINHALZINHO;2° Dose;341
PIQUEROBI;1° Dose;587
PIQUEROBI;2° Dose;194
PIQUETE;1° Dose;762
PIQUETE;2° Dose;249
PIRACAIA;1° Dose;1993
PIRACAIA;2° Dose;624
PIRACICABA;1° Dose;32939
PIRACICABA;2° Dose;12395
PIRAJU;1° Dose;3135
PIRAJU;2° Dose;965
PIRAJUÍ;1° Dose;2110
PIRAJUÍ;2° Dose;615
PIRANGI;1° Dose;1190
PIRANGI;2° Dose;358
PIRAPORA DO BOM JESUS;1° Dose;1011
PIRAPORA DO BOM JESUS;2° Dose;361
PIRAPOZINHO;1° Dose;2178
PIRAPOZINHO;2° Dose;637
PIRASSUNUNGA;1° Dose;7772
PIRASSUNUNGA;2° Dose;2344
PIRATININGA;1° Dose;1466
PIRATININGA;2° Dose;629
PITANGUEIRAS;1° Dose;2218
PITANGUEIRAS;2° Dose;874
PLANALTO;1° Dose;392
PLANALTO;2° Dose;127
PLATINA;1° Dose;265
PLATINA;2° Dose;64
POÁ;1° Dose;5362
POÁ;2° Dose;2823
POLONI;1° Dose;716
POLONI;2° Dose;211
POMPÉIA;1° Dose;2440
POMPÉIA;2° Dose;845
PONGAÍ;1° Dose;412
PONGAÍ;2° Dose;120
PONTAL;1° Dose;2205
PONTAL;2° Dose;755
PONTALINDA;1° Dose;294
PONTALINDA;2° Dose;59
PONTES GESTAL;1° Dose;255
PONTES GESTAL;2° Dose;64
POPULINA;1° Dose;563
POPULINA;2° Dose;166
PORANGABA;1° Dose;1034
PORANGABA;2° Dose;231
PORTO FELIZ;1° Dose;3505
PORTO FELIZ;2° Dose;1267
PORTO FERREIRA;1° Dose;4701
PORTO FERREIRA;2° Dose;1116
POTIM;1° Dose;1043
POTIM;2° Dose;544
POTIRENDABA;1° Dose;1793
POTIRENDABA;2° Dose;458
PRACINHA;1° Dose;183
PRACINHA;2° Dose;73
PRADÓPOLIS;1° Dose;1027
PRADÓPOLIS;2° Dose;278
PRAIA GRANDE;1° Dose;19798
PRAIA GRANDE;2° Dose;6222
PRATÂNIA;1° Dose;233
PRATÂNIA;2° Dose;95
PRESIDENTE ALVES;1° Dose;321
PRESIDENTE ALVES;2° Dose;85
PRESIDENTE BERNARDES;1° Dose;2023
PRESIDENTE BERNARDES;2° Dose;703
PRESIDENTE EPITÁCIO;1° Dose;3510
PRESIDENTE EPITÁCIO;2° Dose;1058
PRESIDENTE PRUDENTE;1° Dose;25751
PRESIDENTE PRUDENTE;2° Dose;8881
PRESIDENTE VENCESLAU;1° Dose;4992
PRESIDENTE VENCESLAU;2° Dose;1449
PROMISSÃO;1° Dose;3256
PROMISSÃO;2° Dose;1118
QUADRA;1° Dose;240
QUADRA;2° Dose;49
QUATÁ;1° Dose;1135
QUATÁ;2° Dose;419
QUEIROZ;1° Dose;259
QUEIROZ;2° Dose;98
QUELUZ;1° Dose;678
QUELUZ;2° Dose;214
QUINTANA;1° Dose;627
QUINTANA;2° Dose;211
RAFARD;1° Dose;628
RAFARD;2° Dose;126
RANCHARIA;1° Dose;2903
RANCHARIA;2° Dose;941
REDENÇÃO DA SERRA;1° Dose;369
REDENÇÃO DA SERRA;2° Dose;113
REGENTE FEIJÓ;1° Dose;1663
REGENTE FEIJÓ;2° Dose;474
REGINÓPOLIS;1° Dose;675
REGINÓPOLIS;2° Dose;216
REGISTRO;1° Dose;5319
REGISTRO;2° Dose;2011
RESTINGA;1° Dose;400
RESTINGA;2° Dose;165
RIBEIRA;1° Dose;356
RIBEIRA;2° Dose;101
RIBEIRÃO BONITO;1° Dose;1038
RIBEIRÃO BONITO;2° Dose;327
RIBEIRÃO BRANCO;1° Dose;1091
RIBEIRÃO BRANCO;2° Dose;307
RIBEIRÃO CORRENTE;1° Dose;292
RIBEIRÃO CORRENTE;2° Dose;112
RIBEIRÃO DO SUL;1° Dose;413
RIBEIRÃO DO SUL;2° Dose;137
RIBEIRÃO DOS ÍNDIOS;1° Dose;410
RIBEIRÃO DOS ÍNDIOS;2° Dose;127
RIBEIRÃO GRANDE;1° Dose;556
RIBEIRÃO GRANDE;2° Dose;119
RIBEIRÃO PIRES;1° Dose;9691
RIBEIRÃO PIRES;2° Dose;3467
RIBEIRÃO PRETO;1° Dose;64597
RIBEIRÃO PRETO;2° Dose;22428
RIFAINA;1° Dose;282
RIFAINA;2° Dose;59
RINCÃO;1° Dose;882
RINCÃO;2° Dose;290
RINÓPOLIS;1° Dose;570
RINÓPOLIS;2° Dose;274
RIO CLARO;1° Dose;21275
RIO CLARO;2° Dose;8412
RIO DAS PEDRAS;1° Dose;2131
RIO DAS PEDRAS;2° Dose;571
RIO GRANDE DA SERRA;1° Dose;2085
RIO GRANDE DA SERRA;2° Dose;747
RIOLÂNDIA;1° Dose;641
RIOLÂNDIA;2° Dose;197
RIVERSUL;1° Dose;442
RIVERSUL;2° Dose;132
ROSANA;1° Dose;1807
ROSANA;2° Dose;548
ROSEIRA;1° Dose;848
ROSEIRA;2° Dose;210
RUBIÁCEA;1° Dose;252
RUBIÁCEA;2° Dose;88
RUBINÉIA;1° Dose;330
RUBINÉIA;2° Dose;81
SABINO;1° Dose;309
SABINO;2° Dose;30
SAGRES;1° Dose;146
SAGRES;2° Dose;51
SALES;1° Dose;641
SALES;2° Dose;175
SALES OLIVEIRA;1° Dose;1131
SALES OLIVEIRA;2° Dose;344
SALESÓPOLIS;1° Dose;978
SALESÓPOLIS;2° Dose;307
SALMOURÃO;1° Dose;488
SALMOURÃO;2° Dose;128
SALTINHO;1° Dose;650
SALTINHO;2° Dose;180
SALTO;1° Dose;6750
SALTO;2° Dose;3256
SALTO DE PIRAPORA;1° Dose;3462
SALTO DE PIRAPORA;2° Dose;1064
SALTO GRANDE;1° Dose;494
SALTO GRANDE;2° Dose;57
SANDOVALINA;1° Dose;260
SANDOVALINA;2° Dose;94
SANTA ADÉLIA;1° Dose;1573
SANTA ADÉLIA;2° Dose;507
SANTA ALBERTINA;1° Dose;712
SANTA ALBERTINA;2° Dose;238
SANTA BÁRBARA D'OESTE;1° Dose;11337
SANTA BÁRBARA D'OESTE;2° Dose;3548
SANTA BRANCA;1° Dose;1164
SANTA BRANCA;2° Dose;341
SANTA CLARA D'OESTE;1° Dose;244
SANTA CLARA D'OESTE;2° Dose;66
SANTA CRUZ DA CONCEIÇÃO;1° Dose;620
SANTA CRUZ DA CONCEIÇÃO;2° Dose;209
SANTA CRUZ DA ESPERANÇA;1° Dose;223
SANTA CRUZ DA ESPERANÇA;2° Dose;72
SANTA CRUZ DAS PALMEIRAS;1° Dose;2307
SANTA CRUZ DAS PALMEIRAS;2° Dose;799
SANTA CRUZ DO RIO PARDO;1° Dose;4782
SANTA CRUZ DO RIO PARDO;2° Dose;1464
SANTA ERNESTINA;1° Dose;400
SANTA ERNESTINA;2° Dose;104
SANTA FÉ DO SUL;1° Dose;4563
SANTA FÉ DO SUL;2° Dose;1439
SANTA GERTRUDES;1° Dose;1229
SANTA GERTRUDES;2° Dose;526
SANTA ISABEL;1° Dose;3470
SANTA ISABEL;2° Dose;1217
SANTA LÚCIA;1° Dose;452
SANTA LÚCIA;2° Dose;89
SANTA MARIA DA SERRA;1° Dose;380
SANTA MARIA DA SERRA;2° Dose;159
SANTA MERCEDES;1° Dose;335
SANTA MERCEDES;2° Dose;104
SANTA RITA DO PASSA QUATRO;1° Dose;3353
SANTA RITA DO PASSA QUATRO;2° Dose;1126
SANTA RITA D'OESTE;1° Dose;350
SANTA RITA D'OESTE;2° Dose;78
SANTA ROSA DE VITERBO;1° Dose;1757
SANTA ROSA DE VITERBO;2° Dose;432
SANTA SALETE;1° Dose;252
SANTA SALETE;2° Dose;82
SANTANA DA PONTE PENSA;1° Dose;262
SANTANA DA PONTE PENSA;2° Dose;44
SANTANA DE PARNAÍBA;1° Dose;6959
SANTANA DE PARNAÍBA;2° Dose;2403
SANTO ANASTÁCIO;1° Dose;2159
SANTO ANASTÁCIO;2° Dose;726
SANTO ANDRÉ;1° Dose;70720
SANTO ANDRÉ;2° Dose;22957
SANTO ANTÔNIO DA ALEGRIA;1° Dose;717
SANTO ANTÔNIO DA ALEGRIA;2° Dose;211
SANTO ANTÔNIO DE POSSE;1° Dose;1286
SANTO ANTÔNIO DE POSSE;2° Dose;470
SANTO ANTÔNIO DO ARACANGUÁ;1° Dose;656
SANTO ANTÔNIO DO ARACANGUÁ;2° Dose;186
SANTO ANTÔNIO DO JARDIM;1° Dose;652
SANTO ANTÔNIO DO JARDIM;2° Dose;175
SANTO ANTÔNIO DO PINHAL;1° Dose;565
SANTO ANTÔNIO DO PINHAL;2° Dose;189
SANTO EXPEDITO;1° Dose;375
SANTO EXPEDITO;2° Dose;123
SANTÓPOLIS DO AGUAPEÍ;1° Dose;367
SANTÓPOLIS DO AGUAPEÍ;2° Dose;123
SANTOS;1° Dose;65656
SANTOS;2° Dose;23967
SÃO BENTO DO SAPUCAÍ;1° Dose;1019
SÃO BENTO DO SAPUCAÍ;2° Dose;332
SÃO BERNARDO DO CAMPO;1° Dose;68026
SÃO BERNARDO DO CAMPO;2° Dose;24089
SÃO CAETANO DO SUL;1° Dose;26366
SÃO CAETANO DO SUL;2° Dose;10661
SÃO CARLOS;1° Dose;24915
SÃO CARLOS;2° Dose;8798
SÃO FRANCISCO;1° Dose;378
SÃO FRANCISCO;2° Dose;88
SÃO JOÃO DA BOA VISTA;1° Dose;11932
SÃO JOÃO DA BOA VISTA;2° Dose;4567
SÃO JOÃO DAS DUAS PONTES;1° Dose;223
SÃO JOÃO DAS DUAS PONTES;2° Dose;42
SÃO JOÃO DE IRACEMA;1° Dose;190
SÃO JOÃO DE IRACEMA;2° Dose;59
SÃO JOÃO DO PAU D'ALHO;1° Dose;298
SÃO JOÃO DO PAU D'ALHO;2° Dose;81
SÃO JOAQUIM DA BARRA;1° Dose;4122
SÃO JOAQUIM DA BARRA;2° Dose;2110
SÃO JOSÉ DA BELA VISTA;1° Dose;485
SÃO JOSÉ DA BELA VISTA;2° Dose;179
SÃO JOSÉ DO BARREIRO;1° Dose;376
SÃO JOSÉ DO BARREIRO;2° Dose;114
SÃO JOSÉ DO RIO PARDO;1° Dose;5385
SÃO JOSÉ DO RIO PARDO;2° Dose;1400
SÃO JOSÉ DO RIO PRETO;1° Dose;52469
SÃO JOSÉ DO RIO PRETO;2° Dose;19265
SÃO JOSÉ DOS CAMPOS;1° Dose;59223
SÃO JOSÉ DOS CAMPOS;2° Dose;20991
SÃO LOURENÇO DA SERRA;1° Dose;926
SÃO LOURENÇO DA SERRA;2° Dose;208
SÃO LUIZ DO PARAITINGA;1° Dose;1022
SÃO LUIZ DO PARAITINGA;2° Dose;276
SÃO MANUEL;1° Dose;3036
SÃO MANUEL;2° Dose;814
SÃO MIGUEL ARCANJO;1° Dose;2436
SÃO MIGUEL ARCANJO;2° Dose;666
SÃO PAULO;1° Dose;1083262
SÃO PAULO;2° Dose;360088
SÃO PEDRO;1° Dose;3040
SÃO PEDRO;2° Dose;811
SÃO PEDRO DO TURVO;1° Dose;516
SÃO PEDRO DO TURVO;2° Dose;115
SÃO ROQUE;1° Dose;6805
SÃO ROQUE;2° Dose;1840
SÃO SEBASTIÃO;1° Dose;5142
SÃO SEBASTIÃO;2° Dose;1961
SÃO SEBASTIÃO DA GRAMA;1° Dose;1092
SÃO SEBASTIÃO DA GRAMA;2° Dose;352
SÃO SIMÃO;1° Dose;1303
SÃO SIMÃO;2° Dose;369
SÃO VICENTE;1° Dose;24480
SÃO VICENTE;2° Dose;6916
SARAPUÍ;1° Dose;699
SARAPUÍ;2° Dose;154
SARUTAIÁ;1° Dose;407
SARUTAIÁ;2° Dose;135
SEBASTIANÓPOLIS DO SUL;1° Dose;381
SEBASTIANÓPOLIS DO SUL;2° Dose;97
SERRA AZUL;1° Dose;744
SERRA AZUL;2° Dose;318
SERRA NEGRA;1° Dose;3099
SERRA NEGRA;2° Dose;889
SERRANA;1° Dose;1829
SERRANA;2° Dose;756
SERTÃOZINHO;1° Dose;8829
SERTÃOZINHO;2° Dose;3163
SETE BARRAS;1° Dose;1019
SETE BARRAS;2° Dose;232
SEVERÍNIA;1° Dose;882
SEVERÍNIA;2° Dose;350
SILVEIRAS;1° Dose;597
SILVEIRAS;2° Dose;173
SOCORRO;1° Dose;4264
SOCORRO;2° Dose;1096
SOROCABA;1° Dose;42048
SOROCABA;2° Dose;15725
SUD MENNUCCI;1° Dose;847
SUD MENNUCCI;2° Dose;256
SUMARÉ;1° Dose;16127
SUMARÉ;2° Dose;5603
SUZANÁPOLIS;1° Dose;321
SUZANÁPOLIS;2° Dose;78
SUZANO;1° Dose;18043
SUZANO;2° Dose;6386
TABAPUÃ;1° Dose;1160
TABAPUÃ;2° Dose;446
TABATINGA;1° Dose;1262
TABATINGA;2° Dose;383
TABOÃO DA SERRA;1° Dose;19841
TABOÃO DA SERRA;2° Dose;6277
TACIBA;1° Dose;532
TACIBA;2° Dose;148
TAGUAÍ;1° Dose;935
TAGUAÍ;2° Dose;249
TAIAÇU;1° Dose;674
TAIAÇU;2° Dose;224
TAIÚVA;1° Dose;696
TAIÚVA;2° Dose;259
TAMBAÚ;1° Dose;1971
TAMBAÚ;2° Dose;631
TANABI;1° Dose;2875
TANABI;2° Dose;980
TAPIRAÍ;1° Dose;655
TAPIRAÍ;2° Dose;180
TAPIRATIBA;1° Dose;1195
TAPIRATIBA;2° Dose;382
TAQUARAL;1° Dose;264
TAQUARAL;2° Dose;79
TAQUARITINGA;1° Dose;5840
TAQUARITINGA;2° Dose;2296
TAQUARITUBA;1° Dose;2071
TAQUARITUBA;2° Dose;718
TAQUARIVAÍ;1° Dose;281
TAQUARIVAÍ;2° Dose;95
TARABAI;1° Dose;568
TARABAI;2° Dose;189
TARUMÃ;1° Dose;951
TARUMÃ;2° Dose;313
TATUÍ;1° Dose;10827
TATUÍ;2° Dose;3667
TAUBATÉ;1° Dose;23614
TAUBATÉ;2° Dose;5149
TEJUPÁ;1° Dose;314
TEJUPÁ;2° Dose;70
TEODORO SAMPAIO;1° Dose;1732
TEODORO SAMPAIO;2° Dose;548
TERRA ROXA;1° Dose;956
TERRA ROXA;2° Dose;303
TIETÊ;1° Dose;3093
TIETÊ;2° Dose;1152
TIMBURI;1° Dose;327
TIMBURI;2° Dose;97
TORRE DE PEDRA;1° Dose;316
TORRE DE PEDRA;2° Dose;99
TORRINHA;1° Dose;1078
TORRINHA;2° Dose;373
TRABIJU;1° Dose;184
TRABIJU;2° Dose;51
TREMEMBÉ;1° Dose;3834
TREMEMBÉ;2° Dose;1889
TRÊS FRONTEIRAS;1° Dose;681
TRÊS FRONTEIRAS;2° Dose;186
TUIUTI;1° Dose;695
TUIUTI;2° Dose;166
TUPÃ;1° Dose;8076
TUPÃ;2° Dose;2551
TUPI PAULISTA;1° Dose;2084
TUPI PAULISTA;2° Dose;786
TURIÚBA;1° Dose;263
TURIÚBA;2° Dose;79
TURMALINA;1° Dose;327
TURMALINA;2° Dose;91
UBARANA;1° Dose;372
UBARANA;2° Dose;108
UBATUBA;1° Dose;6074
UBATUBA;2° Dose;2239
UBIRAJARA;1° Dose;425
UBIRAJARA;2° Dose;133
UCHOA;1° Dose;1266
UCHOA;2° Dose;384
UNIÃO PAULISTA;1° Dose;192
UNIÃO PAULISTA;2° Dose;59
URÂNIA;1° Dose;1125
URÂNIA;2° Dose;470
URU;1° Dose;193
URU;2° Dose;53
URUPÊS;1° Dose;1340
URUPÊS;2° Dose;418
VALENTIM GENTIL;1° Dose;906
VALENTIM GENTIL;2° Dose;276
VALINHOS;1° Dose;8794
VALINHOS;2° Dose;2453
VALPARAÍSO;1° Dose;2018
VALPARAÍSO;2° Dose;775
VARGEM;1° Dose;721
VARGEM;2° Dose;156
VARGEM GRANDE DO SUL;1° Dose;4404
VARGEM GRANDE DO SUL;2° Dose;1601
VARGEM GRANDE PAULISTA;1° Dose;2649
VARGEM GRANDE PAULISTA;2° Dose;1038
VÁRZEA PAULISTA;1° Dose;4844
VÁRZEA PAULISTA;2° Dose;1431
VERA CRUZ;1° Dose;1206
VERA CRUZ;2° Dose;330
VINHEDO;1° Dose;5182
VINHEDO;2° Dose;2027
VIRADOURO;1° Dose;1557
VIRADOURO;2° Dose;398
VISTA ALEGRE DO ALTO;1° Dose;585
VISTA ALEGRE DO ALTO;2° Dose;174
VITÓRIA BRASIL;1° Dose;186
VITÓRIA BRASIL;2° Dose;56
VOTORANTIM;1° Dose;4958
VOTORANTIM;2° Dose;1967
VOTUPORANGA;1° Dose;12069
VOTUPORANGA;2° Dose;4366
ZACARIAS;1° Dose;227
ZACARIAS;2° Dose;61
