Ds Município;Dose;Contagem de Id Vacinacao
BOCAINA;1° Dose;927
BOCAINA;2° Dose;331
BOFETE;1° Dose;739
BOFETE;2° Dose;202
BOITUVA;1° Dose;3009
BOITUVA;2° Dose;1048
BOM JESUS DOS PERDÕES;1° Dose;1503
BOM JESUS DOS PERDÕES;2° Dose;360
BOM SUCESSO DE ITARARÉ;1° Dose;214
BOM SUCESSO DE ITARARÉ;2° Dose;67
BORÁ;1° Dose;114
BORÁ;2° Dose;40
BORACÉIA;1° Dose;465
BORACÉIA;2° Dose;123
BORBOREMA;1° Dose;1352
BORBOREMA;2° Dose;383
BOREBI;1° Dose;193
BOREBI;2° Dose;51
BOTUCATU;1° Dose;20050
BOTUCATU;2° Dose;6348
BRAGANÇA PAULISTA;1° Dose;15484
BRAGANÇA PAULISTA;2° Dose;5409
BRAÚNA;1° Dose;626
BRAÚNA;2° Dose;248
BREJO ALEGRE;1° Dose;340
BREJO ALEGRE;2° Dose;47
BRODOWSKI;1° Dose;2125
BRODOWSKI;2° Dose;793
BROTAS;1° Dose;1662
BROTAS;2° Dose;576
BURI;1° Dose;1018
BURI;2° Dose;268
BURITAMA;1° Dose;1220
BURITAMA;2° Dose;473
BURITIZAL;1° Dose;511
BURITIZAL;2° Dose;160
CABRÁLIA PAULISTA;1° Dose;410
CABRÁLIA PAULISTA;2° Dose;119
CABREÚVA;1° Dose;1952
CABREÚVA;2° Dose;652
CAÇAPAVA;1° Dose;5907
CAÇAPAVA;2° Dose;2210
CACHOEIRA PAULISTA;1° Dose;2669
CACHOEIRA PAULISTA;2° Dose;790
CACONDE;1° Dose;1795
CACONDE;2° Dose;327
CAFELÂNDIA;1° Dose;1002
CAFELÂNDIA;2° Dose;130
CAIABU;1° Dose;379
CAIABU;2° Dose;112
CAIEIRAS;1° Dose;5938
CAIEIRAS;2° Dose;1953
CAIUÁ;1° Dose;493
CAIUÁ;2° Dose;176
CAJAMAR;1° Dose;3717
CAJAMAR;2° Dose;877
CAJATI;1° Dose;1750
CAJATI;2° Dose;433
CAJOBI;1° Dose;1036
CAJOBI;2° Dose;340
CAJURU;1° Dose;2150
CAJURU;2° Dose;732
CAMPINA DO MONTE ALEGRE;1° Dose;536
CAMPINA DO MONTE ALEGRE;2° Dose;124
CAMPINAS;1° Dose;122945
CAMPINAS;2° Dose;41302
CAMPO LIMPO PAULISTA;1° Dose;3937
CAMPO LIMPO PAULISTA;2° Dose;1412
CAMPOS DO JORDÃO;1° Dose;3481
CAMPOS DO JORDÃO;2° Dose;1357
CAMPOS NOVOS PAULISTA;1° Dose;388
CAMPOS NOVOS PAULISTA;2° Dose;109
CANANÉIA;1° Dose;986
CANANÉIA;2° Dose;326
CANAS;1° Dose;250
CANAS;2° Dose;96
CÂNDIDO MOTA;1° Dose;2638
CÂNDIDO MOTA;2° Dose;819
CÂNDIDO RODRIGUES;1° Dose;348
CÂNDIDO RODRIGUES;2° Dose;105
CANITAR;1° Dose;275
CANITAR;2° Dose;92
CAPÃO BONITO;1° Dose;3287
CAPÃO BONITO;2° Dose;888
CAPELA DO ALTO;1° Dose;1044
CAPELA DO ALTO;2° Dose;276
CAPIVARI;1° Dose;3905
CAPIVARI;2° Dose;1180
CARAGUATATUBA;1° Dose;9362
CARAGUATATUBA;2° Dose;3147
CARAPICUÍBA;1° Dose;17010
CARAPICUÍBA;2° Dose;5482
CARDOSO;1° Dose;1332
CARDOSO;2° Dose;389
CASA BRANCA;1° Dose;2796
CASA BRANCA;2° Dose;1040
CÁSSIA DOS COQUEIROS;1° Dose;291
CÁSSIA DOS COQUEIROS;2° Dose;84
CASTILHO;1° Dose;1688
CASTILHO;2° Dose;609
CATANDUVA;1° Dose;15386
CATANDUVA;2° Dose;6080
CATIGUÁ;1° Dose;707
CATIGUÁ;2° Dose;138
CEDRAL;1° Dose;976
CEDRAL;2° Dose;445
CERQUEIRA CÉSAR;1° Dose;1744
CERQUEIRA CÉSAR;2° Dose;542
CERQUILHO;1° Dose;2204
CERQUILHO;2° Dose;569
CESÁRIO LANGE;1° Dose;1261
CESÁRIO LANGE;2° Dose;359
CHARQUEADA;1° Dose;1026
CHARQUEADA;2° Dose;286
CHAVANTES;1° Dose;675
CHAVANTES;2° Dose;235
CLEMENTINA;1° Dose;555
CLEMENTINA;2° Dose;170
COLINA;1° Dose;870
COLINA;2° Dose;307
COLÔMBIA;1° Dose;491
COLÔMBIA;2° Dose;216
CONCHAL;1° Dose;1654
CONCHAL;2° Dose;504
CONCHAS;1° Dose;1587
CONCHAS;2° Dose;435
CORDEIRÓPOLIS;1° Dose;2018
CORDEIRÓPOLIS;2° Dose;395
COROADOS;1° Dose;440
COROADOS;2° Dose;104
CORONEL MACEDO;1° Dose;462
CORONEL MACEDO;2° Dose;134
CORUMBATAÍ;1° Dose;326
CORUMBATAÍ;2° Dose;113
COSMÓPOLIS;1° Dose;3474
COSMÓPOLIS;2° Dose;960
COSMORAMA;1° Dose;903
COSMORAMA;2° Dose;239
COTIA;1° Dose;10768
COTIA;2° Dose;4424
CRAVINHOS;1° Dose;1977
CRAVINHOS;2° Dose;589
CRISTAIS PAULISTA;1° Dose;681
CRISTAIS PAULISTA;2° Dose;220
CRUZÁLIA;1° Dose;224
CRUZÁLIA;2° Dose;52
CRUZEIRO;1° Dose;5752
CRUZEIRO;2° Dose;2133
CUBATÃO;1° Dose;8080
CUBATÃO;2° Dose;2082
CUNHA;1° Dose;1875
CUNHA;2° Dose;461
DESCALVADO;1° Dose;3870
DESCALVADO;2° Dose;1181
DIADEMA;1° Dose;21081
DIADEMA;2° Dose;8602
DIRCE REIS;1° Dose;205
DIRCE REIS;2° Dose;48
DIVINOLÂNDIA;1° Dose;1702
DIVINOLÂNDIA;2° Dose;526
DOBRADA;1° Dose;438
DOBRADA;2° Dose;127
DOIS CÓRREGOS;1° Dose;2174
DOIS CÓRREGOS;2° Dose;784
DOLCINÓPOLIS;1° Dose;273
DOLCINÓPOLIS;2° Dose;63
DOURADO;1° Dose;755
DOURADO;2° Dose;305
DRACENA;1° Dose;6176
DRACENA;2° Dose;2488
DUARTINA;1° Dose;1458
DUARTINA;2° Dose;463
DUMONT;1° Dose;643
DUMONT;2° Dose;186
ECHAPORÃ;1° Dose;639
ECHAPORÃ;2° Dose;227
ELDORADO;1° Dose;2249
ELDORADO;2° Dose;1430
ELIAS FAUSTO;1° Dose;961
ELIAS FAUSTO;2° Dose;267
ELISIÁRIO;1° Dose;324
ELISIÁRIO;2° Dose;99
EMBAÚBA;1° Dose;267
EMBAÚBA;2° Dose;71
EMBU DAS ARTES;1° Dose;9849
