Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;1719
ADAMANTINA;2° Dose;169
ADOLFO;1° Dose;179
ADOLFO;2° Dose;67
AGUAI;1° Dose;823
AGUAI;2° Dose;208
AGUAS DA PRATA;1° Dose;339
AGUAS DA PRATA;2° Dose;61
AGUAS DE LINDOIA;1° Dose;523
AGUAS DE LINDOIA;2° Dose;134
AGUAS DE SANTA BARBARA;1° Dose;236
AGUAS DE SANTA BARBARA;2° Dose;41
AGUAS DE SAO PEDRO;1° Dose;187
AGUAS DE SAO PEDRO;2° Dose;21
AGUDOS;1° Dose;1994
AGUDOS;2° Dose;193
ALAMBARI;1° Dose;135
ALAMBARI;2° Dose;25
ALFREDO MARCONDES;1° Dose;212
ALTAIR;1° Dose;171
ALTAIR;2° Dose;53
ALTINOPOLIS;1° Dose;614
ALTINOPOLIS;2° Dose;66
ALTO ALEGRE;1° Dose;132
ALTO ALEGRE;2° Dose;27
ALUMINIO;1° Dose;376
ALUMINIO;2° Dose;101
ALVARES FLORENCE;1° Dose;141
ALVARES FLORENCE;2° Dose;27
ALVARES MACHADO;1° Dose;705
ALVARES MACHADO;2° Dose;98
ALVARO DE CARVALHO;1° Dose;91
ALVARO DE CARVALHO;2° Dose;23
ALVINLANDIA;1° Dose;117
ALVINLANDIA;2° Dose;2
AMERICANA;1° Dose;7310
AMERICANA;2° Dose;368
AMERICO BRASILIENSE;1° Dose;1330
AMERICO BRASILIENSE;2° Dose;109
AMERICO DE CAMPOS;1° Dose;249
AMERICO DE CAMPOS;2° Dose;64
AMPARO;1° Dose;2935
AMPARO;2° Dose;663
ANALANDIA;1° Dose;153
ANALANDIA;2° Dose;14
ANDRADINA;1° Dose;2100
ANGATUBA;1° Dose;594
ANGATUBA;2° Dose;33
ANHEMBI;1° Dose;138
ANHEMBI;2° Dose;11
ANHUMAS;1° Dose;170
ANHUMAS;2° Dose;44
APARECIDA;1° Dose;648
APARECIDA D'OESTE;1° Dose;251
APARECIDA D'OESTE;2° Dose;63
APIAI;1° Dose;517
APIAI;2° Dose;46
ARACARIGUAMA;1° Dose;396
ARACARIGUAMA;2° Dose;53
ARACATUBA;1° Dose;9900
ARACATUBA;2° Dose;1810
ARACOIABA DA SERRA;1° Dose;763
ARACOIABA DA SERRA;2° Dose;34
ARAMINA;1° Dose;169
ARANDU;1° Dose;183
ARAPEI;1° Dose;96
ARAPEI;2° Dose;18
ARARAQUARA;1° Dose;13617
ARARAQUARA;2° Dose;2165
ARARAS;1° Dose;5532
ARARAS;2° Dose;1179
ARCO-IRIS;1° Dose;233
ARCO-IRIS;2° Dose;26
AREALVA;1° Dose;332
AREALVA;2° Dose;63
AREIAS;1° Dose;144
AREIAS;2° Dose;44
AREIOPOLIS;1° Dose;189
ARIRANHA;1° Dose;434
ARIRANHA;2° Dose;112
ARTUR NOGUEIRA;1° Dose;1361
ARTUR NOGUEIRA;2° Dose;184
ARUJA;1° Dose;1160
ARUJA;2° Dose;3
ASPASIA;1° Dose;74
ASPASIA;2° Dose;8
ASSIS;1° Dose;4559
ASSIS;2° Dose;631
ATIBAIA;1° Dose;6180
ATIBAIA;2° Dose;628
AURIFLAMA;1° Dose;547
AVAI;1° Dose;534
AVAI;2° Dose;42
AVANHANDAVA;1° Dose;319
AVANHANDAVA;2° Dose;52
AVARE;1° Dose;4009
AVARE;2° Dose;565
BADY BASSITT;1° Dose;672
BALBINOS;1° Dose;110
BALBINOS;2° Dose;9
BALSAMO;1° Dose;343
BALSAMO;2° Dose;77
BANANAL;1° Dose;423
BANANAL;2° Dose;68
BARAO DE ANTONINA;1° Dose;166
BARAO DE ANTONINA;2° Dose;30
BARBOSA;1° Dose;261
BARBOSA;2° Dose;58
BARIRI;1° Dose;1372
BARIRI;2° Dose;234
BARRA BONITA;1° Dose;1668
BARRA BONITA;2° Dose;352
BARRA DO CHAPEU;1° Dose;91
BARRA DO CHAPEU;2° Dose;24
BARRA DO TURVO;1° Dose;458
BARRETOS;1° Dose;7742
BARRETOS;2° Dose;1480
BARRINHA;1° Dose;550
BARRINHA;2° Dose;5
BARUERI;1° Dose;9333
BARUERI;2° Dose;2597
BASTOS;1° Dose;653
BASTOS;2° Dose;113
BATATAIS;1° Dose;1747
BATATAIS;2° Dose;11
BAURU;1° Dose;19855
BAURU;2° Dose;1867
BEBEDOURO;1° Dose;2787
BEBEDOURO;2° Dose;4
BENTO DE ABREU;1° Dose;90
BENTO DE ABREU;2° Dose;20
BERNARDINO DE CAMPOS;1° Dose;515
BERNARDINO DE CAMPOS;2° Dose;96
BERTIOGA;1° Dose;1345
BERTIOGA;2° Dose;145
BILAC;1° Dose;381
BILAC;2° Dose;83
BIRIGUI;1° Dose;2306
BIRIGUI;2° Dose;132
BIRITIBA-MIRIM;1° Dose;548
BIRITIBA-MIRIM;2° Dose;137
BOA ESPERANCA DO SUL;1° Dose;382
BOA ESPERANCA DO SUL;2° Dose;114
BOCAINA;1° Dose;420
BOCAINA;2° Dose;87
BOFETE;1° Dose;207
BOITUVA;1° Dose;1121
BOITUVA;2° Dose;94
BOM JESUS DOS PERDOES;1° Dose;419
BOM JESUS DOS PERDOES;2° Dose;86
BOM SUCESSO DE ITARARE;1° Dose;84
BOM SUCESSO DE ITARARE;2° Dose;19
BORA;1° Dose;60
BORACEIA;1° Dose;155
BORACEIA;2° Dose;30
BORBOREMA;1° Dose;551
BORBOREMA;2° Dose;169
BOREBI;1° Dose;62
BOREBI;2° Dose;14
BOTUCATU;1° Dose;10047
BOTUCATU;2° Dose;2464
BRAGANCA PAULISTA;1° Dose;5579
BRAGANCA PAULISTA;2° Dose;1534
BRAUNA;1° Dose;240
BRAUNA;2° Dose;32
BREJO ALEGRE;1° Dose;111
BRODOWSKI;1° Dose;804
BRODOWSKI;2° Dose;24
BROTAS;1° Dose;734
BROTAS;2° Dose;93
BURI;1° Dose;331
BURI;2° Dose;102
BURITAMA;1° Dose;599
BURITAMA;2° Dose;151
BURITIZAL;1° Dose;211
BURITIZAL;2° Dose;36
CABRALIA PAULISTA;1° Dose;164
CABRALIA PAULISTA;2° Dose;38
CABREUVA;1° Dose;68
CABREUVA;2° Dose;2
CACAPAVA;1° Dose;2591
CACAPAVA;2° Dose;616
CACHOEIRA PAULISTA;1° Dose;1192
CACHOEIRA PAULISTA;2° Dose;180
CACONDE;1° Dose;608
CACONDE;2° Dose;51
CAFELANDIA;1° Dose;248
CAFELANDIA;2° Dose;14
CAIABU;1° Dose;109
CAIABU;2° Dose;6
CAIEIRAS;1° Dose;2571
CAIEIRAS;2° Dose;398
CAIUA;1° Dose;169
CAIUA;2° Dose;64
CAJAMAR;1° Dose;1148
CAJAMAR;2° Dose;214
CAJATI;1° Dose;398
CAJOBI;1° Dose;428
CAJOBI;2° Dose;109
CAJURU;1° Dose;821
CAJURU;2° Dose;76
CAMPINA DO MONTE ALEGRE;1° Dose;134
CAMPINA DO MONTE ALEGRE;2° Dose;28
CAMPINAS;1° Dose;56100
CAMPINAS;2° Dose;10589
CAMPO LIMPO PAULISTA;1° Dose;1991
CAMPO LIMPO PAULISTA;2° Dose;494
CAMPOS DO JORDAO;1° Dose;1746
CAMPOS DO JORDAO;2° Dose;61
CAMPOS NOVOS PAULISTA;1° Dose;123
CAMPOS NOVOS PAULISTA;2° Dose;33
CANANEIA;1° Dose;396
CANANEIA;2° Dose;26
CANAS;1° Dose;94
CANAS;2° Dose;19
CANDIDO MOTA;1° Dose;690
CANDIDO MOTA;2° Dose;167
CANDIDO RODRIGUES;1° Dose;136
CANDIDO RODRIGUES;2° Dose;30
CANITAR;1° Dose;131
CANITAR;2° Dose;26
CAPAO BONITO;1° Dose;1149
CAPAO BONITO;2° Dose;284
CAPELA DO ALTO;1° Dose;311
CAPELA DO ALTO;2° Dose;1
CAPIVARI;1° Dose;1137
CARAGUATATUBA;1° Dose;3530
CARAGUATATUBA;2° Dose;62
CARAPICUIBA;1° Dose;5886
CARAPICUIBA;2° Dose;596
CARDOSO;1° Dose;448
CARDOSO;2° Dose;94
CASA BRANCA;1° Dose;1209
CASA BRANCA;2° Dose;69
CASSIA DOS COQUEIROS;1° Dose;106
CASSIA DOS COQUEIROS;2° Dose;17
CASTILHO;1° Dose;868
CASTILHO;2° Dose;226
CATANDUVA;1° Dose;8187
CATANDUVA;2° Dose;1731
CATIGUA;1° Dose;201
CATIGUA;2° Dose;15
CEDRAL;1° Dose;598
CEDRAL;2° Dose;75
CERQUEIRA CESAR;1° Dose;680
CERQUEIRA CESAR;2° Dose;141
CERQUILHO;1° Dose;896
CERQUILHO;2° Dose;185
CESARIO LANGE;1° Dose;481
CESARIO LANGE;2° Dose;65
CHARQUEADA;1° Dose;362
CHARQUEADA;2° Dose;43
CHAVANTES;1° Dose;184
CLEMENTINA;1° Dose;168
CLEMENTINA;2° Dose;38
COLINA;1° Dose;328
COLINA;2° Dose;49
COLOMBIA;1° Dose;242
COLOMBIA;2° Dose;104
CONCHAL;1° Dose;575
CONCHAL;2° Dose;93
CONCHAS;1° Dose;526
CONCHAS;2° Dose;119
CORDEIROPOLIS;1° Dose;650
CORDEIROPOLIS;2° Dose;7
COROADOS;1° Dose;136
COROADOS;2° Dose;28
CORONEL MACEDO;1° Dose;182
CORONEL MACEDO;2° Dose;50
CORUMBATAI;1° Dose;102
CORUMBATAI;2° Dose;17
COSMOPOLIS;1° Dose;1383
COSMOPOLIS;2° Dose;143
COSMORAMA;1° Dose;281
COSMORAMA;2° Dose;46
COTIA;1° Dose;4878
COTIA;2° Dose;381
CRAVINHOS;1° Dose;252
