Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;1815
ADAMANTINA;2° Dose;284
ADOLFO;1° Dose;191
ADOLFO;2° Dose;68
AGUAI;1° Dose;840
AGUAI;2° Dose;249
AGUAS DA PRATA;1° Dose;339
AGUAS DA PRATA;2° Dose;61
AGUAS DE LINDOIA;1° Dose;641
AGUAS DE LINDOIA;2° Dose;146
AGUAS DE SANTA BARBARA;1° Dose;236
AGUAS DE SANTA BARBARA;2° Dose;45
AGUAS DE SAO PEDRO;1° Dose;244
AGUAS DE SAO PEDRO;2° Dose;22
AGUDOS;1° Dose;2022
AGUDOS;2° Dose;279
ALAMBARI;1° Dose;162
ALAMBARI;2° Dose;27
ALFREDO MARCONDES;1° Dose;268
ALFREDO MARCONDES;2° Dose;52
ALTAIR;1° Dose;176
ALTAIR;2° Dose;54
ALTINOPOLIS;1° Dose;635
ALTINOPOLIS;2° Dose;122
ALTO ALEGRE;1° Dose;135
ALTO ALEGRE;2° Dose;39
ALUMINIO;1° Dose;381
ALUMINIO;2° Dose;116
ALVARES FLORENCE;1° Dose;146
ALVARES FLORENCE;2° Dose;41
ALVARES MACHADO;1° Dose;752
ALVARES MACHADO;2° Dose;147
ALVARO DE CARVALHO;1° Dose;94
ALVARO DE CARVALHO;2° Dose;33
ALVINLANDIA;1° Dose;119
ALVINLANDIA;2° Dose;32
AMERICANA;1° Dose;8251
AMERICANA;2° Dose;764
AMERICO BRASILIENSE;1° Dose;1439
AMERICO BRASILIENSE;2° Dose;234
AMERICO DE CAMPOS;1° Dose;250
AMERICO DE CAMPOS;2° Dose;67
AMPARO;1° Dose;3107
AMPARO;2° Dose;667
ANALANDIA;1° Dose;153
ANALANDIA;2° Dose;34
ANDRADINA;1° Dose;2598
ANDRADINA;2° Dose;6
ANGATUBA;1° Dose;650
ANGATUBA;2° Dose;41
ANHEMBI;1° Dose;151
ANHEMBI;2° Dose;11
ANHUMAS;1° Dose;171
ANHUMAS;2° Dose;46
APARECIDA;1° Dose;658
APARECIDA D'OESTE;1° Dose;252
APARECIDA D'OESTE;2° Dose;71
APIAI;1° Dose;561
APIAI;2° Dose;99
ARACARIGUAMA;1° Dose;415
ARACARIGUAMA;2° Dose;64
ARACATUBA;1° Dose;10011
ARACATUBA;2° Dose;1932
ARACOIABA DA SERRA;1° Dose;796
ARACOIABA DA SERRA;2° Dose;101
ARAMINA;1° Dose;173
ARAMINA;2° Dose;40
ARANDU;1° Dose;195
ARANDU;2° Dose;27
ARAPEI;1° Dose;101
ARAPEI;2° Dose;29
ARARAQUARA;1° Dose;13998
ARARAQUARA;2° Dose;2694
ARARAS;1° Dose;5532
ARARAS;2° Dose;1200
ARCO-IRIS;1° Dose;233
ARCO-IRIS;2° Dose;26
AREALVA;1° Dose;332
AREALVA;2° Dose;63
AREIAS;1° Dose;144
AREIAS;2° Dose;44
AREIOPOLIS;1° Dose;222
ARIRANHA;1° Dose;434
ARIRANHA;2° Dose;118
ARTUR NOGUEIRA;1° Dose;1438
ARTUR NOGUEIRA;2° Dose;382
ARUJA;1° Dose;1274
ARUJA;2° Dose;236
ASPASIA;1° Dose;88
ASPASIA;2° Dose;20
ASSIS;1° Dose;4905
ASSIS;2° Dose;1054
ATIBAIA;1° Dose;6543
ATIBAIA;2° Dose;1270
AURIFLAMA;1° Dose;559
AVAI;1° Dose;547
AVAI;2° Dose;43
AVANHANDAVA;1° Dose;319
AVANHANDAVA;2° Dose;78
AVARE;1° Dose;4084
AVARE;2° Dose;1128
BADY BASSITT;1° Dose;749
BALBINOS;1° Dose;112
BALBINOS;2° Dose;41
BALSAMO;1° Dose;414
BALSAMO;2° Dose;102
BANANAL;1° Dose;435
BANANAL;2° Dose;106
BARAO DE ANTONINA;1° Dose;168
BARAO DE ANTONINA;2° Dose;32
BARBOSA;1° Dose;261
BARBOSA;2° Dose;61
BARIRI;1° Dose;1439
BARIRI;2° Dose;363
BARRA BONITA;1° Dose;1676
BARRA BONITA;2° Dose;457
BARRA DO CHAPEU;1° Dose;91
BARRA DO CHAPEU;2° Dose;24
BARRA DO TURVO;1° Dose;550
BARRA DO TURVO;2° Dose;40
BARRETOS;1° Dose;8041
BARRETOS;2° Dose;1913
BARRINHA;1° Dose;581
BARRINHA;2° Dose;95
BARUERI;1° Dose;9520
BARUERI;2° Dose;2806
BASTOS;1° Dose;686
BASTOS;2° Dose;158
BATATAIS;1° Dose;2040
