Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3936
ADAMANTINA;2° Dose;1547
ADOLFO;1° Dose;312
ADOLFO;2° Dose;155
AGUAÍ;1° Dose;1811
AGUAÍ;2° Dose;626
ÁGUAS DA PRATA;1° Dose;792
ÁGUAS DA PRATA;2° Dose;260
ÁGUAS DE LINDÓIA;1° Dose;1200
ÁGUAS DE LINDÓIA;2° Dose;401
ÁGUAS DE SANTA BÁRBARA;1° Dose;486
ÁGUAS DE SANTA BÁRBARA;2° Dose;175
ÁGUAS DE SÃO PEDRO;1° Dose;547
ÁGUAS DE SÃO PEDRO;2° Dose;189
AGUDOS;1° Dose;3249
AGUDOS;2° Dose;1187
ALAMBARI;1° Dose;316
ALAMBARI;2° Dose;86
ALFREDO MARCONDES;1° Dose;558
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;298
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1062
ALTINÓPOLIS;2° Dose;388
ALTO ALEGRE;1° Dose;416
ALTO ALEGRE;2° Dose;81
ALUMÍNIO;1° Dose;739
ALUMÍNIO;2° Dose;267
ÁLVARES FLORENCE;1° Dose;421
ÁLVARES FLORENCE;2° Dose;111
ÁLVARES MACHADO;1° Dose;1678
ÁLVARES MACHADO;2° Dose;544
ÁLVARO DE CARVALHO;1° Dose;240
ÁLVARO DE CARVALHO;2° Dose;68
ALVINLÂNDIA;1° Dose;246
ALVINLÂNDIA;2° Dose;86
AMERICANA;1° Dose;14633
AMERICANA;2° Dose;5973
AMÉRICO BRASILIENSE;1° Dose;2392
AMÉRICO BRASILIENSE;2° Dose;882
AMÉRICO DE CAMPOS;1° Dose;542
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;5600
AMPARO;2° Dose;2254
ANALÂNDIA;1° Dose;333
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4820
ANDRADINA;2° Dose;2100
ANGATUBA;1° Dose;1239
ANGATUBA;2° Dose;373
ANHEMBI;1° Dose;345
ANHEMBI;2° Dose;105
ANHUMAS;1° Dose;345
