Municipio;Dose;Contagem de Id Vacinacao
BOFETE;1° Dose;277
BOFETE;2° Dose;68
BOITUVA;1° Dose;1555
BOITUVA;2° Dose;397
BOM JESUS DOS PERDÕES;1° Dose;508
BOM JESUS DOS PERDÕES;2° Dose;155
BOM SUCESSO DE ITARARÉ;1° Dose;92
BOM SUCESSO DE ITARARÉ;2° Dose;23
BORÁ;1° Dose;60
BORACÉIA;1° Dose;184
BORACÉIA;2° Dose;48
BORBOREMA;1° Dose;577
BORBOREMA;2° Dose;177
BOREBI;1° Dose;74
BOREBI;2° Dose;38
BOTUCATU;1° Dose;10299
BOTUCATU;2° Dose;4357
BRAGANÇA PAULISTA;1° Dose;7369
BRAGANÇA PAULISTA;2° Dose;2245
BRAÚNA;1° Dose;290
BRAÚNA;2° Dose;123
BREJO ALEGRE;1° Dose;150
BREJO ALEGRE;2° Dose;46
BRODOWSKI;1° Dose;1019
BRODOWSKI;2° Dose;261
BROTAS;1° Dose;755
BROTAS;2° Dose;198
BURI;1° Dose;499
BURI;2° Dose;134
BURITAMA;1° Dose;609
BURITAMA;2° Dose;154
BURITIZAL;1° Dose;214
BURITIZAL;2° Dose;61
CABRÁLIA PAULISTA;1° Dose;164
CABRÁLIA PAULISTA;2° Dose;53
CABREÚVA;1° Dose;1292
CABREÚVA;2° Dose;16
CAÇAPAVA;1° Dose;3508
CAÇAPAVA;2° Dose;1013
CACHOEIRA PAULISTA;1° Dose;1324
CACHOEIRA PAULISTA;2° Dose;338
CACONDE;1° Dose;741
CACONDE;2° Dose;193
CAFELÂNDIA;1° Dose;680
CAFELÂNDIA;2° Dose;80
CAIABU;1° Dose;148
CAIABU;2° Dose;29
CAIEIRAS;1° Dose;2752
CAIEIRAS;2° Dose;892
CAIUÁ;1° Dose;255
CAIUÁ;2° Dose;75
CAJAMAR;1° Dose;1652
CAJAMAR;2° Dose;527
CAJATI;1° Dose;577
CAJATI;2° Dose;124
CAJOBI;1° Dose;447
CAJOBI;2° Dose;128
CAJURU;1° Dose;1096
CAJURU;2° Dose;233
CAMPINA DO MONTE ALEGRE;1° Dose;182
CAMPINA DO MONTE ALEGRE;2° Dose;29
CAMPINAS;1° Dose;60194
CAMPINAS;2° Dose;21050
CAMPO LIMPO PAULISTA;1° Dose;2042
CAMPO LIMPO PAULISTA;2° Dose;653
CAMPOS DO JORDÃO;1° Dose;1897
CAMPOS DO JORDÃO;2° Dose;564
CAMPOS NOVOS PAULISTA;1° Dose;153
CAMPOS NOVOS PAULISTA;2° Dose;36
CANANÉIA;1° Dose;435
CANANÉIA;2° Dose;119
CANAS;1° Dose;128
CANAS;2° Dose;35
CÂNDIDO MOTA;1° Dose;981
CÂNDIDO MOTA;2° Dose;231
CÂNDIDO RODRIGUES;1° Dose;137
CÂNDIDO RODRIGUES;2° Dose;32
CANITAR;1° Dose;132
CANITAR;2° Dose;37
CAPÃO BONITO;1° Dose;1191
CAPÃO BONITO;2° Dose;317
CAPELA DO ALTO;1° Dose;389
CAPELA DO ALTO;2° Dose;112
CAPIVARI;1° Dose;1470
CAPIVARI;2° Dose;263
CARAGUATATUBA;1° Dose;4592
CARAGUATATUBA;2° Dose;1035
CARAPICUÍBA;1° Dose;9480
CARAPICUÍBA;2° Dose;1576
CARDOSO;1° Dose;498
CARDOSO;2° Dose;127
CASA BRANCA;1° Dose;1561
CASA BRANCA;2° Dose;427
CÁSSIA DOS COQUEIROS;1° Dose;116
CÁSSIA DOS COQUEIROS;2° Dose;23
CASTILHO;1° Dose;896
CASTILHO;2° Dose;299
CATANDUVA;1° Dose;8446
CATANDUVA;2° Dose;2934
CATIGUÁ;1° Dose;245
CATIGUÁ;2° Dose;16
CEDRAL;1° Dose;651
CEDRAL;2° Dose;206
CERQUEIRA CÉSAR;1° Dose;692
CERQUEIRA CÉSAR;2° Dose;169
CERQUILHO;1° Dose;1369
CERQUILHO;2° Dose;271
CESÁRIO LANGE;1° Dose;481
CESÁRIO LANGE;2° Dose;129
CHARQUEADA;1° Dose;414
CHARQUEADA;2° Dose;135
CHAVANTES;1° Dose;327
CHAVANTES;2° Dose;81
CLEMENTINA;1° Dose;217
CLEMENTINA;2° Dose;49
COLINA;1° Dose;687
COLINA;2° Dose;222
COLÔMBIA;1° Dose;311
COLÔMBIA;2° Dose;104
CONCHAL;1° Dose;656
CONCHAL;2° Dose;202
CONCHAS;1° Dose;601
CONCHAS;2° Dose;171
CORDEIRÓPOLIS;1° Dose;787
CORDEIRÓPOLIS;2° Dose;27
COROADOS;1° Dose;136
COROADOS;2° Dose;31
CORONEL MACEDO;1° Dose;185
CORONEL MACEDO;2° Dose;55
CORUMBATAÍ;1° Dose;143
CORUMBATAÍ;2° Dose;31
COSMÓPOLIS;1° Dose;1430
COSMÓPOLIS;2° Dose;384
COSMORAMA;1° Dose;303
COSMORAMA;2° Dose;75
COTIA;1° Dose;6272
COTIA;2° Dose;1212
CRAVINHOS;1° Dose;521
CRAVINHOS;2° Dose;69
CRISTAIS PAULISTA;1° Dose;288
CRISTAIS PAULISTA;2° Dose;72
CRUZÁLIA;1° Dose;74
CRUZÁLIA;2° Dose;23
CRUZEIRO;1° Dose;2789
CRUZEIRO;2° Dose;752
CUBATÃO;1° Dose;3786
CUBATÃO;2° Dose;326
CUNHA;1° Dose;603
CUNHA;2° Dose;181
DESCALVADO;1° Dose;1565
DESCALVADO;2° Dose;382
DIADEMA;1° Dose;12555
DIADEMA;2° Dose;3625
DIRCE REIS;1° Dose;81
DIRCE REIS;2° Dose;25
DIVINOLÂNDIA;1° Dose;714
DIVINOLÂNDIA;2° Dose;218
DOBRADA;1° Dose;194
DOBRADA;2° Dose;57
DOIS CÓRREGOS;1° Dose;1034
DOIS CÓRREGOS;2° Dose;222
DOLCINÓPOLIS;1° Dose;86
DOLCINÓPOLIS;2° Dose;31
DOURADO;1° Dose;370
DOURADO;2° Dose;98
DRACENA;1° Dose;3413
DRACENA;2° Dose;950
DUARTINA;1° Dose;601
DUARTINA;2° Dose;135
DUMONT;1° Dose;250
DUMONT;2° Dose;76
ECHAPORÃ;1° Dose;279
ECHAPORÃ;2° Dose;102
ELDORADO;1° Dose;1575
ELDORADO;2° Dose;680
ELIAS FAUSTO;1° Dose;375
ELIAS FAUSTO;2° Dose;125
ELISIÁRIO;1° Dose;137
ELISIÁRIO;2° Dose;29
EMBAÚBA;1° Dose;98
EMBAÚBA;2° Dose;31
EMBU DAS ARTES;1° Dose;5436
EMBU DAS ARTES;2° Dose;1324
EMBU-GUAÇU;1° Dose;2154
EMBU-GUAÇU;2° Dose;411
