Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;3924
ADAMANTINA;2° Dose;1540
ADOLFO;1° Dose;308
ADOLFO;2° Dose;138
AGUAÍ;1° Dose;1763
AGUAÍ;2° Dose;617
ÁGUAS DA PRATA;1° Dose;746
ÁGUAS DA PRATA;2° Dose;260
ÁGUAS DE LINDÓIA;1° Dose;1200
ÁGUAS DE LINDÓIA;2° Dose;401
ÁGUAS DE SANTA BÁRBARA;1° Dose;440
ÁGUAS DE SANTA BÁRBARA;2° Dose;175
ÁGUAS DE SÃO PEDRO;1° Dose;547
ÁGUAS DE SÃO PEDRO;2° Dose;189
AGUDOS;1° Dose;3203
AGUDOS;2° Dose;1182
ALAMBARI;1° Dose;316
ALAMBARI;2° Dose;86
ALFREDO MARCONDES;1° Dose;511
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;298
ALTAIR;2° Dose;124
ALTINÓPOLIS;1° Dose;1043
ALTINÓPOLIS;2° Dose;388
ALTO ALEGRE;1° Dose;378
ALTO ALEGRE;2° Dose;81
ALUMÍNIO;1° Dose;697
ALUMÍNIO;2° Dose;257
ÁLVARES FLORENCE;1° Dose;391
ÁLVARES FLORENCE;2° Dose;111
ÁLVARES MACHADO;1° Dose;1659
ÁLVARES MACHADO;2° Dose;533
ÁLVARO DE CARVALHO;1° Dose;226
ÁLVARO DE CARVALHO;2° Dose;68
ALVINLÂNDIA;1° Dose;227
ALVINLÂNDIA;2° Dose;86
AMERICANA;1° Dose;14044
AMERICANA;2° Dose;5496
AMÉRICO BRASILIENSE;1° Dose;2316
AMÉRICO BRASILIENSE;2° Dose;860
AMÉRICO DE CAMPOS;1° Dose;532
AMÉRICO DE CAMPOS;2° Dose;188
AMPARO;1° Dose;5476
AMPARO;2° Dose;2185
ANALÂNDIA;1° Dose;333
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4775
ANDRADINA;2° Dose;1707
ANGATUBA;1° Dose;1159
ANGATUBA;2° Dose;324
ANHEMBI;1° Dose;319
ANHEMBI;2° Dose;93
ANHUMAS;1° Dose;345
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2063
APARECIDA;2° Dose;765
APARECIDA D'OESTE;1° Dose;479
APARECIDA D'OESTE;2° Dose;194
APIAÍ;1° Dose;1344
APIAÍ;2° Dose;474
ARAÇARIGUAMA;1° Dose;757
ARAÇARIGUAMA;2° Dose;276
ARAÇATUBA;1° Dose;17589
ARAÇATUBA;2° Dose;7325
ARAÇOIABA DA SERRA;1° Dose;1935
ARAÇOIABA DA SERRA;2° Dose;550
ARAMINA;1° Dose;330
ARAMINA;2° Dose;116
ARANDU;1° Dose;409
ARANDU;2° Dose;118
ARAPEÍ;1° Dose;196
