Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;2079
ADAMANTINA;2° Dose;547
ADOLFO;1° Dose;191
ADOLFO;2° Dose;68
AGUAÍ;1° Dose;873
AGUAÍ;2° Dose;253
ÁGUAS DA PRATA;1° Dose;340
ÁGUAS DA PRATA;2° Dose;63
ÁGUAS DE LINDÓIA;1° Dose;675
ÁGUAS DE LINDÓIA;2° Dose;152
ÁGUAS DE SANTA BÁRBARA;1° Dose;236
ÁGUAS DE SANTA BÁRBARA;2° Dose;47
ÁGUAS DE SÃO PEDRO;1° Dose;271
ÁGUAS DE SÃO PEDRO;2° Dose;67
AGUDOS;1° Dose;2064
AGUDOS;2° Dose;653
ALAMBARI;1° Dose;163
ALAMBARI;2° Dose;34
ALFREDO MARCONDES;1° Dose;268
ALFREDO MARCONDES;2° Dose;55
ALTAIR;1° Dose;177
ALTAIR;2° Dose;54
ALTINÓPOLIS;1° Dose;688
ALTINÓPOLIS;2° Dose;146
ALTO ALEGRE;1° Dose;150
ALTO ALEGRE;2° Dose;48
ALUMÍNIO;1° Dose;390
ALUMÍNIO;2° Dose;119
ÁLVARES FLORENCE;1° Dose;159
ÁLVARES FLORENCE;2° Dose;43
ÁLVARES MACHADO;1° Dose;782
ÁLVARES MACHADO;2° Dose;155
ÁLVARO DE CARVALHO;1° Dose;106
ÁLVARO DE CARVALHO;2° Dose;34
ALVINLÂNDIA;1° Dose;119
ALVINLÂNDIA;2° Dose;33
AMERICANA;1° Dose;8953
AMERICANA;2° Dose;1570
AMÉRICO BRASILIENSE;1° Dose;1557
AMÉRICO BRASILIENSE;2° Dose;483
AMÉRICO DE CAMPOS;1° Dose;250
AMÉRICO DE CAMPOS;2° Dose;67
AMPARO;1° Dose;3149
AMPARO;2° Dose;690
ANALÂNDIA;1° Dose;155
ANALÂNDIA;2° Dose;34
ANDRADINA;1° Dose;3058
ANDRADINA;2° Dose;27
ANGATUBA;1° Dose;669
ANGATUBA;2° Dose;150
ANHEMBI;1° Dose;163
ANHEMBI;2° Dose;11
ANHUMAS;1° Dose;171
ANHUMAS;2° Dose;47
APARECIDA;1° Dose;677
APARECIDA D'OESTE;1° Dose;253
APARECIDA D'OESTE;2° Dose;73
APIAÍ;1° Dose;590
APIAÍ;2° Dose;105
ARAÇARIGUAMA;1° Dose;429
ARAÇARIGUAMA;2° Dose;104
ARAÇATUBA;1° Dose;10234
ARAÇATUBA;2° Dose;2003
ARAÇOIABA DA SERRA;1° Dose;939
ARAÇOIABA DA SERRA;2° Dose;188
ARAMINA;1° Dose;173
ARAMINA;2° Dose;40
ARANDU;1° Dose;197
ARANDU;2° Dose;38
ARAPEÍ;1° Dose;103
ARAPEÍ;2° Dose;31
ARARAQUARA;1° Dose;14098
ARARAQUARA;2° Dose;3166
ARARAS;1° Dose;5549
ARARAS;2° Dose;1268
