mun_id;mun_desc;ano;populacao
3513900;Divinolândia;2021;10.865
3514007;Dobrada;2021;8.985
3514106;Dois Córregos;2021;27.151
3514205;Dolcinópolis;2021;2.033
3514304;Dourado;2021;8.466
3514403;Dracena;2021;45.088
3514502;Duartina;2021;11.941
3514601;Dumont;2021;9.659
3514700;Echaporã;2021;6.208
3514809;Eldorado;2021;15.331
3514908;Elias Fausto;2021;17.459
3514924;Elisiário;2021;3.518
3514957;Embaúba;2021;2.406
3515004;Embu das Artes;2021;273.266
3515103;Embu-Guaçu;2021;68.565
3515129;Emilianópolis;2021;3.069
3515152;Engenheiro Coelho;2021;20.884
3515186;Espírito Santo do Pinhal;2021;42.639
3515194;Espírito Santo do Turvo;2021;4.850
3557303;Estiva Gerbi;2021;11.156
3515301;Estrela do Norte;2021;2.668
3515202;Estrela d'Oeste;2021;8.083
3515350;Euclides da Cunha Paulista;2021;9.549
3515400;Fartura;2021;15.679
3515608;Fernando Prestes;2021;5.568
3515509;Fernandópolis;2021;66.131
3515657;Fernão;2021;1.656
3515707;Ferraz de Vasconcelos;2021;195.168
3515806;Flora Rica;2021;1.575
3515905;Floreal;2021;2.842
3516002;Flórida Paulista;2021;12.060
3516101;Florínea;2021;2.697
3516200;Franca;2021;343.801
3516309;Francisco Morato;2021;176.346
3516408;Franco da Rocha;2021;153.903
3516507;Gabriel Monteiro;2021;2.677
3516606;Gália;2021;6.537
3516705;Garça;2021;42.385
3516804;Gastão Vidigal;2021;4.811
3516853;Gavião Peixoto;2021;4.627
3516903;General Salgado;2021;10.632
3517000;Getulina;2021;10.856
3517109;Glicério;2021;4.762
3517208;Guaiçara;2021;12.045
3517307;Guaimbê;2021;5.547
3517406;Guaíra;2021;39.154
3517505;Guapiaçu;2021;21.060
3517604;Guapiara;2021;17.832
3517703;Guará;2021;20.907
3517802;Guaraçaí;2021;8.400
3517901;Guaraci;2021;11.050
3518008;Guarani d'Oeste;2021;1.917
3518107;Guarantã;2021;6.485
3518206;Guararapes;2021;32.160
3518305;Guararema;2021;29.736
3518404;Guaratinguetá;2021;118.741
3518503;Guareí;2021;15.844
3518602;Guariba;2021;39.285
3518701;Guarujá;2021;318.774
3518800;Guarulhos;2021;1.361.862
3518859;Guatapará;2021;7.482
3518909;Guzolândia;2021;5.134
3519006;Herculândia;2021;9.310
3519055;Holambra;2021;14.711
3519071;Hortolândia;2021;233.548
3519105;Iacanga;2021;11.410
3519204;Iacri;2021;6.255
3519253;Iaras;2021;6.943
3519303;Ibaté;2021;35.044
3519402;Ibirá;2021;12.132
3519501;Ibirarema;2021;7.570
3519600;Ibitinga;2021;58.860
3519709;Ibiúna;2021;76.867
3519808;Icém;2021;8.077
3519907;Iepê;2021;7.943
3520004;Igaraçu do Tietê;2021;24.206
3520103;Igarapava;2021;29.560
3520202;Igaratá;2021;9.354
3520301;Iguape;2021;29.555
3520426;Ilha Comprida;2021;10.410
3520442;Ilha Solteira;2021;25.754
3520400;Ilhabela;2021;33.821
3520509;Indaiatuba;2021;245.366
3520608;Indiana;2021;4.771
3520707;Indiaporã;2021;3.847
3520806;Inúbia Paulista;2021;3.913
3520905;Ipaussu;2021;14.578
3521002;Iperó;2021;34.800
3521101;Ipeúna;2021;7.711
3521150;Ipiguá;2021;5.286
3521200;Iporanga;2021;4.424
3521309;Ipuã;2021;16.001
3521408;Iracemápolis;2021;23.907
3521507;Irapuã;2021;7.767
3521606;Irapuru;2021;7.295
3521705;Itaberá;2021;17.615
3521804;Itaí;2021;26.725
3521903;Itajobi;2021;14.602
3522000;Itaju;2021;3.688
3522109;Itanhaém;2021;99.751
3522158;Itaoca;2021;3.187
3522208;Itapecerica da Serra;2021;171.123
3522307;Itapetininga;2021;161.509
3522406;Itapeva;2021;92.123
3522505;Itapevi;2021;241.150
3522604;Itapira;2021;71.609
3522653;Itapirapuã Paulista;2021;4.214
3522703;Itápolis;2021;41.648
3522802;Itaporanga;2021;14.710
3522901;Itapuí;2021;13.913
3523008;Itapura;2021;4.965
3523107;Itaquaquecetuba;2021;374.997
3523206;Itararé;2021;49.149
3523305;Itariri;2021;17.442
3523404;Itatiba;2021;119.084
3523503;Itatinga;2021;20.752
3523602;Itirapina;2021;17.284
3523701;Itirapuã;2021;6.311
3523800;Itobi;2021;7.608
3523909;Itu;2021;170.938
3524006;Itupeva;2021;60.255
3524105;Ituverava;2021;40.333
3524204;Jaborandi;2021;6.681
3524303;Jaboticabal;2021;74.352
3524402;Jacareí;2021;229.163
3524501;Jaci;2021;7.052
3524600;Jacupiranga;2021;17.237
3524709;Jaguariúna;2021;55.477
3524808;Jales;2021;47.242
3524907;Jambeiro;2021;6.272
3525003;Jandira;2021;124.940
3525102;Jardinópolis;2021;43.258
3525201;Jarinu;2021;30.330
3525300;Jaú;2021;148.613
3525409;Jeriquara;2021;3.141
3525508;Joanópolis;2021;12.720
3525607;João Ramalho;2021;4.404
3525706;José Bonifácio;2021;36.229
3525805;Júlio Mesquita;2021;4.658
3525854;Jumirim;2021;3.343
3525904;Jundiaí;2021;409.439
3526001;Junqueirópolis;2021;20.174
3526100;Juquiá;2021;18.856
3526209;Juquitiba;2021;30.579
3526308;Lagoinha;2021;4.821
3526407;Laranjal Paulista;2021;28.042
3526506;Lavínia;2021;8.476
3526605;Lavrinhas;2021;7.218
3526704;Leme;2021;101.693
3526803;Lençóis Paulista;2021;66.695
3526902;Limeira;2021;297.662
3527009;Lindóia;2021;7.789
3527108;Lins;2021;75.318
3527207;Lorena;2021;86.952
3527256;Lourdes;2021;2.183
3527306;Louveira;2021;48.965
3527405;Lucélia;2021;21.092
3527504;Lucianópolis;2021;2.264
3527603;Luís Antônio;2021;14.358
3527702;Luiziânia;2021;5.813
3527801;Lupércio;2021;4.428
3527900;Lutécia;2021;2.615
3528007;Macatuba;2021;16.981
3528106;Macaubal;2021;7.738
3528205;Macedônia;2021;3.562
3528304;Magda;2021;3.076
3528403;Mairinque;2021;46.569
3528502;Mairiporã;2021;100.034
3528601;Manduri;2021;9.562
3528700;Marabá Paulista;2021;4.942
3528809;Maracaí;2021;13.526
3528858;Marapoama;2021;2.925
3528908;Mariápolis;2021;3.979
3529005;Marília;2021;232.599
3529104;Marinópolis;2021;2.096
3529203;Martinópolis;2021;25.778
3529302;Matão;2021;80.174
3529401;Mauá;2021;463.338
3529500;Mendonça;2021;5.069
3529609;Meridiano;2021;3.725
3529658;Mesópolis;2021;1.893
3529708;Miguelópolis;2021;21.500
3529807;Mineiros do Tietê;2021;12.641
3530003;Mira Estrela;2021;2.949
3529906;Miracatu;2021;19.961
3530102;Mirandópolis;2021;28.715
3530201;Mirante do Paranapanema;2021;17.831
3530300;Mirassol;2021;58.112
3530409;Mirassolândia;2021;4.736
3530508;Mococa;2021;66.719
3530607;Mogi das Cruzes;2021;436.883
3530706;Mogi Guaçu;2021;149.071
3530805;Mogi Mirim;2021;90.657
3530904;Mombuca;2021;3.338
3531001;Monções;2021;2.173
3531100;Mongaguá;2021;55.216
3531209;Monte Alegre do Sul;2021;7.792
3531308;Monte Alto;2021;48.469
3531407;Monte Aprazível;2021;23.561
3531506;Monte Azul Paulista;2021;18.131
3531605;Monte Castelo;2021;3.985
3531803;Monte Mor;2021;60.555
3531704;Monteiro Lobato;2021;4.491
3531902;Morro Agudo;2021;32.603
3532009;Morungaba;2021;13.359
3532058;Motuca;2021;4.665
3532108;Murutinga do Sul;2021;4.283
3532157;Nantes;2021;3.103
3532207;Narandiba;2021;4.888
3532306;Natividade da Serra;2021;6.703
3532405;Nazaré Paulista;2021;18.611
3532504;Neves Paulista;2021;8.592
3532603;Nhandeara;2021;10.760
3532702;Nipoã;2021;5.014
3532801;Nova Aliança;2021;6.487
