Paraíba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;4252159;2041612;2210547;47556;36975;0.16;11.18;8.7;77.28;73.61;80.87;9.63;9.8;9.46;1.68;27.29;21.85;49.13;79.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;4257603;2043627;2213976;46969;37558;0.13;11.03;8.82;77.42;73.76;80.99;9.54;9.72;9.37;1.68;26.96;22.46;49.42;83.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;4261871;2045084;2216787;46400;38172;0.1;10.89;8.96;77.54;73.91;81.1;9.47;9.64;9.29;1.67;26.64;23.07;49.71;86.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;4264971;2045987;2218984;45878;38803;0.07;10.76;9.1;77.67;74.05;81.2;9.41;9.57;9.23;1.67;26.32;23.69;50.01;90.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;4266919;2046347;2220572;45383;39458;0.05;10.64;9.25;77.78;74.19;81.3;9.34;9.51;9.17;1.67;26.03;24.33;50.36;93.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;4267727;2046170;2221557;44902;40106;0.02;10.52;9.4;77.9;74.32;81.39;9.29;9.46;9.11;1.67;25.76;25.03;50.79;97.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;4267396;2045455;2221941;44415;40769;-0.01;10.41;9.55;78;74.44;81.48;9.24;9.41;9.07;1.66;25.51;25.78;51.29;100.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;4265937;2044208;2221729;43988;41447;-0.03;10.31;9.72;78.11;74.56;81.57;9.2;9.37;9.02;1.66;25.3;26.57;51.87;104.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;4263380;2042447;2220933;43589;42139;-0.06;10.22;9.88;78.21;74.68;81.65;9.16;9.33;8.99;1.66;25.11;27.4;52.51;109.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;4259719;2040169;2219550;43179;42846;-0.09;10.14;10.06;78.3;74.79;81.73;9.13;9.3;8.96;1.66;24.95;28.27;53.22;113.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;4254930;2037363;2217567;42763;43569;-0.11;10.05;10.24;78.39;74.9;81.8;9.1;9.27;8.93;1.66;24.81;29.17;53.98;117.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;4249005;2034026;2214979;42364;44305;-0.14;9.97;10.43;78.47;75;81.87;9.08;9.25;8.9;1.65;24.69;30.09;54.78;121.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;4241983;2030180;2211803;42044;45043;-0.17;9.91;10.62;78.55;75.09;81.93;9.05;9.22;8.88;1.65;24.59;31.02;55.62;125.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;4233897;2025843;2208054;41726;45796;-0.19;9.86;10.82;78.63;75.19;81.99;9.03;9.2;8.86;1.65;24.52;31.97;56.49;129.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;4224706;2020997;2203709;41346;46553;-0.22;9.79;11.02;78.7;75.28;82.05;9.02;9.19;8.84;1.65;24.46;32.94;57.4;134.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;4214358;2015619;2198739;40932;47318;-0.24;9.71;11.23;78.77;75.36;82.11;9;9.17;8.83;1.65;24.42;33.9;58.32;138.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
