Rio Grande do Norte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;3612280;1759460;1852820;47055;23888;0.71;13.03;6.61;77.1;73.17;81.03;11.79;13.37;10.13;1.64;28.65;14.14;42.8;49.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;3636783;1770963;1865820;46685;24312;0.68;12.84;6.69;77.26;73.35;81.16;11.57;13.09;9.97;1.64;28.27;14.56;42.83;51.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;3660428;1782050;1878378;46285;24768;0.65;12.64;6.77;77.41;73.52;81.29;11.38;12.84;9.84;1.64;27.97;15.05;43.02;53.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;3683162;1792699;1890463;45870;25255;0.62;12.45;6.86;77.55;73.68;81.41;11.21;12.63;9.72;1.64;27.7;15.59;43.29;56.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;3704935;1802886;1902049;45430;25768;0.59;12.26;6.96;77.69;73.84;81.52;11.07;12.44;9.63;1.64;27.44;16.18;43.62;59.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;3725694;1812586;1913108;44969;26316;0.56;12.07;7.06;77.81;73.98;81.63;10.95;12.28;9.54;1.64;27.22;16.83;44.05;61.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;3745416;1821789;1923627;44524;26873;0.53;11.89;7.17;77.93;74.13;81.72;10.84;12.13;9.47;1.64;26.99;17.49;44.48;64.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;3764104;1830494;1933610;44097;27445;0.5;11.72;7.29;78.04;74.26;81.81;10.74;12.01;9.41;1.64;26.71;18.16;44.87;67.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;3781756;1838701;1943055;43642;28032;0.47;11.54;7.41;78.15;74.39;81.9;10.66;11.9;9.36;1.64;26.5;18.84;45.34;71.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;3798352;1846398;1951954;43182;28642;0.44;11.37;7.54;78.25;74.52;81.98;10.59;11.8;9.32;1.64;26.32;19.55;45.87;74.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;3813882;1853581;1960301;42747;29270;0.41;11.21;7.67;78.35;74.64;82.05;10.53;11.71;9.28;1.64;26.1;20.25;46.35;77.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;3828342;1860250;1968092;42329;29927;0.38;11.06;7.82;78.45;74.75;82.12;10.48;11.64;9.25;1.64;25.86;20.94;46.8;81.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;3841717;1866398;1975319;41929;30621;0.35;10.91;7.97;78.53;74.86;82.18;10.43;11.57;9.23;1.64;25.63;21.6;47.23;84.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;3853989;1872019;1981970;41526;31332;0.32;10.77;8.13;78.61;74.97;82.24;10.39;11.52;9.2;1.64;25.39;22.25;47.64;87.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;3865144;1877107;1988037;41145;32071;0.29;10.65;8.3;78.69;75.07;82.29;10.35;11.47;9.18;1.64;25.15;22.87;48.01;90.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;3875180;1881662;1993518;40782;32825;0.26;10.52;8.47;78.76;75.16;82.34;10.32;11.42;9.17;1.64;24.91;23.48;48.39;94.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;3884099;1885684;1998415;40430;33592;0.23;10.41;8.65;78.83;75.26;82.39;10.29;11.38;9.15;1.64;24.69;24.1;48.79;97.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;3891897;1889169;2002728;40083;34366;0.2;10.3;8.83;78.89;75.34;82.43;10.27;11.35;9.14;1.64;24.48;24.76;49.24;101.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;3898577;1892116;2006461;39745;35144;0.17;10.19;9.01;78.95;75.43;82.48;10.25;11.32;9.13;1.64;24.29;25.44;49.73;104.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;3904155;1894533;2009622;39447;35934;0.14;10.1;9.2;79.01;75.51;82.51;10.23;11.29;9.12;1.64;24.11;26.16;50.28;108.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;3908642;1896424;2012218;39156;36736;0.11;10.02;9.4;79.06;75.58;82.55;10.21;11.26;9.12;1.64;23.96;26.92;50.88;111.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;3912024;1897783;2014241;38861;37559;0.09;9.93;9.6;79.11;75.65;82.58;10.2;11.24;9.11;1.64;23.83;27.72;51.54;116.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;3914280;1898602;2015678;38564;38395;0.06;9.85;9.81;79.16;75.72;82.61;10.19;11.22;9.11;1.64;23.71;28.56;52.27;120.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;3915401;1898879;2016522;38278;39246;0.03;9.78;10.02;79.21;75.79;82.64;10.18;11.21;9.1;1.64;23.62;29.44;53.05;124.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;3915396;1898622;2016774;38020;40104;0;9.71;10.24;79.25;75.85;82.67;10.17;11.19;9.1;1.64;23.55;30.35;53.9;128.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;3914271;1897835;2016436;37763;40970;-0.03;9.65;10.47;79.29;75.91;82.69;10.16;11.18;9.1;1.64;23.49;31.31;54.81;132.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;3912020;1896519;2015501;37491;41829;-0.06;9.58;10.69;79.33;75.97;82.71;10.16;11.17;9.09;1.64;23.46;32.3;55.76;137.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;3908632;1894670;2013962;37210;42688;-0.09;9.52;10.92;79.37;76.02;82.73;10.15;11.16;9.09;1.64;23.44;33.32;56.76;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;3904116;1892296;2011820;36935;43532;-0.12;9.46;11.15;79.4;76.07;82.75;10.15;11.15;9.09;1.64;23.44;34.36;57.8;146.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;3898491;1889409;2009082;36673;44369;-0.14;9.41;11.38;79.43;76.12;82.77;10.14;11.14;9.09;1.64;23.45;35.43;58.88;150.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;3891770;1886016;2005754;36399;45187;-0.17;9.35;11.61;79.46;76.17;82.79;10.13;11.13;9.09;1.64;23.48;36.5;59.98;155.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
