Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;11422973;5558470;5864503;141012;83039;0.4;12.34;7.27;78.79;75.44;82.04;8.62;9.18;8.02;1.68;26.45;19.11;45.56;71.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;11466630;5579188;5887442;139890;84342;0.38;12.2;7.36;79.03;75.7;82.25;8.39;8.94;7.81;1.68;26.42;19.9;46.32;75.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;11507906;5598737;5909169;138434;85688;0.36;12.03;7.45;79.26;75.94;82.46;8.17;8.7;7.61;1.68;26.5;20.74;47.23;78.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;11546505;5616964;5929541;136825;87097;0.34;11.85;7.54;79.48;76.18;82.67;7.96;8.47;7.42;1.68;26.61;21.61;48.22;81.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;11582285;5633801;5948484;135215;88576;0.31;11.67;7.65;79.69;76.42;82.86;7.76;8.25;7.23;1.68;26.73;22.51;49.24;84.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;11615181;5649221;5965960;133594;90100;0.28;11.5;7.76;79.9;76.64;83.05;7.56;8.04;7.05;1.68;26.85;23.45;50.3;87.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;11645142;5663195;5981947;131976;91673;0.26;11.33;7.87;80.1;76.86;83.24;7.38;7.84;6.88;1.68;26.93;24.41;51.33;90.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;11672095;5675682;5996413;130318;93306;0.23;11.16;7.99;80.3;77.07;83.42;7.19;7.64;6.71;1.68;26.93;25.38;52.31;94.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;11695959;5686648;6009311;128659;94999;0.2;11;8.12;80.48;77.27;83.59;7.02;7.46;6.55;1.68;26.9;26.35;53.24;97.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;11716702;5696085;6020617;127059;96756;0.18;10.84;8.26;80.66;77.46;83.76;6.85;7.27;6.4;1.68;26.8;27.29;54.09;101.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;11734344;5704008;6030336;125525;98534;0.15;10.7;8.4;80.84;77.65;83.92;6.69;7.1;6.25;1.68;26.62;28.17;54.78;105.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
