Sergipe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;2319032;1119242;1199790;34418;15602;0.88;14.84;6.73;73.64;69.42;77.91;13.58;14.56;12.54;1.72;32.11;11.04;43.15;34.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2338688;1127971;1210717;34175;15813;0.85;14.61;6.76;73.86;69.65;78.13;13.08;13.99;12.1;1.71;31.6;11.34;42.94;35.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;2357840;1136455;1221385;33888;16041;0.82;14.37;6.8;74.08;69.87;78.34;12.62;13.49;11.71;1.71;31.16;11.66;42.82;37.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;2376447;1144674;1231773;33593;16284;0.79;14.14;6.85;74.3;70.09;78.54;12.21;13.03;11.34;1.7;30.74;12;42.74;39.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;2394484;1152617;1241867;33291;16545;0.76;13.9;6.91;74.5;70.3;78.74;11.84;12.62;11.02;1.69;30.35;12.37;42.73;40.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;2411922;1160271;1251651;32965;16816;0.73;13.67;6.97;74.7;70.5;78.93;11.51;12.26;10.72;1.69;30.05;12.78;42.83;42.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;2428742;1167627;1261115;32653;17104;0.7;13.44;7.04;74.9;70.71;79.11;11.22;11.93;10.46;1.68;29.75;13.22;42.96;44.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;2444933;1174682;1270251;32335;17409;0.67;13.23;7.12;75.09;70.9;79.28;10.95;11.64;10.22;1.68;29.45;13.68;43.14;46.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;2460470;1181423;1279047;32007;17728;0.64;13.01;7.21;75.27;71.1;79.45;10.71;11.38;10;1.68;29.19;14.18;43.38;48.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;2475341;1187846;1287495;31690;18057;0.6;12.8;7.29;75.45;71.28;79.61;10.49;11.14;9.81;1.67;28.92;14.71;43.63;50.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;2489543;1193951;1295592;31380;18402;0.57;12.6;7.39;75.62;71.47;79.76;10.3;10.94;9.63;1.67;28.61;15.26;43.86;53.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;2503065;1199731;1303334;31048;18755;0.54;12.4;7.49;75.79;71.65;79.91;10.13;10.75;9.48;1.67;28.37;15.84;44.21;55.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;2515898;1205179;1310719;30726;19126;0.51;12.21;7.6;75.94;71.82;80.05;9.97;10.58;9.33;1.67;28.13;16.45;44.58;58.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;2528046;1210299;1317747;30433;19510;0.48;12.04;7.72;76.1;71.99;80.19;9.83;10.43;9.21;1.66;27.81;17.07;44.89;61.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;2539516;1215097;1324419;30150;19908;0.45;11.87;7.84;76.25;72.16;80.32;9.71;10.3;9.09;1.66;27.5;17.69;45.2;64.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;2550306;1219573;1330733;29880;20318;0.42;11.72;7.97;76.4;72.32;80.44;9.6;10.18;8.99;1.66;27.2;18.31;45.51;67.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;2560404;1223724;1336680;29595;20737;0.4;11.56;8.1;76.54;72.48;80.56;9.5;10.07;8.9;1.66;26.9;18.92;45.82;70.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;2569805;1227549;1342256;29337;21168;0.37;11.42;8.24;76.68;72.64;80.68;9.41;9.98;8.81;1.66;26.61;19.53;46.14;73.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;2578518;1231055;1347463;29095;21612;0.34;11.28;8.38;76.81;72.79;80.79;9.33;9.89;8.74;1.66;26.34;20.13;46.47;76.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;2586546;1234245;1352301;28863;22063;0.31;11.16;8.53;76.93;72.93;80.89;9.26;9.82;8.67;1.66;26.08;20.76;46.84;79.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;2593896;1237124;1356772;28647;22522;0.28;11.04;8.68;77.06;73.08;80.99;9.2;9.75;8.61;1.66;25.84;21.43;47.27;82.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;2600559;1239690;1360869;28419;22992;0.26;10.93;8.84;77.17;73.22;81.09;9.14;9.69;8.56;1.65;25.62;22.12;47.74;86.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;2606540;1241947;1364593;28226;23466;0.23;10.83;9;77.29;73.35;81.18;9.09;9.63;8.51;1.65;25.43;22.85;48.28;90.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;2611852;1243903;1367949;28040;23950;0.2;10.74;9.17;77.4;73.48;81.27;9.04;9.59;8.47;1.65;25.25;23.61;48.86;93.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;2616494;1245557;1370937;27858;24438;0.18;10.65;9.34;77.51;73.61;81.35;9;9.54;8.43;1.65;25.1;24.4;49.5;97.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;2620468;1246913;1373555;27689;24935;0.15;10.57;9.52;77.62;73.74;81.43;8.96;9.5;8.39;1.65;24.97;25.22;50.18;101.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;2623766;1247968;1375798;27509;25440;0.13;10.48;9.7;77.71;73.86;81.51;8.93;9.47;8.36;1.65;24.85;26.05;50.91;104.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;2626387;1248722;1377665;27345;25946;0.1;10.41;9.88;77.81;73.98;81.58;8.9;9.44;8.33;1.65;24.76;26.91;51.67;108.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;2628337;1249179;1379158;27180;26454;0.07;10.34;10.06;77.91;74.09;81.66;8.88;9.41;8.31;1.65;24.68;27.79;52.47;112.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;2629608;1249337;1380271;27009;26967;0.05;10.27;10.26;77.99;74.2;81.72;8.85;9.39;8.29;1.65;24.62;28.68;53.3;116.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;2630195;1249196;1380999;26841;27483;0.02;10.2;10.45;78.08;74.31;81.79;8.83;9.37;8.27;1.65;24.58;29.58;54.16;120.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;2630096;1248756;1381340;26668;27997;0;10.14;10.64;78.17;74.42;81.85;8.81;9.35;8.25;1.65;24.55;30.48;55.03;124.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
