Pernambuco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;10347405;4970697;5376708;103831;104140;-0.1;10.03;10.06;79.35;76.26;82.35;9.6;10.16;9;1.65;24.66;30.36;55.02;123.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;10334368;4964674;5369694;102861;106218;-0.13;9.95;10.28;79.4;76.31;82.39;9.6;10.16;9;1.65;24.57;31.26;55.84;127.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;10318285;4957185;5361100;101884;108286;-0.16;9.87;10.49;79.45;76.37;82.44;9.59;10.16;9;1.65;24.5;32.17;56.67;131.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;10299159;4948232;5350927;100915;110356;-0.19;9.8;10.72;79.49;76.41;82.47;9.59;10.16;9;1.65;24.43;33.09;57.52;135.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;10277017;4937835;5339182;99977;112411;-0.21;9.73;10.94;79.52;76.46;82.51;9.59;10.15;9;1.65;24.38;34;58.38;139.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;10251890;4926012;5325878;99031;114444;-0.24;9.66;11.16;79.56;76.5;82.54;9.59;10.15;9;1.65;24.33;34.91;59.25;143.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;10223763;4912752;5311011;98012;116445;-0.27;9.59;11.39;79.59;76.54;82.58;9.59;10.15;9;1.65;24.29;35.81;60.11;147.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;10192631;4898054;5294577;96988;118411;-0.3;9.52;11.62;79.62;76.57;82.61;9.59;10.15;9;1.65;24.26;36.68;60.94;150.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;10158518;4881933;5276585;95942;120337;-0.33;9.44;11.85;79.65;76.61;82.63;9.59;10.15;9;1.65;24.22;37.5;61.73;154.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;10121489;4864421;5257068;94966;122221;-0.36;9.38;12.08;79.67;76.64;82.66;9.59;10.15;9;1.65;24.19;38.29;62.48;158.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;10081634;4845564;5236070;93999;124046;-0.39;9.32;12.3;79.69;76.66;82.68;9.59;10.15;9;1.64;24.15;39.03;63.18;161.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;10038990;4825382;5213608;92966;125797;-0.42;9.26;12.53;79.72;76.69;82.71;9.59;10.15;9;1.64;24.12;39.76;63.87;165.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;9993592;4803889;5189703;91938;127494;-0.45;9.2;12.76;79.74;76.71;82.73;9.59;10.15;9;1.64;24.09;40.49;64.58;168.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;9945508;4781114;5164394;90909;129111;-0.48;9.14;12.98;79.76;76.74;82.75;9.59;10.15;9;1.64;24.07;41.25;65.33;171.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;9000873;9062229;9126434;9189504;9252442;9317744;9377368;9434839;9496735;9557517;9617072;9675249;9731843;9786666;9839619;9890556;9939342;9985921;10030223;10072190;10111808;10148858;10183114;10214587;10243275;10269143;10292112;10312102;10329117;10343147;10354192;10362239;10367287;10369343;10368383;10364406;10357414;10347405;10334368;10318285;10299159;10277017;10251890;10223763;10192631;10158518;10121489;10081634;10038990;9993592;9945508
0-4;739400;728511;723438;717332;711441;711996;707090;697893;694838;691348;684784;683032;682378;676057;669494;662682;655621;648456;641307;634174;627139;620189;613234;606331;599544;592875;586354;580007;573812;567737;561776;555959;550321;544844;539495;534267;529177;524218;519341;514517;509735;504966;500217;495442;490624;485740;480798;475827;470839;465844;460853
05/set;785823;772882;762464;753334;744903;733707;722988;718060;712099;706341;707015;702236;693165;690217;686834;680373;678724;678172;671947;665480;658761;651791;644702;637617;630530;623523;616599;609667;602785;596017;589369;582861;576528;570351;564290;558342;552536;546906;541439;536106;530885;525808;520857;515990;511172;506399;501641;496899;492130;487317;482438
out/14;846908;841653;828166;812259;796733;782940;770095;759764;750711;742361;731246;720601;715737;709837;704139;704864;700140;691123;688223;684889;678480;676872;676356;670168;663736;657043;650087;643014;635942;628871;621879;614969;608051;601176;594423;587789;581292;574967;568794;562743;556802;551003;545383;539923;534595;529378;524306;519363;514500;509688;504924
15-19;824679;825943;830928;837168;840710;839146;834110;820863;805212;789930;776364;763735;753590;744721;736544;725597;715115;710396;704636;699070;699908;695284;686359;683532;680252;673896;672324;671831;665685;659292;652634;645713;638677;631641;624601;617638;610757;603869;597020;590286;583675;577202;570897;564747;558715;552792;547009;541401;535958;530643;525441
20-24;828717;823270;815848;808119;802719;801138;802912;808369;815056;819051;817972;813435;800726;785621;770870;757806;745659;735957;727514;719749;709218;699104;694653;689097;683685;684604;680063;671238;668479;665267;658991;657468;657013;650929;644597;638006;631138;624157;617178;610187;603272;596438;589596;582791;576103;569529;563093;556822;550702;544705;538812
25-29;790259;794621;798244;800548;800616;797998;793284;786592;779567;774829;773857;776198;782179;789365;793873;793336;789357;777259;762759;748591;736081;724446;715162;707059;699548;689207;679235;674882;669427;664108;665080;660618;651891;649193;646040;639830;638358;637936;631913;625640;619108;612297;605370;598446;591509;584649;577863;571067;564307;557657;551126
30-34;726818;737895;747311;755219;761994;767816;772679;776803;779606;780180;778075;773878;767695;761163;756885;756322;759031;765342;772842;777673;777490;773861;762129;747965;734076;721773;710295;701153;693175;685777;675555;665699;661422;656049;650805;651814;647413;638768;636114;633011;626862;625425;625026;619055;612832;606353;599593;592717;585841;578953;572135
35-39;643852;656071;669906;684549;698687;711464;722846;732577;740811;747911;754062;759251;763698;766817;767718;765946;762086;756239;750031;746043;745725;748636;755098;762709;767653;767583;764082;752528;738553;724843;712704;701376;692355;684483;677183;667076;657327;653116;647816;642641;643676;639324;630756;628148;625088;619001;617589;617204;611285;605114;598688
40-44;584927;594445;602741;610714;619726;630587;643026;657050;671863;686170;699133;710713;720653;729113;736439;742817;748227;752892;756227;757359;755827;752214;746615;740641;736839;736658;739655;746162;753799;758786;758796;755400;744019;730235;716710;704740;693567;684671;676904;669708;659721;650088;645949;640720;635618;636673;632373;623891;621327;618307;612288
45-49;509014;522300;535265;547707;559341;570063;579825;588388;596624;605874;616927;629518;643653;658554;672948;686009;697702;707774;716383;723859;730394;735959;740774;744258;745556;744208;740792;735405;729636;726002;725937;728999;735518;743136;748132;748198;744906;733717;720169;706868;695099;684115;675365;667727;660653;650812;641327;637269;632131;627120;628181
50-54;422337;435607;449487;463678;477781;491520;504904;517984;530557;542335;553216;563160;571922;580353;589759;600921;613576;627719;642596;656972;670034;681750;691866;700537;708081;714687;720330;725230;728811;730236;729043;725817;720646;715096;711635;711674;714772;721255;728800;733760;733871;730687;719735;706474;693460;681941;671200;662633;655157;648235;638589
55-59;347420;356445;366694;378012;390104;402752;415988;429818;443956;458013;471720;485080;498151;510727;522526;533444;543445;552293;560816;570268;581411;593994;607999;622701;636901;649818;661420;671451;680073;687594;694197;699848;704765;708386;709897;708851;705814;700877;695569;692292;692417;695515;701897;709301;714166;714298;711225;700576;687691;675056;663872
60-64;292540;299507;305351;310838;317143;324964;334031;344232;355434;367366;379837;392863;406458;420345;434156;447631;460771;473635;486022;497658;508438;518325;527103;535560;544905;555855;568169;581828;596142;609960;622541;633856;643657;652103;659482;665970;671538;676392;679985;681541;680625;677786;673120;668097;665033;665235;668286;674482;681638;686333;686460
65-69;222681;229491;238216;247899;257116;265086;272091;278102;283798;290235;298034;306967;316920;327781;339315;351352;363907;376997;390353;403638;416600;429249;441642;453579;464796;475204;484758;493268;501474;510510;521049;532854;545901;559545;572711;584705;595509;604876;612971;620053;626288;631651;636336;639821;641369;640578;637967;633629;628970;626161;626431
70-74;176621;179963;181990;183760;186761;191771;198425;206731;215866;224585;232220;239016;244965;250647;256983;264499;273001;282384;292562;303340;314573;326272;338448;350868;363219;375264;387026;398562;409678;420128;429825;438735;446701;454395;462844;472662;483611;495672;508245;520368;531418;541377;550022;557512;564079;569869;574858;579221;582471;583937;583256
75-79;114012;118282;124220;130780;136589;141005;144390;146749;148915;152096;156904;163054;170554;178732;186547;193462;199684;205226;210561;216440;223294;230960;239349;248386;257932;267872;278214;288963;299923;310815;321437;331817;342007;351829;361062;369626;377502;384570;391409;398908;407594;417246;427831;438830;449420;459080;467786;475360;481928;487699;492791
80-84;78528;77764;77153;77190;78439;81062;84853;89839;95261;100111;103921;106979;109307;111518;114513;118731;123961;130207;136950;143398;149148;154369;159097;163685;168703;174459;180831;187746;195152;202956;211078;219522;228288;237219;246091;254740;263195;271502;279515;287047;294021;300438;306217;311826;317981;325094;332970;341558;350449;358984;366770
85-89;41480;44262;45623;46186;46359;46419;46520;46701;47273;48604;50793;53716;57393;61332;64879;67733;70104;72033;73915;76340;79583;83502;88092;93005;97689;101892;105745;109295;112770;116551;120829;125517;130559;135929;141573;147447;153551;159882;166327;172719;178950;185044;191043;196828;202263;207278;211894;216066;220135;224614;229785
90+;24857;23317;23389;24212;25280;26310;27311;28324;29288;30177;30992;31817;32699;33766;35197;37031;39231;41817;44579;47249;49704;52081;54436;56889;59630;62722;66133;69872;73801;77697;81472;85211;88968;92804;96812;101031;105451;110054;114859;119890;125140;130607;136273;142085;147951;153819;159711;165649;171531;177225;182668
Homens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;4332720;4360157;4389217;4417869;4446635;4476794;4504228;4530736;4559676;4588206;4616264;4643766;4670604;4696679;4721939;4746307;4769709;4792117;4813493;4833801;4853028;4871053;4887749;4903121;4917161;4929852;4941160;4951041;4959495;4966516;4972106;4976253;4978956;4980219;4980023;4978368;4975260;4970697;4964674;4957185;4948232;4937835;4926012;4912752;4898054;4881933;4864421;4845564;4825382;4803889;4781114
0-4;377368;372013;369589;366600;363696;364065;361622;356974;355462;353719;350396;349531;349223;346010;342670;339200;335601;331945;328298;324655;321060;317509;313954;310426;306957;303545;300210;296965;293796;290688;287639;284662;281778;278975;276238;273564;270958;268419;265924;263455;261008;258567;256136;253691;251225;248726;246196;243652;241097;238541;235986
05/set;399486;393286;388329;383986;379966;374494;369226;366881;363971;361139;361571;359195;354612;353154;351468;348198;347385;347130;343966;340676;337254;333702;330086;326471;322852;319274;315737;312192;308676;305218;301818;298492;295254;292095;288995;285950;282980;280101;277302;274576;271907;269307;266774;264285;261818;259373;256937;254509;252070;249605;247109
out/14;429335;426985;420342;412416;404687;397898;391757;386848;382549;378574;373149;367921;365614;362740;359941;360402;358059;353507;352074;350414;347176;346384;346147;343005;339735;336328;332785;329179;325572;321961;318390;314862;311327;307816;304366;300975;297656;294421;291265;288170;285131;282168;279293;276498;273774;271108;268510;265980;263494;261031;258591
15-19;413048;414616;418063;422093;424646;424476;422274;415798;408051;400496;393865;387876;383092;378917;375060;369749;364629;362418;359636;356925;357452;355172;350683;349302;347683;344488;343724;343507;340395;337155;333778;330260;326683;323104;319517;315969;312462;308950;305460;302027;298652;295350;292132;288993;285914;282886;279935;277072;274287;271574;268919
20-24;408323;405781;402532;399368;397542;397737;399663;403435;407769;410631;410796;408943;402851;395495;388318;382042;376389;371907;368022;364440;359410;354540;352511;349872;347275;347868;345658;341252;339930;338369;335241;334520;334334;331277;328089;324765;321294;317764;314230;310682;307176;303709;300236;296781;293384;290041;286772;283580;280469;277418;274416
25-29;384161;386228;387970;389109;389209;388057;386045;383321;380661;379301;379917;382229;386349;391016;394222;394757;393291;387625;380692;373920;368026;362722;358529;354881;351485;346603;341851;339905;337349;334829;335466;333323;328999;327728;326215;323144;322464;322308;319301;316164;312886;309462;305976;302489;298985;295525;292095;288661;285242;281881;278572
30-34;349403;354720;359207;362963;366209;369055;371480;373580;375079;375542;374759;373117;370758;368445;367406;368303;370863;375201;380071;383492;384263;383039;377635;370945;364377;358639;353460;349377;345827;342520;337734;333071;331187;328694;326234;326900;324806;320545;319310;317836;314814;314162;314025;311057;307960;304723;301340;297895;294446;290980;287554
35-39;305647;311640;318442;325638;332568;338802;344340;349057;353051;356534;359621;362281;364615;366344;367043;366499;365098;362978;360893;360053;361116;363811;368246;373193;376692;377547;376419;371150;364602;358168;352551;347481;343485;340015;336779;332079;327495;325660;323219;320809;321493;319438;315236;314036;312594;309616;308984;308857;305928;302868;299671
40-44;274866;279326;283257;287097;291498;296848;302993;309928;317243;324295;330663;336344;341210;345365;349008;352258;355072;357558;359438;360296;359917;358686;356733;354802;354086;355239;357989;362450;367413;370938;371847;370794;365645;359230;352925;347420;342454;338542;335145;331979;327362;322855;321068;318677;316316;317015;314997;310854;309683;308269;305338
45-49;237047;243125;249051;254753;260128;265150;269785;273904;277927;282498;287981;294234;301250;308629;315748;322189;327955;332919;337182;340934;344297;347217;349807;351791;352760;352505;351406;349594;347794;347184;348405;351186;355645;360587;364113;365055;364067;359041;352778;346620;341243;336399;332582;329265;326178;321656;317243;315507;313175;310873;311575
50-54;193601;200015;206595;213223;219754;226090;232245;238257;244059;249540;254677;259440;263695;267850;272527;278084;284380;291407;298779;305892;312338;318129;323129;327438;331240;334655;337629;340275;342323;343373;343217;342234;340549;338873;338354;339622;342408;346828;351706;355196;356156;355226;350346;344261;338279;333055;328355;324645;321424;318427;314023
55-59;154822;158963;163987;169696;175766;181975;188357;194904;201502;208010;214333;220481;226495;232311;237811;242975;247777;252083;256291;260993;266536;272783;279722;286984;293987;300344;306064;311013;315292;319081;322492;325469;328121;330187;331284;331209;330328;328771;327223;326790;328080;330838;335164;339927;343333;344284;343406;338701;332839;327083;322057
60-64;130311;132921;134837;136566;138863;142169;146324;151290;156890;162826;168901;175134;181529;187967;194325;200508;206524;212414;218115;223514;228589;233312;237567;241725;246352;251764;257837;264553;271569;278329;284475;290014;294817;298982;302675;306005;308920;311522;313556;314664;314652;313868;312446;311033;310686;311976;314656;318822;323388;326648;327562
65-69;96898;99863;103737;108011;111954;115185;117847;119906;121803;124209;127512;131576;136362;141714;147373;153158;159087;165170;171289;177331;183208;188937;194550;199986;205138;209988;214506;218592;222584;227010;232158;237910;244245;250846;257204;262987;268208;272739;276683;280185;283350;286126;288605;290553;291630;291666;290985;289711;288459;288196;289454
70-74;74657;75852;76532;77165;78388;80511;83375;86998;90956;94626;97692;100277;102357;104308;106697;109853;113661;118084;122990;128164;133448;138857;144401;149982;155491;160847;166073;171200;176169;180882;185317;189452;193206;196882;200943;205645;210875;216614;222572;228306;233524;238238;242335;245911;249095;251976;254508;256771;258548;259545;259608
75-79;46682;48155;50362;52844;55025;56653;57890;58752;59587;60890;62887;65462;68634;72067;75258;77962;80282;82206;84038;86228;89038;92373;96202;100413;104845;109368;113995;118733;123501;128203;132777;137242;141629;145884;149919;153715;157256;160482;163649;167142;171175;175641;180520;185565;190412;194826;198813;202286;205323;208033;210488
80-84;31658;30988;30405;30118;30352;31157;32448;34232;36197;37944;39304;40396;41241;42079;43260;44935;47020;49535;52229;54733;56876;58736;60320;61849;63651;65912;68560;71567;74851;78297;81813;85408;89087;92785;96432;99977;103439;106846;110152;113288;116232;118981;121494;123968;126702;129851;133328;137103;140989;144712;148099
85-89;16571;17429;17692;17642;17460;17260;17093;16966;17005;17345;18011;18959;20192;21523;22712;23662;24454;25115;25782;26675;27871;29323;31038;32860;34544;35990;37259;38369;39456;40729;42299;44115;46155;48368;50681;53040;55452;57918;60396;62834;65204;67519;69803;72022;74123;76089;77924;79610;81278;83131;85265
90+;8836;8251;8288;8581;8924;9212;9464;9705;9914;10087;10229;10370;10525;10745;11092;11573;12182;12915;13708;14466;15153;15821;16489;17196;18011;18948;19998;21168;22396;23582;24689;25758;26810;27891;29060;30347;31738;33226;34803;36462;38187;39981;41841;43740;45646;47541;49437;51348;53243;55074;56827
Mulheres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
