Mato Grosso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;4041732;2028367;2013365;52983;29117;0.69;13.11;7.2;77.95;74.89;81.33;11.35;12.49;10.17;1.96;30.27;19.1;49.37;63.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;4068689;2040729;2027960;52838;29856;0.67;12.99;7.34;78.1;75.04;81.47;11.16;12.28;9.98;1.95;29.98;19.73;49.7;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;4094768;2052660;2042108;52721;30609;0.64;12.88;7.48;78.24;75.19;81.6;10.97;12.08;9.8;1.94;29.71;20.35;50.05;68.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;4119984;2064168;2055816;52630;31376;0.62;12.77;7.62;78.38;75.33;81.73;10.79;11.88;9.63;1.94;29.46;20.98;50.44;70.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;4144322;2075248;2069074;52515;32157;0.59;12.67;7.76;78.51;75.47;81.85;10.61;11.7;9.46;1.93;29.24;21.62;50.86;73.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;4167749;2085887;2081862;52381;32950;0.57;12.57;7.91;78.64;75.6;81.97;10.44;11.52;9.31;1.93;29.05;22.29;51.34;76.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;4190263;2096085;2094178;52277;33746;0.54;12.48;8.05;78.77;75.73;82.09;10.28;11.35;9.15;1.92;28.88;22.98;51.87;79.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;4211891;2105857;2106034;52217;34558;0.52;12.4;8.2;78.89;75.85;82.2;10.12;11.18;9.01;1.91;28.75;23.7;52.45;82.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;4232637;2115207;2117430;52141;35374;0.49;12.32;8.36;79.01;75.97;82.31;9.97;11.02;8.87;1.91;28.64;24.44;53.08;85.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;4252454;2124115;2128339;52001;36202;0.47;12.23;8.51;79.12;76.09;82.41;9.83;10.87;8.73;1.9;28.55;25.18;53.73;88.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;4271287;2132555;2138732;51825;37024;0.44;12.13;8.67;79.24;76.21;82.52;9.69;10.72;8.6;1.89;28.47;25.93;54.41;91.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;4289144;2140532;2148612;51698;37853;0.42;12.05;8.83;79.34;76.32;82.62;9.56;10.58;8.48;1.89;28.41;26.69;55.1;93.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;4306064;2148070;2157994;51601;38672;0.39;11.98;8.98;79.45;76.42;82.71;9.43;10.44;8.36;1.88;28.37;27.46;55.82;96.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;4322044;2155169;2166875;51458;39492;0.37;11.91;9.14;79.55;76.53;82.8;9.3;10.31;8.25;1.88;28.34;28.22;56.56;99.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;4337023;2161797;2175226;51237;40311;0.35;11.81;9.29;79.65;76.63;82.89;9.19;10.18;8.14;1.87;28.31;28.98;57.29;102.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;4350948;2167929;2183019;50983;41124;0.32;11.72;9.45;79.74;76.72;82.98;9.07;10.06;8.03;1.86;28.28;29.72;58;105.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;4363850;2173583;2190267;50800;41922;0.3;11.64;9.61;79.83;76.82;83.06;8.96;9.94;7.93;1.86;28.25;30.44;58.69;107.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;4375775;2178784;2196991;50621;42715;0.27;11.57;9.76;79.92;76.91;83.14;8.86;9.83;7.84;1.85;28.22;31.13;59.36;110.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;4386699;2183519;2203180;50370;43495;0.25;11.48;9.92;80;77;83.22;8.76;9.72;7.74;1.84;28.19;31.8;59.99;113.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;4396571;2187763;2208808;50062;44260;0.23;11.39;10.07;80.09;77.08;83.3;8.66;9.62;7.66;1.84;28.16;32.45;60.61;115.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;4405356;2191498;2213858;49715;45014;0.2;11.29;10.22;80.17;77.16;83.37;8.56;9.52;7.57;1.83;28.12;33.08;61.2;117.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;4413076;2194736;2218340;49418;45746;0.18;11.2;10.37;80.25;77.24;83.44;8.48;9.42;7.49;1.83;28.07;33.69;61.75;119.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;4419781;2197503;2222278;49130;46458;0.15;11.12;10.51;80.32;77.32;83.51;8.39;9.33;7.41;1.82;28.01;34.26;62.27;121.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;4425472;2199798;2225674;48801;47157;0.13;11.03;10.66;80.39;77.4;83.58;8.31;9.24;7.34;1.81;27.94;34.8;62.74;124.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;4430140;2201617;2228523;48465;47839;0.11;10.94;10.8;80.46;77.47;83.64;8.23;9.15;7.27;1.81;27.87;35.31;63.18;126.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;4433798;2202964;2230834;48126;48501;0.08;10.85;10.94;80.53;77.54;83.7;8.16;9.07;7.2;1.8;27.78;35.8;63.59;128.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;3106513;3145830;3185148;3226030;3269448;3314540;3356979;3398791;3441998;3484466;3526220;3567234;3607400;3646630;3684919;3722274;3758643;3793963;3828225;3861489;3893821;3925227;3955688;3985234;4013910;4041732;4068689;4094768;4119984;4144322;4167749;4190263;4211891;4232637;4252454;4271287;4289144;4306064;4322044;4337023;4350948;4363850;4375775;4386699;4396571;4405356;4413076;4419781;4425472;4430140;4433798
0-4;266608;261679;259644;260160;262740;268296;273492;278139;282700;284071;283130;284173;285079;283746;282296;280712;278975;277126;275250;273417;271683;270070;268590;267284;266131;265079;264145;263373;262741;262180;261637;261113;260633;260192;259740;259254;258732;258178;257573;256894;256131;255303;254404;253412;252318;251136;249849;248449;246958;245411;243855
05/set;269588;271528;272085;271707;271088;267730;262805;260762;261258;263809;269338;274517;279147;283687;285044;284090;285115;286010;284662;283199;281604;279850;277993;276110;274275;272546;270945;269477;268180;267039;265996;265065;264305;263678;263124;262588;262071;261600;261164;260716;260238;259720;259171;258570;257899;257139;256319;255426;254437;253347;252166
out/14;285290;281367;276301;271835;269146;269213;271163;271727;271355;270750;267403;262493;260460;260964;263519;269046;274226;278854;283396;284759;283809;284842;285741;284399;282942;281353;279608;277759;275882;274054;272329;270737;269275;267983;266846;265808;264883;264126;263502;262951;262421;261910;261440;261005;260561;260088;259572;259025;258426;257758;257002
15-19;288108;287710;287539;287265;286391;284630;280729;275701;271273;268611;268705;270664;271235;270871;270276;266956;262071;260053;260566;263124;268651;273823;278443;282982;284354;283427;284466;285372;284046;282602;281030;279301;277467;275603;273791;272079;270500;269048;267768;266641;265613;264698;263952;263335;262787;262268;261764;261300;260872;260434;259968
20-24;289771;290159;290277;290188;289933;289534;289134;288948;288663;287782;286015;282125;277113;272699;270041;270116;272046;272585;272190;271574;268245;263369;261358;261875;264445;269968;275141;279757;284295;285684;284785;285840;286762;285461;284042;282495;280791;278981;277143;275358;273667;272106;270672;269413;268305;267291;266391;265659;265057;264524;264015
25-29;287890;290303;291848;292746;293344;293864;294204;294281;294147;293845;293399;292947;292706;292363;291426;289613;285686;280648;276206;273497;273502;275361;275857;275449;274837;271550;266732;264761;265304;267881;273396;278567;283181;287723;289128;288255;289327;290266;288990;287599;286079;284400;282619;280807;279045;277376;275838;274427;273183;272090;271097
30-34;269150;274247;278939;283148;286808;289892;292272;293787;294665;295241;295743;296064;296120;295970;295651;295184;294708;294438;294065;293103;291266;287337;282317;277898;275214;275247;277126;277650;277275;276700;273460;268699;266766;267330;269918;275429;280593;285202;289740;291161;290319;291406;292358;291105;289741;288244;286588;284832;283045;281309;279659
35-39;238568;243960;250024;256413;262565;268115;273189;277866;282061;285720;288797;291182;292715;293610;294208;294733;295077;295154;295027;294726;294286;293829;293576;293233;292310;290521;286660;281716;277364;274738;274809;276704;277253;276910;276366;273175;268471;266577;267164;269759;275253;280411;285015;289544;290974;290162;291262;292224;290996;289655;288185
40-44;216142;220179;223813;227378;231382;236118;241494;247531;253892;260013;265548;270608;275273;279468;283128;286213;288618;290182;291108;291745;292301;292679;292801;292717;292466;292076;291672;291463;291166;290287;288554;284767;279904;275626;273064;273173;275084;275653;275336;274824;271690;267048;265192;265801;268405;273880;279017;283603;288117;289556;288772
45-49;187025;192628;197965;203002;207704;212076;216118;219766;223344;227356;232085;237441;243449;249768;255857;261367;266410;271065;275261;278926;282023;284454;286054;287024;287710;288321;288753;288932;288907;288715;288384;288035;287874;287627;286798;285130;281424;276660;272477;269988;270141;272065;272654;272365;271886;268818;264255;262445;263076;265687;271130
50-54;150713;157142;163587;169950;176086;181913;187455;192743;197739;202413;206765;210796;214445;218029;222032;226741;232056;238011;244265;250295;255760;260766;265393;269577;273234;276338;278788;280421;281442;282182;282844;283334;283572;283609;283481;283210;282923;282814;282618;281845;280248;276644;272003;267935;265540;265735;267669;268272;268011;267568;264586
55-59;114898;120621;126523;132573;138736;144965;151241;157538;163761;169764;175476;180918;186121;191041;195657;199958;203956;207578;211145;215115;219769;225011;230875;237024;242958;248344;253281;257857;261995;265627;268716;271168;272830;273895;274688;275403;275949;276248;276348;276286;276080;275861;275807;275665;274954;273446;269968;265482;261562;259278;259528
60-64;84516;88740;93246;98020;103059;108345;113842;119513;125334;131269;137271;143324;149405;155418;161230;166765;172049;177114;181910;186423;190632;194557;198119;201634;205540;210097;215220;220933;226916;232688;237939;242756;247227;251278;254842;257885;260314;261983;263083;263924;264690;265289;265648;265815;265824;265693;265542;265548;265463;264826;263420
65-69;61260;63954;66891;70083;73533;77249;81226;85471;89968;94714;99697;104883;110229;115729;121338;127019;132754;138521;144229;149753;155031;160073;164919;169521;173858;177913;181704;185160;188572;192356;196750;201674;207150;212871;218393;223419;228042;232339;236240;239682;242630;244999;246653;247774;248650;249456;250106;250527;250762;250845;250793
70-74;43725;45484;47215;49011;50991;53229;55701;58390;61309;64465;67859;71490;75364;79470;83803;88357;93094;97981;103017;108162;113372;118644;123950;129209;134305;139185;143857;148362;152654;156705;160507;164066;167327;170558;174127;178255;182860;187965;193283;198410;203087;207394;211409;215063;218297;221073;223319;224915;226030;226921;227752
