Espírito Santo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;4607514;2264360;2343154;52345;33203;0.61;11.36;7.21;81.71;78.35;85.13;5.57;6.34;4.77;1.77;27.31;24.41;51.72;89.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;4634293;2277281;2357012;52103;34149;0.58;11.24;7.37;81.79;78.46;85.2;5.52;6.27;4.74;1.76;27.03;25.01;52.04;92.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;4659887;2289626;2370261;51887;35114;0.55;11.13;7.54;81.87;78.56;85.26;5.47;6.2;4.71;1.76;26.77;25.59;52.36;95.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;4684303;2301399;2382904;51699;36102;0.52;11.04;7.71;81.95;78.66;85.32;5.42;6.14;4.68;1.76;26.53;26.17;52.69;98.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;4707537;2312602;2394935;51520;37113;0.5;10.94;7.88;82.02;78.75;85.37;5.38;6.08;4.66;1.75;26.31;26.77;53.09;101.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;4729583;2323234;2406349;51362;38138;0.47;10.86;8.06;82.08;78.83;85.42;5.35;6.02;4.64;1.75;26.13;27.43;53.56;105.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;4750444;2333297;2417147;51203;39169;0.44;10.78;8.25;82.15;78.91;85.46;5.31;5.97;4.62;1.74;25.97;28.14;54.11;108.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;4770126;2342798;2427328;51079;40212;0.41;10.71;8.43;82.2;78.99;85.5;5.28;5.92;4.6;1.74;25.84;28.89;54.74;111.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;4788638;2351746;2436892;50951;41255;0.39;10.64;8.62;82.25;79.05;85.54;5.25;5.88;4.59;1.74;25.75;29.69;55.44;115.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;4805975;2360139;2445836;50816;42300;0.36;10.57;8.8;82.3;79.12;85.58;5.22;5.84;4.57;1.73;25.67;30.51;56.18;118.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;4822145;2367981;2454164;50691;43329;0.34;10.51;8.99;82.34;79.18;85.61;5.19;5.8;4.56;1.73;25.61;31.35;56.96;122.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;4837165;2375282;2461883;50561;44344;0.31;10.45;9.17;82.39;79.24;85.64;5.17;5.76;4.55;1.72;25.57;32.2;57.76;125.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;4851048;2382049;2468999;50441;45354;0.29;10.4;9.35;82.43;79.29;85.67;5.15;5.73;4.54;1.72;25.54;33.06;58.6;129.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;4863795;2388281;2475514;50293;46348;0.26;10.34;9.53;82.47;79.34;85.69;5.12;5.69;4.53;1.72;25.53;33.93;59.46;133.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;4875392;2393968;2481424;50113;47327;0.24;10.28;9.71;82.5;79.38;85.72;5.11;5.66;4.53;1.71;25.53;34.8;60.33;136.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;4885838;2399109;2486729;49921;48278;0.21;10.22;9.88;82.53;79.42;85.74;5.09;5.63;4.52;1.71;25.53;35.67;61.2;139.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;4895145;2403710;2491435;49731;49223;0.19;10.16;10.06;82.56;79.46;85.76;5.07;5.61;4.52;1.71;25.54;36.52;62.06;142.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;4903325;2407774;2495551;49532;50142;0.17;10.1;10.23;82.59;79.5;85.78;5.06;5.58;4.51;1.7;25.56;37.36;62.91;145.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;4910373;2411295;2499078;49286;51041;0.14;10.04;10.39;82.61;79.54;85.8;5.04;5.55;4.51;1.7;25.57;38.17;63.74;149.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;4916268;2414260;2502008;49009;51926;0.12;9.97;10.56;82.64;79.57;85.81;5.03;5.53;4.5;1.69;25.58;38.93;64.51;152.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;4921002;2416663;2504339;48715;52792;0.1;9.9;10.73;82.66;79.6;85.83;5.02;5.51;4.5;1.69;25.58;39.63;65.21;154.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;4924594;2418513;2506081;48438;53640;0.07;9.84;10.89;82.68;79.63;85.84;5.01;5.49;4.5;1.69;25.56;40.26;65.83;157.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;4927071;2419821;2507250;48158;54465;0.05;9.77;11.05;82.7;79.65;85.85;4.99;5.47;4.49;1.68;25.54;40.82;66.35;159.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;4928430;2420584;2507846;47843;55280;0.03;9.71;11.22;82.71;79.68;85.86;4.98;5.45;4.49;1.68;25.5;41.32;66.82;162.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;4928667;2420799;2507868;47520;56071;0;9.64;11.38;82.73;79.7;85.88;4.97;5.43;4.49;1.67;25.46;41.8;67.26;164.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;4927795;2420471;2507324;47196;56853;-0.02;9.58;11.54;82.74;79.72;85.89;4.96;5.42;4.49;1.67;25.42;42.29;67.71;165.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;3596057;3642595;3689347;3736386;3784361;3832826;3879376;3925341;3972388;4018650;4064052;4108508;4151923;4194227;4235381;4275342;4314082;4351575;4387799;4422761;4456460;4488951;4520294;4550497;4579573;4607514;4634293;4659887;4684303;4707537;4729583;4750444;4770126;4788638;4805975;4822145;4837165;4851048;4863795;4875392;4885838;4895145;4903325;4910373;4916268;4921002;4924594;4927071;4928430;4928667;4927795
0-4;266530;267213;269541;272051;275659;280416;282699;284302;286822;287749;287450;288253;288742;287180;285396;283432;281343;279209;277084;275005;273020;271130;269337;267659;266102;264656;263318;262090;260961;259906;258909;257986;257153;256388;255678;255002;254358;253729;253092;252423;251698;250907;250046;249097;248052;246909;245668;244345;242949;241492;240002
05/set;284633;279884;276223;273547;271499;270073;270713;272991;275454;279013;283719;285957;287509;289976;290854;290503;291257;291694;290081;288246;286230;284095;281926;279781;277693;275711;273828;272044;270371;268818;267377;266048;264819;263696;262645;261654;260733;259903;259139;258431;257756;257116;256494;255859;255192;254466;253680;252820;251870;250828;249683
out/14;306257;305068;301139;296585;292267;288200;283410;279710;276990;274895;273424;274010;276237;278646;282147;286798;288980;290481;292887;293710;293304;294009;294406;292765;290916;288899;286772;284606;282468;280386;278410;276529;274750;273082;271527;270089;268762;267537;266419;265368;264383;263462;262630;261870;261160;260490;259853;259233;258597;257932;257207
15-19;305468;304946;306301;308536;309999;309667;308458;304516;299951;295617;291528;286722;282993;280238;278110;276601;277136;279306;281662;285104;289692;291821;293284;295670;296489;296095;296809;297215;295591;293757;291755;289639;287488;285362;283292;281324;279456;277682;276024;274479;273047;271729;270513;269397;268354;267370;266452;265623;264870;264163;263497
20-24;327424;324993;320993;316370;312565;310432;309896;311219;313403;314823;314454;313203;309235;304645;300279;296148;291309;287526;284711;282519;280941;281407;283527;285849;289279;293863;296009;297491;299887;300724;300352;301083;301503;299900;298085;296105;294007;291878;289771;287716;285767;283913;282151;280508;278971;277552;276244;275038;273928;272896;271920
25-29;326849;330118;332643;334221;334527;333453;331014;327012;322387;318559;316385;315794;317041;319140;320476;320032;318703;314672;310020;305585;301377;296475;292648;289813;287617;286061;286550;288686;291021;294458;299042;301199;302695;305096;305947;305593;306332;306763;305175;303382;301419;299337;297223;295132;293095;291159;289315;287565;285935;284405;282997
