Minas Gerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;22261758;10927899;11333859;195517;243876;-0.21;8.78;10.95;81.69;78.94;84.51;5;5.39;4.58;1.57;22.45;36.84;59.3;163.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;22208509;10900470;11308039;194049;247873;-0.24;8.74;11.16;81.76;79;84.58;4.95;5.35;4.54;1.57;22.41;37.84;60.25;168.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;22149820;10870416;11279404;192523;251762;-0.26;8.69;11.37;81.82;79.06;84.65;4.91;5.31;4.5;1.57;22.39;38.84;61.23;173.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;22085730;10837764;11247966;190906;255531;-0.29;8.64;11.57;81.88;79.11;84.71;4.88;5.27;4.46;1.57;22.37;39.84;62.22;178.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;22016308;10802550;11213758;189287;259189;-0.31;8.6;11.77;81.93;79.16;84.77;4.84;5.24;4.43;1.56;22.38;40.85;63.22;182.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;21941633;10764809;11176824;187606;262738;-0.34;8.55;11.97;81.98;79.21;84.83;4.81;5.2;4.4;1.56;22.39;41.84;64.23;187.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;21861733;10724550;11137183;185790;266142;-0.36;8.5;12.17;82.03;79.26;84.89;4.78;5.18;4.37;1.56;22.41;42.83;65.24;190.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;21776623;10681767;11094856;183873;269424;-0.39;8.44;12.37;82.08;79.3;84.94;4.75;5.15;4.34;1.56;22.44;43.82;66.26;195.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;21686312;10636452;11049860;181841;272597;-0.41;8.39;12.57;82.12;79.34;84.99;4.73;5.12;4.32;1.56;22.47;44.79;67.26;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;21590896;10588645;11002251;179847;275606;-0.44;8.33;12.76;82.17;79.38;85.04;4.71;5.1;4.3;1.56;22.51;45.75;68.26;202.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;21490522;10538415;10952107;177814;278486;-0.46;8.27;12.96;82.21;79.42;85.09;4.68;5.08;4.28;1.55;22.55;46.69;69.24;207.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;21385216;10485761;10899455;175661;281283;-0.49;8.21;13.15;82.25;79.45;85.14;4.66;5.06;4.26;1.55;22.59;47.62;70.2;210.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;21275013;10430698;10844315;173486;283955;-0.52;8.15;13.35;82.29;79.49;85.18;4.65;5.04;4.24;1.55;22.62;48.55;71.17;215.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;21160005;10373273;10786732;171292;286523;-0.54;8.1;13.54;82.32;79.52;85.22;4.63;5.03;4.22;1.55;22.66;49.49;72.15;217.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
