Piauí;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;3322946;1582232;1740714;39021;32059;-0.1;11.74;9.65;74.1;69.49;78.75;12.08;12.53;11.59;1.7;28.05;19.72;47.77;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;3318653;1578486;1740167;38394;32475;-0.13;11.57;9.79;74.24;69.62;78.89;11.87;12.32;11.39;1.7;27.74;20.24;47.98;73.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;3313336;1574269;1739067;37812;32898;-0.16;11.41;9.93;74.37;69.76;79.02;11.67;12.12;11.19;1.7;27.42;20.76;48.18;75.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;3307039;1569606;1737433;37294;33333;-0.19;11.28;10.08;74.5;69.89;79.16;11.48;11.93;11.01;1.7;27.11;21.3;48.41;78.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;3299804;1564522;1735282;36793;33757;-0.22;11.15;10.23;74.65;70.02;79.29;11.3;11.75;10.83;1.7;26.82;21.88;48.7;81.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;3291628;1559016;1732612;36277;34199;-0.25;11.02;10.39;74.77;70.15;79.41;11.14;11.59;10.66;1.7;26.56;22.54;49.09;84.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;3282479;1553074;1729405;35721;34631;-0.28;10.88;10.55;74.9;70.28;79.54;10.98;11.43;10.51;1.7;26.32;23.26;49.57;88.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;3272365;1546702;1725663;35219;35068;-0.31;10.76;10.72;75.03;70.41;79.66;10.83;11.27;10.36;1.7;26.1;24.04;50.14;91.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;3261348;1539933;1721415;34784;35502;-0.34;10.67;10.89;75.15;70.54;79.77;10.69;11.13;10.21;1.7;25.91;24.88;50.8;95.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;3249476;1532793;1716683;34375;35934;-0.36;10.58;11.06;75.28;70.67;79.89;10.55;10.99;10.08;1.7;25.75;25.77;51.51;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;3236752;1525287;1711465;33943;36364;-0.39;10.49;11.23;75.4;70.79;80;10.42;10.87;9.95;1.7;25.6;26.67;52.28;104.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;3223152;1517402;1705750;33484;36794;-0.42;10.39;11.42;75.52;70.92;80.11;10.3;10.74;9.83;1.69;25.47;27.6;53.07;108.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;3208684;1509144;1699540;33058;37216;-0.45;10.3;11.6;75.64;71.05;80.21;10.18;10.63;9.72;1.69;25.36;28.53;53.88;112.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;3193390;1500538;1692852;32675;37635;-0.48;10.23;11.79;75.76;71.18;80.31;10.07;10.52;9.61;1.69;25.26;29.46;54.72;116.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
