Maranhão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;7622718;3702094;3920624;95141;63918;0.11;12.48;8.39;75.86;72.33;79.41;10.93;11.67;10.15;1.81;29.19;17.87;47.05;61.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;7628776;3703323;3925453;94042;64846;0.08;12.33;8.5;76.02;72.49;79.55;10.82;11.55;10.05;1.81;28.87;18.46;47.33;63.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;7632854;3703614;3929240;93067;65805;0.05;12.19;8.62;76.17;72.66;79.69;10.72;11.45;9.96;1.81;28.58;19.11;47.69;66.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;7634936;3702960;3931976;92004;66799;0.03;12.05;8.75;76.31;72.82;79.82;10.63;11.35;9.87;1.8;28.31;19.82;48.13;70.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;7634954;3701323;3933631;90952;67818;0;11.91;8.88;76.46;72.97;79.94;10.54;11.26;9.79;1.8;28.07;20.58;48.65;73.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;7632911;3698706;3934205;89934;68851;-0.03;11.78;9.02;76.6;73.12;80.06;10.47;11.18;9.72;1.8;27.86;21.38;49.24;76.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;7628807;3695111;3933696;88913;69901;-0.05;11.65;9.16;76.73;73.27;80.18;10.4;11.11;9.66;1.8;27.67;22.24;49.9;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;7622680;3690556;3932124;88001;70964;-0.08;11.54;9.31;76.86;73.41;80.3;10.34;11.04;9.6;1.8;27.5;23.13;50.63;84.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;7614564;3685059;3929505;87090;72055;-0.11;11.44;9.46;76.99;73.55;80.41;10.28;10.98;9.55;1.8;27.35;24.05;51.4;87.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;7604438;3678609;3925829;86196;73180;-0.13;11.33;9.62;77.11;73.68;80.52;10.23;10.93;9.5;1.8;27.22;25.01;52.22;91.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;7592288;3671196;3921092;85308;74320;-0.16;11.24;9.79;77.23;73.81;80.62;10.19;10.88;9.46;1.8;27.1;25.98;53.08;96.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;7578099;3662813;3915286;84403;75463;-0.19;11.14;9.96;77.34;73.94;80.72;10.15;10.84;9.42;1.8;27;26.96;53.96;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;7561887;3653473;3908414;83551;76611;-0.21;11.05;10.13;77.45;74.06;80.82;10.11;10.8;9.38;1.8;26.91;27.95;54.86;103.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;7543659;3643180;3900479;82699;77791;-0.24;10.96;10.31;77.56;74.18;80.91;10.07;10.76;9.35;1.8;26.84;28.93;55.76;108.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;7523382;3631921;3891461;81823;78983;-0.27;10.88;10.5;77.67;74.29;81;10.04;10.73;9.32;1.8;26.76;29.89;56.65;111.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;7501013;3619677;3881336;80914;80188;-0.3;10.79;10.69;77.76;74.41;81.09;10.01;10.7;9.29;1.8;26.7;30.82;57.51;115.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;7476542;3606446;3870096;80004;81368;-0.33;10.7;10.88;77.86;74.52;81.17;9.99;10.68;9.27;1.8;26.63;31.72;58.35;119.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;7449981;3592240;3857741;79097;82551;-0.36;10.62;11.08;77.96;74.62;81.25;9.97;10.65;9.25;1.8;26.57;32.61;59.18;122.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;7421317;3577051;3844266;78164;83734;-0.38;10.53;11.28;78.05;74.72;81.33;9.95;10.63;9.23;1.8;26.52;33.49;60.01;125.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;7390534;3560873;3829661;77217;84910;-0.41;10.45;11.49;78.14;74.82;81.41;9.93;10.61;9.21;1.8;26.48;34.4;60.89;129.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;7357617;3543701;3813916;76252;86088;-0.45;10.36;11.7;78.22;74.92;81.48;9.91;10.59;9.19;1.8;26.46;35.37;61.83;133.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;6710964;6757213;6798830;6836179;6875302;6916244;6955099;6994148;7035055;7075181;7114598;7153262;7191041;7227850;7263617;7298196;7331577;7363722;7394457;7423684;7451435;7477496;7501621;7523757;7543859;7561948;7578056;7592237;7604454;7614618;7622718;7628776;7632854;7634936;7634954;7632911;7628807;7622680;7614564;7604438;7592288;7578099;7561887;7543659;7523382;7501013;7476542;7449981;7421317;7390534;7357617
0-4;676810;657305;637117;615848;603329;597566;589382;586058;588944;589381;587403;586846;585310;581049;576627;571826;566681;561293;555564;549472;543195;536780;530273;523806;517433;511155;504974;498927;493025;487244;481555;475939;470413;464993;459700;454540;449479;444481;439584;434838;430236;425745;421340;416995;412681;408364;404031;399670;395238;390728;386156
05/set;696858;700966;706892;700896;685541;665960;646718;626801;605783;593482;587909;579928;576790;579848;580462;578658;578276;576914;572831;568585;563966;558980;553722;548096;542084;535853;529474;522999;516574;510230;503987;497837;491816;485943;480188;474526;468931;463427;458032;452761;447620;442578;437602;432718;427989;423404;418931;414539;410207;405908;401605
out/14;734880;724435;706042;695649;689135;684843;689134;695238;689448;674316;654966;635950;616261;595472;583380;578002;570222;567276;570511;571310;569685;569470;568240;564259;560082;555500;550537;545306;539699;533714;527501;521148;514696;508292;501970;495745;489616;483613;477753;472018;466372;460792;455301;449921;444664;439537;434506;429542;424671;419954;415380
15-19;691523;694700;701164;708674;713625;713869;703783;685785;675780;669646;665719;670322;676706;671253;656492;637533;618910;599616;579225;567493;562456;554984;552258;555625;556511;554943;554757;553558;549617;545479;540939;536015;530822;525255;519311;513133;506820;500406;494042;487750;481553;475461;469491;463660;457951;452331;446775;441309;435955;430722;425616
20-24;665689;661222;655729;650548;647756;648513;652337;659423;667534;673106;674011;664661;647468;638233;632846;629641;634874;641837;637074;623065;604891;586981;568261;548327;536877;531983;524631;521986;525390;526327;524824;524691;523547;519678;515613;511147;506292;501172;495673;489805;483697;477453;471107;464806;458580;452447;446411;440496;434722;429065;423491
25-29;603261;610230;615201;617988;618381;616321;612698;608053;603716;601734;603246;607787;615549;624322;630580;632226;623730;607487;599123;594566;592148;598021;605475;601217;587676;569870;552248;533812;514166;502918;498160;490960;488422;491871;492868;491448;491385;490312;486540;482567;478199;473437;468411;463006;457231;451215;445064;438808;432593;426450;420398
30-34;507358;523010;537487;550503;561786;571148;578521;583935;587200;588105;586595;583542;579473;575699;574247;576227;581199;589343;598485;605148;607263;599336;583702;575777;571534;569318;575236;582720;578627;565342;547834;530497;512348;492992;481941;477312;470255;467816;471302;472358;471017;471020;470021;466344;462463;458185;453517;448581;443266;437586;431662
35-39;408851;421740;437156;454223;471522;488079;503771;518311;531431;542850;552389;559971;565628;569172;570385;569223;566531;562831;559422;558295;560544;565732;574027;583275;590041;592274;584572;569247;561541;557475;555398;561356;568850;564898;551855;534626;517565;499687;480613;469754;465242;458326;455972;459488;460591;459323;459380;458442;454848;451048;446857
40-44;360370;366356;371493;376896;384250;394542;407386;422710;439652;456840;473307;488936;503450;516575;528039;537662;545364;551183;554918;556360;555470;553062;549646;546498;545575;547948;553201;561507;570750;577541;579864;572387;557393;549930;546055;544130;550114;557591;553785;540998;524072;507320;489750;470987;460340;455957;449197;446936;450466;451616;450423
45-49;309468;316861;324562;332273;339534;346160;352183;357389;362873;370253;380504;393242;408397;425135;442120;458415;473907;488315;501374;512818;522465;530243;536163;540039;541659;540985;538810;535646;532735;532004;534495;539800;548098;557309;564105;566512;559282;544677;537496;533845;532101;538094;545518;541869;529387;512828;496454;479266;460896;450507;446275
50-54;260467;266525;273049;279940;287022;294177;301495;309117;316754;323964;330568;336599;341855;347389;354757;364907;377463;392355;408782;425455;441475;456719;470923;483815;495146;504731;512505;518474;522454;524242;523793;521889;519013;516373;515853;518466;523811;532059;541191;547957;550433;543496;529375;522546;519160;517624;523600;530920;527452;515347;499261
55-59;219023;223794;228309;232811;237678;243143;249103;255508;262263;269209;276235;283425;290909;298417;305526;312062;318059;323328;328877;336184;346152;358420;372911;388867;405058;420638;435481;449339;461951;473065;482516;490228;496207;500283;502242;502042;500436;497894;495572;495290;498021;503371;511510;520487;527174;529704;523121;509609;503212;500157;498871
60-64;174685;179486;184734;190177;195460;200374;205024;209453;213872;218641;223963;229756;235971;242518;249253;256069;263046;270308;277595;284517;290903;296790;301999;307478;314623;324272;336087;349996;365294;380821;395783;410060;423416;435603;446380;455585;463151;469068;473181;475283;475325;474028;471839;469855;469797;472601;477889;485821;494532;501050;503590
65-69;138963;141393;144120;147230;150824;154940;159503;164478;169641;174664;179357;183817;188084;192354;196940;202040;207573;213492;219727;226132;232621;239265;246176;253114;259714;265819;271471;276515;281823;288685;297868;309054;322166;336556;351163;365267;378743;391375;402932;413184;421984;429267;435012;439079;441271;441537;440551;438730;437103;437270;440105
70-74;107817;109738;111369;112913;114624;116667;118996;121591;124524;127882;131701;135913;140499;145252;149895;154240;158395;162392;166395;170685;175428;180552;186022;191772;197671;203656;209781;216152;222550;228650;234308;239572;244309;249305;255706;264193;274470;286451;299569;312878;325758;338084;349660;360282;369739;377894;384692;390104;394007;396213;396676
75-79;72184;74698;77328;79913;82249;84255;86010;87550;89031;90656;92546;94677;97032;99666;102655;106039;109746;113776;117948;122033;125877;129561;133121;136695;140516;144712;149230;154039;159089;164268;169528;174908;180512;186132;191505;196500;201170;205416;209895;215598;223087;232098;242544;253942;265506;276722;287469;297586;306896;315211;322419
80-84;42270;43630;45163;46835;48638;50544;52550;54660;56753;58663;60327;61813;63153;64466;65894;67517;69324;71310;73510;75991;78774;81817;85112;88520;91856;95005;98038;100987;103949;107111;110562;114269;118200;122330;126558;130854;135251;139832;144429;148826;152922;156766;160300;164045;168787;174960;182331;190819;200039;209390;218475
85-89;23637;23503;23803;24393;25162;26036;27011;28107;29305;30592;31965;33405;34938;36468;37874;39116;40243;41280;42309;43420;44663;46037;47539;49189;51040;53104;55354;57785;60301;62765;65099;67350;69552;71765;74125;76690;79434;82341;85390;88510;91680;94930;98314;101712;104961;107991;110850;113500;116322;119884;124492
90+;16850;17621;18112;18469;18786;19107;19494;19981;20551;21197;21887;22672;23568;24562;25645;26793;28034;29386;30787;32155;33459;34746;36051;37388;38763;40182;41669;43242;44919;46737;48704;50816;53074;55428;57816;60195;62602;65062;67585;70218;72969;75833;78820;81917;85110;88389;91773;95303;98892;102428;105865
Homens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;3329311;3348706;3365800;3380783;3396747;3413714;3429686;3445834;3463008;3479859;3496428;3512693;3528588;3544070;3559102;3573613;3587599;3601043;3613856;3625984;3637445;3648126;3657896;3666727;3674595;3681513;3687497;3692572;3696721;3699897;3702094;3703323;3703614;3702960;3701323;3698706;3695111;3690556;3685059;3678609;3671196;3662813;3653473;3643180;3631921;3619677;3606446;3592240;3577051;3560873;3543701
0-4;345051;335257;325077;314321;308023;305163;301052;299419;300952;301224;300256;300009;299257;297109;294874;292442;289832;287095;284181;281077;277879;274608;271288;267987;264732;261526;258368;255279;252262;249307;246398;243527;240700;237928;235222;232582;229993;227436;224930;222503;220148;217851;215597;213373;211166;208957;206740;204509;202240;199932;197592
05/set;353735;356299;359704;356985;349435;339649;329989;319948;309321;303133;300367;296360;294821;296437;296799;295918;295758;295091;293032;290887;288545;286015;283344;280483;277422;274249;270998;267694;264418;261178;257992;254850;251775;248775;245833;242938;240078;237263;234505;231810;229180;226601;224056;221559;219140;216796;214508;212260;210045;207845;205643
out/14;372445;367403;358291;353221;350143;348262;350907;354387;351762;344314;334635;325081;315148;304628;298535;295859;291946;290495;292192;292636;291834;291751;291144;289134;287022;284698;282182;279527;276676;273630;270466;267229;263938;260674;257446;254270;251141;248075;245082;242151;239265;236413;233606;230856;228169;225546;222975;220438;217947;215536;213198
15-19;347674;350004;354001;358495;361606;362223;357354;348442;343569;340683;338987;341777;345378;342916;335652;326172;316818;307089;296774;290863;288355;284596;283256;285014;285502;284735;284669;284082;282098;280013;277718;275228;272598;269771;266754;263614;260402;257137;253899;250692;247537;244431;241387;238413;235500;232631;229795;227005;224271;221600;218993
20-24;331257;328781;326040;323688;322754;323793;326469;330793;335598;339037;340010;335555;327110;322682;320226;318939;322066;325967;323889;317054;308030;299095;289707;279675;273942;271530;267862;266582;268366;268893;268174;268149;267603;265675;263643;261402;258965;256389;253614;250651;247563;244403;241190;238001;234843;231736;228671;225668;222736;219862;217029
25-29;297590;300458;302417;303368;303190;301848;299883;297651;295805;295347;296825;299908;304609;309783;313610;315014;311079;303229;299332;297378;296562;300055;304232;302463;295936;287174;278456;269281;259467;253884;251573;248019;246820;248638;249210;248556;248583;248091;246236;244277;242108;239742;237237;234531;231640;228622;225533;222387;219266;216170;213124
30-34;249167;256280;262798;268595;273554;277592;280704;282936;284180;284322;283326;281719;279847;278353;278217;279972;283305;288221;293604;297667;299354;295783;288334;284719;282969;282284;285805;290002;288350;282009;273462;264949;255982;246377;240937;238718;235267;234141;235985;236601;236006;236081;235641;233857;231963;229859;227564;225126;222483;219663;216711
35-39;200438;206370;213455;221286;229204;236766;243894;250446;256306;261349;265498;268745;271131;272554;272898;272128;270755;269122;267858;267925;269842;273299;278297;283734;287854;289618;286200;278964;275498;273865;273273;276816;281016;279461;273286;264932;256612;247833;238424;233116;230979;227626;226561;228424;229074;228531;228643;228246;226523;224685;222642
40-44;175607;178539;181007;183543;186948;191687;197586;204607;212355;220200;227704;234790;241327;247191;252261;256464;259789;262276;263822;264310;263711;262517;261059;259953;260138;262120;265604;270596;276018;280148;281964;278690;271669;268354;266837;266338;269890;274079;272618;266610;258453;250330;241752;232544;227373;225319;222067;221062;222935;223617;223122
45-49;149556;153095;156816;160567;164116;167367;170306;172804;175377;178791;183499;189330;196247;203870;211596;218997;226001;232478;238304;243364;247585;250956;253507;255140;255739;255273;254222;252913;251945;252234;254274;257775;262746;268134;272254;274109;270983;264198;261054;259670;259279;262830;266979;265611;259788;251856;243968;235627;226663;221651;219691
50-54;124981;127848;130920;134157;137492;140873;144352;148010;151702;155206;158430;161363;163879;166472;169873;174517;180242;187004;194448;201995;209237;216103;222467;228206;233210;237407;240786;243376;245076;245782;245454;244565;243423;242608;243008;245100;248600;253518;258838;262923;264808;261852;255351;252410;251177;250903;254432;258514;257248;251650;244002
55-59;104694;106565;108476;110503;112755;115307;118099;121085;124229;127470;130761;134149;137713;141315;144741;147910;150806;153318;155911;159271;163808;169365;175900;183076;190353;197350;203995;210171;215761;220651;224783;228137;230743;232504;233314;233136;232424;231471;230830;231351;233481;236954;241776;246974;250984;252875;250114;243964;241274;240229;240095
60-64;85194;86906;88717;90579;92433;94239;96052;97912;99880;102061;104514;107196;110057;113068;116176;119333;122585;126005;129460;132761;135827;138643;141109;143655;146918;151272;156572;162780;169588;176494;183148;189478;195375;200731;205439;209442;212721;215300;217087;217984;217951;217415;216657;216189;216809;218941;222331;226985;231982;235854;237719
65-69;68025;68922;69933;71083;72396;73883;75496;77200;78955;80708;82423;84147;85921;87796;89862;92175;94695;97376;100197;103106;106065;109114;112317;115558;118658;121548;124219;126581;129023;132123;136213;141162;146927;153228;159625;165800;171687;177185;182196;186620;190406;193537;196025;197794;198744;198844;198482;197921;197630;198340;200435
70-74;51892;52531;53128;53733;54397;55161;56020;56980;58061;59276;60639;62109;63664;65266;66870;68439;70026;71660;73387;75276;77378;79659;82081;84622;87241;89911;92659;95546;98469;101273;103895;106333;108510;110772;113607;117310;121758;126904;132513;138204;143714;148977;153906;158414;162415;165859;168736;171049;172735;173697;173910
75-79;34933;35757;36550;37297;37985;38610;39195;39761;40337;40963;41663;42441;43299;44252;45313;46495;47757;49092;50464;51845;53200;54571;55984;57480;59108;60903;62845;64899;67054;69274;71540;73871;76324;78802;81189;83426;85518;87410;89376;91825;94989;98758;103089;107788;112557;117188;121617;125777;129596;132998;135949
80-84;19727;20269;20893;21555;22216;22853;23479;24093;24685;25238;25747;26233;26716;27212;27744;28324;28959;29658;30423;31267;32195;33183;34225;35296;36372;37433;38509;39625;40802;42077;43474;44981;46568;48236;49950;51703;53506;55403;57324;59175;60912;62546;64041;65604;67539;70015;72937;76268;79859;83504;87051
85-89;10609;10340;10352;10533;10809;11127;11484;11893;12330;12764;13188;13606;14025;14435;14821;15182;15532;15882;16246;16632;17044;17495;17988;18521;19106;19741;20417;21127;21857;22594;23323;24061;24831;25641;26518;27471;28497;29577;30710;31873;33066;34292;35583;36893;38154;39339;40460;41494;42583;43926;45632
90+;6736;7082;7225;7274;7291;7311;7365;7467;7604;7773;7956;8175;8439;8731;9034;9333;9648;9985;10332;10670;10994;11318;11657;12011;12373;12741;13129;13547;13993;14468;14970;15503;16066;16651;17251;17859;18486;19146;19838;20573;21351;22174;23039;23945;24886;25860;26873;27940;29035;30114;31163
Mulheres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
