Distrito Federal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;3538436;1704529;1833907;39332;22208;0.72;11.12;6.28;81.43;77.95;84.43;7.5;8;6.97;1.61;23.52;19.95;43.46;84.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;3562521;1716320;1846201;38974;22978;0.68;10.94;6.45;81.54;78.06;84.52;7.39;7.88;6.87;1.6;23.28;20.73;44.01;88.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;3585467;1727555;1857912;38625;23778;0.64;10.77;6.63;81.63;78.16;84.6;7.28;7.76;6.77;1.6;23.04;21.51;44.56;93.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;3607260;1738228;1869032;38295;24606;0.61;10.62;6.82;81.72;78.26;84.68;7.18;7.65;6.68;1.59;22.82;22.32;45.13;98.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;3627893;1748335;1879558;37973;25446;0.57;10.47;7.01;81.81;78.36;84.76;7.08;7.55;6.59;1.59;22.6;23.17;45.77;102.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;3647352;1757871;1889481;37649;26308;0.54;10.32;7.21;81.89;78.45;84.83;6.99;7.44;6.51;1.59;22.4;24.09;46.49;107.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;3665603;1766821;1898782;37298;27188;0.5;10.18;7.42;81.96;78.53;84.89;6.9;7.34;6.43;1.58;22.22;25.06;47.28;112.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;3682634;1775178;1907456;36988;28086;0.46;10.04;7.63;82.03;78.61;84.96;6.81;7.25;6.35;1.58;22.05;26.09;48.14;118.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;3698469;1782953;1915516;36715;28997;0.43;9.93;7.84;82.1;78.69;85.02;6.72;7.16;6.27;1.57;21.9;27.17;49.07;123.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;3713123;1790157;1922966;36462;29923;0.4;9.82;8.06;82.16;78.76;85.07;6.64;7.07;6.2;1.57;21.76;28.28;50.03;129.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;3726600;1796792;1929808;36221;30856;0.36;9.72;8.28;82.22;78.83;85.13;6.57;6.98;6.13;1.56;21.63;29.4;51.03;136.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
