Rondônia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;2029651;1014672;1014979;24851;16666;0.51;12.24;8.21;74.6;71.52;78.02;14.18;14.99;13.32;1.8;28.07;16.85;44.93;59.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;2039343;1018872;1020471;24709;17059;0.48;12.12;8.36;74.74;71.65;78.15;13.99;14.79;13.14;1.79;27.75;17.41;45.16;62.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;2048511;1022816;1025695;24600;17461;0.45;12.01;8.52;74.87;71.78;78.26;13.8;14.6;12.96;1.79;27.45;17.96;45.41;65.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;2057168;1026512;1030656;24498;17869;0.42;11.91;8.69;74.99;71.91;78.38;13.63;14.42;12.8;1.79;27.17;18.54;45.71;68.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;2065315;1029962;1035353;24397;18279;0.4;11.81;8.85;75.12;72.03;78.49;13.46;14.25;12.63;1.79;26.92;19.14;46.06;71.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;2072942;1033163;1039779;24281;18693;0.37;11.71;9.02;75.24;72.16;78.61;13.3;14.08;12.48;1.78;26.7;19.76;46.47;74.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;2080046;1036115;1043931;24185;19114;0.34;11.63;9.19;75.36;72.28;78.71;13.15;13.92;12.33;1.78;26.52;20.42;46.94;77.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;2086640;1038825;1047815;24102;19534;0.32;11.55;9.36;75.48;72.39;78.82;13;13.77;12.18;1.78;26.36;21.1;47.46;79.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;2092729;1041297;1051432;24014;19952;0.29;11.47;9.53;75.59;72.51;78.92;12.85;13.62;12.04;1.78;26.23;21.81;48.03;83.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;2098307;1043530;1054777;23917;20372;0.27;11.4;9.71;75.7;72.62;79.03;12.71;13.48;11.9;1.78;26.12;22.53;48.65;86.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;2103370;1045523;1057847;23823;20789;0.24;11.33;9.88;75.81;72.73;79.12;12.58;13.35;11.77;1.77;26.04;23.28;49.32;89.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;2107922;1047279;1060643;23728;21205;0.22;11.26;10.06;75.91;72.84;79.22;12.45;13.22;11.65;1.77;25.98;24.05;50.03;92.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;2111959;1048796;1063163;23624;21620;0.19;11.19;10.24;76.01;72.94;79.32;12.33;13.09;11.53;1.77;25.94;24.84;50.78;95.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;2115477;1050073;1065404;23510;22027;0.17;11.11;10.41;76.11;73.05;79.41;12.21;12.97;11.41;1.77;25.92;25.63;51.54;98.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;2118474;1051112;1067362;23389;22427;0.14;11.04;10.59;76.21;73.15;79.5;12.1;12.86;11.3;1.77;25.9;26.41;52.31;101.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;2120952;1051915;1069037;23274;22827;0.12;10.97;10.76;76.31;73.24;79.59;11.99;12.75;11.19;1.77;25.89;27.19;53.08;105.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;2122916;1052485;1070431;23151;23217;0.09;10.91;10.94;76.4;73.34;79.67;11.88;12.64;11.09;1.77;25.89;27.95;53.83;108.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;2124363;1052821;1071542;23015;23604;0.07;10.83;11.11;76.49;73.43;79.75;11.78;12.54;10.99;1.77;25.88;28.69;54.57;111.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;2125289;1052922;1072367;22871;23979;0.04;10.76;11.28;76.58;73.53;79.84;11.69;12.44;10.9;1.76;25.88;29.42;55.3;113.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;2125695;1052789;1072906;22721;24349;0.02;10.69;11.45;76.67;73.62;79.92;11.59;12.34;10.8;1.76;25.88;30.14;56.03;116.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;2125590;1052427;1073163;22581;24712;0;10.62;11.63;76.75;73.7;79.99;11.5;12.25;10.72;1.76;25.89;30.86;56.75;119.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;2124982;1051839;1073143;22437;25069;-0.03;10.56;11.8;76.83;73.79;80.07;11.42;12.17;10.63;1.76;25.89;31.57;57.46;121.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;2123877;1051029;1072848;22287;25414;-0.05;10.49;11.97;76.91;73.87;80.14;11.33;12.08;10.55;1.76;25.89;32.27;58.16;124.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;2122283;1050001;1072282;22139;25749;-0.08;10.43;12.13;77;73.95;80.21;11.26;12;10.47;1.76;25.89;32.95;58.84;126.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;2120212;1048760;1071452;21995;26076;-0.1;10.37;12.3;77.07;74.03;80.28;11.18;11.93;10.39;1.76;25.89;33.62;59.5;130.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;1598634;1618210;1637884;1657620;1677766;1698263;1717911;1737578;1757589;1777225;1796460;1815278;1833642;1851491;1868787;1885507;1901627;1917130;1932010;1946272;1959925;1972968;1985411;1997286;2008616;2019409;2029651;2039343;2048511;2057168;2065315;2072942;2080046;2086640;2092729;2098307;2103370;2107922;2111959;2115477;2118474;2120952;2122916;2124363;2125289;2125695;2125590;2124982;2123877;2122283;2120212
0-4;136436;134343;133371;133100;133760;135292;136504;137670;139155;139897;139925;140426;140500;139765;138896;137899;136765;135519;134215;132895;131598;130326;129088;127918;126833;125832;124912;124082;123334;122654;122028;121461;120944;120462;120000;119543;119101;118666;118222;117756;117260;116745;116206;115634;115031;114401;113741;113057;112357;111647;110935
05/set;150565;146626;143478;141279;139288;137133;135035;134054;133775;134420;135938;137135;138287;139753;140485;140502;140990;141054;140308;139433;138423;137282;136030;134728;133413;132119;130859;129629;128465;127388;126396;125481;124658;123916;123240;122620;122058;121548;121071;120611;120161;119723;119289;118850;118389;117894;117384;116848;116280;115680;115055
out/14;158612;159145;158079;155742;153121;150699;146770;143626;141429;139438;137286;135193;134211;133928;134567;136078;137272;138418;139876;140602;140615;141098;141161;140414;139536;138533;137395;136149;134853;133544;132256;130999;129774;128614;127542;126556;125643;124823;124083;123413;122794;122236;121728;121252;120796;120348;119913;119481;119045;118585;118093
15-19;158003;158364;158610;158660;158421;157821;158362;157311;154992;152394;149988;146090;142968;140790;138815;136681;134607;133636;133366;134013;135530;136725;137873;139332;140066;140084;140569;140636;139898;139026;138029;136902;135664;134377;133080;131798;130552;129332;128182;127115;126137;125228;124416;123682;123016;122404;121849;121348;120873;120421;119980
20-24;153337;153996;154735;155501;156182;156699;157074;157337;157399;157176;156601;157155;156129;153842;151279;148904;145052;141971;139823;137873;135767;133725;132772;132517;133173;134693;135891;137043;138503;139242;139275;139766;139842;139120;138259;137282;136168;134951;133679;132400;131132;129902;128696;127562;126507;125541;124645;123842;123120;122464;121860
25-29;148157;150135;151486;152375;153058;153695;154341;155068;155824;156490;156992;157352;157601;157652;157418;156839;157375;156343;154067;151516;149148;145321;142270;140149;138229;136157;134148;133218;132976;133643;135165;136367;137524;138984;139732;139777;140276;140361;139659;138812;137856;136761;135563;134311;133049;131799;130587;129401;128279;127240;126287
30-34;134699;138120;141426;144524;147308;149718;151644;152947;153798;154448;155050;155661;156358;157078;157713;158181;158508;158726;158741;158476;157871;158375;157336;155074;152550;150218;146448;143443;141363;139474;137436;135462;134555;134332;135007;136528;137735;138894;140354;141110;141167;141674;141771;141085;140258;139320;138241;137060;135829;134584;133352
35-39;118020;120850;124123;127693;131307;134789;138162;141423;144476;147220;149596;151496;152775;153612;154249;154838;155439;156126;156833;157457;157917;158231;158441;158460;158206;157623;158143;157135;154915;152441;150147;146431;143473;141428;139574;137570;135627;134746;134537;135219;136739;137947;139107;140568;141330;141397;141911;142019;141348;140541;139619
40-44;106965;109107;110967;112749;114749;117156;119952;123182;126707;130275;133711;137045;140268;143287;145999;148354;150234;151504;152337;152975;153563;154165;154860;155576;156213;156691;157025;157252;157289;157054;156501;157037;156061;153882;151453;149203;145546;142637;140629;138812;136843;134934;134079;133883;134571;136090;137298;138455;139916;140678;140756
45-49;91808;94834;97732;100465;103002;105336;107454;109299;111064;113045;115427;118182;121363;124829;128340;131721;135006;138178;141158;143831;146154;148018;149281;150117;150767;151372;151995;152711;153448;154105;154601;154957;155205;155264;155054;154534;155089;154152;152026;149652;147459;143888;141044;139084;137312;135393;133528;132704;132528;133223;134739
50-54;72803;76057;79398;82750;86012;89112;92069;94906;97588;100080;102378;104469;106297;108051;110013;112362;115071;118195;121591;125031;128350;131574;134692;137623;140261;142559;144408;145674;146522;147190;147815;148459;149193;149950;150627;151139;151520;151791;151880;151701;151217;151792;150897;148844;146546;144421;140962;138205;136307;134596;132740
55-59;55064;57880;60726;63622;66596;69660;72801;76030;79269;82429;85430;88302;91063;93677;96109;98361;100415;102216;103951;105888;108195;110844;113892;117201;120554;123788;126938;129982;132851;135437;137693;139517;140773;141627;142309;142954;143614;144363;145130;145825;146360;146758;147054;147167;147020;146582;147168;146327;144360;142153;140113
60-64;39684;41686;43893;46274;48777;51378;54052;56755;59508;62332;65251;68240;71315;74403;77420;80288;83041;85695;88210;90560;92732;94731;96492;98196;100086;102332;104893;107832;111014;114235;117346;120379;123316;126085;128586;130772;132546;133776;134630;135321;135975;136652;137409;138190;138892;139442;139860;140177;140316;140206;139818
65-69;28589;29654;30846;32178;33677;35351;37206;39248;41454;43766;46173;48643;51147;53696;56315;59023;61799;64657;67531;70343;73025;75602;78094;80462;82681;84738;86644;88333;89976;91791;93934;96361;99132;102126;105149;108074;110931;113706;116322;118690;120766;122455;123645;124482;125175;125837;126526;127285;128063;128772;129332
70-74;20551;21137;21724;22355;23077;23915;24863;25921;27098;28431;29910;31555;33360;35311;37356;39483;41668;43884;46144;48466;50873;53341;55886;58448;60960;63363;65677;67926;70071;72089;73968;75720;77291;78826;80516;82493;84719;87235;89949;92683;95334;97925;100452;102836;105003;106903;108457;109570;110375;111049;111707
75-79;13186;13646;14153;14681;15200;15701;16202;16709;17255;17871;18578;19369;20248;21231;22339;23568;24931;26429;28052;29748;31515;33327;35171;37050;38988;40997;43058;45192;47341;49455;51485;53446;55361;57197;58934;60562;62087;63476;64837;66330;68060;69990;72154;74478;76816;79089;81313;83490;85551;87429;89077
80-84;7387;7613;7856;8121;8413;8731;9077;9462;9858;10251;10632;11015;11412;11835;12310;12846;13445;14110;14846;15681;16604;17630;18750;19972;21240;22566;23925;25312;26728;28194;29716;31281;32905;34543;36160;37716;39228;40714;42149;43512;44797;46013;47132;48240;49452;50842;52379;54083;55903;57731;59512
85-89;3211;3391;3559;3719;3869;4016;4166;4326;4506;4700;4907;5130;5377;5633;5886;6137;6388;6655;6941;7256;7609;8000;8434;8911;9456;10053;10722;11453;12251;13077;13942;14830;15738;16667;17632;18638;19672;20750;21840;22917;23963;24983;25997;26980;27921;28814;29673;30475;31272;32146;33131
90+;1557;1626;1722;1832;1949;2061;2177;2304;2434;2562;2687;2820;2963;3118;3278;3442;3621;3814;4020;4228;4436;4653;4888;5138;5404;5691;6001;6341;6713;7129;7582;8086;8637;9240;9875;10548;11258;12001;12780;13598;14454;15346;16277;17235;18205;19178;20155;21155;22155;23138;24106
Homens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
